Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),N2O-N (g)
50.99999999999999,51.0,0.25,10.0,1.0,12.049999999999999,0.0318,60.6289,0.35075,2.4529,0.527
50.99999999999999,51.0,0.25,10.0,1.0,0.0,0.0318,61.8868,0.392,2.24044,0.774
44.0,44.0,20.0,20.0,6.0,0.0,0.273,68.45,0.46008,2.53,0.440853636
44.0,44.0,20.0,20.0,6.0,5.890009954,0.275,66.71,0.451058824,2.511,0.368384545
44.0,44.0,20.0,20.0,6.0,11.86352204,0.277,67.58,0.442384615,2.522,0.326110909
44.0,44.0,20.0,20.0,6.0,21.4148812,0.282,65.41,0.426,2.506,0.259680909
76.0,76.0,0.0,0.0,7.0,0.0,0.1625,59.99999999999999,0.1275,2.398,0.1686
76.0,76.0,0.0,0.0,7.0,7.5,0.1625,59.99999999999999,0.1275,1.57,0.1326
76.0,0.0,0.0,0.0,3.0,0.0,0.1625,59.99999999999999,0.0,1.9980543095,0.1046
76.0,0.0,0.0,0.0,3.0,7.5,0.1625,59.99999999999999,0.0,1.57,0.0931
28.0,28.0,0.0,0.0,4.0,0.0,0.06,62.06,0.36,1.95,0.010508273
28.0,28.0,0.0,0.0,4.0,10.0,0.06,58.69,0.36,1.9599999999999997,0.069633614
21.0,21.0,10.0,360.0,0.0,0.0,0.09999999999999999,60.81480999999999,0.20000000000000004,3.07,0.352609091
21.0,21.0,10.0,360.0,0.0,0.25,0.09999999999999999,60.81480999999999,0.20000000000000004,3.15,0.371890909
21.0,21.0,10.0,360.0,0.0,5.25,0.09999999999999999,61.382709999999996,0.20000000000000004,2.99,0.189954545
21.0,21.0,10.0,360.0,0.0,5.0,0.09999999999999999,61.382709999999996,0.20000000000000004,2.92,0.240354545
28.0,28.0,0.0,0.0,0.0,0.0,0.01,69.0,0.28,3.7,0.0045
28.0,28.0,0.0,0.0,0.0,0.0,0.01,62.99999999999999,0.28,3.7,0.0043
28.0,28.0,0.0,0.0,0.0,0.0,0.01,66.0,0.28,3.7,0.0058625
28.0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,2.850340136,0.0078
28.0,28.0,0.0,0.0,0.0,0.0,0.01,67.0,0.28,3.209302326,0.0119
28.0,28.0,0.0,0.0,0.0,25.0,0.01,65.0,0.28,2.934131737,0.0038
28.0,28.0,0.0,0.0,0.0,14.28571429,0.01,67.0,0.28,3.242857143,0.002975
28.0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,2.957142857,0.0021
28.0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,3.347107438,0.0026
25.0,25.0,30.0,30.000000000000004,0.0,0.0,0.06,59.99999999999999,0.826446281,2.231404959,0.430155
25.0,25.0,30.0,30.000000000000004,0.0,0.0,0.06,59.99999999999999,1.643835616,2.230684932,0.27375
50.0,50.0,0.0,0.0,0.0,0.0,0.03,72.13,0.222862581,2.21,0.029506909
50.0,50.0,0.0,0.0,0.0,0.0,0.03,69.74,0.205260414,2.93,0.030224091
50.0,50.0,0.0,0.0,0.0,0.0,0.03,71.05,0.214548536,3.48,0.027252909
60.0,60.0,0.0,0.0,0.0,1.888750519,0.03,71.6013,0.217484278,2.0704475934,0.745139258
60.0,60.0,0.0,0.0,0.0,2.469904525,0.03,71.0923,0.213286019,2.0704475934000004,0.035969319
60.0,60.0,0.0,0.0,0.0,2.00498132,0.03,70.8378,0.211717062,2.0704475934,0.327141872
60.0,60.0,0.0,0.0,0.0,0.0,0.03,70.0742,0.207552684,2.0704475934000004,0.031197409
21.0,21.0,1.0,20.0,4.0,0.0,0.0474,49.21,0.7203108756,2.1789820000000004,0.026286845
21.0,21.0,1.0,20.0,4.0,2.0,0.0474,49.21,0.4936900585,2.207215,0.024206064
21.0,21.0,1.0,20.0,4.0,3.12819276,0.0474,49.21,0.6743567252,1.9174149999999999,0.013837027
35.0,0.0,0.0,0.0,5.0,0.0,0.004,59.99999999999999,0.0,4.93787,0.00284061
35.0,0.0,0.0,0.0,5.0,12.5,0.004,59.99999999999999,0.0,4.21598,0.0026926
35.0,0.0,0.0,0.0,5.0,12.5,0.004,59.99999999999999,0.0,4.6716,0.00269829
35.0,0.0,0.0,0.0,5.0,7.5,0.004,59.99999999999999,0.0,4.06213,0.00269829
35.0,0.0,0.0,0.0,5.0,12.5,0.004,59.99999999999999,0.0,4.37574,0.00263567
35.0,0.0,0.0,0.0,5.0,20.0,0.004,59.99999999999999,0.0,4.09172,0.00274383
35.0,0.0,0.0,0.0,5.0,20.0,0.004,59.99999999999999,0.0,4.03846,0.00283491
35.0,0.0,0.0,0.0,5.0,20.0,0.004,59.99999999999999,0.0,3.166656,0.0027723
64.0,0.0,0.0,0.0,12.0,0.0,1.1,74.27405248,0.0,2.048921124,0.606449455
64.0,64.0,30.0,1410.0,12.0,0.0,1.1,74.27405248,2.5,2.048921124,0.592411273
49.0,0.0,0.0,0.0,0.0,0.0,0.013791,76.28,0.0,4.33,0.037603532
49.0,0.0,0.0,0.0,0.0,0.0,0.013791,76.28,0.0,4.33,0.045132691
49.0,0.0,0.0,0.0,0.0,0.0,0.013791,76.28,0.0,4.33,0.042017177
49.0,0.0,0.0,0.0,0.0,0.0,0.013791,76.28,0.0,4.33,0.040072999
49.0,0.0,0.0,0.0,0.0,0.0,0.013791,76.28,0.0,4.33,0.044634571
49.0,0.0,0.0,0.0,0.0,0.0,0.013791,76.28,0.0,4.33,0.050400687
49.0,0.0,0.0,0.0,0.0,0.0,0.013791,76.28,0.0,4.33,0.033660836
