Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),NH3-N (g)
26.0,26.0,0.0,0.0,2.0,3.8,0.049999999999999996,65.0,0.57,2.66,15.48317647
26.0,26.0,0.0,0.0,2.0,7.3,0.049999999999999996,65.0,0.57,2.66,6.177804706
26.0,26.0,0.0,0.0,2.0,8.9,0.049999999999999996,65.0,0.57,2.66,1.328377647
14.0,14.0,0.0,0.0,2.0,0.0,0.004,61.7,0.10000000000000002,0.984,0.281485697
14.0,14.0,0.0,0.0,2.0,6.0,0.004,61.4,0.10000000000000002,1.12,0.14028784
14.0,14.0,0.0,0.0,2.0,13.0,0.004,59.29999999999999,0.10000000000000002,0.9849999999999999,0.132736335
14.0,14.0,0.0,0.0,2.0,23.0,0.004,56.9,0.10000000000000002,0.905,0.116275396
45.0,45.0,30.0,720.0,7.0,0.0,0.09,65.0,7.56254417,2.46,5.9
45.0,45.0,30.0,720.0,7.0,16.87763713,0.09,65.0,7.060511509,3.13,5.7
45.0,45.0,30.0,720.0,7.0,15.471167369999998,0.09,65.0,6.655573376,2.75,11.4
45.0,45.0,30.0,720.0,7.0,15.471167369999998,0.09,65.0,7.341529411999999,3.05,0.6
45.0,35.0,30.0,720.0,6.0,0.0,0.09,65.0,2.6,2.46,4.858823529
45.0,35.0,30.0,720.0,6.0,0.65,0.09,65.0,2.6,2.97,9.388235294
45.0,35.0,30.0,720.0,6.0,0.65,0.09,65.0,2.6,2.52,5.105882353
45.0,35.0,30.0,720.0,6.0,0.65,0.09,65.0,2.6,2.79,8.811764706
45.0,35.0,30.0,720.0,6.0,1.9499999999999997,0.09,65.0,2.6,2.73,7.905882353
60.0,0.0,0.0,0.0,7.0,10.0,0.165,59.0,0.0,2.960783429,16.47058824
60.0,0.0,0.0,0.0,7.0,10.0,0.165,58.0,0.0,3.339649853,24.70588235
55.99999999999999,0.0,0.0,0.0,0.0,0.0,0.02,55.0,0.0,1.38461,0.948769
55.99999999999999,0.0,0.0,0.0,0.0,1.943259,0.02,55.0,0.0,1.51479,11.7648
55.99999999999999,0.0,0.0,0.0,0.0,6.943259,0.02,55.0,0.0,1.44971,12.1413
55.99999999999999,0.0,0.0,0.0,0.0,16.943259,0.02,55.0,0.0,1.60948,9.04727
35.0,35.0,0.0,0.0,4.0,4.56,0.06,69.19,0.38,2.17362,39.20848235
35.0,35.0,0.0,0.0,4.0,6.48,0.06,64.68,0.38,2.40973,33.06231765
18.0,18.0,0.0,0.0,0.0,0.0,0.010209318,59.99999999999999,0.16,5.373214286,4.42071
18.0,18.0,0.0,0.0,0.0,2.4392,0.010209318,59.99999999999999,0.16,6.903017241,0.72198864
18.0,18.0,0.0,0.0,0.0,2.4392,0.010209318,59.99999999999999,0.16,6.145359019,0.6372918
18.0,18.0,0.0,0.0,0.0,2.4392,0.010209318,59.99999999999999,0.16,6.285229202,0.32412744
110.0,110.0,0.0,0.0,6.0,0.0,0.032,64.6,1.765536723,2.34,12.84028777
110.0,110.0,0.0,0.0,6.0,11.0,0.032,64.6,1.765536723,2.34,12.276
50.99999999999999,51.0,0.25,10.0,1.0,12.049999999999999,0.0318,60.6289,0.35075,2.4529,9.133
50.99999999999999,51.0,0.25,10.0,1.0,10.25,0.0318,64.9057,0.29614434390000005,2.51066,0.603
50.99999999999999,51.0,0.25,10.0,1.0,0.0,0.0318,61.8868,0.392,2.24044,10.154
55.99999999999999,56.0,0.0,0.0,0.0,0.0,0.00025,45.0,27.5,2.62,1.383529412
55.99999999999999,56.0,0.0,0.0,0.0,28.0,0.00025,45.0,21.484375,1.73,1.517929412
55.99999999999999,56.0,0.0,0.0,0.0,38.0,0.00025,45.0,19.927536230000005,1.6999999999999997,1.091011765
55.99999999999999,56.0,0.0,0.0,0.0,28.0,0.00025,45.0,21.484375,1.78,1.560094118
55.99999999999999,56.0,0.0,0.0,0.0,38.0,0.00025,45.0,19.927536230000005,1.67,1.272847059
55.99999999999999,56.0,0.0,0.0,0.0,9.0,0.00025,45.0,25.2293578,3.34,1.256705882
55.99999999999999,56.0,0.0,0.0,0.0,20.0,0.00025,45.0,22.91666667,5.04,0.158117647
55.99999999999999,56.0,0.0,0.0,0.0,20.0,0.00025,45.0,22.91666667,3.84,1.225411765
49.0,49.0,0.0,0.0,0.0,0.0,0.00025,45.0,36.66666667,2.68,0.938823529
49.0,49.0,0.0,0.0,0.0,28.0,0.00025,45.0,28.64583333,1.58,1.296564706
49.0,49.0,0.0,0.0,0.0,38.0,0.00025,45.0,26.57004831,1.24,1.1592
49.0,49.0,0.0,0.0,0.0,28.0,0.00025,45.0,28.64583333,1.55,1.517929412
49.0,49.0,0.0,0.0,0.0,38.0,0.00025,45.0,26.57004831,1.14,1.466047059
49.0,49.0,0.0,0.0,0.0,20.0,0.00025,45.0,30.55555556,2.92,1.215529412
49.0,49.0,0.0,0.0,0.0,33.0,0.00025,45.0,27.56892231,3.1,0.657176471
49.0,49.0,0.0,0.0,0.0,20.0,0.00025,45.0,30.55555556,2.21,1.215529412
49.0,49.0,0.0,0.0,0.0,0.0,0.00025,45.0,36.66666667,2.77,0.790588235
49.0,49.0,0.0,0.0,0.0,28.0,0.00025,45.0,28.64583333,1.48,1.106823529
49.0,49.0,0.0,0.0,0.0,20.0,0.00025,45.0,30.55555556,4.68,0.059294118
49.0,49.0,0.0,0.0,0.0,20.0,0.00025,45.0,30.55555556,2.31,0.978352941
49.0,49.0,0.0,0.0,0.0,20.0,0.00025,45.0,30.55555556,5.1,0.266823529
49.0,49.0,0.0,0.0,0.0,20.0,0.00025,45.0,30.55555556,3.25,0.681882353
15.0,15.0,0.0,0.0,0.0,3.629764065,0.17,71.0,0.290381125,1.44,26.86125
15.0,15.0,0.0,0.0,0.0,7.30994152,0.17,71.5,0.292397661,1.55,24.624
15.0,15.0,0.0,0.0,0.0,0.0,0.17,70.0,0.263765249,1.7199999999999998,28.05525
15.0,15.0,0.0,0.0,0.0,13.0971896,0.17,71.8,0.281659991,1.6599999999999997,25.562736
15.0,15.0,0.0,0.0,0.0,24.36647173,0.17,69.6,0.262005072,1.58,37.403856
15.0,15.0,0.0,0.0,0.0,37.59079389,0.17,70.3,0.269468057,1.47,36.367947
15.0,6.0,0.0,0.0,0.0,0.0,0.17,70.6,0.289477493,1.59,35.2359
15.0,6.0,0.0,0.0,0.0,3.104791777,0.17,70.8,0.28881784,1.57,32.546466
15.0,6.0,0.0,0.0,0.0,3.436883051,0.17,70.1,0.281711726,1.55,29.8177152
15.0,6.0,0.0,0.0,0.0,3.685446,0.17,69.8,0.278672665,1.55,33.7313313
15.0,15.0,0.0,0.0,0.0,0.0,0.17,71.5,0.27764763,1.62,34.5762
15.0,15.0,0.0,0.0,0.0,3.668852355,0.17,72.3,0.282763187,1.35,31.82875425
15.0,15.0,0.0,0.0,0.0,7.017404988,0.17,71.3,0.270159961,1.31,25.1702731
15.0,15.0,0.0,0.0,0.0,10.35226864,0.17,71.1,0.265613051,1.25,24.84817665
16.0,16.0,0.0,0.0,3.0,14.0,0.045,71.7,0.530035336,2.0,22.39269884
54.0,54.0,0.0,0.0,7.0,0.0,0.33348,65.0,0.05000000000000001,2.0834305747,4.7667
54.0,54.0,0.0,0.0,7.0,5.0,0.18768,65.0,0.05000000000000001,2.1275276207,2.42842
40.0,30.0,30.0,690.0,6.0,0.0,0.0927715,64.54545455,7.692307692,2.34,25.22
40.0,30.0,30.0,690.0,6.0,6.0,0.09599999999999999,63.55555556,7.317073171,2.31,8.083
40.0,30.0,30.0,690.0,6.0,1.460823373,0.09177149999999999,65.17412935,7.792207792,2.34,15.1096
24.000000000000004,24.0,0.0,0.0,24.0,2.560491,0.03,63.5,0.761035008,2.0669365882000004,8.894117647
24.000000000000004,24.0,0.0,0.0,24.0,0.0,0.03,63.5,0.768147484,2.1810035882000003,7.082352941
55.99999999999999,56.0,0.0,0.0,11.0,0.0,0.13,55.0,1.111111111,1.80435,0.28
55.99999999999999,56.0,0.0,0.0,11.0,2.0,0.13,55.0,1.111111111,1.8423899999999998,2.07
55.99999999999999,56.0,0.0,0.0,11.0,4.0,0.13,55.0,1.111111111,1.8587,1.16
55.99999999999999,56.0,0.0,0.0,11.0,6.0,0.13,55.0,1.111111111,1.9510899999999998,1.1
55.99999999999999,56.0,0.0,0.0,11.0,8.0,0.13,55.0,1.111111111,2.11957,0.67
55.99999999999999,56.0,0.0,0.0,11.0,12.0,0.13,55.0,1.111111111,2.27717,0.43
