Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),TC loss (%)
26.0,26.0,0.0,0.0,2.0,0.0,0.049999999999999996,65.0,0.57,2.66,50.0
26.0,26.0,0.0,0.0,2.0,3.8,0.049999999999999996,65.0,0.57,2.66,53.0
26.0,26.0,0.0,0.0,2.0,7.3,0.049999999999999996,65.0,0.57,2.66,55.0
26.0,26.0,0.0,0.0,2.0,8.9,0.049999999999999996,65.0,0.57,2.66,43.0
41.99999999999999,42.0,0.5,20.0,6.0,0.0,0.06,59.99999999999999,0.0275,3.56,43.6
41.99999999999999,42.0,0.5,20.0,6.0,5.0,0.06,59.99999999999999,0.0275,3.49,36.4
41.99999999999999,42.0,0.5,20.0,6.0,25.0,0.06,59.99999999999999,0.0275,2.96,39.7
150.0,0.0,0.0,0.0,21.0,0.0,0.12,65.0,0.0,2.0650000000000004,59.78
150.0,0.0,0.0,0.0,21.0,4.0,0.12,65.0,0.0,2.065,59.44
150.0,0.0,0.0,0.0,21.0,8.0,0.12,65.0,0.0,2.0650000000000004,56.55
150.0,0.0,0.0,0.0,21.0,12.0,0.12,65.0,0.0,2.0650000000000004,58.57
35.0,35.0,0.0,0.0,5.0,0.0,0.06,59.99999999999999,0.20000000000000004,1.79,54.1
35.0,35.0,0.0,0.0,5.0,10.0,0.06,59.99999999999999,0.20000000000000004,1.9800000000000002,63.9
35.0,35.0,0.0,0.0,5.0,10.0,0.06,59.99999999999999,0.20000000000000004,1.89,64.2
58.4,7.199999999999999,5.099999999999999,40.00000000000001,15.8,0.0,2.4490000000000003,68.1481,0.1266666667,2.4431160000000003,33.7114
43.79999999999999,34.199999999999996,0.9999999999999999,24.000000000000004,9.299999999999999,25.0,2.3429249999999997,56.0494,1.089946195,1.86702198,56.2698
61.6,22.0,1.075,27.000000000000004,7.500000000000001,25.0,2.52018,61.2346,0.75705,1.7578698246,52.993
53.699999999999996,44.1,0.0,0.0,9.1,25.0,2.35165,55.0617,0.6043985949,1.7427819800000002,45.3554
52.00000000000001,22.2,0.0,0.0,6.7,10.0,0.4504092057,65.679,0.3849115266,1.7424338182,32.0312
47.4,36.9,0.2,2.5,7.099999999999998,40.0,2.3953649999999995,46.9136,14.866361519000002,1.4062999999999999,47.5733
70.0,0.0,0.0,0.0,10.0,0.0,1.2,67.20881,0.0,2.2077511124,68.4
70.0,0.0,0.0,0.0,10.0,3.3,1.2,67.821405248,0.0,2.2077511124,64.1
70.0,0.0,0.0,0.0,10.0,6.6,1.2,60.43622,0.0,2.0854308085,66.5
70.0,0.0,0.0,0.0,10.0,9.9,1.2,61.46961,0.0,2.1883306138,60.6
70.0,0.0,0.0,0.0,10.0,13.2,1.2,61.53171,0.0,2.2518370941,55.1
70.0,0.0,0.0,0.0,10.0,16.5,1.2,63.38171,0.0,2.3237400941,42.2
35.0,35.0,0.0,0.0,4.0,0.0,0.06,69.2,0.3,2.04,64.9
35.0,35.0,0.0,0.0,4.0,1.9001599999999998,0.06,69.2,0.3,2.04,63.1
35.0,35.0,0.0,0.0,4.0,1.9001599999999998,0.06,69.2,0.3,2.04,60.6
35.0,35.0,0.0,0.0,4.0,1.9001599999999998,0.06,69.2,0.3,2.04,58.5
35.0,35.0,0.0,0.0,4.0,1.9001599999999998,0.06,69.2,0.3,2.04,42.9
28.0,28.0,0.0,0.0,4.0,0.0,0.06,62.06,0.36,1.95,35.76
28.0,28.0,0.0,0.0,4.0,10.0,0.06,58.69,0.36,1.9599999999999997,31.91
34.0,34.0,0.0,0.0,6.0,0.0,0.06,65.0,0.272108844,2.033962,55.95
34.0,34.0,0.0,0.0,6.0,10.0,0.06,65.0,0.262907095,1.7593350000000003,50.26
34.0,34.0,0.0,0.0,6.0,10.28571429,0.06,65.0,0.262653324,1.7593350000000003,49.66
34.0,34.0,0.0,0.0,6.0,14.57142857,0.06,65.0,0.258904704,1.8860877143,49.64
35.0,0.0,0.0,0.0,6.0,0.0,0.06,69.2,0.25,2.03653,64.9
35.0,0.0,0.0,0.0,6.0,2.884144275,0.06,65.274,0.25,2.03653,63.1
35.0,0.0,0.0,0.0,6.0,4.0,0.06,66.66086,0.25,2.03653,54.0
35.0,0.0,0.0,0.0,6.0,2.884144275,0.06,65.274,0.25,2.03653,42.2
50.0,40.6,5.0,120.00000000000001,9.0,0.0,0.09999999999999999,59.99999999999999,3.2597500000000004,2.1519154663999998,54.2
50.0,45.6,5.999999999999999,144.0,9.0,2.0,0.09999999999999999,59.99999999999999,3.882,2.1230154664,52.1
50.0,44.800000000000004,7.0,168.00000000000003,9.0,4.0,0.09999999999999999,59.99999999999999,4.506999999999999,1.9973411569,48.8
50.0,43.400000000000006,7.05,170.00000000000003,9.0,6.0,0.09999999999999999,59.99999999999999,5.00275,1.9150308182,42.3
50.0,38.400000000000006,3.0,72.0,9.0,8.0,0.09999999999999999,59.99999999999999,2.5327499999999996,1.9797091611,39.5
50.0,36.3,3.0,72.0,9.0,10.0,0.09999999999999999,59.99999999999999,2.037,2.1711501611000004,38.7
50.0,50.0,0.0,0.0,9.0,0.0,0.09999999999999999,55.0,0.3,2.084,19.4242
90.99999999999999,27.599999999999998,0.0,0.0,13.0,0.0,0.25,59.99999999999999,0.21514999999999998,1.99,63.5179
90.99999999999999,49.99999999999999,0.0,0.0,13.0,12.5,0.25,59.99999999999999,0.41755,2.02,57.0893
90.99999999999999,49.99999999999999,0.0,0.0,13.0,12.5,0.25,59.99999999999999,0.41755,1.93,59.3214
90.99999999999999,71.4,0.0,0.0,13.0,25.0,0.25,59.99999999999999,0.7261036723000001,1.9599999999999997,46.2857
90.99999999999999,7.6,0.0,0.0,13.0,0.0,0.25,59.99999999999999,0.012750000000000001,7.869999999999999,63.4286
90.99999999999999,49.99999999999999,0.0,0.0,13.0,12.5,0.25,59.99999999999999,0.41755,1.78,54.8571
90.99999999999999,49.99999999999999,0.0,0.0,13.0,12.5,0.25,59.99999999999999,0.41755,1.8199999999999998,57.9821
90.99999999999999,71.4,0.0,0.0,13.0,25.0,0.25,59.99999999999999,0.7261036723,1.7599999999999998,46.8214
90.99999999999999,25.200000000000003,0.0,0.0,13.0,0.0,0.25,59.99999999999999,0.025500000000000002,1.67,65.3036
90.99999999999999,49.99999999999999,0.0,0.0,13.0,12.5,0.25,59.99999999999999,0.41755,1.63,58.9643
90.99999999999999,49.99999999999999,0.0,0.0,13.0,12.5,0.25,59.99999999999999,0.41755,1.6999999999999997,57.625
90.99999999999999,56.5,0.0,0.0,13.0,25.0,0.25,59.99999999999999,0.5608500000000001,1.52,51.1071
32.0,32.0,0.0,0.0,0.0,0.0,0.09999999999999999,75.32,0.4907498624,2.136198,22.82
32.0,32.0,0.0,0.0,0.0,0.0,0.09999999999999999,69.37,0.2053427139,2.9844,43.09
32.0,32.0,0.0,0.0,0.0,0.0,0.09999999999999999,66.06,0.7052416342,2.6471592757,49.76
32.0,32.0,0.0,0.0,0.0,0.0,0.09999999999999999,76.28,0.5226208170999999,2.1179650000000003,23.45
32.0,32.0,0.0,0.0,0.0,0.0,0.09999999999999999,72.85,0.4867498624,2.164965,37.55
32.0,32.0,0.0,0.0,0.0,0.0,0.09999999999999999,63.45,0.43644821739999995,3.1860620430999997,57.58
32.0,32.0,0.0,0.0,0.0,0.0,0.09999999999999999,67.86,0.419963531,3.0525432326,32.63
32.0,32.0,0.0,0.0,0.0,0.0,0.09999999999999999,76.28,0.5226208170999999,2.1179650000000003,36.19
70.0,0.0,0.0,0.0,6.0,0.0,22.5,68.02881,0.0,2.0610999999999997,34.44421478
70.0,0.0,0.0,0.0,6.0,0.6,22.5,67.18880999999999,0.0,2.0610999999999997,28.30697011
70.0,0.0,0.0,0.0,6.0,1.0,22.5,67.18881,0.0,2.0610999999999997,29.9724457
70.0,0.0,0.0,0.0,6.0,1.7,22.5,67.15881,0.0,2.0610999999999997,30.68182588
55.99999999999999,0.0,0.0,0.0,8.0,0.0,22.5,65.77881000000001,0.0,1.8308810000000002,46.88991339
55.99999999999999,0.0,0.0,0.0,8.0,4.0,22.5,64.96799999999999,0.0,1.8308809999999998,34.85462355
55.99999999999999,0.0,0.0,0.0,8.0,7.3,22.5,64.9119,0.0,1.8308809999999998,33.33327171
55.99999999999999,0.0,0.0,0.0,8.0,13.5,22.5,63.07961,0.0,2.3122867691000004,23.79162677
55.99999999999999,0.0,0.0,0.0,8.0,38.0,22.5,61.20136,0.0,1.6299078245999998,21.21206281
28.0,28.0,0.0,0.0,0.0,0.0,0.09999999999999999,58.4,0.5133244024,2.097044,36.77
28.0,28.0,0.0,0.0,0.0,0.0,0.09999999999999999,56.2,0.5430196652,1.8747,45.06
28.0,28.0,0.0,0.0,0.0,0.0,0.09999999999999999,58.800000000000004,0.5133244024,2.097044,43.65
28.0,28.0,0.0,0.0,0.0,0.0,0.09999999999999999,60.9,0.4120498515,2.071635,50.1
28.0,28.0,0.0,0.0,0.0,0.0,0.09999999999999999,61.900000000000006,0.4157751182,3.019228,53.43
28.0,28.0,0.0,0.0,0.0,0.0,0.09999999999999999,61.900000000000006,0.4157751182,3.019228,56.34
28.0,28.0,0.0,0.0,0.0,0.0,0.09999999999999999,64.5,0.3061143879,2.8120590431,54.84
28.0,28.0,0.0,0.0,0.0,0.0,0.09999999999999999,65.3,0.3337608839000001,2.7629892757000003,56.57
100.0,100.0,0.0,0.0,1.0,0.0,0.00025,50.0,17.85714286,1.52,67.8621
100.0,100.0,0.0,0.0,1.0,50.0,0.00025,50.0,11.9047619,1.04,68.5241
100.0,100.0,0.0,0.0,1.0,50.0,0.00025,50.0,11.9047619,1.02,65.7655
100.0,100.0,0.0,0.0,1.0,50.0,0.00025,50.0,11.9047619,1.03,68.0828
100.0,100.0,0.0,0.0,1.0,0.0,0.00025,50.0,8.928571429,1.0,64.5517
100.0,100.0,0.0,0.0,1.0,25.0,0.00025,50.0,7.142857143,0.82,59.3655
100.0,100.0,0.0,0.0,1.0,25.0,0.00025,50.0,7.142857143,0.8,55.7241
100.0,100.0,0.0,0.0,1.0,25.0,0.00025,50.0,7.142857143,0.81,59.3655
