material_0,initial TN(%),initial TC(%),initial moisture content(%),initial CN(%),initial pH,material_1,Excipients_1,Additive Species,N2O-N loss  (%)
3,2.65926,40.0,65.0,15.041778539894558,7.46561,6,33,4,1.4000000000000001
3,2.86,37.3,62.5,13.041958041958042,7.34,6,33,3,0.4
3,2.6100000000000003,37.8,60.5,14.482758620689655,7.6,6,33,3,0.5
1,1.79,39.6,60.0,22.1,5.01,10,3,4,1.97
1,1.98,36.0,60.0,18.2,4.43,10,3,3,2.06
1,1.89,36.0,60.0,19.1,4.28,10,3,3,2.16
3,2.23,41.3,52.2,24.8,8.56364,8,35,4,1.5
3,2.23,41.3,52.2,24.8,8.08636,8,35,1,1.4000000000000001
3,2.11165,42.8665,70.39999999999999,20.30000236781664,7.25,8,3,4,0.73
3,-1.0,-1.0,-1.0,-1.0,7.82843,8,3,1,1.4500000000000002
3,-1.0,-1.0,-1.0,-1.0,7.86275,8,3,1,1.29
3,2.34,-1.0,64.60000000000001,-1.0,7.4,8,20,4,9.3
3,-1.0,-1.0,-1.0,-1.0,-1.0,8,20,0,3.0
3,2.2340999999999998,-1.0,62.0,29.3,7.84615,8,20,4,11.219999999999999
3,2.44843,-1.0,60.0,-1.0,7.94846,8,20,3,8.92
3,2.50053,-1.0,60.0,-1.0,7.51769,8,20,3,0.64
3,1.4000000000000001,25.06,63.0,17.9,8.3,0,35,4,0.0861428571428571
3,1.3299999999999998,23.674,65.4,17.8,7.6,0,35,3,0.202071428571429
3,1.32,24.947999999999997,64.60000000000001,18.9,7.6,0,35,3,0.153571428571429
3,1.29,23.865,65.4,18.5,7.4,0,35,3,0.22107142857142897
3,1.29,25.929000000000002,64.0,20.1,8.4,0,35,3,0.056071428571428605
3,1.1199999999999999,19.152,61.0,17.1,8.6,0,35,3,0.148785714285714
3,1.23,23.247,63.7,18.9,8.7,0,35,3,0.104714285714286
3,2.1,38.934000000000005,-1.0,18.54,-1.0,8,35,4,1.0
3,-1.0,-1.0,-1.0,-1.0,-1.0,8,35,3,0.8999999999999999
3,-1.0,-1.0,-1.0,-1.0,-1.0,8,35,3,0.8
3,-1.0,-1.0,-1.0,-1.0,-1.0,8,35,3,0.8
3,-1.0,-1.0,-1.0,-1.0,-1.0,8,35,3,0.8999999999999999
3,-1.0,-1.0,-1.0,-1.0,-1.0,8,35,3,1.2
4,2.53,31.843,68.45,12.586166007905138,7.85,10,35,4,0.228125
4,2.511,33.567,66.71000000000001,13.367980884109917,7.89,10,35,3,0.24110671936758893
4,2.522,35.865,67.58,14.220856463124505,8.1,10,35,3,0.21505376344086022
4,2.506,37.124,65.41,14.814046288906626,8.17,10,35,3,0.17049960348929422
3,1.5699999999999998,43.02,60.0,27.4,-1.0,0,35,4,0.084
3,-1.0,43.0,-1.0,-1.0,-1.0,0,35,3,0.1
3,-1.0,43.0,-1.0,-1.0,-1.0,0,35,3,0.067
3,1.0774193548387097,33.4,55.00000000000001,31.0,7.7,6,35,4,8.6
3,1.1206896551724137,32.5,55.00000000000001,29.0,7.7,6,35,3,3.1
3,-1.0,-1.0,61.9,-1.0,-1.0,6,20,4,8.85
3,-1.0,-1.0,-1.0,-1.0,-1.0,6,20,0,1.7500000000000002
3,-1.0,-1.0,-1.0,-1.0,-1.0,6,20,0,2.02
3,1.4000000000000001,-1.0,65.4,-1.0,7.1,8,20,4,2.2800000000000002
3,-1.0,-1.0,-1.0,-1.0,-1.0,8,20,0,2.02
3,3.4000000000000004,-1.0,64.9,-1.0,6.9,8,20,4,4.07
3,-1.0,-1.0,-1.0,-1.0,-1.0,8,20,0,6.04
4,2.32,45.81,55.00000000000001,25.0,7.4,10,35,4,2.5
4,-1.0,-1.0,-1.0,-1.0,7.8,10,35,3,1.7999999999999998
4,-1.0,-1.0,-1.0,-1.0,7.8,10,35,3,0.5700000000000001
4,-1.0,-1.0,-1.0,-1.0,8.0,10,35,3,0.41000000000000003
4,-1.0,-1.0,-1.0,-1.0,8.0,10,35,3,0.09
4,-1.0,-1.0,-1.0,-1.0,8.1,10,35,3,0.02
4,-1.0,-1.0,-1.0,-1.0,8.2,10,35,3,0.05
5,0.8200000000000001,-1.0,80.7,-1.0,-1.0,10,35,4,12.650632911392401
5,0.8999999999999999,-1.0,-1.0,-1.0,-1.0,10,35,3,9.10344827586207
5,0.95,-1.0,-1.0,-1.0,-1.0,10,35,1,7.41426229508196
5,0.83,-1.0,-1.0,-1.0,-1.0,10,35,2,10.1722
3,2.04,37.48,69.2,18.4,-1.0,8,4,4,1.5
