material_0,initial TN(%),initial TC(%),initial moisture content(%),initial CN(%),initial pH,material_1,Excipients_1,Additive Species,NH3-N loss  (%)
3,2.6599999999999997,39.900000000000006,65.0,15.000000000000002,7.60664,9,4,4,28.000000000000004
3,2.6599999999999997,39.900000000000006,65.0,15.000000000000002,7.41084,9,4,1,9.0
3,2.6599999999999997,39.900000000000006,65.0,15.000000000000002,6.61538,9,4,1,4.0
3,2.6599999999999997,39.900000000000006,65.0,15.000000000000002,6.40734,9,4,1,0.5
3,1.31,47.160000000000004,-1.0,36.0,7.52,0,25,4,7.26
3,1.14,-1.0,-1.0,-1.0,7.58,0,25,3,3.59
5,2.85,-1.0,-1.0,-1.0,7.7,11,25,4,15.53
5,1.85,35.15,-1.0,19.0,7.4,11,25,3,13.53
3,0.984,50.6,61.7,51.5,7.87,0,25,4,6.79
3,1.12,49.9,61.4,44.6,7.94,0,25,3,2.95
3,0.985,44.9,59.3,45.6,7.96,0,25,3,3.01
3,0.905,37.1,56.9,41.0,7.83,0,25,3,2.71
3,2.46,32.5,65.0,13.211382113821138,6.49842,9,43,4,3.0
3,2.75,30.130000000000003,65.0,10.956363636363637,7.2,9,43,3,4.6
3,3.1300000000000003,34.910000000000004,65.0,11.15335463258786,6.1,9,43,3,2.1
3,3.05,30.0,65.0,9.836065573770492,6.2,9,43,3,0.3
3,2.46,31.883321999999996,65.0,12.9607,6.27,9,43,4,10.7
3,2.97,34.832457,65.0,11.7281,7.12,9,43,0,22.7
3,2.52,35.401716,65.0,14.0483,7.43,9,43,0,14.5
3,2.79,33.530499,65.0,12.0181,6.98,9,43,0,16.1
3,2.73,34.293987,65.0,12.5619,6.92,9,43,0,16.4
3,2.98667,37.7698,60.0,12.646124278879153,7.29412,7,53,4,5.6000000000000005
3,2.9000000000000004,39.300000000000004,58.3,13.551724137931034,7.3,7,53,3,2.3
3,3.2,38.2,59.0,11.9375,7.36,7,53,3,2.3
1,1.390625,44.5,55.00000000000001,32.0,6.37,11,25,4,23.3852839506173
1,1.390625,44.5,55.00000000000001,32.0,6.3,11,25,3,23.9757037037037
1,1.390625,44.5,55.00000000000001,32.0,6.2,11,25,3,17.766893827160498
1,1.79,39.6,60.0,22.1,5.01,11,4,4,13.3
1,1.98,36.0,60.0,18.2,4.43,11,4,3,8.4
1,1.89,36.0,60.0,19.1,4.28,11,4,3,10.5
1,-1.0,-1.0,-1.0,18.5,-1.0,11,53,4,22.0
1,-1.0,-1.0,-1.0,-1.0,-1.0,11,53,1,4.8
3,2.23,41.3,52.2,24.8,8.56364,9,53,4,38.7
3,2.23,41.3,52.2,24.8,8.08636,9,53,1,17.9
5,-1.0,-1.0,68.0,-1.0,-1.0,11,53,4,21.16
5,-1.0,-1.0,69.0,-1.0,-1.0,11,53,3,14.44
5,-1.0,-1.0,57.99999999999999,-1.0,-1.0,11,53,3,10.24
5,-1.0,-1.0,60.5,-1.0,-1.0,11,53,3,37.21
5,-1.0,-1.0,60.0,-1.0,-1.0,11,53,3,16.81
5,-1.0,-1.0,49.0,-1.0,-1.0,11,53,3,11.559999999999999
3,-1.0,-1.0,-1.0,20.8,8.22764,9,53,4,23.200000000000003
3,-1.0,-1.0,-1.0,-1.0,8.11382,9,53,1,9.6
3,-1.0,-1.0,-1.0,-1.0,6.7,9,53,1,7.1
3,-1.0,-1.0,-1.0,-1.0,7.73984,9,53,1,8.459999999999999
3,-1.0,-1.0,-1.0,-1.0,6.82927,9,53,1,5.45
3,2.88,47.52,61.8,16.5,6.33716,9,53,4,34.9
3,-1.0,-1.0,-1.0,-1.0,6.18213,9,53,1,15.0
3,2.11165,42.8665,70.39999999999999,20.30000236781664,7.25,9,4,4,31.319999999999997
3,-1.0,-1.0,-1.0,-1.0,7.82843,9,4,1,21.790000000000003
3,-1.0,-1.0,-1.0,-1.0,7.86275,9,4,1,14.21
3,2.34,-1.0,64.60000000000001,-1.0,7.4,9,25,4,9.700000000000001
3,-1.0,-1.0,-1.0,-1.0,-1.0,9,25,0,9.8
3,2.2340999999999998,-1.0,62.0,29.3,7.84615,9,25,4,3.462
3,2.44843,-1.0,60.0,-1.0,7.94846,9,25,3,2.13
3,2.50053,-1.0,60.0,-1.0,7.51769,9,25,3,5.74
5,2.8000000000000003,46.6,61.7,16.642857142857142,5.7,11,53,4,19.6
5,-1.0,-1.0,-1.0,-1.0,4.8,11,53,1,7.000000000000001
3,1.59,41.34,70.0,26.0,8.8,0,53,4,19.0158
3,1.44,-1.0,-1.0,-1.0,8.8,0,53,3,10.660599999999999
3,1.55,-1.0,-1.0,-1.0,8.6,0,53,3,10.943
3,1.3599999999999999,40.8,-1.0,30.0,8.7,0,53,3,8.542599999999998
3,1.59,39.75000000000001,-1.0,25.000000000000004,8.6,0,53,4,16.6
