Title,Author,Location,Journal,Material_0,Material_Main,Material_2,Material_3,Additive Species,Additive_1,Additive_2,Additive_3,Additive_4,Application Rate (%DW),Initial Moisture Content (%),Initial pH,Initial TN (%),Initial TC (%),Initial C/N (%),Initial EC (ms/cm),Initial GI (%),Initial FW (kg),Initial DW (kg),Initial NH3-N (g/kg),Initial NO2-N (g/kg),Final Moisture Content (%),Final pH,Final TN (%),Final TC (%),Final C/N (%),Final EC (ms/cm),Final GI (%),Final FW (kg),Final DW (kg),Final NH3-N (g/kg),Final NO2-N (g/kg),TN loss (%),NH3-N (g),N2O-N (g),NH3-N loss (%),N2O-N loss (%),TC loss (%),CH4-C (g),CO2-C (g),CH4-C loss (%),CO2-C loss (%),Method,M1_isEnclosed,M2_isTurning,M3_isForce aeration,M4_isVessel,M5_isReactor,Period (d),Compost volume (m3),Initial density (kg/L),V1_Ventilation Type,V2_Ventilation Interval (min),V3_Ventilation Duration (min),V4_Ventilation Day,V5_Ventilation rate (L/min/kg iniDW),V6_Extra,Turning times
Impact of struvite crystallization on nitrogen losses during composting of pig manure and cornstalk,"Limei Ren et al.,2010",China,Waste Management,Manure,Swine manure,Corn stalk,,None,,,,,0,65,7.60664,2.66,39.9,15,3.1131,38,21.42857143,7.5,6.77859,0.175751,,6.60914,2.65789,30.589,11.50875318,2.57738,82,,4.778226337,3.02126,0.444383,35,44.57970588,,28,,50,,,,,Reactor,1,1,1,1,1,26,0.05,0.532,Continuous,0,,26,0.57,,2
Impact of struvite crystallization on nitrogen losses during composting of pig manure and cornstalk,"Limei Ren et al.,2010",China,Waste Management,Manure,Swine manure,Corn stalk,,Chemical,Mg(OH)?,H?PO?,,,3.8,65,7.41084,2.66,39.9,15,2.84524,43,21.42857143,7.5,8.11588,0.0372636,,7.59391,3.57018,29.8493,8.36072691,2.39286,96,,4.817684262,10.7953,0.0901001,12,15.48317647,,9,,53,,,,,Reactor,1,1,1,1,1,26,0.05,0.532,Continuous,0,,26,0.57,,2
Impact of struvite crystallization on nitrogen losses during composting of pig manure and cornstalk,"Limei Ren et al.,2010",China,Waste Management,Manure,Swine manure,Corn stalk,,Chemical,Mg(OH)?,H?PO?,,,7.3,65,6.61538,2.66,39.9,15,2.2381,42,21.42857143,7.5,8.16937,0.0522803,,6.43655,4.02632,29.4795,7.321698226,1.6131,100,,4.594766437,11.9008,0.0317019,5,6.177804706,,4,,55,,,,,Reactor,1,1,1,1,1,26,0.05,0.532,Continuous,0,,26,0.57,,2
Impact of struvite crystallization on nitrogen losses during composting of pig manure and cornstalk,"Limei Ren et al.,2010",China,Waste Management,Manure,Swine manure,Corn stalk,,Chemical,Mg(OH)?,H?PO?,,,8.9,65,6.40734,2.66,39.9,15,2.45833,44,21.42857143,7.5,8.82914,0.025584,,6.30457,3.83333,32.0274,8.354981178,2.07143,76,,5.034786987,13.2559,0.0556174,1,1.328377647,,0.5,,43,,,,,Reactor,1,1,1,1,1,26,0.05,0.532,Continuous,0,,26,0.57,,2
Gypsum Additions Reduce Ammonia Nitrogen Losses During Composting of Dairy Manure and Biosolids,"Khalil Tubail et al.,2008",US,Compost Science & Utilization,Manure,Cow manure,Sawdust,,None,,,,,0,61.7,7.87,0.984,50.6,51.42276423,6,,1.1,0.4213,1.07,0.0312,72.6,7.76,1.63,45.3,27.79141104,4.77,,0.937930657,0.256993,0.0691,0.0224,0,0.281485697,,6.79,,,,,,,Reactor,1,1,1,1,1,14,0.004,0.275,Continuous,0,,14,0.1,,2
Gypsum Additions Reduce Ammonia Nitrogen Losses During Composting of Dairy Manure and Biosolids,"Khalil Tubail et al.,2008",US,Compost Science & Utilization,Manure,Cow manure,Sawdust,,Chemical,Gypsum,,,,6,61.4,7.94,1.12,49.9,44.55357143,7.2,,1.1,0.4246,1.22,,67.2,7.31,1.48,44.1,29.7972973,7,,0.93204878,0.305712,0.0179,0.00516,4.5,0.14028784,,2.95,,,,,,,Reactor,1,1,1,1,1,14,0.004,0.275,Continuous,0,,14,0.1,,2
Gypsum Additions Reduce Ammonia Nitrogen Losses During Composting of Dairy Manure and Biosolids,"Khalil Tubail et al.,2008",US,Compost Science & Utilization,Manure,Cow manure,Sawdust,,Chemical,Gypsum,,,,13,59.3,7.96,0.985,44.9,45.58375635,8.1,,1.1,0.4477,1.19,,63.9,7.24,1.29,40,31.00775194,9.04,,0.843313019,0.304436,0.04,0.0161,12.3,0.132736335,,3.01,,,,,,,Reactor,1,1,1,1,1,14,0.004,0.275,Continuous,0,,14,0.1,,2
Gypsum Additions Reduce Ammonia Nitrogen Losses During Composting of Dairy Manure and Biosolids,"Khalil Tubail et al.,2008",US,Compost Science & Utilization,Manure,Cow manure,Sawdust,,Chemical,Gypsum,,,,23,56.9,7.83,0.905,37.1,40.99447514,8.85,,1.1,0.4741,1.15,,59.2,7.3,1.09,34.2,31.37614679,10.3,,0.894747549,0.365057,0.0259,0.0104,7.3,0.116275396,,2.71,,,,,,,Reactor,1,1,1,1,1,14,0.004,0.275,Continuous,0,,14,0.1,,2
"The effects of apple pomace, bentonite and calcium superphosphate on swine manure aerobic composting","Jishao Jiang et al.,2014",China,Waste Management,Manure,Swine manure,Wheat straw,,None,,,,,0,65,6.5,2.46,31.83,12.93902439,3.5,14.6939,22.66810845,7.933837959,1.13736,0.0304455,,8.94523,2.74342,25.91154703,9.44498,2.18654,82.6531,,2.987964431,0.153478,0.0457921,58,5.9,,3,,,,,,,Reactor,1,1,1,1,1,45,0.09,0.255555556,Intermittent ,720,30,45,7.56254417,,7
"The effects of apple pomace, bentonite and calcium superphosphate on swine manure aerobic composting","Jishao Jiang et al.,2014",China,Waste Management,Manure,Swine manure,Wheat straw,,Biological,Apple pomace,,,,16.87763713,65,6.1,3.13,34.91,11.15335463,4.1,3.67347,24.27990822,8.497967877,1.28735,0.0695545,,9.15074,3.54747,26.4617494,7.45933,3.08482,79.5918,,4.191336207,0.589527,0.0764851,44.1,5.7,,2.1,,,,,,,Reactor,1,1,1,1,1,45,0.09,0.270222222,Intermittent ,720,30,45,7.060511509,,7
"The effects of apple pomace, bentonite and calcium superphosphate on swine manure aerobic composting","Jishao Jiang et al.,2014",China,Waste Management,Manure,Swine manure,Wheat straw,,Physical,Bentonite,,,,15.47116737,65,7.2,2.75,30.13,10.95636364,3.5,22.9592,25.75714544,9.015000904,1.26293,0.019802,,9.54806,2.66233,18.71274549,7.02871,2.42385,81.7347,,4.62799596,0.460451,0.029703,50.3,11.4,,4.6,,,,,,,Reactor,1,1,1,1,1,45,0.09,0.269,Intermittent ,720,30,45,6.655573376,,7
