Aeration method,Material_2,M1_is Enclosed, Composting Method,Additive Species,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final NH3-N (g_kg)
1,1,1.0,0,3,7,26.0,26.0,0,0.0,0.0,2.0,0.0,0.05,65.0,34,0.57,11,15.0,3.02
1,1,1.0,0,1,7,26.0,26.0,0,0.0,0.0,2.0,3.8,0.05,65.0,24,0.57,2,15.0,10.8
1,1,1.0,0,1,7,26.0,26.0,0,0.0,0.0,2.0,7.3,0.05,65.0,24,0.57,2,15.0,11.9
1,1,1.0,0,1,7,26.0,26.0,0,0.0,0.0,2.0,8.9,0.05,65.0,24,0.57,2,15.0,13.26
1,13,0.75,0,3,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,34,0.44,11,20.54,0.07
1,13,1.0,0,1,0,14.0,14.0,0,0.0,0.0,2.0,6.0,0.0,61.4,14,0.1,11,44.55,0.02
1,13,1.0,0,1,0,14.0,14.0,0,0.0,0.0,2.0,13.0,0.0,59.3,14,0.1,11,45.58,0.04
1,13,1.0,0,1,0,14.0,14.0,0,0.0,0.0,2.0,23.0,0.0,56.9,14,0.1,11,40.99,0.03
1,22,0.75,0,3,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,34,0.44,11,20.54,0.15
1,22,0.75,0,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,2,0.44,11,20.54,0.59
1,22,0.75,0,4,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,4,0.44,11,20.54,0.46
1,22,0.75,0,1,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,44,0.44,11,20.54,2.61
1,22,0.75,0,3,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,34,0.44,11,20.54,0.14
1,22,0.75,0,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,20,0.44,11,20.54,0.7
1,22,0.75,0,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,30,0.44,11,20.54,0.32
1,22,0.75,0,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,30,0.44,11,20.54,0.27
1,22,0.75,0,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,30,0.44,11,20.54,0.4
3,18,0.0,1,3,4,60.0,0.0,2,0.0,0.0,5.0,0.0,0.22,64.99,34,0.0,11,15.04,0.0
3,18,0.0,1,4,4,60.0,0.0,2,0.0,0.0,5.0,10.0,0.22,62.76,5,0.0,11,13.04,0.0
3,18,0.0,1,4,4,60.0,0.0,2,0.0,0.0,5.0,10.0,0.22,60.65,5,0.0,11,14.48,0.0
3,18,0.0,1,3,4,60.0,0.0,2,0.0,0.0,7.0,0.0,0.17,60.0,34,0.0,11,12.36,0.5
3,18,0.0,1,4,4,60.0,0.0,2,0.0,0.0,7.0,10.0,0.17,59.0,5,0.0,11,13.3,0.55
3,18,0.0,1,4,4,60.0,0.0,2,0.0,0.0,7.0,10.0,0.17,58.0,5,0.0,11,11.44,0.45
0,13,1.0,0,3,2,56.0,0.0,1,0.0,0.0,0.0,0.0,0.02,55.0,34,0.35,11,32.02,1.28
0,13,1.0,0,1,2,56.0,0.0,1,0.0,0.0,0.0,1.94,0.02,55.0,26,0.35,5,30.4,0.62
0,13,1.0,0,2,2,56.0,0.0,1,0.0,0.0,0.0,6.94,0.02,55.0,26,0.35,5,34.04,0.17
0,13,1.0,0,2,2,56.0,0.0,1,0.0,0.0,0.0,16.94,0.02,55.0,26,0.0,5,29.04,0.11
1,1,1.0,0,3,2,35.0,35.0,0,0.0,0.0,5.0,0.0,0.06,60.0,34,0.2,11,22.1,0.12
1,1,1.0,0,1,2,35.0,35.0,0,0.0,0.0,5.0,10.0,0.06,60.0,36,0.2,11,18.2,0.37
1,1,1.0,0,1,2,35.0,35.0,0,0.0,0.0,5.0,10.0,0.06,60.0,44,0.2,11,19.1,0.25
1,1,1.0,0,3,7,28.0,28.0,0,0.0,0.0,3.0,0.0,0.06,52.2,34,0.25,11,24.8,0.54
