Aeration method,Material_2,M1_is Enclosed, Composting Method,Additive Species,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final TN (%)
1,1,1.0,0,3,7,26.0,26.0,0,0.0,0.0,2.0,0.0,0.05,65.0,30,0.57,12,15.0,2.66
1,1,1.0,0,1,7,26.0,26.0,0,0.0,0.0,2.0,3.8,0.05,65.0,21,0.57,4,15.0,3.57
1,14,0.75,0,3,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,30,0.44,12,20.54,1.63
1,14,1.0,0,1,0,14.0,14.0,0,0.0,0.0,2.0,6.0,0.0,61.4,14,0.1,12,44.55,1.48
1,14,1.0,0,1,0,14.0,14.0,0,0.0,0.0,2.0,13.0,0.0,59.3,14,0.1,12,45.58,1.29
1,14,1.0,0,1,0,14.0,14.0,0,0.0,0.0,2.0,23.0,0.0,56.9,14,0.1,12,40.99,1.09
1,22,0.75,0,3,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,30,0.44,12,20.54,2.74
1,22,0.75,0,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,0,0.44,12,20.54,3.55
1,22,0.75,0,4,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,2,0.44,12,20.54,2.66
1,22,0.75,0,1,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,38,0.44,12,20.54,3.48
1,22,0.75,0,3,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,30,0.44,12,20.54,2.95
1,22,0.75,0,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,19,0.44,12,20.54,3.56
1,22,0.75,0,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,28,0.44,12,20.54,3.43
1,22,0.75,0,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,28,0.44,12,20.54,3.2
1,22,0.75,0,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,28,0.44,12,20.54,3.3
1,7,0.75,0,3,5,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,30,0.44,12,20.54,3.04
1,7,0.75,0,4,5,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,3,0.44,12,20.54,2.99
1,7,1.0,0,4,5,42.0,42.0,1,0.5,20.0,6.0,25.0,0.06,60.0,3,0.03,12,15.5,2.75
3,20,0.0,1,3,5,60.0,0.0,2,0.0,0.0,5.0,0.0,0.22,64.99,30,0.0,12,15.04,2.94
3,20,0.0,1,4,5,60.0,0.0,2,0.0,0.0,5.0,10.0,0.22,62.76,3,0.0,12,13.04,2.75
3,20,0.0,1,4,5,60.0,0.0,2,0.0,0.0,5.0,10.0,0.22,60.65,3,0.0,12,14.48,2.98
3,20,0.0,1,3,5,60.0,0.0,2,0.0,0.0,7.0,0.0,0.17,60.0,30,0.0,12,12.36,3.32
3,20,0.0,1,4,5,60.0,0.0,2,0.0,0.0,7.0,10.0,0.17,59.0,3,0.0,12,13.3,3.36
0,14,1.0,0,3,3,56.0,0.0,1,0.0,0.0,0.0,0.0,0.02,55.0,30,0.35,12,32.02,1.67
0,14,1.0,0,1,3,56.0,0.0,1,0.0,0.0,0.0,1.94,0.02,55.0,23,0.35,6,30.4,2.08
0,14,1.0,0,2,3,56.0,0.0,1,0.0,0.0,0.0,6.94,0.02,55.0,23,0.35,6,34.04,2.0
0,14,1.0,0,2,3,56.0,0.0,1,0.0,0.0,0.0,16.94,0.02,55.0,23,0.0,6,29.04,2.15
