Aeration method,Material_2,M1_is Enclosed, Composting Method,Additive Species,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final pH
1,1,1.0,0,1,9,26.0,26.0,0,0.0,0.0,2.0,3.8,0.05,65.0,28,0.57,5,15.0,7.59
1,14,0.75,0,3,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,41,0.44,15,20.54,7.76
1,14,1.0,0,1,0,14.0,14.0,0,0.0,0.0,2.0,6.0,0.0,61.4,18,0.1,15,44.55,7.31
1,14,1.0,0,1,0,14.0,14.0,0,0.0,0.0,2.0,13.0,0.0,59.3,18,0.1,15,45.58,7.24
1,14,1.0,0,1,0,14.0,14.0,0,0.0,0.0,2.0,23.0,0.0,56.9,18,0.1,15,40.99,7.3
1,25,0.75,0,3,9,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,41,0.44,15,20.54,8.95
1,25,0.75,0,0,9,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,2,0.44,15,20.54,9.15
1,25,0.75,0,1,9,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,51,0.44,15,20.54,8.4
1,25,0.75,0,3,9,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,41,0.44,15,20.54,8.92
1,25,0.75,0,0,9,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,35,0.44,15,20.54,9.08
1,25,0.75,0,0,9,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,35,0.44,15,20.54,9.14
1,25,0.75,0,0,9,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,35,0.44,15,20.54,9.24
1,7,0.75,0,3,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,41,0.44,15,20.54,9.15
1,7,0.75,0,4,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,6,0.44,15,20.54,9.13
