Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final C_N (%)
1,1,1.0,0,10,26.0,26.0,0,0.0,0.0,2.0,0.0,0.05,65.0,24,0.57,11,15.0,11.51
1,1,1.0,0,10,26.0,26.0,0,0.0,0.0,2.0,3.8,0.05,65.0,20,0.57,5,15.0,8.36
1,1,1.0,0,10,26.0,26.0,0,0.0,0.0,2.0,7.3,0.05,65.0,20,0.57,5,15.0,7.32
1,1,1.0,0,10,26.0,26.0,0,0.0,0.0,2.0,8.9,0.05,65.0,20,0.57,5,15.0,8.35
1,15,0.75,0,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,11,20.54,27.79
1,26,0.75,0,10,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,11,20.54,9.44
1,26,0.75,0,10,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,1,0.44,11,20.54,7.46
1,26,0.75,0,10,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,3,0.44,11,20.54,7.03
1,26,0.75,0,10,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,29,0.44,11,20.54,6.98
1,26,0.75,0,10,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,11,20.54,8.79
1,26,0.75,0,10,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,16,0.44,11,20.54,6.77
1,26,0.75,0,10,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,23,0.44,11,20.54,7.12
1,26,0.75,0,10,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,23,0.44,11,20.54,8.13
1,26,0.75,0,10,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,23,0.44,11,20.54,7.55
1,8,0.75,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,11,20.54,9.75
1,8,0.75,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,4,0.44,11,20.54,11.7
1,8,1.0,0,7,42.0,42.0,1,0.5,20.0,6.0,25.0,0.06,60.0,4,0.03,11,15.5,15.51
3,22,0.0,1,7,60.0,0.0,2,0.0,0.0,5.0,0.0,0.22,64.99,24,0.0,11,15.04,11.28
3,22,0.0,1,7,60.0,0.0,2,0.0,0.0,5.0,10.0,0.22,62.76,4,0.0,11,13.04,13.72
3,22,0.0,1,7,60.0,0.0,2,0.0,0.0,5.0,10.0,0.22,60.65,4,0.0,11,14.48,11.59
3,22,0.0,1,7,60.0,0.0,2,0.0,0.0,7.0,0.0,0.17,60.0,24,0.0,11,12.36,10.48
3,22,0.0,1,7,60.0,0.0,2,0.0,0.0,7.0,10.0,0.17,59.0,4,0.0,11,13.3,11.39
3,22,0.0,1,7,60.0,0.0,2,0.0,0.0,7.0,10.0,0.17,58.0,4,0.0,11,11.44,10.08
3,24,0.75,1,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,11,20.54,12.96
3,24,0.75,1,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,5,0.44,11,20.54,13.74
3,24,0.75,1,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,5,0.44,11,20.54,14.04
3,24,0.75,1,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,5,0.44,11,20.54,13.67
0,15,1.0,0,3,56.0,0.0,1,0.0,0.0,0.0,0.0,0.02,55.0,24,0.35,11,32.02,26.81
0,15,1.0,0,3,56.0,0.0,1,0.0,0.0,0.0,1.94,0.02,55.0,21,0.35,6,30.4,17.32
0,15,1.0,0,3,56.0,0.0,1,0.0,0.0,0.0,6.94,0.02,55.0,21,0.35,6,34.04,19.24
0,15,1.0,0,3,56.0,0.0,1,0.0,0.0,0.0,16.94,0.02,55.0,21,0.0,6,29.04,17.93
1,1,1.0,0,3,35.0,35.0,0,0.0,0.0,5.0,0.0,0.06,60.0,24,0.2,11,22.1,12.9
1,1,1.0,0,3,35.0,35.0,0,0.0,0.0,5.0,10.0,0.06,60.0,25,0.2,11,18.2,13.1
1,1,1.0,0,3,35.0,35.0,0,0.0,0.0,5.0,10.0,0.06,60.0,29,0.2,11,19.1,11.9
1,8,0.75,0,5,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,15,0.44,11,20.54,6.06
0,15,1.0,0,10,60.0,0.0,0,0.0,0.0,5.7,0.0,0.1,58.0,24,0.0,11,33.0,17.29
0,15,1.0,0,10,60.0,0.0,0,0.0,0.0,5.7,2.5,0.1,58.0,19,0.0,11,34.36,17.17
0,15,1.0,0,10,60.0,0.0,0,0.0,0.0,5.7,5.0,0.1,58.0,19,0.0,11,34.71,17.46
0,15,1.0,0,10,60.0,0.0,0,0.0,0.0,5.7,7.5,0.1,58.0,19,0.0,11,33.91,17.0
0,15,1.0,0,10,60.0,0.0,0,0.0,0.0,5.3,10.0,0.1,58.0,19,0.0,11,35.05,17.74
1,1,1.0,0,10,39.0,39.0,0,0.0,0.0,5.0,0.0,0.06,68.22,24,0.42,11,20.75,12.18
1,1,1.0,0,10,39.0,39.0,0,0.0,0.0,5.0,12.5,0.06,62.99,20,0.41,5,20.75,8.43
1,1,1.0,0,10,39.0,39.0,0,0.0,0.0,5.0,12.5,0.06,62.99,14,0.41,11,20.75,11.4
1,1,1.0,0,10,39.0,39.0,0,0.0,0.0,5.0,12.5,0.06,62.99,15,0.41,8,20.75,9.21
1,1,1.0,0,10,39.0,39.0,0,0.0,0.0,5.0,12.5,0.06,62.99,6,0.41,8,20.75,9.65
0,26,1.0,1,7,36.0,36.0,0,0.0,0.0,0.0,5.15,0.08,60.0,11,0.28,11,14.17,6.38
0,26,1.0,1,7,36.0,36.0,0,0.0,0.0,0.0,9.49,0.07,60.0,11,0.74,11,14.17,7.87
0,26,1.0,1,7,36.0,36.0,0,0.0,0.0,0.0,12.1,0.08,60.0,11,0.98,11,14.17,6.38
0,26,1.0,1,7,36.0,36.0,0,0.0,0.0,0.0,17.63,0.07,60.0,11,0.72,11,14.17,6.42
0,26,1.0,1,7,36.0,36.0,0,0.0,0.0,0.0,5.2,0.09,60.0,29,0.52,11,14.17,6.26
