Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final EC (ms_cm)
1,1,1.0,0,8,26.0,26.0,0,0.0,0.0,2.0,0.0,0.05,65.0,24,0.57,12,15.0,2.58
1,1,1.0,0,8,26.0,26.0,0,0.0,0.0,2.0,3.8,0.05,65.0,19,0.57,5,15.0,2.39
1,1,1.0,0,8,26.0,26.0,0,0.0,0.0,2.0,7.3,0.05,65.0,19,0.57,5,15.0,1.61
1,1,1.0,0,8,26.0,26.0,0,0.0,0.0,2.0,8.9,0.05,65.0,19,0.57,5,15.0,2.07
1,11,0.75,0,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,12,20.54,4.77
1,21,0.75,0,8,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,12,20.54,2.19
1,21,0.75,0,8,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,1,0.44,12,20.54,3.08
1,21,0.75,0,8,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,3,0.44,12,20.54,2.42
1,21,0.75,0,8,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,12,20.54,2.17
1,21,0.75,0,8,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,16,0.44,12,20.54,3.58
1,21,0.75,0,8,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,23,0.44,12,20.54,2.48
1,21,0.75,0,8,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,23,0.44,12,20.54,3.77
1,21,0.75,0,8,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,23,0.44,12,20.54,3.44
3,19,0.75,1,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,12,20.54,0.95
3,19,0.75,1,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,6,0.44,12,20.54,1.03
3,19,0.75,1,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,6,0.44,12,20.54,1.11
3,19,0.75,1,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,6,0.44,12,20.54,1.21
0,11,1.0,0,3,56.0,0.0,1,0.0,0.0,0.0,0.0,0.02,55.0,24,0.35,12,32.02,3.65
0,11,1.0,0,3,56.0,0.0,1,0.0,0.0,0.0,6.94,0.02,55.0,20,0.35,8,34.04,3.24
0,11,1.0,0,3,56.0,0.0,1,0.0,0.0,0.0,16.94,0.02,55.0,20,0.0,8,29.04,2.84
1,1,1.0,0,3,35.0,35.0,0,0.0,0.0,5.0,0.0,0.06,60.0,24,0.2,12,22.1,1.76
1,1,1.0,0,3,35.0,35.0,0,0.0,0.0,5.0,10.0,0.06,60.0,25,0.2,12,18.2,2.09
1,1,1.0,0,3,35.0,35.0,0,0.0,0.0,5.0,10.0,0.06,60.0,31,0.2,12,19.1,2.4
0,11,1.0,0,8,60.0,0.0,0,0.0,0.0,5.7,0.0,0.1,58.0,24,0.0,12,33.0,1.8
0,11,1.0,0,8,60.0,0.0,0,0.0,0.0,5.7,2.5,0.1,58.0,18,0.0,12,34.36,1.84
0,11,1.0,0,8,60.0,0.0,0,0.0,0.0,5.7,5.0,0.1,58.0,18,0.0,12,34.71,2.0
0,11,1.0,0,8,60.0,0.0,0,0.0,0.0,5.7,7.5,0.1,58.0,18,0.0,12,33.91,2.07
0,11,1.0,0,8,60.0,0.0,0,0.0,0.0,5.3,10.0,0.1,58.0,18,0.0,12,35.05,2.34
3,1,0.0,2,5,46.0,0.0,2,0.0,0.0,2.0,0.0,1.0,60.0,24,0.0,12,12.0,4.99
3,1,0.0,2,5,46.0,0.0,2,0.0,0.0,2.0,25.0,1.0,60.0,33,0.0,12,24.86,4.08
3,11,1.0,0,8,18.0,18.0,0,0.0,0.0,0.0,2.44,0.01,60.0,0,0.16,13,15.96,3.63
3,11,1.0,0,8,18.0,18.0,0,0.0,0.0,0.0,2.44,0.01,60.0,0,0.16,13,15.96,3.94
3,11,1.0,0,8,18.0,18.0,0,0.0,0.0,0.0,2.44,0.01,60.0,0,0.16,13,15.96,3.29
1,11,1.0,0,8,51.0,51.0,1,0.25,10.0,1.0,15.85,0.03,60.63,27,0.41,12,29.6,1.2
