Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final GI (%)
1,1,1.0,0,6,26.0,26.0,0,0.0,0.0,2.0,0.0,0.05,65.0,22,0.57,11,15.0,82.0
1,1,1.0,0,6,26.0,26.0,0,0.0,0.0,2.0,3.8,0.05,65.0,17,0.57,4,15.0,96.0
1,1,1.0,0,6,26.0,26.0,0,0.0,0.0,2.0,7.3,0.05,65.0,17,0.57,4,15.0,100.0
1,1,1.0,0,6,26.0,26.0,0,0.0,0.0,2.0,8.9,0.05,65.0,17,0.57,4,15.0,76.0
1,11,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,22,0.44,11,20.54,82.65
1,11,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,0,0.44,11,20.54,79.59
1,11,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,2,0.44,11,20.54,81.73
1,11,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,27,0.44,11,20.54,84.8
1,11,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,22,0.44,11,20.54,84.37
1,11,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,13,0.44,11,20.54,82.11
1,11,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,21,0.44,11,20.54,85.72
1,11,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,21,0.44,11,20.54,63.16
1,11,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,21,0.44,11,20.54,60.91
0,7,1.0,0,3,56.0,0.0,1,0.0,0.0,0.0,1.94,0.02,55.0,18,0.35,6,30.4,85.6
0,7,1.0,0,3,56.0,0.0,1,0.0,0.0,0.0,6.94,0.02,55.0,18,0.35,6,34.04,119.5
0,7,1.0,0,3,56.0,0.0,1,0.0,0.0,0.0,16.94,0.02,55.0,18,0.0,6,29.04,136.4
1,1,1.0,0,3,35.0,35.0,0,0.0,0.0,5.0,0.0,0.06,60.0,22,0.2,11,22.1,122.9
1,1,1.0,0,3,35.0,35.0,0,0.0,0.0,5.0,10.0,0.06,60.0,23,0.2,11,18.2,103.3
1,1,1.0,0,3,35.0,35.0,0,0.0,0.0,5.0,10.0,0.06,60.0,27,0.2,11,19.1,94.5
1,1,1.0,0,6,28.0,28.0,0,0.0,0.0,3.0,0.0,0.06,52.2,22,0.25,11,24.8,116.83
1,1,1.0,0,6,28.0,28.0,0,0.0,0.0,3.0,3.73,0.06,52.2,17,0.25,4,24.8,106.77
1,1,1.0,0,6,28.0,28.0,0,0.0,0.0,3.0,3.78,0.06,52.2,17,0.25,4,24.8,108.16
0,7,1.0,0,6,60.0,0.0,0,0.0,0.0,5.7,0.0,0.1,58.0,22,0.0,11,33.0,74.92
0,7,1.0,0,6,60.0,0.0,0,0.0,0.0,5.7,2.5,0.1,58.0,16,0.0,11,34.36,75.69
0,7,1.0,0,6,60.0,0.0,0,0.0,0.0,5.7,5.0,0.1,58.0,16,0.0,11,34.71,84.77
0,7,1.0,0,6,60.0,0.0,0,0.0,0.0,5.7,7.5,0.1,58.0,16,0.0,11,33.91,82.54
0,7,1.0,0,6,60.0,0.0,0,0.0,0.0,5.3,10.0,0.1,58.0,16,0.0,11,35.05,84.23
1,1,1.0,0,6,39.0,39.0,0,0.0,0.0,5.0,0.0,0.06,68.22,22,0.42,11,20.75,89.82
1,1,1.0,0,6,39.0,39.0,0,0.0,0.0,5.0,12.5,0.06,62.99,17,0.41,4,20.75,99.54
1,1,1.0,0,6,39.0,39.0,0,0.0,0.0,5.0,12.5,0.06,62.99,11,0.41,11,20.75,69.87
1,1,1.0,0,6,39.0,39.0,0,0.0,0.0,5.0,12.5,0.06,62.99,12,0.41,8,20.75,118.24
1,1,1.0,0,6,39.0,39.0,0,0.0,0.0,5.0,12.5,0.06,62.99,5,0.41,8,20.75,107.42
1,1,1.0,0,6,35.0,35.0,0,0.0,0.0,4.0,0.0,0.06,70.4,22,0.38,11,20.3,116.28
1,1,1.0,0,6,35.0,35.0,0,0.0,0.0,4.0,4.56,0.06,66.0,17,0.38,4,20.36,108.46
1,1,1.0,0,6,35.0,35.0,0,0.0,0.0,4.0,6.48,0.06,65.69,17,0.38,12,21.43,124.91
3,0,0.75,2,4,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,22,0.44,11,20.54,53.5
3,0,0.75,2,4,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,4,0.44,11,20.54,52.91
3,10,1.0,0,5,56.0,0.0,2,0.0,0.0,6.8,0.0,0.13,65.16,22,0.0,11,29.9,56.41
3,10,1.0,0,5,56.0,0.0,2,0.0,0.0,6.8,2.0,0.13,62.13,2,0.0,11,29.83,63.78
3,10,1.0,0,5,56.0,0.0,2,0.0,0.0,6.0,4.0,0.13,60.48,2,0.0,11,28.77,74.46
3,10,1.0,0,5,56.0,0.0,2,0.0,0.0,5.5,6.0,0.13,60.98,2,0.0,11,28.99,85.47
3,10,1.0,0,5,56.0,0.0,2,0.0,0.0,6.4,10.0,0.13,61.75,2,0.0,11,27.55,93.15
1,5,0.75,0,4,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,22,0.44,11,20.54,98.92
1,5,0.75,0,4,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,1,0.44,11,20.54,120.63
1,5,0.75,0,4,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,11,20.54,114.16
1,1,1.0,0,3,30.0,30.0,0,0.0,0.0,4.0,0.0,0.06,60.6,22,0.2,11,20.0,93.06
1,1,1.0,0,3,30.0,30.0,0,0.0,0.0,4.0,2.14,0.06,52.89,17,0.2,4,17.3,100.3
1,1,1.0,0,3,30.0,30.0,0,0.0,0.0,4.0,3.2,0.06,54.68,27,0.2,11,19.82,106.06
1,1,1.0,0,3,30.0,30.0,0,0.0,0.0,4.0,2.22,0.06,52.89,9,0.2,11,17.3,90.99
1,1,1.0,0,3,30.0,30.0,0,0.0,0.0,4.0,2.54,0.06,52.74,3,0.2,11,19.82,80.35
1,7,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,22,0.44,11,20.54,75.77
1,7,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,29,0.44,11,20.54,84.54
1,7,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,27,0.44,11,20.54,77.85
1,7,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,17,0.44,4,20.54,94.46
1,7,1.0,1,6,56.0,28.0,0,0.0,0.0,8.0,0.0,0.4,65.0,22,0.0,11,26.68,70.46
1,7,1.0,1,6,56.0,28.0,0,0.0,0.0,8.0,8.48,0.4,65.0,4,0.0,11,25.77,83.68
1,7,1.0,1,6,56.0,28.0,0,0.0,0.0,8.0,16.95,0.4,65.0,4,0.0,11,24.28,130.88
1,7,1.0,1,6,56.0,28.0,0,0.0,0.0,8.0,25.43,0.4,65.0,4,0.0,11,24.07,136.58
1,7,1.0,1,6,56.0,28.0,0,0.0,0.0,8.0,9.04,0.4,65.0,4,0.0,0,24.57,88.47
1,7,1.0,1,6,56.0,28.0,0,0.0,0.0,8.0,10.17,0.4,65.0,4,0.0,0,24.57,98.5
1,7,1.0,0,3,35.0,35.0,0,0.0,0.0,9.0,2.25,0.02,64.71,14,0.5,11,29.01,115.9
1,7,1.0,0,3,35.0,35.0,0,0.0,0.0,9.0,3.32,0.02,60.53,14,0.5,8,26.95,109.7
1,7,1.0,0,3,35.0,35.0,0,0.0,0.0,9.0,4.07,0.02,65.74,14,0.5,8,29.05,125.1
1,11,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,22,0.44,11,20.54,94.39
1,11,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,27,0.44,11,20.54,84.2
1,11,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,26,0.44,11,20.54,102.03
1,11,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,28,0.44,11,20.54,94.1
1,11,1.0,0,5,56.0,56.0,1,0.0,0.0,11.0,0.0,0.13,55.0,22,1.11,11,25.02,56.41
1,11,1.0,0,5,56.0,56.0,1,0.0,0.0,11.0,2.0,0.13,55.0,4,1.11,11,25.09,65.5
1,11,1.0,0,5,56.0,56.0,1,0.0,0.0,11.0,4.0,0.13,55.0,4,1.11,11,25.0,72.85
1,11,1.0,0,5,56.0,56.0,1,0.0,0.0,11.0,6.0,0.13,55.0,4,1.11,11,23.99,81.34
1,11,1.0,0,5,56.0,56.0,1,0.0,0.0,11.0,8.0,0.13,55.0,4,1.11,11,22.32,87.63
1,11,1.0,0,5,56.0,56.0,1,0.0,0.0,11.0,12.0,0.13,55.0,4,1.11,11,21.14,98.63
1,11,1.0,0,5,56.0,56.0,1,0.0,0.0,11.0,18.0,0.13,55.0,4,1.11,11,20.4,125.3
1,1,1.0,0,6,35.0,35.0,0,0.0,0.0,4.0,0.0,0.06,69.2,22,0.3,11,18.4,103.46
1,1,1.0,0,6,35.0,35.0,0,0.0,0.0,4.0,1.68,0.06,69.2,11,0.3,7,18.4,108.12
1,1,1.0,0,6,35.0,35.0,0,0.0,0.0,4.0,1.68,0.06,69.2,12,0.3,9,18.4,93.04
1,1,1.0,0,6,35.0,35.0,0,0.0,0.0,4.0,1.68,0.06,69.2,5,0.3,9,18.4,100.42
1,1,1.0,0,6,35.0,35.0,0,0.0,0.0,4.0,1.68,0.06,69.2,11,0.3,9,18.4,72.98
1,5,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,20,0.44,11,20.54,69.2
1,5,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,20,0.44,11,20.54,46.8
