Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final Moisture Content (%)
1,14,0.75,0,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,14,0.44,3,20.54,72.6
1,14,1.0,0,0,14.0,14.0,0,0.0,0.0,2.0,6.0,0.0,61.4,6,0.1,3,44.55,67.2
1,14,1.0,0,0,14.0,14.0,0,0.0,0.0,2.0,13.0,0.0,59.3,6,0.1,3,45.58,63.9
1,14,1.0,0,0,14.0,14.0,0,0.0,0.0,2.0,23.0,0.0,56.9,6,0.1,3,40.99,59.2
1,8,0.75,0,5,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,14,0.44,3,20.54,62.03
1,8,0.75,0,5,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,1,0.44,3,20.54,61.18
1,8,1.0,0,5,42.0,42.0,1,0.5,20.0,6.0,25.0,0.06,60.0,1,0.03,3,15.5,58.02
3,21,0.0,1,5,60.0,0.0,2,0.0,0.0,5.0,0.0,0.22,64.99,14,0.0,3,15.04,40.41
3,21,0.0,1,5,60.0,0.0,2,0.0,0.0,5.0,10.0,0.22,62.76,1,0.0,3,13.04,40.65
3,21,0.0,1,5,60.0,0.0,2,0.0,0.0,5.0,10.0,0.22,60.65,1,0.0,3,14.48,38.53
3,21,0.0,1,5,60.0,0.0,2,0.0,0.0,7.0,0.0,0.17,60.0,14,0.0,3,12.36,42.58
3,21,0.0,1,5,60.0,0.0,2,0.0,0.0,7.0,10.0,0.17,59.0,1,0.0,3,13.3,41.84
3,21,0.0,1,5,60.0,0.0,2,0.0,0.0,7.0,10.0,0.17,58.0,1,0.0,3,11.44,39.03
1,0,0.75,0,7,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,14,0.44,3,20.54,66.17
1,0,1.0,0,7,51.0,44.0,0,8.0,4.0,6.4,25.0,0.05,56.05,22,1.15,3,22.47,35.06
1,0,1.0,0,7,51.0,44.0,0,8.0,4.0,6.4,25.0,0.05,61.23,22,1.18,3,20.64,33.83
1,0,1.0,0,7,51.0,44.0,0,8.0,4.0,6.4,25.0,0.05,55.06,22,0.81,3,19.17,37.78
1,0,1.0,0,7,52.2,29.8,0,4.1,4.0,5.2,10.0,0.06,65.68,22,0.81,3,18.51,55.56
1,0,0.75,0,7,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,22,0.44,3,20.54,50.12
1,14,0.0,1,8,56.0,21.0,0,0.0,0.0,5.0,0.0,0.4,66.4,14,0.33,3,21.6,43.5
1,14,0.0,1,8,56.0,21.0,0,0.0,0.0,5.0,8.53,0.4,64.9,1,0.33,3,20.63,31.9
1,14,0.0,1,8,56.0,21.0,0,0.0,0.0,5.0,16.53,0.4,63.7,1,0.33,3,20.92,23.5
1,14,0.0,1,8,56.0,21.0,0,0.0,0.0,5.0,23.94,0.4,62.4,1,0.33,3,19.26,28.5
1,14,0.75,0,8,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,14,0.44,3,20.54,53.2
1,14,0.75,0,8,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,9,0.44,3,20.54,51.3
1,14,1.0,0,8,51.0,51.0,1,0.25,10.0,1.0,15.85,0.03,60.63,16,0.41,3,29.6,49.75
1,14,1.0,0,8,51.0,51.0,1,0.25,10.0,1.0,10.25,0.03,64.91,5,0.3,3,20.08,54.59
1,14,1.0,0,8,51.0,51.0,1,0.25,10.0,1.0,0.0,0.03,61.89,14,0.31,3,27.86,57.23
3,8,0.75,2,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,14,0.44,3,20.54,29.92
3,8,0.75,2,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,6,0.44,3,20.54,32.9
3,8,0.75,2,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,6,0.44,3,20.54,34.3
3,8,0.75,2,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,6,0.44,3,20.54,35.89
3,8,0.75,2,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,17,0.44,3,20.54,30.41
3,8,0.75,2,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,17,0.44,3,20.54,31.84
3,8,0.75,2,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,17,0.44,3,20.54,31.23
0,14,1.0,0,7,16.0,16.0,0,0.0,0.0,0.0,0.0,0.1,61.7,14,0.23,3,16.64,62.5
0,14,1.0,0,7,14.0,14.0,0,0.0,0.0,0.0,10.0,0.1,64.2,3,0.23,3,18.2,64.5
1,14,1.0,0,8,18.0,18.0,0,0.0,0.0,2.0,0.0,0.01,63.74,14,0.31,3,12.3,59.75
1,14,1.0,0,8,18.0,18.0,0,0.0,0.0,2.0,1.0,0.01,63.74,20,0.31,3,12.92,58.74
0,23,1.0,0,0,15.0,15.0,0,0.0,0.0,0.0,0.0,0.17,70.5,14,0.29,3,26.0,75.8
0,23,1.0,0,0,15.0,15.0,0,0.0,0.0,0.0,3.63,0.17,71.0,8,0.29,3,21.49,76.2
0,23,1.0,0,0,15.0,15.0,0,0.0,0.0,0.0,7.31,0.17,71.5,8,0.29,3,19.28,76.1
0,23,1.0,0,0,15.0,15.0,0,0.0,0.0,0.0,9.98,0.17,69.0,8,0.27,3,30.0,73.1
0,23,1.0,0,0,15.0,15.0,0,0.0,0.0,0.0,0.0,0.17,70.0,14,0.26,3,21.03,76.0
0,23,1.0,0,0,15.0,15.0,0,0.0,0.0,0.0,13.1,0.17,71.8,15,0.28,3,21.56,73.5
0,23,1.0,0,0,15.0,15.0,0,0.0,0.0,0.0,24.37,0.17,69.6,15,0.26,3,22.23,76.0
0,23,1.0,0,0,15.0,15.0,0,0.0,0.0,0.0,37.59,0.17,70.3,15,0.27,3,20.16,73.5
0,23,1.0,0,0,15.0,6.0,0,0.0,0.0,0.0,0.0,0.17,70.6,14,0.29,3,18.04,75.8
0,23,1.0,0,0,15.0,6.0,0,0.0,0.0,0.0,3.1,0.17,70.8,10,0.29,2,15.34,74.7
0,23,1.0,0,0,15.0,6.0,0,0.0,0.0,0.0,3.44,0.17,70.1,10,0.28,2,16.88,74.8
0,23,1.0,0,0,15.0,6.0,0,0.0,0.0,0.0,3.69,0.17,69.8,10,0.28,2,16.88,75.2
0,23,1.0,0,0,15.0,15.0,0,0.0,0.0,0.0,0.0,0.17,71.5,14,0.28,3,20.38,75.8
0,23,1.0,0,0,15.0,15.0,0,0.0,0.0,0.0,3.67,0.17,72.3,10,0.28,2,19.59,76.6
0,23,1.0,0,0,15.0,15.0,0,0.0,0.0,0.0,7.02,0.17,71.3,10,0.27,2,19.28,73.8
0,23,1.0,0,0,15.0,15.0,0,0.0,0.0,0.0,10.35,0.17,71.1,10,0.27,2,19.8,74.4
3,0,0.75,2,5,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,14,0.44,3,20.54,51.82
3,0,0.75,2,5,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,1,0.44,3,20.54,44.31
1,17,1.0,0,7,44.0,44.0,1,20.0,20.0,6.0,0.0,0.27,68.45,14,0.46,3,12.59,45.61
1,17,1.0,0,7,44.0,44.0,1,20.0,20.0,6.0,5.89,0.28,66.71,1,0.45,3,13.37,37.56
1,17,1.0,0,7,44.0,44.0,1,20.0,20.0,6.0,11.86,0.28,67.58,1,0.44,3,14.22,41.53
1,17,1.0,0,7,44.0,44.0,1,20.0,20.0,6.0,21.41,0.28,65.41,1,0.43,3,14.81,39.3
1,14,1.0,0,7,16.0,16.0,0,0.0,0.0,3.0,0.0,0.04,70.9,14,0.52,3,20.0,66.9
1,14,1.0,0,7,16.0,16.0,0,0.0,0.0,3.0,14.0,0.04,71.7,1,0.53,3,21.0,71.3
1,14,1.0,0,7,16.0,16.0,0,0.0,0.0,3.0,14.0,0.04,68.3,1,0.47,3,25.0,70.8
3,8,0.0,1,9,35.0,0.0,2,0.0,0.0,7.0,3.02,1.0,66.85,7,0.0,3,18.98,51.52
3,8,0.0,1,9,35.0,0.0,2,0.0,0.0,7.0,6.06,1.0,67.02,4,0.0,4,17.48,51.26
3,8,0.0,1,9,35.0,0.0,2,0.0,0.0,7.0,8.87,1.0,66.18,4,0.0,4,17.48,50.99
3,8,0.0,1,9,35.0,0.0,2,0.0,0.0,7.0,11.88,1.0,66.32,4,0.0,4,15.69,50.7
1,14,0.75,1,8,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,14,0.44,3,20.54,51.8
1,14,0.75,1,8,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,9,0.44,3,20.54,52.8
3,14,0.0,1,8,112.0,0.0,2,0.0,0.0,12.0,0.0,1.24,64.9,14,0.0,3,14.25,56.2
3,14,0.0,1,8,112.0,0.0,2,0.0,0.0,12.0,2.82,1.63,64.5,9,0.0,3,14.25,58.0
3,5,0.0,1,3,69.0,0.0,2,0.0,0.0,37.0,0.0,0.08,80.7,14,0.0,3,20.38,85.3
3,5,0.0,1,3,69.0,0.0,2,0.0,0.0,37.0,3.0,0.08,80.7,1,0.0,3,22.77,84.5
3,5,0.0,1,3,69.0,0.0,2,0.0,0.0,37.0,4.0,0.08,80.7,21,0.0,3,19.47,84.3
3,5,0.0,1,3,69.0,0.0,2,0.0,0.0,37.0,3.0,0.08,80.7,21,0.0,0,22.13,84.4
1,13,0.75,0,8,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,7,0.44,3,20.54,46.2
3,14,0.75,1,8,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,14,0.44,3,20.54,23.54
3,20,0.0,1,0,50.0,0.0,2,0.0,0.0,9.0,0.0,0.06,60.6,14,0.0,3,22.5,33.3
3,20,0.0,1,0,50.0,0.0,2,0.0,0.0,9.0,25.49,0.06,60.1,6,0.0,3,23.4,35.1
1,24,1.0,0,8,28.0,28.0,0,0.0,0.0,4.0,0.0,0.06,62.06,14,0.36,3,17.91,58.01
1,24,1.0,0,8,28.0,28.0,0,0.0,0.0,4.0,10.0,0.06,58.69,19,0.36,3,18.23,58.69
1,23,1.0,0,5,42.0,42.0,0,0.0,0.0,2.0,0.0,0.17,53.8,14,0.07,3,16.6,62.2
1,23,1.0,0,5,42.0,42.0,0,0.0,0.0,2.0,10.8,0.17,49.3,1,0.07,3,18.6,62.8
1,23,1.0,0,5,42.0,42.0,0,0.0,0.0,2.0,21.6,0.17,50.2,1,0.07,3,20.4,57.6
0,14,0.75,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,14,0.44,3,20.54,40.2
0,8,0.75,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,1,0.44,3,20.54,23.1
0,14,0.75,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,1,0.44,3,20.54,26.7
0,3,1.0,0,7,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,75.32,14,0.56,3,17.96,78.43
0,3,1.0,0,7,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,69.37,14,0.49,3,17.83,77.11
0,3,1.0,0,7,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,66.06,14,0.78,3,19.19,75.5
0,15,1.0,0,0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,76.28,14,0.52,3,21.77,80.68
