Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final NO2-N (g_kg)
1,1,1.0,0,6,26.0,26.0,0,0.0,0.0,2.0,0.0,0.05,65.0,27,0.57,7,15.0,0.44
1,1,1.0,0,6,26.0,26.0,0,0.0,0.0,2.0,3.8,0.05,65.0,19,0.57,1,15.0,0.09
1,1,1.0,0,6,26.0,26.0,0,0.0,0.0,2.0,7.3,0.05,65.0,19,0.57,1,15.0,0.03
1,1,1.0,0,6,26.0,26.0,0,0.0,0.0,2.0,8.9,0.05,65.0,19,0.57,1,15.0,0.06
1,11,0.75,0,0,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,27,0.44,7,20.54,0.02
1,11,1.0,0,0,14.0,14.0,0,0.0,0.0,2.0,6.0,0.0,61.4,13,0.1,7,44.55,0.01
1,11,1.0,0,0,14.0,14.0,0,0.0,0.0,2.0,13.0,0.0,59.3,13,0.1,7,45.58,0.02
1,11,1.0,0,0,14.0,14.0,0,0.0,0.0,2.0,23.0,0.0,56.9,13,0.1,7,40.99,0.01
1,19,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,27,0.44,7,20.54,0.05
1,19,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,2,0.44,7,20.54,0.08
1,19,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,4,0.44,7,20.54,0.03
1,19,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,36,0.44,7,20.54,0.04
1,19,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,27,0.44,7,20.54,0.02
1,19,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,17,0.44,7,20.54,0.03
1,19,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,7,20.54,0.03
1,19,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,7,20.54,0.04
1,19,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,7,20.54,0.04
3,16,0.0,1,3,60.0,0.0,2,0.0,0.0,5.0,0.0,0.22,64.99,27,0.0,7,15.04,0.02
3,16,0.0,1,3,60.0,0.0,2,0.0,0.0,5.0,10.0,0.22,62.76,5,0.0,7,13.04,0.04
3,16,0.0,1,3,60.0,0.0,2,0.0,0.0,5.0,10.0,0.22,60.65,5,0.0,7,14.48,0.03
3,16,0.0,1,3,60.0,0.0,2,0.0,0.0,7.0,0.0,0.17,60.0,27,0.0,7,12.36,0.0
3,16,0.0,1,3,60.0,0.0,2,0.0,0.0,7.0,10.0,0.17,59.0,5,0.0,7,13.3,0.0
3,16,0.0,1,3,60.0,0.0,2,0.0,0.0,7.0,10.0,0.17,58.0,5,0.0,7,11.44,0.0
1,1,1.0,0,1,35.0,35.0,0,0.0,0.0,5.0,0.0,0.06,60.0,27,0.2,7,22.1,0.56
1,1,1.0,0,1,35.0,35.0,0,0.0,0.0,5.0,10.0,0.06,60.0,29,0.2,7,18.2,0.63
1,1,1.0,0,1,35.0,35.0,0,0.0,0.0,5.0,10.0,0.06,60.0,36,0.2,7,19.1,0.6
1,1,1.0,0,6,28.0,28.0,0,0.0,0.0,3.0,0.0,0.06,52.2,27,0.25,7,24.8,0.46
1,1,1.0,0,6,28.0,28.0,0,0.0,0.0,3.0,3.73,0.06,52.2,19,0.25,1,24.8,0.5
1,1,1.0,0,6,28.0,28.0,0,0.0,0.0,3.0,3.78,0.06,52.2,19,0.25,1,24.8,0.34
0,11,1.0,0,6,60.0,0.0,0,0.0,0.0,5.7,0.0,0.1,58.0,27,0.0,7,33.0,0.69
0,11,1.0,0,6,60.0,0.0,0,0.0,0.0,5.7,2.5,0.1,58.0,18,0.0,7,34.36,1.01
0,11,1.0,0,6,60.0,0.0,0,0.0,0.0,5.7,5.0,0.1,58.0,18,0.0,7,34.71,1.02
0,11,1.0,0,6,60.0,0.0,0,0.0,0.0,5.7,7.5,0.1,58.0,18,0.0,7,33.91,0.9
0,11,1.0,0,6,60.0,0.0,0,0.0,0.0,5.3,10.0,0.1,58.0,18,0.0,7,35.05,0.91
1,1,1.0,0,6,39.0,39.0,0,0.0,0.0,5.0,0.0,0.06,68.22,27,0.42,7,20.75,0.27
1,1,1.0,0,6,39.0,39.0,0,0.0,0.0,5.0,12.5,0.06,62.99,19,0.41,1,20.75,0.19
1,1,1.0,0,6,39.0,39.0,0,0.0,0.0,5.0,12.5,0.06,62.99,15,0.41,7,20.75,0.23
1,1,1.0,0,6,39.0,39.0,0,0.0,0.0,5.0,12.5,0.06,62.99,16,0.41,4,20.75,0.21
1,1,1.0,0,6,39.0,39.0,0,0.0,0.0,5.0,12.5,0.06,62.99,6,0.41,4,20.75,0.19
0,19,1.0,1,3,36.0,36.0,0,0.0,0.0,0.0,0.0,0.09,60.0,27,0.52,7,14.17,0.5
0,19,1.0,1,3,36.0,36.0,0,0.0,0.0,0.0,5.15,0.08,60.0,10,0.28,7,14.17,0.31
0,19,1.0,1,3,36.0,36.0,0,0.0,0.0,0.0,9.49,0.07,60.0,10,0.74,7,14.17,0.31
0,19,1.0,1,3,36.0,36.0,0,0.0,0.0,0.0,12.1,0.08,60.0,10,0.98,7,14.17,0.4
0,19,1.0,1,3,36.0,36.0,0,0.0,0.0,0.0,17.63,0.07,60.0,10,0.72,7,14.17,0.46
0,19,1.0,1,3,36.0,36.0,0,0.0,0.0,0.0,5.2,0.09,60.0,36,0.52,7,14.17,0.69
0,19,1.0,1,3,36.0,36.0,0,0.0,0.0,0.0,8.26,0.1,60.0,36,0.74,7,14.17,0.63
0,19,1.0,1,3,36.0,36.0,0,0.0,0.0,0.0,9.99,0.07,60.0,36,0.74,7,14.17,0.6
0,19,1.0,1,3,36.0,36.0,0,0.0,0.0,0.0,15.17,0.08,60.0,36,0.95,7,14.17,0.34
0,19,1.0,1,3,36.0,36.0,0,0.0,0.0,0.0,5.8,0.09,60.0,10,0.52,9,14.17,0.3
0,19,1.0,1,3,36.0,36.0,0,0.0,0.0,0.0,10.8,0.07,60.0,10,0.74,9,14.17,0.36
0,19,1.0,1,3,36.0,36.0,0,0.0,0.0,0.0,15.94,0.07,60.0,10,0.95,9,14.17,0.34
1,1,1.0,0,6,35.0,35.0,0,0.0,0.0,4.0,0.0,0.06,70.4,27,0.38,7,20.3,0.05
1,1,1.0,0,6,35.0,35.0,0,0.0,0.0,4.0,4.56,0.06,66.0,19,0.38,1,20.36,0.04
1,1,1.0,0,6,35.0,35.0,0,0.0,0.0,4.0,6.48,0.06,65.69,19,0.38,9,21.43,0.07
1,11,0.0,1,6,56.0,21.0,0,0.0,0.0,5.0,0.0,0.4,66.4,27,0.33,7,21.6,0.27
1,11,0.0,1,6,56.0,21.0,0,0.0,0.0,5.0,8.53,0.4,64.9,5,0.33,7,20.63,0.47
1,11,0.0,1,6,56.0,21.0,0,0.0,0.0,5.0,16.53,0.4,63.7,5,0.33,7,20.92,0.52
1,11,0.0,1,6,56.0,21.0,0,0.0,0.0,5.0,23.94,0.4,62.4,5,0.33,7,19.26,0.56
1,11,0.75,0,6,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,27,0.44,7,20.54,1.5
1,11,1.0,0,6,51.0,51.0,1,0.25,10.0,1.0,15.85,0.03,60.63,32,0.41,7,29.6,0.13
1,11,1.0,0,6,51.0,51.0,1,0.25,10.0,1.0,10.25,0.03,64.91,12,0.3,7,20.08,0.25
1,11,1.0,0,6,51.0,51.0,1,0.25,10.0,1.0,0.0,0.03,61.89,27,0.31,7,27.86,0.11
3,11,0.0,2,6,82.0,0.0,2,0.0,0.0,13.1,0.0,13.11,65.0,27,0.0,7,15.4,0.29
3,11,0.0,2,6,82.0,0.0,2,0.0,0.0,14.7,8.32,5.66,65.0,5,0.0,7,17.5,0.2
3,5,0.75,2,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,27,0.44,7,20.54,0.49
3,5,0.75,2,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,13,0.44,7,20.54,0.58
3,5,0.75,2,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,13,0.44,7,20.54,0.68
3,5,0.75,2,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,13,0.44,7,20.54,0.58
3,5,0.75,2,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,34,0.44,7,20.54,0.72
3,5,0.75,2,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,34,0.44,7,20.54,0.39
3,5,0.75,2,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,34,0.44,7,20.54,0.52
0,11,1.0,0,5,14.0,14.0,0,0.0,0.0,0.0,10.0,0.1,64.2,10,0.23,7,18.2,0.07
3,0,0.75,2,3,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,27,0.44,7,20.54,0.03
3,0,0.75,2,3,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,5,0.44,7,20.54,0.18
1,11,1.0,0,5,22.0,22.0,0,0.0,0.0,11.0,2.93,0.0,57.9,14,0.49,7,14.97,0.04
1,11,1.0,0,5,22.0,22.0,0,0.0,0.0,11.0,3.44,0.0,58.2,14,0.49,7,14.97,0.03
1,11,1.0,0,5,22.0,22.0,0,0.0,0.0,11.0,5.18,0.0,57.5,14,1.21,7,18.0,2.13
1,11,1.0,0,5,22.0,22.0,0,0.0,0.0,11.0,0.0,0.0,58.2,27,0.39,7,15.36,1.68
3,18,1.0,0,5,56.0,0.0,2,0.0,0.0,6.8,0.0,0.13,65.16,27,0.0,7,29.9,0.79
3,18,1.0,0,5,56.0,0.0,2,0.0,0.0,6.8,2.0,0.13,62.13,4,0.0,7,29.83,1.01
3,18,1.0,0,5,56.0,0.0,2,0.0,0.0,6.0,4.0,0.13,60.48,4,0.0,7,28.77,1.45
3,18,1.0,0,5,56.0,0.0,2,0.0,0.0,5.5,6.0,0.13,60.98,4,0.0,7,28.99,1.28
3,18,1.0,0,5,56.0,0.0,2,0.0,0.0,6.4,10.0,0.13,61.75,4,0.0,7,27.55,1.11
1,9,0.75,0,3,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,27,0.44,7,20.54,0.12
1,9,0.75,0,3,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,3,0.44,7,20.54,0.52
1,9,0.75,0,3,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,31,0.44,7,20.54,0.65
1,11,1.0,0,1,19.0,19.0,0,0.0,0.0,9.0,0.0,0.19,70.0,27,10.0,7,26.39,0.08
1,11,1.0,0,1,19.0,19.0,0,0.0,0.0,9.0,3.0,0.2,70.0,22,10.0,7,26.39,0.15
1,11,1.0,0,1,19.0,19.0,0,0.0,0.0,9.0,6.9,0.2,70.0,20,10.0,1,26.35,0.0
1,11,1.0,0,1,19.0,19.0,0,0.0,0.0,9.0,9.9,0.2,70.0,22,10.0,4,26.35,0.13
1,9,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,22,0.44,7,20.54,0.71
1,9,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,39,0.44,6,20.54,0.72
1,9,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,39,0.44,6,20.54,0.6
1,9,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,39,0.44,6,20.54,1.0
3,5,0.0,1,7,35.0,0.0,2,0.0,0.0,7.0,3.02,1.0,66.85,22,0.0,7,18.98,0.63
3,5,0.0,1,7,35.0,0.0,2,0.0,0.0,7.0,6.06,1.0,67.02,11,0.0,8,17.48,0.71
3,5,0.0,1,7,35.0,0.0,2,0.0,0.0,7.0,8.87,1.0,66.18,11,0.0,8,17.48,0.7
3,5,0.0,1,7,35.0,0.0,2,0.0,0.0,7.0,11.88,1.0,66.32,11,0.0,8,15.69,0.74
1,11,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,27,0.44,7,20.54,0.35
1,11,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,39,0.44,7,20.54,0.73
1,11,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,36,0.44,7,20.54,0.38
1,11,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,19,0.44,1,20.54,0.48
1,11,0.75,1,6,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,27,0.44,7,20.54,1.3
1,11,0.75,1,6,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,23,0.44,7,20.54,1.82
3,11,0.0,1,6,112.0,0.0,2,0.0,0.0,12.0,0.0,1.24,64.9,27,0.0,7,14.25,1.52
3,11,0.0,1,6,112.0,0.0,2,0.0,0.0,12.0,2.82,1.63,64.5,23,0.0,7,14.25,2.19
1,10,1.0,0,3,54.0,54.0,0,0.0,0.0,7.0,0.0,0.08,65.0,27,0.05,7,25.0,1.75
1,10,1.0,0,3,54.0,54.0,0,0.0,0.0,7.0,5.0,0.08,65.0,1,0.05,7,25.0,1.67
1,4,0.75,0,5,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,27,0.44,7,20.54,2.12
1,19,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,27,0.44,7,20.54,0.58
1,19,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,36,0.44,7,20.54,0.47
1,19,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,33,0.44,7,20.54,0.71
1,19,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,38,0.44,7,20.54,0.65
1,19,1.0,0,5,56.0,56.0,1,0.0,0.0,11.0,0.0,0.13,55.0,27,1.11,7,25.02,0.78
1,19,1.0,0,5,56.0,56.0,1,0.0,0.0,11.0,2.0,0.13,55.0,5,1.11,7,25.09,1.23
1,19,1.0,0,5,56.0,56.0,1,0.0,0.0,11.0,4.0,0.13,55.0,5,1.11,7,25.0,1.31
1,19,1.0,0,5,56.0,56.0,1,0.0,0.0,11.0,6.0,0.13,55.0,5,1.11,7,23.99,1.39
1,19,1.0,0,5,56.0,56.0,1,0.0,0.0,11.0,8.0,0.13,55.0,5,1.11,7,22.32,1.54
1,19,1.0,0,5,56.0,56.0,1,0.0,0.0,11.0,12.0,0.13,55.0,5,1.11,7,21.14,1.42
1,19,1.0,0,5,56.0,56.0,1,0.0,0.0,11.0,18.0,0.13,55.0,5,1.11,7,20.4,1.4
1,5,0.75,0,1,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,27,0.44,7,20.54,1.4
1,1,1.0,0,6,35.0,35.0,0,0.0,0.0,4.0,0.0,0.06,69.2,27,0.3,7,18.4,0.26
1,1,1.0,0,6,35.0,35.0,0,0.0,0.0,4.0,1.68,0.06,69.2,15,0.3,3,18.4,0.23
1,1,1.0,0,6,35.0,35.0,0,0.0,0.0,4.0,1.68,0.06,69.2,16,0.3,5,18.4,0.32
1,1,1.0,0,6,35.0,35.0,0,0.0,0.0,4.0,1.68,0.06,69.2,6,0.3,5,18.4,0.21
1,1,1.0,0,6,35.0,35.0,0,0.0,0.0,4.0,1.68,0.06,69.2,15,0.3,5,18.4,0.13
1,13,1.0,0,5,50.0,50.0,1,20.0,60.0,7.0,0.0,0.29,67.71,27,0.18,7,21.24,0.56
1,13,1.0,0,5,50.0,50.0,1,20.0,60.0,7.0,12.0,0.29,66.08,5,0.25,7,21.21,0.82
3,11,0.0,2,6,82.0,0.0,2,0.0,0.0,15.0,1.38,5.46,63.7,22,0.0,7,15.4,0.3
3,11,0.0,2,6,82.0,0.0,2,0.0,0.0,15.0,9.64,5.46,63.7,5,0.0,6,17.51,0.21
3,11,0.75,1,6,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,27,0.44,7,20.54,0.05
3,11,0.75,1,6,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,5,0.44,7,20.54,0.62
3,15,0.0,1,0,50.0,0.0,2,0.0,0.0,9.0,0.0,0.06,60.6,27,0.0,7,22.5,1.45
3,15,0.0,1,0,50.0,0.0,2,0.0,0.0,9.0,25.49,0.06,60.1,13,0.0,7,23.4,1.11
1,19,1.0,0,6,30.0,30.0,0,0.0,0.0,6.0,0.0,0.12,66.11,27,2.57,7,17.58,0.24
1,19,1.0,0,6,30.0,30.0,0,0.0,0.0,6.0,5.0,0.12,60.76,2,2.57,7,27.17,0.33
1,19,1.0,0,6,30.0,30.0,0,0.0,0.0,6.0,10.0,0.12,61.18,2,2.57,7,14.51,0.34
1,19,1.0,0,6,30.0,30.0,0,0.0,0.0,6.0,20.0,0.12,58.78,2,2.57,7,16.71,0.32
1,19,1.0,0,6,30.0,30.0,0,0.0,0.0,6.0,1.0,0.12,61.96,7,2.57,7,26.72,0.35
3,10,0.0,2,6,26.0,0.0,2,0.0,0.0,7.0,0.0,1.2,65.0,27,0.0,7,22.46,0.68
3,10,0.0,2,6,26.0,0.0,2,0.0,0.0,7.0,15.68,1.2,65.0,5,0.0,7,24.97,0.42
3,10,0.0,2,6,26.0,0.0,2,0.0,0.0,7.0,31.36,1.2,65.0,5,0.0,7,26.48,0.47
3,10,0.75,2,6,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,5,0.44,7,20.54,0.77
0,4,0.75,0,3,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,27,0.44,7,20.54,0.04
