M1_is Enclosed,Material_2, Composting Method,Additive Species,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),CO2-C loss (%)
1.0,13,0,2,5,28.0,28.0,0,0.0,0.0,4.0,0.0,0.06,62.06,2,0.36,2,17.91,32.11
1.0,13,0,0,5,28.0,28.0,0,0.0,0.0,4.0,10.0,0.06,58.69,4,0.36,2,18.23,24.5
1.0,1,0,2,4,34.0,34.0,0,0.0,0.0,6.0,0.0,0.06,65.0,2,0.27,2,11.37,39.47
1.0,1,0,0,4,34.0,34.0,0,0.0,0.0,6.0,10.0,0.06,65.0,4,0.26,2,11.37,35.38
1.0,1,0,0,4,34.0,34.0,0,0.0,0.0,6.0,10.29,0.06,65.0,4,0.26,0,11.37,30.39
1.0,1,0,0,4,34.0,34.0,0,0.0,0.0,6.0,14.57,0.06,65.0,4,0.26,0,11.37,35.42
1.0,12,0,2,5,50.0,50.0,0,0.0,0.0,9.0,0.0,0.1,55.0,2,0.3,2,25.0,14.7
1.0,12,0,3,5,50.0,50.0,0,0.0,0.0,9.0,10.0,0.1,60.23,0,0.3,2,25.94,9.52
1.0,12,0,3,5,50.0,50.0,0,0.0,0.0,9.0,20.0,0.1,59.72,0,0.3,3,17.95,9.36
1.0,12,0,1,5,50.0,50.0,0,0.0,0.0,9.0,20.5,0.1,59.72,0,0.3,3,17.95,8.67
1.0,12,0,1,5,50.0,50.0,0,0.0,0.0,9.0,21.0,0.1,59.72,0,0.3,3,17.95,7.36
1.0,12,0,1,5,50.0,50.0,0,0.0,0.0,9.0,22.0,0.1,59.97,0,0.3,3,18.43,7.15
1.0,10,0,2,3,91.0,64.2,0,0.0,0.0,13.0,0.0,0.25,60.0,2,0.91,2,20.0,18.37
1.0,10,0,3,3,91.0,70.2,0,0.0,0.0,13.0,12.5,0.25,60.0,0,0.93,2,20.0,12.96
1.0,10,0,0,3,91.0,70.2,0,0.0,0.0,13.0,12.5,0.25,60.0,1,0.93,2,20.0,14.64
1.0,10,0,1,3,91.0,71.8,0,0.0,0.0,13.0,25.0,0.25,60.0,0,0.89,1,20.0,8.08
1.0,10,0,2,3,91.0,76.8,0,0.0,0.0,13.0,0.0,0.25,60.0,2,1.05,2,25.0,19.26
0.75,10,0,3,3,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,0,0.49,2,20.51,10.92
0.75,10,0,0,3,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,1,0.49,2,20.51,17.04
0.75,10,0,1,3,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,0,0.49,1,20.51,10.83
1.0,10,0,2,3,91.0,80.8,0,0.0,0.0,13.0,0.0,0.25,60.0,2,0.99,2,30.0,21.83
1.0,10,0,3,3,91.0,59.8,0,0.0,0.0,13.0,12.5,0.25,60.0,0,0.81,2,30.0,11.45
1.0,10,0,0,3,91.0,59.8,0,0.0,0.0,13.0,12.5,0.25,60.0,1,0.81,2,30.0,16.95
0.75,10,0,1,3,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,0,0.49,1,20.51,11.89
0.0,4,0,2,5,84.0,0.0,2,0.0,0.0,0.0,0.0,0.12,81.0,2,0.0,2,12.2,9.8
0.0,6,0,2,5,84.0,0.0,2,0.0,0.0,0.0,0.0,0.12,75.8,2,0.0,2,15.3,10.5
0.0,6,0,2,1,84.0,0.0,2,0.0,0.0,0.0,0.0,0.12,77.3,2,0.0,2,22.3,13.4
0.0,6,0,2,1,84.0,0.0,2,0.0,0.0,0.0,0.0,0.12,77.0,2,0.0,2,20.1,26.7
0.0,11,0,2,1,84.0,0.0,2,0.0,0.0,0.0,0.0,0.12,80.0,2,0.0,2,29.9,14.7
0.0,4,0,3,1,84.0,0.0,2,0.0,0.0,0.0,22.28,0.12,84.1,0,0.0,2,16.9,1.9
0.0,6,0,3,1,84.0,0.0,2,0.0,0.0,0.0,9.53,0.12,80.7,0,0.0,2,20.5,13.1
0.0,6,0,3,1,84.0,0.0,2,0.0,0.0,0.0,15.84,0.12,81.5,0,0.0,2,21.3,7.3
