M1_is Enclosed,Material_2, Composting Method,Additive Species,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),NH3-N loss (%)
1.0,1,0,3,9,26.0,26.0,0,0.0,0.0,2.0,0.0,0.05,65.0,30,0.57,13,15.0,28.0
1.0,1,0,1,9,26.0,26.0,0,0.0,0.0,2.0,3.8,0.05,65.0,20,0.57,4,15.0,9.0
1.0,1,0,1,9,26.0,26.0,0,0.0,0.0,2.0,7.3,0.05,65.0,20,0.57,4,15.0,4.0
1.0,1,0,1,9,26.0,26.0,0,0.0,0.0,2.0,8.9,0.05,65.0,20,0.57,4,15.0,0.5
0.75,13,0,3,0,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,30,0.49,13,20.51,6.79
1.0,13,0,1,0,14.0,14.0,0,0.0,0.0,2.0,6.0,0.0,61.4,11,0.1,13,44.55,2.95
1.0,13,0,1,0,14.0,14.0,0,0.0,0.0,2.0,13.0,0.0,59.3,11,0.1,13,45.58,3.01
1.0,13,0,1,0,14.0,14.0,0,0.0,0.0,2.0,23.0,0.0,56.9,11,0.1,13,40.99,2.71
0.75,18,0,3,9,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,30,0.49,13,20.51,3.0
0.75,18,0,0,9,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,0,0.49,13,20.51,2.1
0.75,18,0,4,9,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,2,0.49,13,20.51,4.6
0.75,18,0,1,9,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,37,0.49,13,20.51,0.3
0.75,18,0,3,9,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,30,0.49,13,20.51,10.7
0.75,18,0,0,9,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,17,0.49,13,20.51,22.7
0.75,18,0,0,9,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,27,0.49,13,20.51,14.5
0.75,18,0,0,9,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,27,0.49,13,20.51,16.1
0.75,18,0,0,9,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,27,0.49,13,20.51,16.4
0.0,17,1,3,7,60.0,0.0,2,0.0,0.0,7.0,0.0,0.17,60.0,30,0.0,13,12.36,5.6
0.0,17,1,4,7,60.0,0.0,2,0.0,0.0,7.0,10.0,0.17,59.0,4,0.0,13,13.3,2.3
0.0,17,1,4,7,60.0,0.0,2,0.0,0.0,7.0,10.0,0.17,58.0,4,0.0,13,11.44,2.3
1.0,1,0,3,3,35.0,35.0,0,0.0,0.0,5.0,0.0,0.06,60.0,30,0.2,13,22.1,13.3
1.0,1,0,1,3,35.0,35.0,0,0.0,0.0,5.0,10.0,0.06,60.0,32,0.2,13,18.2,8.4
1.0,1,0,1,3,35.0,35.0,0,0.0,0.0,5.0,10.0,0.06,60.0,37,0.2,13,19.1,10.5
1.0,13,0,3,3,20.0,20.0,0,0.0,0.0,7.0,0.0,0.02,63.28,30,1.07,13,18.5,22.0
1.0,13,0,1,3,20.0,20.0,0,0.0,0.0,7.0,20.0,0.02,67.82,20,1.07,4,18.5,4.8
1.0,1,0,1,9,28.0,28.0,0,0.0,0.0,3.0,3.73,0.06,52.2,20,0.25,4,24.8,17.9
1.0,1,0,1,9,28.0,28.0,0,0.0,0.0,3.0,3.78,0.06,52.2,20,0.25,4,24.8,16.1
1.0,0,0,4,8,51.0,44.0,0,8.0,4.0,6.4,25.0,0.05,55.06,41,0.81,13,19.17,36.04
0.75,0,0,4,8,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,41,0.49,13,20.51,27.45
1.0,1,0,3,9,39.0,39.0,0,0.0,0.0,5.0,0.0,0.06,68.22,30,0.42,13,20.75,23.2
1.0,1,0,1,9,39.0,39.0,0,0.0,0.0,5.0,12.5,0.06,62.99,20,0.41,4,20.75,9.6
1.0,1,0,1,9,39.0,39.0,0,0.0,0.0,5.0,12.5,0.06,62.99,13,0.41,13,20.75,7.1
1.0,1,0,1,9,39.0,39.0,0,0.0,0.0,5.0,12.5,0.06,62.99,14,0.41,10,20.75,8.46
1.0,1,0,1,9,39.0,39.0,0,0.0,0.0,5.0,12.5,0.06,62.99,5,0.41,10,20.75,5.45
1.0,13,0,3,9,26.0,26.0,0,0.0,0.0,0.0,0.0,0.02,61.8,30,0.91,13,16.5,34.9
1.0,13,0,1,9,26.0,26.0,0,0.0,0.0,0.0,0.56,0.02,61.8,21,0.91,13,16.72,15.0
1.0,1,0,3,9,35.0,35.0,0,0.0,0.0,4.0,0.0,0.06,70.4,30,0.38,13,20.3,31.32
1.0,1,0,1,9,35.0,35.0,0,0.0,0.0,4.0,4.56,0.06,66.0,20,0.38,4,20.36,21.79
1.0,1,0,1,9,35.0,35.0,0,0.0,0.0,4.0,6.48,0.06,65.69,20,0.38,14,21.43,14.21
0.75,13,0,3,9,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,30,0.49,13,20.51,9.7
0.75,13,0,0,9,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,26,0.49,13,20.51,9.3
