M1_is Enclosed,Material_2, Composting Method,Additive Species,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),TN loss (%)
1.0,1,0,3,11,26.0,26.0,0,0.0,0.0,2.0,0.0,0.05,65.0,28,0.57,13,15.0,35.0
1.0,1,0,1,11,26.0,26.0,0,0.0,0.0,2.0,3.8,0.05,65.0,20,0.57,5,15.0,12.0
1.0,1,0,1,11,26.0,26.0,0,0.0,0.0,2.0,7.3,0.05,65.0,20,0.57,5,15.0,5.0
1.0,1,0,1,11,26.0,26.0,0,0.0,0.0,2.0,8.9,0.05,65.0,20,0.57,5,15.0,1.0
1.0,16,0,1,0,14.0,14.0,0,0.0,0.0,2.0,6.0,0.0,61.4,11,0.1,13,44.55,4.5
1.0,16,0,1,0,14.0,14.0,0,0.0,0.0,2.0,13.0,0.0,59.3,11,0.1,13,45.58,12.3
1.0,16,0,1,0,14.0,14.0,0,0.0,0.0,2.0,23.0,0.0,56.9,11,0.1,13,40.99,7.3
0.75,26,0,0,11,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,1,0.49,13,20.51,44.1
0.75,26,0,4,11,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,2,0.49,13,20.51,50.3
0.75,26,0,1,11,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,38,0.49,13,20.51,34.1
0.75,26,0,3,11,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,28,0.49,13,20.51,45.0
0.75,26,0,0,11,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,17,0.49,13,20.51,41.0
0.75,26,0,0,11,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,26,0.49,13,20.51,35.0
