Material_2, Composting Method,M1_is Enclosed,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),N2O-N loss (%)
17,1,0.0,5,60.0,0.0,2,0.0,0.0,5.0,0.0,0.22,64.99,15,0.0,7,15.04,1.4
17,1,0.0,5,60.0,0.0,2,0.0,0.0,5.0,10.0,0.22,62.76,2,0.0,7,13.04,0.4
17,1,0.0,5,60.0,0.0,2,0.0,0.0,5.0,10.0,0.22,60.65,2,0.0,7,14.48,0.5
1,0,1.0,3,35.0,35.0,0,0.0,0.0,5.0,0.0,0.06,60.0,15,0.2,7,22.1,1.97
1,0,1.0,3,35.0,35.0,0,0.0,0.0,5.0,10.0,0.06,60.0,16,0.2,7,18.2,2.06
1,0,1.0,3,35.0,35.0,0,0.0,0.0,5.0,10.0,0.06,60.0,20,0.2,7,19.1,2.16
1,0,1.0,7,28.0,28.0,0,0.0,0.0,3.0,0.0,0.06,52.2,15,0.25,7,24.8,1.5
1,0,1.0,7,28.0,28.0,0,0.0,0.0,3.0,3.73,0.06,52.2,13,0.25,3,24.8,1.4
1,0,1.0,7,28.0,28.0,0,0.0,0.0,3.0,3.78,0.06,52.2,13,0.25,3,24.8,1.0
1,0,1.0,7,35.0,35.0,0,0.0,0.0,4.0,0.0,0.06,70.4,15,0.38,7,20.3,0.73
1,0,1.0,7,35.0,35.0,0,0.0,0.0,4.0,4.56,0.06,66.0,13,0.38,3,20.36,1.45
1,0,1.0,7,35.0,35.0,0,0.0,0.0,4.0,6.48,0.06,65.69,13,0.38,8,21.43,1.29
13,0,1.0,7,51.0,51.0,1,0.25,10.0,1.0,10.25,0.03,64.91,7,0.3,7,20.08,0.65
7,2,0.75,0,42.74,22.55,2,2.36,13.4,5.45,5.24,1.45,64.48,15,0.49,7,20.51,0.09
7,2,0.75,0,42.74,22.55,2,2.36,13.4,5.45,5.24,1.45,64.48,8,0.49,7,20.51,0.2
7,2,0.75,0,42.74,22.55,2,2.36,13.4,5.45,5.24,1.45,64.48,8,0.49,7,20.51,0.15
7,2,0.75,0,42.74,22.55,2,2.36,13.4,5.45,5.24,1.45,64.48,8,0.49,7,20.51,0.22
7,2,0.75,0,42.74,22.55,2,2.36,13.4,5.45,5.24,1.45,64.48,19,0.49,7,20.51,0.06
7,2,0.75,0,42.74,22.55,2,2.36,13.4,5.45,5.24,1.45,64.48,19,0.49,7,20.51,0.15
7,2,0.75,0,42.74,22.55,2,2.36,13.4,5.45,5.24,1.45,64.48,19,0.49,7,20.51,0.1
1,1,0.0,7,70.0,0.0,2,0.0,0.0,10.0,0.0,1.2,67.94,15,0.0,7,18.89,1.0
