Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4,Composting Method,M1_is Enclosed,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),TC loss (%)
7,5,1,9,7,0,0,0,1.0,26.0,0,26.0,0.0,0.0,2.0,0.0,0.05,65.0,0.57,15.0,50.0
7,5,1,7,2,0,0,0,1.0,26.0,0,26.0,0.0,0.0,2.0,3.8,0.05,65.0,0.57,15.0,53.0
7,5,1,7,2,0,0,0,1.0,26.0,0,26.0,0.0,0.0,2.0,7.3,0.05,65.0,0.57,15.0,55.0
7,5,1,7,2,0,0,0,1.0,26.0,0,26.0,0.0,0.0,2.0,8.9,0.05,65.0,0.57,15.0,43.0
5,2,1,9,7,0,0,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,43.6
5,2,1,0,7,0,0,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,36.4
5,2,1,0,7,0,0,0,1.0,42.0,1,42.0,0.5,20.0,6.0,25.0,0.06,60.0,0.03,15.5,39.7
0,1,1,9,7,0,0,1,0.75,42.74,2,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,59.78
0,1,1,1,7,0,0,1,0.75,42.74,2,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,59.44
0,1,1,1,7,0,0,1,0.75,42.74,2,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,56.55
0,1,1,1,7,0,0,1,0.75,42.74,2,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,58.57
3,5,1,9,7,0,0,0,1.0,35.0,0,35.0,0.0,0.0,5.0,0.0,0.06,60.0,0.2,22.1,54.1
3,5,1,10,7,0,0,0,1.0,35.0,0,35.0,0.0,0.0,5.0,10.0,0.06,60.0,0.2,18.2,63.9
3,5,1,11,7,0,0,0,1.0,35.0,0,35.0,0.0,0.0,5.0,10.0,0.06,60.0,0.2,19.1,64.2
6,5,1,9,7,0,0,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,33.71
6,5,1,12,7,0,0,0,1.0,51.0,0,44.0,8.0,4.0,6.4,25.0,0.05,56.05,1.15,22.47,56.27
6,5,1,12,7,0,0,0,1.0,51.0,0,44.0,8.0,4.0,6.4,25.0,0.05,61.23,1.18,22.09,52.99
