Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),CO2-C loss (%)
1,3,0,2,2,0,0,0,1.0,35.0,0,35.0,0.0,0.0,5.0,0.0,0.06,60.0,0.2,51.5
1,3,0,3,2,0,0,0,1.0,35.0,0,35.0,0.0,0.0,5.0,10.0,0.06,60.0,0.2,59.0
1,3,0,5,2,0,0,0,1.0,35.0,0,35.0,0.0,0.0,5.0,10.0,0.06,60.0,0.2,60.2
4,4,0,2,2,0,0,0,1.0,28.0,0,28.0,0.0,0.0,4.0,0.0,0.06,62.06,0.36,32.11
4,4,0,5,2,0,0,0,1.0,28.0,0,28.0,0.0,0.0,4.0,10.0,0.06,58.69,0.36,24.5
3,3,0,2,2,0,0,0,1.0,34.0,0,34.0,0.0,0.0,6.0,0.0,0.06,65.0,0.27,39.47
3,3,0,5,2,0,0,0,1.0,34.0,0,34.0,0.0,0.0,6.0,10.0,0.06,65.0,0.26,35.38
3,3,0,5,0,0,0,0,1.0,34.0,0,34.0,0.0,0.0,6.0,10.29,0.06,65.0,0.26,30.39
3,3,0,5,0,0,0,0,1.0,34.0,0,34.0,0.0,0.0,6.0,14.57,0.06,65.0,0.26,35.42
4,3,0,2,2,0,0,0,1.0,50.0,0,50.0,0.0,0.0,9.0,0.0,0.1,55.0,0.3,14.7
4,3,0,0,2,0,0,0,1.0,50.0,0,50.0,0.0,0.0,9.0,10.0,0.1,60.23,0.3,9.52
4,3,0,0,3,0,0,0,1.0,50.0,0,50.0,0.0,0.0,9.0,20.0,0.1,59.72,0.3,9.36
4,3,0,0,3,1,0,0,1.0,50.0,0,50.0,0.0,0.0,9.0,20.5,0.1,59.72,0.3,8.67
4,3,0,0,3,1,0,0,1.0,50.0,0,50.0,0.0,0.0,9.0,21.0,0.1,59.72,0.3,7.36
4,3,0,0,3,1,0,0,1.0,50.0,0,50.0,0.0,0.0,9.0,22.0,0.1,59.97,0.3,7.15
2,3,0,2,2,0,0,0,1.0,91.0,0,68.8,0.0,0.0,13.0,0.0,0.25,60.0,0.7,18.37
2,3,0,0,2,0,0,0,1.0,91.0,0,69.6,0.0,0.0,13.0,12.5,0.25,60.0,0.56,12.96
2,3,0,1,2,0,0,0,1.0,91.0,0,69.6,0.0,0.0,13.0,12.5,0.25,60.0,0.56,14.64
2,3,0,0,1,0,0,0,1.0,91.0,0,89.0,0.0,0.0,13.0,25.0,0.25,60.0,0.79,8.08
2,3,0,2,2,0,0,0,1.0,91.0,0,68.8,0.0,0.0,13.0,0.0,0.25,60.0,0.7,19.26
2,3,0,0,2,0,0,0,1.0,91.0,0,69.6,0.0,0.0,13.0,12.5,0.25,60.0,0.56,10.92
2,3,0,1,2,0,0,0,1.0,91.0,0,69.6,0.0,0.0,13.0,12.5,0.25,60.0,0.56,17.04
2,3,0,0,1,0,0,0,1.0,91.0,0,89.0,0.0,0.0,13.0,25.0,0.25,60.0,0.79,10.83
2,3,0,2,2,0,0,0,1.0,91.0,0,68.8,0.0,0.0,13.0,0.0,0.25,60.0,0.7,21.83
2,3,0,0,2,0,0,0,1.0,91.0,0,69.6,0.0,0.0,13.0,12.5,0.25,60.0,0.56,11.45
2,3,0,1,2,0,0,0,1.0,91.0,0,69.6,0.0,0.0,13.0,12.5,0.25,60.0,0.56,16.95
2,3,0,0,1,0,0,0,1.0,91.0,0,89.0,0.0,0.0,13.0,25.0,0.25,60.0,0.79,11.89
4,1,0,2,2,0,0,0,0.0,84.0,2,0.0,0.0,0.0,0.0,0.0,0.12,81.0,0.0,9.8
4,3,0,2,2,0,0,0,0.0,84.0,2,0.0,0.0,0.0,0.0,0.0,0.12,75.8,0.0,10.5
4,3,0,2,2,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,64.1,0.24,31.4
4,3,0,2,2,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,65.2,0.48,42.9
4,3,0,2,2,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,63.7,0.72,44.8
4,3,0,2,2,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,71.3,0.24,32.1
4,3,0,2,2,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,70.6,0.48,45.6
4,3,0,2,2,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,70.8,0.72,42.4
4,3,0,2,2,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,75.7,0.24,33.3
4,3,0,2,2,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,76.8,0.48,23.9
4,3,0,2,2,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,74.0,0.72,37.2
4,3,0,2,2,0,0,0,1.0,31.0,0,30.0,0.0,0.0,1.0,1.93,0.95,69.47,0.31,35.83
0,2,0,2,2,0,0,0,1.0,35.0,0,35.0,0.0,0.0,9.0,0.0,0.16,66.03,0.45,30.98
0,2,0,2,2,0,0,0,1.0,35.0,0,35.0,0.0,0.0,9.0,0.0,0.3,65.69,0.47,24.52
0,2,0,2,2,0,0,0,1.0,35.0,0,35.0,0.0,0.0,9.0,0.0,0.57,66.14,0.45,20.7
3,3,0,2,2,0,0,0,1.0,35.0,0,35.0,0.0,0.0,5.0,0.0,0.06,72.1,0.2,45.38
3,2,0,2,2,0,0,0,1.0,50.0,0,50.0,0.0,0.0,0.0,0.0,0.03,72.13,0.22,11.8
3,3,0,2,2,0,0,0,1.0,50.0,0,50.0,0.0,0.0,0.0,0.0,0.03,69.74,0.21,20.04
3,0,0,2,2,0,0,0,1.0,50.0,0,50.0,0.0,0.0,0.0,0.0,0.03,71.05,0.21,13.35
2,2,0,2,2,0,0,0,1.0,50.0,0,50.0,0.0,0.0,0.0,0.0,0.02,73.67,0.2,15.25
4,3,0,2,2,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,0.0,1.37,69.4,0.11,42.3
4,3,0,6,2,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,1.73,1.37,71.1,0.11,44.8
4,3,0,6,2,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,1.39,1.37,71.2,0.11,40.7
4,3,0,6,2,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,3.7,1.37,67.6,0.11,38.8
4,3,0,6,2,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,0.32,1.37,69.2,0.11,40.7
4,2,1,6,2,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,2.07,1.37,71.0,0.11,36.4
4,3,0,4,2,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,0.0,1.37,70.3,0.11,42.6
4,2,1,6,2,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,2.84,1.18,71.8,0.11,42.5
0,3,0,2,2,0,0,1,0.0,64.0,2,0.0,0.0,0.0,0.0,0.0,1.1,74.27,0.0,5.17
