Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),N2O-N loss (%)
4,5,2,15,7,0,0,1,0.0,60.0,2,0.0,0.0,0.0,5.0,0.0,0.22,64.99,0.0,1.4
4,5,2,2,7,0,0,1,0.0,60.0,2,0.0,0.0,0.0,5.0,10.0,0.22,62.76,0.0,0.4
4,5,2,2,7,0,0,1,0.0,60.0,2,0.0,0.0,0.0,5.0,10.0,0.22,60.65,0.0,0.5
2,5,2,15,7,0,0,0,1.0,35.0,0,35.0,0.0,0.0,5.0,0.0,0.06,60.0,0.2,1.97
2,5,2,16,7,0,0,0,1.0,35.0,0,35.0,0.0,0.0,5.0,10.0,0.06,60.0,0.2,2.06
2,5,2,21,7,0,0,0,1.0,35.0,0,35.0,0.0,0.0,5.0,10.0,0.06,60.0,0.2,2.16
6,5,2,15,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,3.0,0.0,0.06,52.2,0.25,1.5
6,5,2,13,3,0,0,0,1.0,28.0,0,28.0,0.0,0.0,3.0,3.73,0.06,52.2,0.25,1.4
6,5,2,13,3,0,0,0,1.0,28.0,0,28.0,0.0,0.0,3.0,3.78,0.06,52.2,0.25,1.0
6,5,2,15,7,0,0,0,1.0,35.0,0,35.0,0.0,0.0,4.0,0.0,0.06,70.4,0.38,0.73
6,5,2,13,3,0,0,0,1.0,35.0,0,35.0,0.0,0.0,4.0,4.56,0.06,66.0,0.38,1.45
6,5,2,13,8,0,0,0,1.0,35.0,0,35.0,0.0,0.0,4.0,6.48,0.06,65.69,0.38,1.29
6,4,2,7,7,0,0,0,1.0,51.0,1,51.0,0.25,10.0,1.0,10.25,0.03,64.91,0.3,0.65
0,3,2,15,7,0,0,2,0.76,43.24,2,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,0.09
0,3,2,8,7,0,0,2,0.76,43.24,2,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,0.2
0,3,2,8,7,0,0,2,0.76,43.24,2,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,0.15
0,3,2,8,7,0,0,2,0.76,43.24,2,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,0.22
0,3,2,19,7,0,0,2,0.76,43.24,2,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,0.06
0,3,2,19,7,0,0,2,0.76,43.24,2,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,0.15
0,3,2,19,7,0,0,2,0.76,43.24,2,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,0.1
6,5,2,15,7,0,0,1,0.0,70.0,2,0.0,0.0,0.0,10.0,0.0,1.2,67.22,0.0,1.0
6,5,2,21,7,0,0,1,0.0,70.0,2,0.0,0.0,0.0,10.0,3.3,1.2,67.22,0.0,0.9
6,5,2,21,7,0,0,1,0.0,70.0,2,0.0,0.0,0.0,10.0,6.6,1.2,63.68,0.0,0.8
6,5,2,21,7,0,0,1,0.0,70.0,2,0.0,0.0,0.0,10.0,9.9,1.2,63.61,0.0,0.8
6,5,2,21,7,0,0,1,0.0,70.0,2,0.0,0.0,0.0,10.0,13.2,1.2,63.71,0.0,0.9
6,5,2,21,7,0,0,1,0.0,70.0,2,0.0,0.0,0.0,10.0,16.5,1.2,61.92,0.0,1.2
5,5,2,15,7,0,0,0,1.0,44.0,1,44.0,20.0,20.0,6.0,0.0,0.27,68.45,0.46,0.23
5,5,2,2,7,0,0,0,1.0,44.0,1,44.0,20.0,20.0,6.0,5.89,0.28,66.71,0.45,0.24
5,5,2,2,7,0,0,0,1.0,44.0,1,44.0,20.0,20.0,6.0,11.86,0.28,67.58,0.44,0.22
5,5,2,2,7,0,0,0,1.0,44.0,1,44.0,20.0,20.0,6.0,21.41,0.28,65.41,0.43,0.17
0,5,3,21,7,0,0,0,1.0,76.0,0,76.0,0.0,0.0,7.0,0.0,0.16,60.0,0.13,0.08
0,5,3,15,7,0,0,0,1.0,76.0,0,76.0,0.0,0.0,7.0,7.5,0.16,60.0,0.13,0.1
0,5,3,21,7,0,0,0,1.0,76.0,2,0.0,0.0,0.0,3.0,0.0,0.16,60.0,0.0,0.1
0,5,3,15,7,0,0,0,1.0,76.0,2,0.0,0.0,0.0,3.0,7.5,0.16,60.0,0.0,0.07
4,2,0,1,7,0,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,1.28
4,2,2,14,7,0,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,1.75
4,2,2,14,7,0,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,2.02
6,4,2,14,7,0,0,1,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,2.02
5,5,2,2,7,0,0,0,1.0,56.0,1,56.0,0.0,0.0,11.0,2.0,0.13,55.0,1.11,1.8
5,5,2,2,7,0,0,0,1.0,56.0,1,56.0,0.0,0.0,11.0,4.0,0.13,55.0,1.11,0.57
5,5,2,2,7,0,0,0,1.0,56.0,1,56.0,0.0,0.0,11.0,6.0,0.13,55.0,1.11,0.41
5,5,2,2,7,0,0,0,1.0,56.0,1,56.0,0.0,0.0,11.0,8.0,0.13,55.0,1.11,0.09
5,5,2,2,7,0,0,0,1.0,56.0,1,56.0,0.0,0.0,11.0,12.0,0.13,55.0,1.11,0.02
5,5,2,2,7,0,0,0,1.0,56.0,1,56.0,0.0,0.0,11.0,18.0,0.13,55.0,1.11,0.05
6,5,2,15,7,0,0,0,1.0,35.0,0,35.0,0.0,0.0,4.0,0.0,0.06,69.2,0.3,1.5
6,5,2,10,4,0,0,0,1.0,35.0,0,35.0,0.0,0.0,4.0,2.51,0.06,69.2,0.3,1.4
