Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),NH3-N loss (%)
6,5,3,31,13,2,0,0,1.0,26.0,0,26.0,0.0,0.0,2.0,0.0,0.05,65.0,0.57,28.0
6,5,3,21,4,2,0,0,1.0,26.0,0,26.0,0.0,0.0,2.0,3.8,0.05,65.0,0.57,9.0
6,5,3,21,4,2,0,0,1.0,26.0,0,26.0,0.0,0.0,2.0,7.3,0.05,65.0,0.57,4.0
6,5,3,21,4,2,0,0,1.0,26.0,0,26.0,0.0,0.0,2.0,8.9,0.05,65.0,0.57,0.5
0,4,3,31,13,2,0,0,1.0,14.0,0,14.0,0.0,0.0,2.0,0.0,0.0,61.7,0.1,6.79
0,4,3,12,13,2,0,0,1.0,14.0,0,14.0,0.0,0.0,2.0,6.0,0.0,61.4,0.1,2.95
0,4,3,12,13,2,0,0,1.0,14.0,0,14.0,0.0,0.0,2.0,13.0,0.0,59.3,0.1,3.01
0,4,3,12,13,2,0,0,1.0,14.0,0,14.0,0.0,0.0,2.0,23.0,0.0,56.9,0.1,2.71
6,5,3,31,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,3.0
6,5,3,0,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,2.1
6,5,3,2,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,4.6
6,5,3,40,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,0.3
6,5,3,31,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,10.7
6,5,3,18,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,22.7
6,5,3,28,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,14.5
6,5,3,28,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,16.1
6,5,3,28,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,16.4
4,5,3,31,13,2,0,1,0.0,60.0,2,0.0,0.0,0.0,7.0,0.0,0.17,60.0,0.0,5.6
4,5,3,4,13,2,0,1,0.0,60.0,2,0.0,0.0,0.0,7.0,10.0,0.17,59.0,0.0,2.3
4,5,3,4,13,2,0,1,0.0,60.0,2,0.0,0.0,0.0,7.0,10.0,0.17,58.0,0.0,2.3
2,5,3,31,13,2,0,0,1.0,35.0,0,35.0,0.0,0.0,5.0,0.0,0.06,60.0,0.2,13.3
2,5,3,33,13,2,0,0,1.0,35.0,0,35.0,0.0,0.0,5.0,10.0,0.06,60.0,0.2,8.4
2,5,3,40,13,2,0,0,1.0,35.0,0,35.0,0.0,0.0,5.0,10.0,0.06,60.0,0.2,10.5
2,4,2,31,13,2,0,0,1.0,20.0,0,20.0,0.0,0.0,7.0,0.0,0.02,57.05,1.07,22.0
2,4,2,21,4,2,0,0,1.0,20.0,0,20.0,0.0,0.0,7.0,20.0,0.02,67.82,1.07,4.8
6,5,3,21,4,2,0,0,1.0,28.0,0,28.0,0.0,0.0,3.0,3.73,0.06,52.2,0.25,17.9
6,5,3,21,4,2,0,0,1.0,28.0,0,28.0,0.0,0.0,3.0,3.78,0.06,52.2,0.25,16.1
5,5,3,44,13,2,0,0,1.0,49.2,0,46.1,8.1,6.0,6.0,25.0,0.05,55.06,0.81,36.04
5,5,3,44,13,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,27.45
6,5,3,31,13,2,0,0,1.0,39.0,0,39.0,0.0,0.0,5.0,0.0,0.06,70.03,0.48,23.2
6,5,3,21,4,2,0,0,1.0,39.0,0,39.0,0.0,0.0,5.0,12.5,0.06,63.99,0.48,9.6
6,5,3,14,13,2,0,0,1.0,39.0,0,39.0,0.0,0.0,5.0,12.5,0.06,63.99,0.48,7.1
6,5,3,15,10,2,0,0,1.0,39.0,0,39.0,0.0,0.0,5.0,12.5,0.06,63.99,0.48,8.46
6,5,3,5,10,2,0,0,1.0,39.0,0,39.0,0.0,0.0,5.0,12.5,0.06,63.99,0.48,5.45
6,4,3,31,13,2,0,0,1.0,26.0,0,26.0,0.0,0.0,0.0,0.0,0.02,61.8,0.91,34.9
6,4,3,22,13,2,0,0,1.0,26.0,0,26.0,0.0,0.0,0.0,0.56,0.02,61.8,0.91,15.0
6,5,3,31,13,2,0,0,1.0,35.0,0,35.0,0.0,0.0,4.0,0.0,0.06,70.4,0.38,31.32
6,5,3,21,4,2,0,0,1.0,35.0,0,35.0,0.0,0.0,4.0,4.56,0.06,66.0,0.38,21.79
6,5,3,21,14,2,0,0,1.0,35.0,0,35.0,0.0,0.0,4.0,6.48,0.06,65.69,0.38,14.21
6,4,3,31,13,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,9.7
6,4,3,27,13,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,9.3
6,4,3,35,13,2,0,0,1.0,51.0,1,51.0,0.25,10.0,1.0,15.85,0.03,60.63,0.29,2.15
6,4,3,10,13,2,0,0,1.0,51.0,1,51.0,0.25,10.0,1.0,10.25,0.03,64.91,0.3,5.74
6,4,3,31,13,2,0,0,1.0,51.0,1,51.0,0.25,10.0,1.0,0.0,0.03,61.89,0.24,3.46
0,5,3,31,13,2,0,0,1.0,15.0,0,15.0,0.0,0.0,0.0,0.0,0.17,70.5,0.29,19.81
0,5,3,26,13,2,0,0,1.0,15.0,0,15.0,0.0,0.0,0.0,3.63,0.17,71.0,0.29,13.54
0,5,3,26,13,2,0,0,1.0,15.0,0,15.0,0.0,0.0,0.0,7.31,0.17,71.5,0.29,11.61
0,5,3,26,13,2,0,0,1.0,15.0,0,15.0,0.0,0.0,0.0,9.98,0.17,69.0,0.27,9.12
0,5,3,31,13,2,0,0,1.0,15.0,0,15.0,0.0,0.0,0.0,0.0,0.17,70.0,0.26,10.76
