Material_Main,M1_is Enclosed, Composting Method,Additive_4,Additive_3,V2_Ventilation Interval (min),Additive_1,Material_3,Material_2,Additive_2,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),N2O-N loss (%)
5,0.0,1,0,0,0.0,15,2,6,7,60.0,0.0,2,0.0,5.0,0.0,64.99,0.0,15.04,1.4
5,0.0,1,0,0,0.0,2,2,6,7,60.0,0.0,2,0.0,5.0,10.0,62.76,0.0,13.04,0.4
5,0.0,1,0,0,0.0,2,2,6,7,60.0,0.0,2,0.0,5.0,10.0,60.65,0.0,14.48,0.5
3,1.0,0,0,0,0.0,15,2,6,7,35.0,35.0,0,0.0,5.0,0.0,60.0,0.2,22.1,1.97
3,1.0,0,0,0,0.0,16,2,6,7,35.0,35.0,0,0.0,5.0,10.0,60.0,0.2,18.2,2.06
3,1.0,0,0,0,0.0,21,2,6,7,35.0,35.0,0,0.0,5.0,10.0,60.0,0.2,19.1,2.16
7,1.0,0,0,0,0.0,15,2,6,7,28.0,28.0,0,0.0,3.0,0.0,52.2,0.25,24.8,1.5
7,1.0,0,0,0,0.0,13,2,6,3,28.0,28.0,0,0.0,3.0,3.73,52.2,0.25,24.8,1.4
7,1.0,0,0,0,0.0,13,2,6,3,28.0,28.0,0,0.0,3.0,3.78,52.2,0.25,24.8,1.0
7,1.0,0,0,0,0.0,15,2,6,7,35.0,35.0,0,0.0,4.0,0.0,70.4,0.38,20.3,0.73
7,1.0,0,0,0,0.0,13,2,6,3,35.0,35.0,0,0.0,4.0,4.56,66.0,0.38,20.36,1.45
7,1.0,0,0,0,0.0,13,2,6,8,35.0,35.0,0,0.0,4.0,6.48,65.69,0.38,21.43,1.29
7,1.0,0,0,0,10.0,7,2,5,7,51.0,51.0,1,0.25,1.0,10.25,64.91,0.3,20.08,0.65
0,0.77,2,0,0,12.28,15,2,3,7,45.39,26.82,2,2.19,5.33,5.76,63.88,0.7,20.85,0.09
0,0.77,2,0,0,12.28,8,2,3,7,45.39,26.82,2,2.19,5.33,5.76,63.88,0.7,20.85,0.2
0,0.77,2,0,0,12.28,8,2,3,7,45.39,26.82,2,2.19,5.33,5.76,63.88,0.7,20.85,0.15
0,0.77,2,0,0,12.28,8,2,3,7,45.39,26.82,2,2.19,5.33,5.76,63.88,0.7,20.85,0.22
0,0.77,2,0,0,12.28,19,2,3,7,45.39,26.82,2,2.19,5.33,5.76,63.88,0.7,20.85,0.06
