Material_Main,M1_is Enclosed, Composting Method,Additive_4,Additive_3,V2_Ventilation Interval (min),Additive_1,Material_3,Material_2,Additive_2,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),NH3-N loss (%)
9,1.0,0,0,2,0.0,31,3,6,13,26.0,26.0,0,0.0,2.0,0.0,65.0,0.57,15.0,28.0
9,1.0,0,0,2,0.0,21,3,6,4,26.0,26.0,0,0.0,2.0,3.8,65.0,0.57,15.0,9.0
9,1.0,0,0,2,0.0,21,3,6,4,26.0,26.0,0,0.0,2.0,7.3,65.0,0.57,15.0,4.0
9,1.0,0,0,2,0.0,21,3,6,4,26.0,26.0,0,0.0,2.0,8.9,65.0,0.57,15.0,0.5
0,0.77,0,0,2,12.28,31,3,5,13,45.39,26.82,0,2.19,5.33,5.76,63.88,0.7,20.85,6.79
0,1.0,0,0,2,0.0,12,3,5,13,14.0,14.0,0,0.0,2.0,6.0,61.4,0.1,44.55,2.95
0,1.0,0,0,2,0.0,12,3,5,13,14.0,14.0,0,0.0,2.0,13.0,59.3,0.1,45.58,3.01
0,1.0,0,0,2,0.0,12,3,5,13,14.0,14.0,0,0.0,2.0,23.0,56.9,0.1,40.99,2.71
9,0.77,0,0,2,12.28,31,3,6,13,45.39,26.82,1,2.19,5.33,5.76,63.88,0.7,20.85,3.0
9,0.77,0,0,2,12.28,0,3,6,13,45.39,26.82,1,2.19,5.33,5.76,63.88,0.7,20.85,2.1
9,0.77,0,0,2,12.28,2,3,6,13,45.39,26.82,1,2.19,5.33,5.76,63.88,0.7,20.85,4.6
9,0.77,0,0,2,12.28,40,3,6,13,45.39,26.82,1,2.19,5.33,5.76,63.88,0.7,20.85,0.3
9,0.77,0,0,2,12.28,31,3,6,13,45.39,26.82,1,2.19,5.33,5.76,63.88,0.7,20.85,10.7
9,0.77,0,0,2,12.28,18,3,6,13,45.39,26.82,1,2.19,5.33,5.76,63.88,0.7,20.85,22.7
