Material_Main,M1_is Enclosed, Composting Method,Additive_4,Additive_3,V2_Ventilation Interval (min),Additive_1,Material_3,Material_2,Additive_2,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),TC loss (%)
7,1.0,0,0,0,0.0,9,1,5,7,26.0,26.0,0,0.0,2.0,0.0,65.0,0.57,15.0,50.0
7,1.0,0,0,0,0.0,7,1,5,2,26.0,26.0,0,0.0,2.0,3.8,65.0,0.57,15.0,53.0
7,1.0,0,0,0,0.0,7,1,5,2,26.0,26.0,0,0.0,2.0,7.3,65.0,0.57,15.0,55.0
7,1.0,0,0,0,0.0,7,1,5,2,26.0,26.0,0,0.0,2.0,8.9,65.0,0.57,15.0,43.0
5,0.77,0,0,0,12.28,9,1,2,7,45.39,26.82,1,2.19,5.33,5.76,63.88,0.7,20.85,43.6
5,0.77,0,0,0,12.28,0,1,2,7,45.39,26.82,1,2.19,5.33,5.76,63.88,0.7,20.85,36.4
5,0.77,0,0,0,12.28,0,1,2,7,45.39,26.82,1,2.19,5.33,5.76,63.88,0.7,20.85,39.7
0,0.77,1,0,0,12.28,9,1,1,7,45.39,26.82,2,2.19,5.33,5.76,63.88,0.7,20.85,59.78
0,0.77,1,0,0,12.28,1,1,1,7,45.39,26.82,2,2.19,5.33,5.76,63.88,0.7,20.85,59.44
0,0.77,1,0,0,12.28,1,1,1,7,45.39,26.82,2,2.19,5.33,5.76,63.88,0.7,20.85,56.55
0,0.77,1,0,0,12.28,1,1,1,7,45.39,26.82,2,2.19,5.33,5.76,63.88,0.7,20.85,58.57
3,1.0,0,0,0,0.0,9,1,5,7,35.0,35.0,0,0.0,5.0,0.0,60.0,0.2,22.1,54.1
3,1.0,0,0,0,0.0,10,1,5,7,35.0,35.0,0,0.0,5.0,10.0,60.0,0.2,18.2,63.9
3,1.0,0,0,0,0.0,11,1,5,7,35.0,35.0,0,0.0,5.0,10.0,60.0,0.2,19.1,64.2
6,1.0,0,0,0,0.0,9,1,5,7,84.0,84.0,0,0.0,7.0,0.0,68.15,0.7,35.45,33.71
6,1.0,0,0,0,0.0,12,1,5,7,84.0,84.0,0,0.0,7.0,25.0,56.05,0.7,23.78,56.27
6,1.0,0,0,0,0.0,12,1,5,7,84.0,84.0,0,0.0,7.0,25.0,61.23,0.7,25.24,52.99
6,1.0,0,0,0,0.0,12,1,5,7,84.0,84.0,0,0.0,7.0,25.0,55.06,0.7,23.24,45.36
6,1.0,0,0,0,0.0,12,1,5,7,84.0,84.0,0,0.0,7.0,10.0,65.68,0.7,25.78,32.03
6,1.0,0,0,0,0.0,12,1,5,7,84.0,84.0,0,0.0,7.0,40.0,46.91,0.7,17.84,47.57
7,0.0,1,0,0,0.0,9,1,5,7,70.0,0.0,2,0.0,10.0,0.0,67.94,0.0,18.89,68.4
7,0.0,1,0,0,0.0,11,1,5,7,70.0,0.0,2,0.0,10.0,3.3,66.61,0.0,18.89,64.1
7,0.0,1,0,0,0.0,11,1,5,7,70.0,0.0,2,0.0,10.0,6.6,66.61,0.0,18.89,66.5
