Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),CO2-C loss (%)
2,0,1,35.0,0,35.0,0.0,4,0.0,5,0.06,0.2,60.0,51.5
6,0,1,28.0,0,28.0,0.0,3,0.0,6,0.06,0.36,62.06,32.11
6,0,1,28.0,0,28.0,0.0,3,10.0,6,0.06,0.36,58.69,24.5
5,0,1,34.0,0,34.0,0.0,5,0.0,5,0.06,0.27211,65.0,39.47
5,0,1,34.0,0,34.0,0.0,5,10.0,5,0.06,0.26291,65.0,35.38
5,0,1,34.0,0,34.0,0.0,5,10.28571,5,0.06,0.26265,65.0,30.39
5,0,1,34.0,0,34.0,0.0,5,14.57143,5,0.06,0.2589,65.0,35.42
6,0,1,50.0,0,50.0,0.0,7,0.0,5,0.1,0.3,55.0,14.697
6,0,1,50.0,0,50.0,0.0,7,10.0,5,0.1,0.3,62.41946,9.51515
6,0,1,50.0,0,50.0,0.0,7,20.0,5,0.1,0.3,59.73189,9.36364
6,0,1,50.0,0,50.0,0.0,7,20.5,5,0.1,0.3,59.73189,8.66667
6,0,1,50.0,0,50.0,0.0,7,21.0,5,0.1,0.3,59.73189,7.36364
6,0,1,50.0,0,50.0,0.0,7,22.0,5,0.1,0.3,59.73189,7.15152
4,0,1,91.0,0,0.0,0.0,9,0.0,5,0.25,0.0,60.0,18.3728
4,0,1,91.0,0,17.6,0.0,9,12.5,5,0.25,0.01275,60.0,12.9586
4,0,1,91.0,0,17.6,0.0,9,12.5,5,0.25,0.01275,60.0,14.645
4,0,1,43.4613,0,23.19054,3.90898,9,4.45139,5,1.00714,0.74405,63.94368,8.07692
4,0,1,91.0,0,0.0,0.0,9,0.0,5,0.25,0.0,60.0,19.2604
4,0,1,91.0,0,17.6,0.0,9,12.5,5,0.25,0.01275,60.0,10.9172
4,0,1,91.0,0,17.6,0.0,9,12.5,5,0.25,0.01275,60.0,17.0414
4,0,1,43.4613,0,23.19054,3.90898,9,4.45139,5,1.00714,0.74405,63.94368,10.8284
4,0,1,91.0,0,0.0,0.0,9,0.0,5,0.25,0.0,60.0,21.8343
