Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Final GI (%)
8,0,1,26.0,0,26.0,0.0,2,0.0,5,0.05,0.57,65.0,82.0
8,0,1,26.0,0,26.0,0.0,2,3.8,5,0.05,0.57,65.0,96.0
8,0,1,26.0,0,26.0,0.0,2,7.3,5,0.05,0.57,65.0,100.0
8,0,1,26.0,0,26.0,0.0,2,8.9,5,0.05,0.57,65.0,76.0
8,0,1,45.0,12,45.0,30.0,7,0.0,5,0.09,7.56254,65.0,82.6531
8,0,1,45.0,12,45.0,30.0,7,16.87764,5,0.09,7.06051,65.0,79.5918
8,0,1,45.0,12,45.0,30.0,7,15.47117,5,0.09,6.65557,65.0,81.7347
8,0,1,45.0,12,45.0,30.0,7,15.47117,5,0.09,7.34153,65.0,84.7959
8,0,1,45.0,12,35.0,30.0,6,0.0,5,0.09,2.6,65.0,84.3683
8,0,1,45.0,12,35.0,30.0,6,0.65,5,0.09,2.6,65.0,82.1126
8,0,1,45.0,12,35.0,30.0,6,0.65,5,0.09,2.6,65.0,85.7217
8,0,1,45.0,12,35.0,30.0,6,0.65,5,0.09,2.6,65.0,63.165
8,0,1,45.0,12,35.0,30.0,6,1.95,5,0.09,2.6,65.0,60.9107
3,0,1,56.0,0,0.0,0.0,0,1.94326,3,0.02,0.35,55.0,85.6
3,0,1,56.0,0,0.0,0.0,0,6.94326,3,0.02,0.35,55.0,119.5
3,0,1,35.0,0,35.0,0.0,5,0.0,5,0.06,0.2,60.0,122.9
3,0,1,35.0,0,35.0,0.0,5,10.0,5,0.06,0.2,60.0,103.3
3,0,1,35.0,0,35.0,0.0,5,10.0,5,0.06,0.2,60.0,94.5
8,0,1,28.0,0,28.0,0.0,3,0.0,5,0.06,0.25,52.2,116.83
8,0,1,28.0,0,28.0,0.0,3,3.72823,5,0.06,0.25,52.2,106.765
8,0,1,28.0,0,28.0,0.0,3,3.78398,5,0.06,0.25,52.2,108.157
8,0,1,60.0,0,0.0,0.0,0,0.0,3,0.1,0.0,58.0,74.9231
8,0,1,60.0,0,0.0,0.0,0,2.5,3,0.1,0.0,58.0,75.6934
8,0,1,60.0,0,0.0,0.0,0,5.0,3,0.1,0.0,58.0,84.7699
8,0,1,60.0,0,0.0,0.0,0,7.5,3,0.1,0.0,58.0,82.5414
8,0,1,60.0,0,0.0,0.0,0,10.0,3,0.1,0.0,58.0,84.2347
8,0,1,39.0,0,39.0,0.0,5,0.0,5,0.06,0.451,69.75,89.82
8,0,1,39.0,0,39.0,0.0,5,0.0,5,0.06,0.499,69.75,99.54
8,0,1,39.0,0,39.0,0.0,5,0.0,5,0.06,0.499,69.75,69.87
8,0,1,39.0,0,39.0,0.0,5,0.0,5,0.06,0.499,69.75,118.24
8,0,1,39.0,0,39.0,0.0,5,0.0,5,0.06,0.499,69.75,107.42
8,0,1,35.0,0,35.0,0.0,4,0.0,5,0.06,0.38,70.4,116.28
8,0,1,35.0,0,35.0,0.0,4,4.56,5,0.06,0.38,65.46,108.464
8,0,1,35.0,0,35.0,0.0,4,6.48,5,0.06,0.38,65.69,124.906
5,2,0,43.4613,0,23.19054,3.90898,11,4.45139,5,1.00714,0.74405,63.94368,53.4975
5,2,0,43.4613,0,23.19054,3.90898,11,4.45139,5,1.00714,0.74405,63.94368,52.9064
6,0,1,56.0,0,0.0,0.0,0,0.0,5,0.13,0.0,65.01262,56.41
6,0,1,56.0,0,0.0,0.0,0,2.0,5,0.13,0.0,64.774,63.78
6,0,1,56.0,0,0.0,0.0,0,4.0,5,0.13,0.0,61.18,74.46
6,0,1,56.0,0,0.0,0.0,0,6.0,5,0.13,0.0,61.18,85.47
6,0,1,56.0,0,0.0,0.0,0,10.0,5,0.13,0.0,61.16171,93.15
5,0,1,45.0,5,45.0,17.0,19,0.0,2,2.4,6.67,55.0,98.9221
5,0,1,45.0,5,45.0,17.0,19,0.44444,2,2.4,6.67,55.0,120.626
5,0,1,45.0,5,45.0,17.0,19,0.44444,2,2.4,6.67,55.0,114.157
3,0,1,30.0,0,30.0,0.0,4,0.0,2,0.06,0.2,60.59701,93.0576
3,0,1,30.0,0,30.0,0.0,4,2.1383,2,0.06,0.2,53.94105,100.295
3,0,1,30.0,0,30.0,0.0,4,3.20088,2,0.06,0.2,54.98105,106.056
3,0,1,30.0,0,30.0,0.0,4,2.216,2,0.06,0.2,53.94105,90.9897
3,0,1,30.0,0,30.0,0.0,4,2.53615,2,0.06,0.2,54.98105,80.3545
8,0,1,34.0,10,34.0,30.0,8,0.0,3,0.06,0.0,60.0,75.7692
8,0,1,34.0,10,34.0,30.0,8,7.5,3,0.06,0.0,60.0,84.5385
8,0,1,34.0,10,34.0,30.0,8,7.5,3,0.06,0.0,60.0,77.8462
8,0,1,34.0,10,34.0,30.0,8,7.5,3,0.06,0.0,60.0,94.4615
8,1,1,43.4613,0,23.19054,3.90898,8,4.45139,3,1.00714,0.74405,63.94368,70.4558
8,1,1,43.4613,0,23.19054,3.90898,8,4.45139,3,1.00714,0.74405,63.94368,83.6808
8,1,1,56.0,0,28.0,0.0,8,16.95419,3,0.4,5e-05,65.0,130.879
8,1,1,43.4613,0,23.19054,3.90898,8,4.45139,3,1.00714,0.74405,63.94368,88.4688
8,1,1,43.4613,0,23.19054,3.90898,8,4.45139,3,1.00714,0.74405,63.94368,98.5016
3,0,1,35.0,0,35.0,0.0,9,2.25,3,0.02,0.5,68.712,115.9
3,0,1,35.0,0,35.0,0.0,9,3.3209,3,0.02,0.5,66.926,109.7
3,0,1,35.0,0,35.0,0.0,9,4.0709,3,0.02,0.5,65.46,125.1
8,0,1,40.0,11,30.0,30.0,6,0.0,5,0.10561,7.69231,64.54545,94.3868
8,0,1,40.0,11,30.0,30.0,6,6.0,5,0.26354,7.31707,63.55556,84.1981
8,0,1,40.0,11,30.0,30.0,6,15.0,5,0.2447,6.81818,62.06897,102.028
8,0,1,40.0,11,30.0,30.0,6,1.46082,5,0.11343,7.79221,65.17413,94.1038
6,0,1,56.0,0,56.0,3.0,11,0.0,5,0.13,1.11111,55.0,56.41
6,0,1,56.0,0,56.0,4.5,11,2.0,5,0.13,1.11111,55.0,65.5
6,0,1,56.0,0,56.0,0.0,11,4.0,5,0.13,1.11111,55.0,72.85
6,0,1,56.0,0,56.0,0.0,11,6.0,5,0.13,1.11111,55.0,81.34
6,0,1,56.0,0,56.0,3.0,11,8.0,5,0.13,1.11111,55.0,87.63
6,0,1,56.0,0,56.0,1.5,11,12.0,5,0.13,1.11111,55.0,98.63
6,0,1,56.0,0,56.0,0.0,11,18.0,5,0.13,1.11111,55.0,125.3
8,0,1,35.0,0,35.0,0.0,4,0.0,5,0.06,0.3,69.2,103.463
8,0,1,35.0,0,35.0,0.0,4,2.54816,5,0.06,0.3,69.2,108.116
8,0,1,35.0,0,35.0,0.0,4,2.54816,5,0.06,0.3,69.2,93.0356
8,0,1,35.0,0,35.0,0.0,4,2.54816,5,0.06,0.3,69.2,100.415
8,0,1,35.0,0,35.0,0.0,4,2.54816,5,0.06,0.3,69.2,72.9821
8,0,1,50.0,9,50.0,10.0,8,2.38663,2,0.18,5.96659,58.1,69.2
8,0,1,50.0,9,50.0,10.0,7,2.5,2,0.18,6.25,60.0,46.8
8,0,1,50.0,9,50.0,10.0,7,2.5,2,0.18,6.25,60.0,52.5
8,0,1,50.0,9,50.0,10.0,7,2.5,2,0.18,6.25,60.0,60.0
8,0,1,50.0,9,50.0,10.0,7,2.5,2,0.18,6.25,60.0,59.0
8,0,1,50.0,9,50.0,10.0,7,2.5,2,0.18,6.25,60.0,52.5
8,0,1,50.0,9,50.0,10.0,7,5.0,2,0.18,6.25,60.0,50.2
8,0,1,50.0,9,50.0,10.0,7,7.5,2,0.18,6.25,60.0,51.8
8,0,1,50.0,9,50.0,10.0,7,10.0,2,0.18,6.25,60.0,51.5
8,0,1,35.0,9,35.0,10.0,5,2.5,2,0.18,6.25,60.0,57.7
8,0,1,35.0,9,35.0,10.0,5,9.23077,2,0.18,6.25,60.0,63.6
8,0,1,35.0,9,35.0,10.0,5,16.92308,2,0.18,6.25,60.0,60.5
8,0,1,35.0,9,35.0,10.0,5,24.61538,2,0.18,6.25,60.0,74.6
8,1,0,81.0,0,0.0,0.0,16,0.0,3,16.0,0.0,65.0,103.982
8,1,0,81.0,0,0.0,0.0,17,8.8,3,16.0,0.0,65.0,116.847
8,0,1,30.0,0,30.0,0.0,6,0.0,5,0.12,2.56621,66.11478,97.5734
8,0,1,30.0,0,30.0,0.0,6,5.0,5,0.12,2.56621,63.78948,114.509
8,0,1,30.0,0,30.0,0.0,6,10.0,5,0.12,2.56621,62.339,127.95
