Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),N2O-N loss (%)
6,1,0,60.0,0,0.0,0.0,5,0.0,5,0.22,0.0,64.9862,1.4
6,1,0,60.0,0,0.0,0.0,5,10.0,5,0.22,0.0,62.7622,0.4
6,1,0,60.0,0,0.0,0.0,5,10.0,5,0.22,0.0,60.6549,0.5
3,0,1,35.0,0,35.0,0.0,5,0.0,5,0.06,0.2,60.0,1.97
3,0,1,35.0,0,35.0,0.0,5,10.0,5,0.06,0.2,60.0,2.06
3,0,1,35.0,0,35.0,0.0,5,10.0,5,0.06,0.2,60.0,2.16
8,0,1,28.0,0,28.0,0.0,3,0.0,5,0.06,0.25,52.2,1.5
8,0,1,28.0,0,28.0,0.0,3,3.72823,5,0.06,0.25,52.2,1.4
8,0,1,28.0,0,28.0,0.0,3,3.78398,5,0.06,0.25,52.2,1.0
8,0,1,35.0,0,35.0,0.0,4,0.0,5,0.06,0.38,70.4,0.73
8,0,1,35.0,0,35.0,0.0,4,4.56,5,0.06,0.38,65.46,1.45
8,0,1,35.0,0,35.0,0.0,4,6.48,5,0.06,0.38,65.69,1.29
8,0,1,51.0,2,51.0,0.25,1,10.25,4,0.0318,2.21762,64.9057,0.645
0,2,0,43.4613,0,23.19054,3.90898,5,4.45139,5,1.00714,0.74405,63.94368,0.08614
0,2,0,43.4613,0,23.19054,3.90898,5,4.45139,5,1.00714,0.74405,63.94368,0.20207
0,2,0,43.4613,0,23.19054,3.90898,5,4.45139,5,1.00714,0.74405,63.94368,0.15357
0,2,0,43.4613,0,23.19054,3.90898,5,4.45139,5,1.00714,0.74405,63.94368,0.22107
0,2,0,43.4613,0,23.19054,3.90898,5,4.45139,5,1.00714,0.74405,63.94368,0.05607
0,2,0,43.4613,0,23.19054,3.90898,5,4.45139,5,1.00714,0.74405,63.94368,0.14879
0,2,0,43.4613,0,23.19054,3.90898,5,4.45139,5,1.00714,0.74405,63.94368,0.10471
8,1,0,70.0,0,0.0,0.0,9,0.0,5,1.2,0.0,64.934,1.0
8,1,0,70.0,0,0.0,0.0,9,3.3,5,1.2,0.0,68.97,0.9
8,1,0,70.0,0,0.0,0.0,9,6.6,5,1.2,0.0,65.85171,0.8
8,1,0,70.0,0,0.0,0.0,9,9.9,5,1.2,0.0,62.58171,0.8
8,1,0,70.0,0,0.0,0.0,9,13.2,5,1.2,0.0,63.88171,0.9
8,1,0,70.0,0,0.0,0.0,9,16.5,5,1.2,0.0,65.42171,1.2
7,0,1,44.0,4,44.0,20.0,6,0.0,5,0.273,0.46008,68.45,0.22812
7,0,1,44.0,4,44.0,20.0,6,5.89001,5,0.275,0.45106,66.71,0.24111
7,0,1,44.0,4,44.0,20.0,6,11.86352,5,0.277,0.44238,67.58,0.21505
7,0,1,44.0,4,44.0,20.0,6,21.41488,5,0.282,0.426,65.41,0.1705
0,0,1,43.4613,0,23.19054,3.90898,7,4.45139,5,1.00714,0.74405,63.94368,0.084
0,0,1,43.4613,0,23.19054,3.90898,7,4.45139,5,1.00714,0.74405,63.94368,0.1
0,0,1,76.0,0,0.0,0.0,3,0.0,5,0.1625,0.0,60.0,0.1
0,0,1,76.0,0,0.0,0.0,3,7.5,5,0.1625,0.0,60.0,0.067
6,0,1,45.0,5,45.0,17.0,14,0.44444,2,2.4,6.67,55.0,1.27637
6,0,1,43.4613,0,23.19054,3.90898,11,4.45139,2,1.00714,0.74405,63.94368,1.75
6,0,1,43.4613,0,23.19054,3.90898,11,4.45139,2,1.00714,0.74405,63.94368,2.02
