Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),NH3-N loss (%)
9,0,1,26.0,0,26.0,0.0,2,0.0,5,0.05,0.57,65.0,28.0
9,0,1,26.0,0,26.0,0.0,2,3.8,5,0.05,0.57,65.0,9.0
9,0,1,26.0,0,26.0,0.0,2,7.3,5,0.05,0.57,65.0,4.0
9,0,1,26.0,0,26.0,0.0,2,8.9,5,0.05,0.57,65.0,0.5
0,0,1,14.0,0,14.0,0.0,2,0.0,4,0.004,0.1,61.7,6.79
0,0,1,14.0,0,14.0,0.0,2,6.0,4,0.004,0.1,61.4,2.95
0,0,1,14.0,0,14.0,0.0,2,13.0,4,0.004,0.1,59.3,3.01
0,0,1,14.0,0,14.0,0.0,2,23.0,4,0.004,0.1,56.9,2.71
9,0,1,45.0,11,45.0,30.0,7,0.0,5,0.09,7.56254,65.0,3.0
9,0,1,45.0,11,45.0,30.0,7,16.87764,5,0.09,7.06051,65.0,2.1
9,0,1,45.0,11,45.0,30.0,7,15.47117,5,0.09,6.65557,65.0,4.6
9,0,1,45.0,11,45.0,30.0,7,15.47117,5,0.09,7.34153,65.0,0.3
9,0,1,45.0,11,35.0,30.0,6,0.0,5,0.09,2.6,65.0,10.7
9,0,1,45.0,11,35.0,30.0,6,0.65,5,0.09,2.6,65.0,22.7
9,0,1,45.0,11,35.0,30.0,6,0.65,5,0.09,2.6,65.0,14.5
9,0,1,45.0,11,35.0,30.0,6,0.65,5,0.09,2.6,65.0,16.1
9,0,1,45.0,11,35.0,30.0,6,1.95,5,0.09,2.6,65.0,16.4
7,1,0,60.0,0,0.0,0.0,7,0.0,5,0.165,0.0,60.0,5.6
7,1,0,60.0,0,0.0,0.0,7,10.0,5,0.165,0.0,59.0,2.3
7,1,0,60.0,0,0.0,0.0,7,10.0,5,0.165,0.0,58.0,2.3
3,0,1,35.0,0,35.0,0.0,5,0.0,5,0.06,0.2,60.0,13.3
3,0,1,35.0,0,35.0,0.0,5,10.0,5,0.06,0.2,60.0,8.4
3,0,1,35.0,0,35.0,0.0,5,10.0,5,0.06,0.2,60.0,10.5
3,0,1,20.0,0,20.0,0.0,7,0.0,4,0.02,1.06667,57.36989,22.0
3,0,1,43.4613,0,23.19054,3.90898,7,4.45139,4,1.00714,0.74405,63.94368,4.8
9,0,1,28.0,0,28.0,0.0,3,3.72823,5,0.06,0.25,52.2,17.9
9,0,1,28.0,0,28.0,0.0,3,3.78398,5,0.06,0.25,52.2,16.1
8,0,1,43.4613,0,23.19054,3.90898,7,4.45139,5,1.00714,0.74405,63.94368,36.04333
8,0,1,43.4613,0,23.19054,3.90898,7,4.45139,5,1.00714,0.74405,63.94368,27.44832
9,0,1,39.0,0,39.0,0.0,5,0.0,5,0.06,0.451,69.75,23.2
9,0,1,39.0,0,39.0,0.0,5,0.0,5,0.06,0.499,69.75,9.6
9,0,1,39.0,0,39.0,0.0,5,0.0,5,0.06,0.499,69.75,7.1
9,0,1,39.0,0,39.0,0.0,5,0.0,5,0.06,0.499,69.75,8.46
9,0,1,39.0,0,39.0,0.0,5,0.0,5,0.06,0.499,69.75,5.45
9,0,1,26.0,0,26.0,0.0,0,0.0,4,0.0212,0.91133,61.8,34.9
9,0,1,26.0,0,26.0,0.0,0,0.56,4,0.0212,0.90955,61.8,15.0
9,0,1,35.0,0,35.0,0.0,4,0.0,5,0.06,0.38,70.4,31.32
9,0,1,35.0,0,35.0,0.0,4,4.56,5,0.06,0.38,65.46,21.79
9,0,1,35.0,0,35.0,0.0,4,6.48,5,0.06,0.38,65.69,14.21
9,0,1,43.4613,0,23.19054,3.90898,6,4.45139,4,1.00714,0.74405,63.94368,9.7
9,0,1,43.4613,0,23.19054,3.90898,6,4.45139,4,1.00714,0.74405,63.94368,9.3
9,0,1,51.0,2,51.0,0.25,1,17.3,4,0.0318,0.3,60.6289,2.147
9,0,1,51.0,2,51.0,0.25,1,10.25,4,0.0318,2.21762,64.9057,5.739
9,0,1,51.0,2,51.0,0.25,1,0.0,4,0.0318,2.69317,61.8868,3.462
0,0,1,15.0,0,15.0,0.0,0,0.0,5,0.17,0.2885,70.5,19.81132
0,0,1,15.0,0,15.0,0.0,0,3.62976,5,0.17,0.29038,71.0,13.54167
0,0,1,15.0,0,15.0,0.0,0,7.30994,5,0.17,0.2924,71.5,11.6129
0,0,1,15.0,0,15.0,0.0,0,9.97672,5,0.17,0.26605,69.0,9.12409
0,0,1,15.0,0,15.0,0.0,0,0.0,5,0.17,0.26377,70.0,10.75581
0,0,1,15.0,0,15.0,0.0,0,13.09719,5,0.17,0.28166,71.8,10.84337
0,0,1,15.0,0,15.0,0.0,0,24.36647,5,0.17,0.26201,69.6,15.50633
0,0,1,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,16.66667
