Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),TC loss (%)
8,0,1,26.0,0,26.0,0.0,2,0.0,8,0.05,0.57,65.0,50.0
8,0,1,26.0,0,26.0,0.0,2,3.8,8,0.05,0.57,65.0,53.0
8,0,1,26.0,0,26.0,0.0,2,7.3,8,0.05,0.57,65.0,55.0
8,0,1,26.0,0,26.0,0.0,2,8.9,8,0.05,0.57,65.0,43.0
5,0,1,42.0,4,42.0,0.5,5,0.0,8,0.06,0.0275,60.0,43.6
5,0,1,42.0,4,42.0,0.5,5,5.0,8,0.06,0.0275,60.0,36.4
5,0,1,42.0,4,42.0,0.5,5,25.0,8,0.06,0.0275,60.0,39.7
0,1,0,43.4613,0,23.19054,3.90898,14,4.45139,2,1.00714,0.74405,63.94368,59.78
0,1,0,43.4613,0,23.19054,3.90898,14,4.45139,2,1.00714,0.74405,63.94368,59.44
0,1,0,43.4613,0,23.19054,3.90898,14,4.45139,2,1.00714,0.74405,63.94368,56.55
0,1,0,43.4613,0,23.19054,3.90898,14,4.45139,2,1.00714,0.74405,63.94368,58.57
3,0,1,35.0,0,35.0,0.0,4,0.0,8,0.06,0.2,60.0,54.1
3,0,1,35.0,0,35.0,0.0,4,10.0,8,0.06,0.2,60.0,63.9
3,0,1,35.0,0,35.0,0.0,4,10.0,8,0.06,0.2,60.0,64.2
6,0,1,43.4613,0,23.19054,3.90898,6,4.45139,8,1.00714,0.74405,63.94368,33.7114
6,0,1,43.4613,0,23.19054,3.90898,6,4.45139,8,1.00714,0.74405,63.94368,56.2698
6,0,1,43.4613,0,23.19054,3.90898,6,4.45139,8,1.00714,0.74405,63.94368,52.993
6,0,1,43.4613,0,23.19054,3.90898,6,4.45139,8,1.00714,0.74405,63.94368,45.3554
6,0,1,43.4613,0,23.19054,3.90898,6,4.45139,8,1.00714,0.74405,63.94368,32.0312
6,0,1,43.4613,0,23.19054,3.90898,6,4.45139,8,1.00714,0.74405,63.94368,47.5733
8,1,0,70.0,0,0.0,0.0,9,0.0,8,1.2,0.0,64.934,68.4
8,1,0,70.0,0,0.0,0.0,9,3.3,8,1.2,0.0,68.97,64.1
8,1,0,70.0,0,0.0,0.0,9,6.6,8,1.2,0.0,65.85171,66.5
8,1,0,70.0,0,0.0,0.0,9,9.9,8,1.2,0.0,62.58171,60.6
8,1,0,70.0,0,0.0,0.0,9,13.2,8,1.2,0.0,63.88171,55.1
8,1,0,70.0,0,0.0,0.0,9,16.5,8,1.2,0.0,65.42171,42.2
8,0,1,35.0,0,35.0,0.0,3,0.0,8,0.06,0.3,69.2,64.9
8,0,1,35.0,0,35.0,0.0,3,2.54816,8,0.06,0.3,69.2,63.1
8,0,1,35.0,0,35.0,0.0,3,2.54816,8,0.06,0.3,69.2,60.6
8,0,1,35.0,0,35.0,0.0,3,2.54816,8,0.06,0.3,69.2,58.5
8,0,1,35.0,0,35.0,0.0,3,2.54816,8,0.06,0.3,69.2,42.9
8,0,1,28.0,0,28.0,0.0,3,0.0,9,0.06,0.36,62.06,35.76
8,0,1,28.0,0,28.0,0.0,3,10.0,9,0.06,0.36,58.69,31.91
6,0,1,34.0,0,34.0,0.0,5,0.0,8,0.06,0.27211,65.0,55.95
6,0,1,34.0,0,34.0,0.0,5,10.0,8,0.06,0.26291,65.0,50.26
6,0,1,34.0,0,34.0,0.0,5,10.28571,8,0.06,0.26265,65.0,49.66
6,0,1,34.0,0,34.0,0.0,5,14.57143,8,0.06,0.2589,65.0,49.64
8,0,1,35.0,0,0.0,0.0,5,0.0,8,0.06,0.25,69.2,64.9
8,0,1,35.0,0,0.0,0.0,5,10.9,8,0.06,0.25,62.673,63.1
8,0,1,35.0,0,0.0,0.0,5,4.0,8,0.06,0.25,62.91953,54.0
8,0,1,35.0,0,0.0,0.0,5,10.9,8,0.06,0.25,62.673,42.2
5,0,1,43.4613,0,23.19054,3.90898,8,4.45139,8,1.00714,0.74405,63.94368,54.2
5,0,1,50.0,0,50.3,6.525,8,2.0,8,0.1,3.31758,60.0,52.1
5,0,1,50.0,0,45.5,9.025,8,4.0,8,0.1,3.75117,60.0,48.8
5,0,1,50.0,0,35.3,6.525,8,6.0,8,0.1,3.75058,60.0,42.3
5,0,1,50.0,0,50.3,3.525,8,8.0,8,0.1,1.99558,60.0,39.5
5,0,1,50.0,0,50.3,3.525,8,10.0,8,0.1,1.40558,60.0,38.7
8,0,1,50.0,0,50.0,0.0,8,0.0,8,0.1,0.3,55.0,19.4242
8,0,1,50.0,0,50.0,0.0,8,10.0,8,0.1,0.3,62.41946,12.303
8,0,1,50.0,0,50.0,0.0,8,20.0,8,0.1,0.3,59.73189,11.9394
8,0,1,50.0,0,50.0,0.0,8,20.5,8,0.1,0.3,59.73189,11.2121
8,0,1,50.0,0,50.0,0.0,8,21.0,8,0.1,0.3,59.73189,9.51515
8,0,1,50.0,0,50.0,0.0,8,22.0,8,0.1,0.3,59.73189,9.18182
5,0,1,91.0,0,0.0,0.0,10,0.0,8,0.25,0.0,60.0,63.5179
5,0,1,91.0,0,17.6,0.0,10,12.5,8,0.25,0.01275,60.0,57.0893
5,0,1,91.0,0,17.6,0.0,10,12.5,8,0.25,0.01275,60.0,59.3214
5,0,1,43.4613,0,23.19054,3.90898,10,4.45139,8,1.00714,0.74405,63.94368,46.2857
5,0,1,91.0,0,0.0,0.0,10,0.0,8,0.25,0.0,60.0,63.4286
5,0,1,91.0,0,17.6,0.0,10,12.5,8,0.25,0.01275,60.0,54.8571
5,0,1,91.0,0,17.6,0.0,10,12.5,8,0.25,0.01275,60.0,57.9821
5,0,1,43.4613,0,23.19054,3.90898,10,4.45139,8,1.00714,0.74405,63.94368,46.8214
5,0,1,91.0,0,0.0,0.0,10,0.0,8,0.25,0.0,60.0,65.3036
5,0,1,91.0,0,17.6,0.0,10,12.5,8,0.25,0.01275,60.0,58.9643
5,0,1,91.0,0,17.6,0.0,10,12.5,8,0.25,0.01275,60.0,57.625
5,0,1,43.4613,0,23.19054,3.90898,10,4.45139,8,1.00714,0.74405,63.94368,51.1071
6,0,1,32.0,0,32.0,0.0,0,0.0,8,0.1,0.56262,75.32,22.82
6,0,1,32.0,0,32.0,0.0,0,0.0,8,0.1,0.43196,69.37,43.09
6,0,1,32.0,0,32.0,0.0,0,0.0,8,0.1,0.70163,66.06,49.76
0,0,1,32.0,0,32.0,0.0,0,0.0,8,0.1,6.48662,76.28,23.45
0,0,1,32.0,0,32.0,0.0,0,0.0,8,0.1,0.43275,72.85,37.55
0,0,1,32.0,0,32.0,0.0,0,0.0,8,0.1,0.49454,63.45,57.58
6,0,1,32.0,0,32.0,0.0,0,0.0,8,0.1,0.41413,67.86,32.63
0,0,1,32.0,0,32.0,0.0,0,0.0,8,0.1,6.48662,76.28,36.19
6,2,0,70.0,0,0.0,0.0,5,0.0,2,22.5,0.0,67.014,34.44421
6,2,0,70.0,0,0.0,0.0,5,0.6,2,22.5,0.0,68.004,28.30697
6,2,0,70.0,0,0.0,0.0,5,1.0,2,22.5,0.0,67.884,29.97245
