Material_Main,M1_is Enclosed,Turning times, Composting Method,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Final GI (%)
8,1,13.0,0,26.0,0,26.0,0.0,0.0,5,0.05,0.57,65.0,82.0
8,1,13.0,0,26.0,0,26.0,0.0,3.8,5,0.05,0.57,65.0,96.0
8,1,13.0,0,26.0,0,26.0,0.0,7.3,5,0.05,0.57,65.0,100.0
8,1,13.0,0,26.0,0,26.0,0.0,8.9,5,0.05,0.57,65.0,76.0
8,1,6.42857,0,45.0,12,45.0,30.0,0.0,5,0.09,7.56254,65.0,82.6531
8,1,6.42857,0,45.0,12,45.0,30.0,16.87764,5,0.09,7.06051,65.0,79.5918
8,1,6.42857,0,45.0,12,45.0,30.0,15.47117,5,0.09,6.65557,65.0,81.7347
8,1,6.42857,0,45.0,12,45.0,30.0,15.47117,5,0.09,7.34153,65.0,84.7959
8,1,7.5,0,45.0,12,35.0,30.0,0.0,5,0.09,2.6,65.0,84.3683
8,1,7.5,0,45.0,12,35.0,30.0,0.65,5,0.09,2.6,65.0,82.1126
8,1,7.5,0,45.0,12,35.0,30.0,0.65,5,0.09,2.6,65.0,85.7217
8,1,7.5,0,45.0,12,35.0,30.0,0.65,5,0.09,2.6,65.0,63.165
8,1,7.5,0,45.0,12,35.0,30.0,1.95,5,0.09,2.6,65.0,60.9107
3,1,0.0,0,56.0,0,0.0,0.0,1.94326,3,0.02,0.35,55.0,85.6
3,1,0.0,0,56.0,0,0.0,0.0,6.94326,3,0.02,0.35,55.0,119.5
3,1,7.0,0,35.0,0,35.0,0.0,0.0,5,0.06,0.2,60.0,122.9
3,1,7.0,0,35.0,0,35.0,0.0,10.0,5,0.06,0.2,60.0,103.3
3,1,7.0,0,35.0,0,35.0,0.0,10.0,5,0.06,0.2,60.0,94.5
8,1,9.33333,0,28.0,0,28.0,0.0,0.0,5,0.06,0.25,52.2,116.83
8,1,9.33333,0,28.0,0,28.0,0.0,3.72823,5,0.06,0.25,52.2,106.765
8,1,9.33333,0,28.0,0,28.0,0.0,3.78398,5,0.06,0.25,52.2,108.157
8,1,0.0,0,60.0,0,0.0,0.0,0.0,3,0.1,0.0,58.0,74.9231
8,1,0.0,0,60.0,0,0.0,0.0,2.5,3,0.1,0.0,58.0,75.6934
8,1,0.0,0,60.0,0,0.0,0.0,5.0,3,0.1,0.0,58.0,84.7699
8,1,0.0,0,60.0,0,0.0,0.0,7.5,3,0.1,0.0,58.0,82.5414
8,1,0.0,0,60.0,0,0.0,0.0,10.0,3,0.1,0.0,58.0,84.2347
