Material_Main,Turning times, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),CH4-C loss (%)
5,12.0,1,0,0,60.0,0.0,0.0,0.0,5,0.22,0.0,64.9862,0.008
5,12.0,1,0,0,60.0,0.0,0.0,10.0,5,0.22,0.0,62.7622,0.0012
5,12.0,1,0,0,60.0,0.0,0.0,10.0,5,0.22,0.0,60.6549,0.0018
3,7.0,0,1,0,35.0,60.0,0.0,0.0,5,0.06,0.2,60.0,0.33
3,7.0,0,1,0,35.0,60.0,0.0,10.0,5,0.06,0.2,60.0,0.06
3,7.0,0,1,0,35.0,60.0,0.0,10.0,5,0.06,0.2,60.0,0.09
0,5.07702,2,0,0,44.06402,24.10822,3.76698,4.43605,5,0.86149,0.72554,64.22217,0.20367
0,5.07702,2,0,0,44.06402,24.10822,3.76698,4.43605,5,0.86149,0.72554,64.22217,0.17572
7,7.0,1,0,0,70.0,0.0,0.0,0.0,5,1.2,0.0,68.70741,0.21
7,7.0,1,0,0,70.0,0.0,0.0,3.3,5,1.2,0.0,68.13741,0.03
7,7.0,1,0,0,70.0,0.0,0.0,6.6,5,1.2,0.0,65.79,0.16
7,7.0,1,0,0,70.0,0.0,0.0,9.9,5,1.2,0.0,65.52171,0.24
7,7.0,1,0,0,70.0,0.0,0.0,13.2,5,1.2,0.0,65.34171,0.22
7,7.0,1,0,0,70.0,0.0,0.0,16.5,5,1.2,0.0,65.08171,0.08
6,7.33333,0,1,4,44.0,44.0,20.0,0.0,5,0.273,0.46008,68.45,0.28012
6,7.33333,0,1,4,44.0,44.0,20.0,5.89001,5,0.275,0.45106,66.71,0.23237
6,7.33333,0,1,4,44.0,44.0,20.0,11.86352,5,0.277,0.44238,67.58,0.21163
6,7.33333,0,1,4,44.0,44.0,20.0,21.41488,5,0.282,0.426,65.41,0.24486
0,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,5,0.86149,0.72554,64.22217,0.355
