Material_Main,Turning times, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),TN loss (%)
10,13.0,0,1,0,26.0,26.0,0.0,0.0,11,0.05,0.57,65.0,35.0
10,13.0,0,1,0,26.0,26.0,0.0,3.8,11,0.05,0.57,65.0,12.0
10,13.0,0,1,0,26.0,26.0,0.0,7.3,11,0.05,0.57,65.0,5.0
10,13.0,0,1,0,26.0,26.0,0.0,8.9,11,0.05,0.57,65.0,1.0
0,7.0,0,1,0,14.0,14.0,0.0,0.0,7,0.004,0.1,61.7,0.0
0,7.0,0,1,0,14.0,14.0,0.0,6.0,7,0.004,0.1,61.4,4.5
0,7.0,0,1,0,14.0,14.0,0.0,13.0,7,0.004,0.1,59.3,12.3
0,7.0,0,1,0,14.0,14.0,0.0,23.0,7,0.004,0.1,56.9,7.3
10,6.42857,0,1,11,45.0,45.0,30.0,16.87764,11,0.09,7.06051,65.0,44.1
10,6.42857,0,1,11,45.0,45.0,30.0,15.47117,11,0.09,6.65557,65.0,50.3
10,6.42857,0,1,11,45.0,45.0,30.0,15.47117,11,0.09,7.34153,65.0,34.1
10,7.5,0,1,11,45.0,35.0,30.0,0.0,11,0.09,2.6,65.0,45.0
10,7.5,0,1,11,45.0,35.0,30.0,0.65,11,0.09,2.6,65.0,41.0
10,7.5,0,1,11,45.0,35.0,30.0,0.65,11,0.09,2.6,65.0,35.0
10,7.5,0,1,11,45.0,35.0,30.0,0.65,11,0.09,2.6,65.0,56.0
10,7.5,0,1,11,45.0,35.0,30.0,1.95,11,0.09,2.6,65.0,48.0
7,7.0,0,1,4,42.0,42.0,0.5,0.0,11,0.06,0.0275,60.0,39.5
7,7.0,0,1,4,42.0,42.0,0.5,5.0,11,0.06,0.0275,60.0,37.3
7,7.0,0,1,4,42.0,42.0,0.5,25.0,11,0.06,0.0275,60.0,26.7
7,12.0,1,0,0,60.0,0.0,0.0,0.0,11,0.22,0.0,64.9862,55.3
7,12.0,1,0,0,60.0,0.0,0.0,10.0,11,0.22,0.0,62.7622,48.9
7,12.0,1,0,0,60.0,0.0,0.0,10.0,11,0.22,0.0,60.6549,43.0
6,2.08333,2,0,0,25.0,25.0,0.0,0.0,2,0.0279,2.20661,73.0,22.0
6,2.08333,2,0,0,25.0,25.0,0.0,10.0,2,0.0552,3.64419,69.7,3.0
7,8.57143,1,0,0,60.0,0.0,0.0,0.0,11,0.165,0.0,60.0,32.3
7,8.57143,1,0,0,60.0,0.0,0.0,10.0,11,0.165,0.0,59.0,15.8
7,8.57143,1,0,0,60.0,0.0,0.0,10.0,11,0.165,0.0,58.0,21.9
0,5.07702,1,0,0,44.06402,24.10822,3.76698,4.43605,2,0.86149,0.72554,64.22217,2.01
0,5.07702,1,0,0,44.06402,24.10822,3.76698,4.43605,2,0.86149,0.72554,64.22217,6.5
0,5.07702,1,0,0,44.06402,24.10822,3.76698,4.43605,2,0.86149,0.72554,64.22217,1.46
0,5.07702,1,0,0,44.06402,24.10822,3.76698,4.43605,2,0.86149,0.72554,64.22217,4.33
3,7.0,0,1,0,35.0,60.0,0.0,0.0,11,0.06,0.2,60.0,47.4
3,7.0,0,1,0,35.0,60.0,0.0,10.0,11,0.06,0.2,60.0,30.7
3,7.0,0,1,0,35.0,60.0,0.0,10.0,11,0.06,0.2,60.0,37.5
6,5.07702,0,1,11,44.06402,24.10822,3.76698,4.43605,11,0.86149,0.72554,64.22217,38.0
6,5.07702,0,1,11,44.06402,24.10822,3.76698,4.43605,7,0.86149,0.72554,64.22217,38.0
6,3.11111,0,1,11,28.0,28.0,30.0,0.18,11,0.07772,0.87398,61.0,38.0
6,3.11111,0,1,11,28.0,28.0,30.0,0.06,7,0.07772,0.6753,62.0,13.0
10,9.33333,0,1,0,28.0,28.0,0.0,0.0,11,0.06,0.25,52.2,43.9
10,9.33333,0,1,0,28.0,28.0,0.0,3.72823,11,0.06,0.25,52.2,22.3
10,9.33333,0,1,0,28.0,28.0,0.0,3.78398,11,0.06,0.25,52.2,20.2
10,7.8,0,1,0,39.0,39.0,0.0,0.0,11,0.06,0.4775,69.72,31.51
10,7.8,0,1,0,39.0,39.0,0.0,0.0,11,0.06,0.4775,69.72,13.15
10,7.8,0,1,0,39.0,39.0,0.0,0.0,11,0.06,0.4775,69.72,11.5
10,7.8,0,1,0,39.0,39.0,0.0,0.0,11,0.06,0.4775,69.72,10.69
10,7.8,0,1,0,39.0,39.0,0.0,0.0,11,0.06,0.4775,69.72,7.59
10,8.75,0,1,0,35.0,35.0,0.0,0.0,11,0.06,0.38,70.4,33.01
10,8.75,0,1,0,35.0,35.0,0.0,4.56,11,0.06,0.38,69.922,31.48
10,8.75,0,1,0,35.0,35.0,0.0,6.48,11,0.06,0.38,68.2,28.63
10,11.2,1,0,0,56.0,21.0,0.0,0.0,7,0.4,0.333,66.4,36.8
10,11.2,1,0,0,56.0,21.0,0.0,8.53343,7,0.4,0.333,64.9,26.4
10,11.2,1,0,0,56.0,21.0,0.0,16.52893,7,0.4,0.333,63.7,16.5
10,11.2,1,0,0,56.0,21.0,0.0,23.93612,7,0.4,0.333,62.4,12.7
10,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,7,0.86149,0.72554,64.22217,27.8
10,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,7,0.86149,0.72554,64.22217,13.3
10,5.07702,0,1,2,44.06402,24.10822,3.76698,4.43605,7,0.86149,0.72554,64.22217,11.069
10,5.07702,0,1,2,44.06402,24.10822,3.76698,4.43605,7,0.86149,0.72554,64.22217,6.384
10,5.07702,0,1,2,44.06402,24.10822,3.76698,4.43605,7,0.86149,0.72554,64.22217,14.682
7,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,11,0.86149,0.72554,64.22217,16.0
7,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,11,0.86149,0.72554,64.22217,53.0
7,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,11,0.86149,0.72554,64.22217,26.0
7,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,11,0.86149,0.72554,64.22217,42.0
0,5.07702,2,0,0,44.06402,24.10822,3.76698,4.43605,11,0.86149,0.72554,64.22217,22.39929
0,5.07702,2,0,0,44.06402,24.10822,3.76698,4.43605,11,0.86149,0.72554,64.22217,20.7
0,5.07702,2,0,0,44.06402,24.10822,3.76698,4.43605,11,0.86149,0.72554,64.22217,17.09545
0,5.07702,2,0,0,44.06402,24.10822,3.76698,4.43605,11,0.86149,0.72554,64.22217,24.38837
0,5.07702,2,0,0,44.06402,24.10822,3.76698,4.43605,11,0.86149,0.72554,64.22217,12.70853
0,5.07702,2,0,0,44.06402,24.10822,3.76698,4.43605,11,0.86149,0.72554,64.22217,15.03571
0,5.07702,2,0,0,44.06402,24.10822,3.76698,4.43605,11,0.86149,0.72554,64.22217,21.34472
8,0.0,0,1,0,16.0,16.0,0.0,0.0,7,0.1,0.233,61.7,22.49666
8,0.0,0,1,0,14.0,14.0,0.0,10.0,7,0.1,0.233,64.2,10.31193
10,9.0,0,1,0,18.0,18.0,0.0,0.0,7,0.012,0.31,63.74,22.8
10,9.0,0,1,0,18.0,18.0,0.0,3.33258,7,0.012,0.31,63.74,17.6
0,0.0,0,1,0,15.0,15.0,0.0,0.0,11,0.17,0.2885,70.5,24.57547
0,0.0,0,1,0,15.0,15.0,0.0,3.62976,11,0.17,0.29038,71.0,15.09375
0,0.0,0,1,0,15.0,15.0,0.0,7.30994,11,0.17,0.2924,71.5,15.4871
0,0.0,0,1,0,15.0,15.0,0.0,9.97672,11,0.17,0.26605,69.0,12.09124
0,0.0,0,1,0,15.0,15.0,0.0,0.0,11,0.17,0.26377,70.0,15.91628
0,0.0,0,1,0,15.0,15.0,0.0,13.09719,11,0.17,0.28166,71.8,16.07952
0,0.0,0,1,0,15.0,15.0,0.0,24.36647,11,0.17,0.26201,69.6,17.38228
0,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,11,0.86149,0.72554,64.22217,21.42857
0,0.0,0,1,0,15.0,6.0,0.0,0.0,11,0.17,0.28948,70.6,20.97044
0,0.0,0,1,0,15.0,6.0,0.0,3.10479,11,0.17,0.28882,70.8,15.50064
0,0.0,0,1,0,15.0,6.0,0.0,3.43688,11,0.17,0.28171,70.1,16.72387
0,0.0,0,1,0,15.0,6.0,0.0,3.68545,11,0.17,0.27867,69.8,15.46387
0,0.0,0,1,0,15.0,15.0,0.0,0.0,11,0.17,0.27765,71.5,20.20988
0,0.0,0,1,0,15.0,15.0,0.0,3.66885,11,0.17,0.28276,72.3,17.13333
0,0.0,0,1,0,15.0,15.0,0.0,7.0174,11,0.17,0.27016,71.3,14.74046
0,0.0,0,1,0,15.0,15.0,0.0,10.35227,11,0.17,0.26561,71.1,16.0
10,7.0,1,0,0,70.0,0.0,0.0,0.0,11,1.2,0.0,68.70741,40.1
10,7.0,1,0,0,70.0,0.0,0.0,3.3,11,1.2,0.0,68.13741,36.4
10,7.0,1,0,0,70.0,0.0,0.0,6.6,11,1.2,0.0,65.79,34.3
10,7.0,1,0,0,70.0,0.0,0.0,9.9,11,1.2,0.0,65.52171,28.1
10,7.0,1,0,0,70.0,0.0,0.0,13.2,11,1.2,0.0,65.34171,21.7
