Material_Main,Turning times,Intermittent ratio, Composting Method,M1_is Enclosed,Period (d),V4_Ventilation Day,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),N2O-N loss (%)
6,12.0,0.0,1,0,60.0,0.0,0.0,5,0.22,0.0,64.9862,1.4
6,12.0,0.0,1,0,60.0,0.0,10.0,5,0.22,0.0,62.7622,0.4
6,12.0,0.0,1,0,60.0,0.0,10.0,5,0.22,0.0,60.6549,0.5
3,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,1.97
3,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,2.06
3,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,2.16
8,9.33333,0.04167,0,1,28.0,28.0,0.0,5,0.06,0.25,52.2,1.5
8,9.33333,0.04167,0,1,28.0,28.0,3.72823,5,0.06,0.25,52.2,1.4
8,9.33333,0.04167,0,1,28.0,28.0,3.78398,5,0.06,0.25,52.2,1.0
8,8.75,5.0,0,1,35.0,35.0,0.0,5,0.06,0.38,70.4,0.73
8,8.75,5.0,0,1,35.0,35.0,4.56,5,0.06,0.38,70.04,1.45
8,8.75,5.0,0,1,35.0,35.0,6.48,5,0.06,0.38,70.04,1.29
8,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,4,0.98322,0.76086,64.42877,0.645
0,4.89904,0.30129,2,0,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,0.08614
0,4.89904,0.30129,2,0,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,0.20207
0,4.89904,0.30129,2,0,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,0.15357
0,4.89904,0.30129,2,0,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,0.22107
0,4.89904,0.30129,2,0,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,0.05607
0,4.89904,0.30129,2,0,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,0.14879
0,4.89904,0.30129,2,0,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,0.10471
8,7.0,0.02778,1,0,70.0,0.0,0.0,5,1.2,0.0,68.70741,1.0
8,7.0,0.02778,1,0,70.0,0.0,3.3,5,1.2,0.0,68.13741,0.9
8,7.0,0.02778,1,0,70.0,0.0,6.6,5,1.2,0.0,65.79,0.8
8,7.0,0.02778,1,0,70.0,0.0,9.9,5,1.2,0.0,65.52171,0.8
8,7.0,0.16667,1,0,70.0,0.0,13.2,5,1.2,0.0,66.91171,0.9
8,7.0,0.16667,1,0,70.0,0.0,16.5,5,1.2,0.0,65.34171,1.2
7,7.33333,1.0,0,1,44.0,44.0,0.0,5,0.273,0.46008,68.45,0.22812
7,7.33333,1.0,0,1,44.0,44.0,5.89001,5,0.275,0.45106,66.71,0.24111
7,7.33333,1.0,0,1,44.0,44.0,11.86352,5,0.277,0.44238,67.58,0.21505
7,7.33333,1.0,0,1,44.0,44.0,21.41488,5,0.282,0.426,65.41,0.1705
0,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,0.084
0,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,0.1
0,25.33333,0.0,0,1,76.0,0.0,0.0,5,0.1625,0.0,60.0,0.1
0,25.33333,0.0,0,1,76.0,0.0,7.5,5,0.1625,0.0,60.0,0.067
6,0.25,0.56667,0,1,45.0,45.0,0.44444,2,2.4,6.67,55.0,1.27637
6,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,2,0.98322,0.76086,64.42877,1.75
6,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,2,0.98322,0.76086,64.42877,2.02
8,4.89904,0.30129,1,0,42.95345,24.0761,4.34225,4,0.98322,0.76086,64.42877,2.28
8,4.89904,0.30129,1,0,42.95345,24.0761,4.34225,4,0.98322,0.76086,64.42877,2.02
7,5.09091,0.0,0,1,56.0,56.0,2.0,5,0.13,1.11111,55.0,1.8
7,5.09091,0.0,0,1,56.0,56.0,4.0,5,0.13,1.11111,55.0,0.57
7,5.09091,0.0,0,1,56.0,56.0,6.0,5,0.13,1.11111,55.0,0.41
7,5.09091,0.0,0,1,56.0,56.0,8.0,5,0.13,1.11111,55.0,0.09
7,5.09091,0.0,0,1,56.0,56.0,12.0,5,0.13,1.11111,55.0,0.02
7,5.09091,0.0,0,1,56.0,56.0,18.0,5,0.13,1.11111,55.0,0.05
8,8.75,0.0,0,1,35.0,35.0,0.0,5,0.06,0.3,69.2,1.5
8,8.75,0.0,0,1,35.0,35.0,1.06418,5,0.06,0.3,69.2,1.4
8,8.75,0.0,0,1,35.0,35.0,1.06418,5,0.06,0.3,69.2,1.2
8,8.75,0.0,0,1,35.0,35.0,1.06418,5,0.06,0.3,69.2,1.3
