Material_Main,Turning times,Intermittent ratio, Composting Method,M1_is Enclosed,Period (d),V4_Ventilation Day,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),NH3-N loss (%)
9,13.0,0.0,0,1,26.0,26.0,0.0,5,0.05,0.57,65.0,28.0
9,13.0,0.0,0,1,26.0,26.0,3.8,5,0.05,0.57,65.0,9.0
9,13.0,0.0,0,1,26.0,26.0,7.3,5,0.05,0.57,65.0,4.0
9,13.0,0.0,0,1,26.0,26.0,8.9,5,0.05,0.57,65.0,0.5
0,7.0,0.0,0,1,14.0,14.0,0.0,4,0.004,0.1,61.7,6.79
0,7.0,0.0,0,1,14.0,14.0,6.0,4,0.004,0.1,61.4,2.95
0,7.0,0.0,0,1,14.0,14.0,13.0,4,0.004,0.1,59.3,3.01
0,7.0,0.0,0,1,14.0,14.0,23.0,4,0.004,0.1,56.9,2.71
9,6.42857,0.04167,0,1,45.0,45.0,0.0,5,0.09,7.56254,65.0,3.0
9,6.42857,0.04167,0,1,45.0,45.0,16.87764,5,0.09,7.06051,65.0,2.1
9,6.42857,0.04167,0,1,45.0,45.0,15.47117,5,0.09,6.65557,65.0,4.6
9,6.42857,0.04167,0,1,45.0,45.0,15.47117,5,0.09,7.34153,65.0,0.3
9,7.5,0.04167,0,1,45.0,35.0,0.0,5,0.09,2.6,65.0,10.7
9,7.5,0.04167,0,1,45.0,35.0,0.65,5,0.09,2.6,65.0,22.7
9,7.5,0.04167,0,1,45.0,35.0,0.65,5,0.09,2.6,65.0,14.5
9,7.5,0.04167,0,1,45.0,35.0,0.65,5,0.09,2.6,65.0,16.1
9,7.5,0.04167,0,1,45.0,35.0,1.95,5,0.09,2.6,65.0,16.4
7,8.57143,0.04167,1,0,60.0,0.0,0.0,5,0.165,0.0,60.0,5.6
7,8.57143,0.04167,1,0,60.0,0.0,10.0,5,0.165,0.0,59.0,2.3
7,8.57143,0.04167,1,0,60.0,0.0,10.0,5,0.165,0.0,58.0,2.3
3,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,13.3
3,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,8.4
3,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,10.5
3,2.85714,0.56667,0,1,20.0,20.0,0.0,4,0.02,1.06667,68.202,22.0
3,2.85714,0.56667,0,1,20.0,20.0,20.0,4,0.02,1.06667,64.131,4.8
9,9.33333,0.04167,0,1,28.0,28.0,3.72823,5,0.06,0.25,52.2,17.9
9,9.33333,0.04167,0,1,28.0,28.0,3.78398,5,0.06,0.25,52.2,16.1
8,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,36.04333
8,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,27.44832
9,7.8,0.05,0,1,39.0,39.0,0.0,5,0.06,0.43475,69.22,23.2
9,7.8,0.05,0,1,39.0,39.0,0.0,5,0.06,0.43475,69.22,9.6
9,7.8,0.05,0,1,39.0,39.0,0.0,5,0.06,0.43475,69.22,7.1
9,7.8,0.04348,0,1,39.0,39.0,0.0,5,0.06,0.43475,69.22,8.46
9,7.8,0.04348,0,1,39.0,39.0,0.0,5,0.06,0.43475,69.22,5.45
9,0.0,2.0,0,1,26.0,26.0,0.0,4,0.0212,0.91133,61.8,34.9
9,0.0,2.0,0,1,26.0,26.0,0.56,4,0.0212,0.90955,61.8,15.0
9,8.75,5.0,0,1,35.0,35.0,0.0,5,0.06,0.38,70.4,31.32
9,8.75,5.0,0,1,35.0,35.0,4.56,5,0.06,0.38,70.04,21.79
9,8.75,5.0,0,1,35.0,35.0,6.48,5,0.06,0.38,70.04,14.21
9,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,4,0.98322,0.76086,64.42877,9.7
9,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,4,0.98322,0.76086,64.42877,9.3
9,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,4,0.98322,0.76086,64.42877,2.147
9,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,4,0.98322,0.76086,64.42877,5.739
9,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,4,0.98322,0.76086,64.42877,3.462
0,0.0,0.01389,0,1,15.0,15.0,0.0,5,0.17,0.2885,70.5,19.81132
0,0.0,0.01389,0,1,15.0,15.0,3.62976,5,0.17,0.29038,71.0,13.54167
0,0.0,1.0,0,1,15.0,15.0,7.30994,5,0.17,0.2924,71.5,11.6129
0,0.0,0.33333,0,1,15.0,15.0,9.97672,5,0.17,0.26605,69.0,9.12409
0,0.0,0.5,0,1,15.0,15.0,0.0,5,0.17,0.26377,70.0,10.75581
0,0.0,2.0,0,1,15.0,15.0,13.09719,5,0.17,0.28166,71.8,10.84337
0,0.0,5.0,0,1,15.0,15.0,24.36647,5,0.17,0.26201,69.6,15.50633
0,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,16.66667
0,0.0,5.0,0,1,15.0,6.0,0.0,5,0.17,0.28948,70.6,16.03774
0,0.0,5.0,0,1,15.0,6.0,3.10479,5,0.17,0.28882,70.8,14.96815
0,0.0,1.0,0,1,15.0,6.0,3.43688,5,0.17,0.28171,70.1,13.54839
0,0.0,1.0,0,1,15.0,6.0,3.68545,5,0.17,0.27867,69.8,15.16129
0,0.0,1.0,0,1,15.0,15.0,0.0,5,0.17,0.27765,71.5,14.81481
0,0.0,0.02778,0,1,15.0,15.0,3.66885,5,0.17,0.28276,72.3,16.66667
0,0.0,0.02778,0,1,15.0,15.0,7.0174,5,0.17,0.27016,71.3,12.9771
0,0.0,0.02778,0,1,15.0,15.0,10.35227,5,0.17,0.26561,71.1,13.2
9,7.0,0.02778,1,0,70.0,0.0,0.0,5,1.2,0.0,68.70741,35.3
9,7.0,0.02778,1,0,70.0,0.0,3.3,5,1.2,0.0,68.13741,28.0
9,7.0,0.02778,1,0,70.0,0.0,6.6,5,1.2,0.0,65.79,21.2
9,7.0,0.02778,1,0,70.0,0.0,9.9,5,1.2,0.0,65.52171,16.8
9,7.0,0.16667,1,0,70.0,0.0,13.2,5,1.2,0.0,66.91171,14.8
9,7.0,0.16667,1,0,70.0,0.0,16.5,5,1.2,0.0,65.34171,8.3
7,2.16667,1.0,0,1,13.0,13.0,0.0,4,0.06,0.72,55.0,12.84
8,2.0,0.0,0,1,22.0,22.0,0.525,4,0.0035,0.377,59.4,16.2936
8,2.0,0.0,0,1,22.0,22.0,0.55,4,0.0035,0.26,57.5,18.7427
8,2.0,0.0,0,1,22.0,22.0,0.0,4,0.0035,0.35,58.2,33.8826
7,0.25,0.56667,0,1,45.0,45.0,0.0,2,2.4,6.67,55.0,17.965
7,0.25,0.56667,0,1,45.0,45.0,0.44444,2,2.4,6.67,55.0,3.22179
7,0.25,0.56667,0,1,45.0,45.0,0.44444,2,2.4,6.67,55.0,5.63813
7,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,2,0.98322,0.76086,64.42877,10.351
7,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,2,0.98322,0.76086,64.42877,2.046
7,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,2,0.98322,0.76086,64.42877,2.362
3,7.5,0.0,0,1,30.0,30.0,0.0,2,0.06,0.2,60.59701,24.9
3,7.5,0.0,0,1,30.0,30.0,2.1383,2,0.06,0.2,57.62952,12.6
3,7.5,0.0,0,1,30.0,30.0,3.20088,2,0.06,0.2,57.62952,15.3
3,7.5,0.0,0,1,30.0,30.0,2.216,2,0.06,0.2,57.62952,8.9
3,7.5,0.0,0,1,30.0,30.0,2.53615,2,0.06,0.2,57.62952,8.9
3,2.11111,0.0,0,1,19.0,19.0,0.0,2,0.0542,10.0,70.0,16.5467
3,2.11111,0.0,0,1,19.0,19.0,3.0,2,0.0938,10.0,70.0,12.879
3,2.11111,0.0,0,1,19.0,19.0,6.9,2,0.0894,10.0,70.0,12.879
3,2.11111,0.0,0,1,19.0,19.0,9.9,2,0.0498,10.0,70.0,2.9862
9,4.89904,0.30129,1,0,42.95345,24.0761,4.34225,4,0.98322,0.76086,64.42877,21.4
9,4.89904,0.30129,1,0,42.95345,24.0761,4.34225,4,0.98322,0.76086,64.42877,20.7
9,9.33333,0.0,1,0,112.0,0.0,0.0,4,0.9707,0.0,64.9,18.4
9,9.33333,0.0,1,0,112.0,0.0,2.8169,4,0.9529,0.0,64.5,19.7
3,3.88889,0.0,0,1,35.0,35.0,2.25,4,0.02,0.5,67.672,27.1028
3,3.88889,0.0,0,1,35.0,35.0,1.8209,4,0.02,0.5,67.672,0.46729
3,3.88889,0.0,0,1,35.0,35.0,2.5709,4,0.02,0.5,67.062,10.42991
3,3.88889,0.0,0,1,35.0,35.0,3.3209,4,0.02,0.5,66.532,17.37382
3,3.88889,0.0,0,1,35.0,35.0,4.0709,4,0.02,0.5,65.216,29.17756
9,6.66667,0.04348,0,1,40.0,30.0,0.0,5,0.1684,7.69231,64.54545,26.0
9,6.66667,0.04348,0,1,40.0,30.0,6.0,5,0.1644,7.31707,63.55556,11.8
9,6.66667,0.04348,0,1,40.0,30.0,15.0,5,0.1547,6.81818,62.06897,21.5
