Material_Main,Turning times,Intermittent ratio,Additive_3,Additive_4, Composting Method,M1_is Enclosed,Period (d),V1_Ventilation Type,V4_Ventilation Day,Compost volume (m3),Material_2,Application Rate (%DW),Initial C/N (%),Initial Moisture Content (%),Initial TN (%),V5_Ventilation rate (L/min/kg iniDW),Initial pH,Final GI (%)
5,6.42857,0.04167,0,0,0,0,10,0,9,0.09,3,0.0,12.93902,65.0,2.46,7.56254,6.5,82.6531
5,6.42857,0.04167,0,0,0,0,10,0,9,0.09,3,16.87764,11.15335,65.0,3.13,7.06051,6.1,79.5918
5,6.42857,0.04167,0,0,0,0,10,0,9,0.09,3,15.47117,10.95636,65.0,2.75,6.65557,7.2,81.7347
5,6.42857,0.04167,0,0,0,0,10,0,9,0.09,3,15.47117,9.83607,65.0,3.05,7.34153,6.2,84.7959
5,7.5,0.04167,0,0,0,0,10,0,7,0.09,3,0.0,12.9607,65.0,2.46,2.6,6.28722,84.3683
5,7.5,0.04167,0,0,0,0,10,0,7,0.09,3,0.65,11.7281,65.0,2.97,2.6,7.1357,82.1126
5,7.5,0.04167,0,0,0,0,10,0,7,0.09,3,0.65,14.0483,65.0,2.52,2.6,7.42357,85.7217
5,7.5,0.04167,0,0,0,0,10,0,7,0.09,3,0.65,12.0181,65.0,2.79,2.6,6.98414,63.165
5,7.5,0.04167,0,0,0,0,10,0,7,0.09,3,1.95,12.5619,65.0,2.73,2.6,6.92358,60.9107
2,0.0,0.025,0,0,0,0,13,0,12,0.02,2,1.94326,30.4041,55.0,1.51479,0.35,6.50999,85.6
2,0.0,1.0,0,0,0,0,13,0,12,0.02,2,6.94326,34.0404,55.0,1.44971,0.35,6.29485,119.5
3,0.25,0.56667,0,0,0,0,10,0,9,2.4,1,0.0,30.4875,55.0,1.09466,6.67,7.87459,98.9221
3,0.25,0.56667,0,0,0,0,10,0,9,2.4,1,0.44444,29.153,55.0,1.12653,6.67,7.73601,120.626
3,0.25,0.56667,0,0,0,0,10,0,9,2.4,1,0.44444,31.2883,55.0,1.03964,6.67,7.7218,114.157
5,4.25,0.08333,0,0,0,0,6,0,6,0.06,2,0.0,20.8683,60.0,2.83121,0.0,8.26949,75.7692
5,4.25,0.08333,0,0,0,0,6,0,6,0.06,2,7.5,19.9837,60.0,2.93429,0.0,7.98373,84.5385
5,4.25,0.08333,0,0,0,0,6,0,6,0.06,2,7.5,20.2439,60.0,2.8646,0.0,7.86487,77.8462
5,4.25,0.08333,0,0,0,0,6,0,6,0.06,2,7.5,20.2959,60.0,2.9372,0.0,7.18207,94.4615
5,6.66667,0.04348,0,0,0,0,9,0,4,0.1158,3,0.0,16.53936,64.54545,2.34,7.69231,6.8098,94.3868
5,6.66667,0.04348,0,0,0,0,9,0,4,0.1146,3,6.0,16.39658,63.55556,2.31,7.31707,5.99866,84.1981
5,6.66667,0.04348,0,0,0,0,9,0,4,0.0996,3,15.0,15.97083,62.06897,2.41,6.81818,6.19841,102.028
5,6.66667,0.04348,0,0,0,0,9,0,4,0.1086,3,1.46082,16.34774,65.17413,2.34,7.79221,6.11367,94.1038
4,5.09091,0.0,0,0,0,0,13,0,12,0.13,3,0.0,25.02125,55.0,1.80435,1.11111,7.4,56.41
4,5.09091,0.0,0,0,0,0,13,0,12,0.13,3,2.0,25.08996,55.0,1.84239,1.11111,7.8,65.5
4,5.09091,0.0,0,0,0,0,13,0,12,0.13,3,4.0,25.00167,55.0,1.8587,1.11111,7.8,72.85
4,5.09091,0.0,0,0,0,0,13,0,12,0.13,3,6.0,23.99361,55.0,1.95109,1.11111,8.0,81.34
4,5.09091,0.0,0,0,0,0,13,0,12,0.13,3,8.0,22.31769,55.0,2.11957,1.11111,8.0,87.63
4,5.09091,0.0,0,0,0,0,13,0,12,0.13,3,12.0,21.13909,55.0,2.27717,1.11111,8.1,98.63
5,6.25,0.04167,0,0,0,0,11,0,10,0.18,1,2.38663,27.23,58.1,1.55,5.96659,8.03,69.2
5,7.14286,0.04167,0,0,0,0,11,0,10,0.18,1,2.5,17.6,60.0,2.66347,6.25,6.79766,46.8
5,7.14286,0.04167,0,0,0,0,11,0,10,0.18,1,2.5,24.0,60.0,1.99045,6.25,7.85069,52.5
5,7.14286,0.04167,0,0,0,0,11,0,10,0.18,1,2.5,32.4,60.0,1.55129,6.25,6.97411,60.0
5,7.14286,0.04167,0,0,0,0,11,0,10,0.18,1,2.5,40.3,60.0,1.24328,6.25,6.81878,59.0
5,7.14286,0.04167,0,0,0,0,11,0,10,0.18,1,2.5,24.0,60.0,1.74582,6.25,8.18053,52.5
5,7.14286,0.04167,0,0,0,0,11,0,10,0.18,1,5.0,24.4,60.0,1.71339,6.25,8.08772,50.2
5,7.14286,0.04167,0,0,0,0,11,0,10,0.18,1,7.5,24.1,60.0,1.74626,6.25,8.03508,51.8
5,7.14286,0.04167,0,0,0,0,11,0,10,0.18,1,10.0,24.1,60.0,1.73292,6.25,7.92372,51.5
5,7.0,0.04167,0,0,0,0,7,0,7,0.18,1,2.5,27.0,60.0,1.8811,6.25,8.35331,57.7
5,7.0,0.04167,0,0,0,0,7,0,7,0.18,1,9.23077,26.0,60.0,1.76278,6.25,8.3426,63.6
5,7.0,0.04167,0,0,0,0,7,0,7,0.18,1,16.92308,26.3,60.0,1.55575,6.25,8.23822,60.5
5,5.68069,0.88302,0,0,0,0,7,0,7,0.2668,1,3.49522,20.85845,62.63559,2.06114,2.13841,7.2702,74.6
2,7.5,2.0,0,0,0,0,4,0,4,0.06,3,0.0,32.46,53.59,1.1,2.33308,7.67894,86.0078
2,7.5,2.0,0,0,0,0,4,0,4,0.06,3,0.0,20.90016,63.895,2.0724,0.51828,7.41884,101.859
2,7.5,2.0,0,0,0,0,4,0,4,0.06,3,4.23684,20.27554,65.194,2.21587,0.33119,7.56405,103.327
2,7.5,2.0,0,0,0,0,4,0,4,0.06,3,4.23684,20.27554,65.194,2.21587,0.33119,7.56405,87.7691
5,9.25,5.0,0,0,0,0,8,0,8,0.06,3,0.0,14.5,65.0,2.4,0.24,7.80334,62.2568
5,9.25,5.0,0,0,0,0,8,0,8,0.06,3,0.0,18.09524,65.0,2.1,0.48,7.74611,90.856
5,9.25,5.0,0,0,0,0,8,0,8,0.06,3,0.0,20.73684,65.0,1.9,0.72,7.58134,83.6576
5,9.25,5.0,0,0,0,0,8,0,8,0.06,3,0.0,18.09524,70.0,2.1,0.24,7.74611,81.5175
5,9.25,5.0,0,0,0,0,8,0,8,0.06,3,0.0,21.10526,70.0,1.9,0.48,7.74611,85.7977
5,9.25,5.0,0,0,0,0,8,0,8,0.06,3,0.0,14.66667,70.0,2.4,0.72,7.79911,66.1479
5,9.25,5.0,0,0,0,0,8,0,8,0.06,3,0.0,21.52632,75.0,1.9,0.24,7.75899,73.7354
5,9.25,5.0,0,0,0,0,8,0,8,0.06,3,0.0,14.70833,75.0,2.4,0.48,7.8286,53.3074
5,9.25,5.0,0,0,0,0,8,0,8,0.06,3,0.0,17.90476,75.0,2.1,0.72,7.74611,85.9922
3,0.0,1.0,0,0,0,0,2,0,2,0.06,3,0.0,20.12346,60.0,2.2314,0.82645,7.1,97.0
3,0.0,1.0,0,0,0,0,2,0,2,0.06,3,0.0,20.01965,60.0,2.23068,1.64384,6.9,106.28
5,14.0,1.0,0,0,0,0,3,0,3,0.07122,3,0.0,15.04166,60.0,2.6237,0.8589,7.23508,75.0
5,14.0,1.0,0,0,0,0,3,0,3,0.07122,3,0.0,19.96354,60.0,1.99111,0.92562,7.33786,88.5
5,14.0,1.0,0,0,0,0,3,0,3,0.07122,3,0.0,24.98683,60.0,1.60222,0.90323,6.92511,116.05
1,7.0,0.5,0,0,0,0,3,0,3,0.06,3,0.0,25.0,66.9,1.5,1.20727,5.75,70.8
1,7.0,0.5,0,0,0,0,3,0,3,0.06,0,0.0,20.9,58.6,1.7,0.96434,5.36,121.4
3,0.0,1.0,0,0,2,0,1,0,1,0.78001,2,0.0,30.3,59.79,1.147,0.15543,8.89,107.576
3,0.0,1.0,0,0,2,0,1,0,1,0.78001,2,0.0,30.3,59.79,1.147,0.31087,8.89,117.677
3,0.0,1.0,0,0,2,0,1,0,1,0.78001,2,0.0,30.3,59.79,1.147,0.15543,8.89,88.3838
4,0.0,0.5,0,0,0,0,0,0,0,0.004,2,0.0,16.4,71.2,2.46,2.54784,7.43,101.1
4,0.0,0.5,0,0,0,0,0,0,0,0.004,2,10.94212,12.5,69.1,2.74,2.72667,7.19,65.5
4,0.0,0.5,0,0,0,0,0,0,0,0.004,2,11.28912,13.8,69.8,2.52,3.22293,7.1,85.7143
4,0.0,0.5,0,0,0,0,0,0,0,0.004,2,12.35747,13.3,70.0,2.62,2.69891,7.45,48.3
