Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),CH4-C loss (%)
5,1,0,60.0,0,0.0,0.0,5,0.0,5,0.22,0.0,64.9862,15.04178,2.65926,0,40.0,3,0.38975,0.008
5,1,0,60.0,0,0.0,0.0,5,10.0,5,0.22,0.0,62.7622,13.04196,2.86,0,37.3,3,0.40482,0.0012
5,1,0,60.0,0,0.0,0.0,5,10.0,5,0.22,0.0,60.6549,14.48276,2.61,0,37.8,3,0.38305,0.0018
3,0,1,35.0,0,35.0,0.0,5,0.0,5,0.06,0.2,60.0,22.1,1.79,0,39.559,3,0.48217,0.33
3,0,1,35.0,0,35.0,0.0,5,10.0,5,0.06,0.2,60.0,18.2,1.98,0,36.036,13,0.55034,0.06
3,0,1,35.0,0,35.0,0.0,5,10.0,5,0.06,0.2,60.0,19.1,1.89,0,36.099,17,0.5489,0.09
0,2,0,134.0,0,0.0,0.0,5,17.8,5,2.21016,0.0,64.61,18.9,1.32,0,24.948,8,0.45246,0.20367
0,2,0,44.44706,0,22.85922,3.69595,5,4.90157,5,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,8,0.47538,0.17572
7,1,0,70.0,0,0.0,0.0,9,0.0,5,1.2,0.0,65.02,18.89189,2.208,0,33.38564,3,0.24997,0.21
7,1,0,70.0,0,0.0,0.0,9,3.3,5,1.2,0.0,68.97,18.89189,1.80463,0,31.82848,17,0.24997,0.03
7,1,0,70.0,0,0.0,0.0,9,6.6,5,1.2,0.0,69.44,18.89189,1.82607,0,32.88195,17,0.44095,0.16
7,1,0,70.0,0,0.0,0.0,9,9.9,5,1.2,0.0,67.53171,18.89189,2.09809,0,35.55327,17,0.44095,0.24
7,1,0,70.0,0,0.0,0.0,9,13.2,5,1.2,0.0,67.61171,18.89189,2.30369,0,39.93713,17,0.42921,0.22
7,1,0,70.0,0,0.0,0.0,9,16.5,5,1.2,0.0,69.26171,18.89189,2.32571,0,38.57293,17,0.41511,0.08
6,0,1,44.0,4,44.0,20.0,6,0.0,5,0.273,0.46008,68.45,12.58617,2.53,1,31.843,3,0.22894,0.28012
6,0,1,44.0,4,44.0,20.0,6,5.89001,5,0.275,0.45106,66.71,13.36798,2.511,1,33.567,3,0.23182,0.23237
