Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),CO2-C loss (%)
2,0,1,35.0,0,35.0,0.0,4,0.0,5,0.06,0.2,60.0,22.1,1.79,0,39.559,0,0.48217,51.5
6,0,1,28.0,0,28.0,0.0,3,0.0,6,0.06,0.36,62.06,17.91,1.95,0,34.9245,0,0.7402,32.11
6,0,1,28.0,0,28.0,0.0,3,10.0,6,0.06,0.36,58.69,18.23,1.96,0,35.7308,9,0.78068,24.5
5,0,1,34.0,0,34.0,0.0,5,0.0,5,0.06,0.27211,65.0,11.37,2.21557,0,33.23298,0,0.58333,39.47
5,0,1,34.0,0,34.0,0.0,5,10.0,5,0.06,0.26291,65.0,11.37,2.21292,0,35.76798,9,0.60375,35.38
5,0,1,34.0,0,34.0,0.0,5,10.28571,5,0.06,0.26265,65.0,11.37,2.21292,0,35.63567,9,0.60433,30.39
5,0,1,34.0,0,34.0,0.0,5,14.57143,5,0.06,0.2589,65.0,11.37,2.25992,0,37.42,9,0.61308,35.42
6,0,1,50.0,0,50.0,0.0,7,0.0,5,0.1,0.3,55.0,25.0,2.084,0,52.1,0,0.56915,14.697
6,0,1,50.0,0,50.0,0.0,7,10.0,5,0.1,0.3,62.41946,25.10433,2.03465,0,43.48709,0,0.52318,9.51515
6,0,1,50.0,0,50.0,0.0,7,20.0,5,0.1,0.3,59.73189,22.14199,2.27241,0,43.60416,0,0.44474,9.36364
6,0,1,50.0,0,50.0,0.0,7,20.5,5,0.1,0.3,59.73189,22.14199,2.35764,0,43.60416,0,0.44474,8.66667
6,0,1,50.0,0,50.0,0.0,7,21.0,5,0.1,0.3,59.73189,22.14199,2.35764,0,42.85043,0,0.44474,7.36364
6,0,1,50.0,0,50.0,0.0,7,22.0,5,0.1,0.3,59.73189,22.14199,2.33658,0,42.85043,0,0.44474,7.15152
4,0,1,91.0,0,0.0,0.0,9,0.0,5,0.25,0.0,60.0,20.0,1.99,0,39.8,0,0.40065,18.3728
4,0,1,91.0,0,25.6,0.0,9,12.5,5,0.25,0.14475,60.0,20.0,2.02,0,40.4,0,0.34394,12.9586
4,0,1,91.0,0,25.6,0.0,9,12.5,5,0.25,0.14475,60.0,20.0,1.93,0,38.6,2,0.34394,14.645
4,0,1,44.44706,0,22.85922,3.69595,9,4.90157,5,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,0,0.47538,8.07692
4,0,1,44.44706,0,22.85922,3.69595,9,4.90157,5,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,0,0.47538,19.2604
4,0,1,91.0,0,13.6,0.0,9,12.5,5,0.25,0.07875,60.0,25.0,1.78,0,44.5,0,0.37521,10.9172
4,0,1,91.0,0,13.6,0.0,9,12.5,5,0.25,0.07875,60.0,25.0,1.82,0,45.5,2,0.37521,17.0414
4,0,1,44.44706,0,22.85922,3.69595,9,4.90157,5,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,0,0.47538,10.8284
4,0,1,91.0,0,0.0,0.0,9,0.0,5,0.25,0.0,60.0,30.0,1.67,0,50.1,0,0.42587,21.8343
4,0,1,91.0,0,30.0,0.0,9,12.5,5,0.25,0.41755,60.0,30.0,1.63,0,48.9,0,0.39615,11.4497
4,0,1,91.0,0,30.0,0.0,9,12.5,5,0.25,0.41755,60.0,30.0,1.7,0,51.0,2,0.39615,16.9527
4,0,1,44.44706,0,22.85922,3.69595,9,4.90157,5,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,0,0.47538,11.8935
6,0,0,84.0,0,0.0,0.0,0,0.0,5,0.12,0.0,81.0,12.2,3.86,0,46.9,0,0.35789,9.8
6,0,0,84.0,0,0.0,0.0,0,0.0,5,0.12,0.0,75.8,15.3,3.18,0,48.8,0,0.37259,10.5
1,0,0,84.0,0,0.0,0.0,0,0.0,5,0.12,0.0,77.3,22.3,2.16,0,48.2,0,0.34361,13.4
1,0,0,84.0,0,0.0,0.0,0,0.0,5,0.12,0.0,77.0,20.1,2.25,0,45.3,0,0.35833,26.7
1,0,0,84.0,0,0.0,0.0,0,0.0,0,0.12,0.0,80.0,29.9,1.82,0,54.5,0,0.35875,14.7
1,0,0,84.0,0,0.0,0.0,0,22.28321,5,0.12,0.0,84.1,16.9,2.26,0,38.3,0,0.35901,1.9
1,0,0,84.0,0,0.0,0.0,0,9.53373,5,0.12,0.0,80.7,20.5,2.21,0,45.3,0,0.35838,13.1
1,0,0,84.0,0,0.0,0.0,0,15.84383,5,0.12,0.0,81.5,21.3,2.03,0,42.5,0,0.35766,7.3
1,0,1,28.0,0,28.0,0.0,0,0.0,5,0.01,0.28,69.0,11.0,3.7,0,40.7,0,0.24194,15.28999
1,0,1,28.0,0,28.0,0.0,0,0.0,3,0.01,0.28,63.0,11.0,3.7,0,40.7,0,0.27027,15.59457
1,0,1,28.0,0,28.0,0.0,0,0.0,3,0.01,0.28,66.0,11.0,3.7,0,40.7,0,0.25735,16.09073
1,0,1,28.0,0,28.0,0.0,0,0.0,4,0.01,0.28,65.0,14.7,2.85034,0,41.9,0,0.28571,11.49215
1,0,1,28.0,0,28.0,0.0,0,0.0,4,0.01,0.28,67.0,12.9,3.2093,0,41.4,0,0.26515,12.09028
1,0,1,28.0,0,28.0,0.0,0,25.0,5,0.01,0.28,65.0,16.7,2.93413,0,49.0,0,0.28571,8.3991
1,0,1,28.0,0,28.0,0.0,0,14.28571,5,0.01,0.28,67.0,14.0,3.24286,0,45.4,0,0.26515,9.9976
1,0,1,28.0,0,28.0,0.0,0,0.0,5,0.01,0.28,65.0,14.0,2.95714,0,41.4,0,0.28571,12.09433
1,0,1,28.0,0,28.0,0.0,0,0.0,1,0.01,0.28,65.0,12.1,3.34711,0,40.5,0,0.28571,15.15254
6,0,1,37.0,0,37.0,0.0,3,0.0,5,0.06,0.24,64.1,14.7,2.36,0,34.8,0,0.48579,31.4
6,0,1,37.0,0,37.0,0.0,3,0.0,5,0.06,0.48,65.2,18.3,2.08,0,38.0,0,0.5632,42.9
6,0,1,37.0,0,37.0,0.0,3,0.0,5,0.06,0.72,63.7,20.7,1.9,0,39.4,0,0.60445,44.8
6,0,1,37.0,0,37.0,0.0,3,0.0,5,0.06,0.24,71.3,18.4,2.06,0,38.0,0,0.55183,32.1
6,0,1,37.0,0,37.0,0.0,3,0.0,5,0.06,0.48,70.6,21.1,1.9,0,40.1,0,0.55339,45.6
6,0,1,37.0,0,37.0,0.0,3,0.0,5,0.06,0.72,70.8,15.0,2.35,0,35.2,0,0.58483,42.4
