Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),Final GI (%)
8,0,1,26.0,0,26.0,0.0,2,0.0,5,0.05,0.57,65.0,15.0,2.66,0,39.9,6,0.532,82.0
8,0,1,26.0,0,26.0,0.0,2,3.8,5,0.05,0.57,65.0,15.0,2.66,0,39.9,20,0.532,96.0
8,0,1,26.0,0,26.0,0.0,2,7.3,5,0.05,0.57,65.0,15.0,2.66,0,39.9,20,0.532,100.0
8,0,1,26.0,0,26.0,0.0,2,8.9,5,0.05,0.57,65.0,15.0,2.66,0,39.9,20,0.532,76.0
8,0,1,45.0,12,45.0,30.0,7,0.0,5,0.09,7.56254,65.0,12.93902,2.46,1,31.83,6,0.25556,82.6531
8,0,1,45.0,12,45.0,30.0,7,16.87764,5,0.09,7.06051,65.0,11.15335,3.13,1,34.91,0,0.27022,79.5918
8,0,1,45.0,12,45.0,30.0,7,15.47117,5,0.09,6.65557,65.0,10.95636,2.75,1,30.13,3,0.269,81.7347
8,0,1,45.0,12,45.0,30.0,7,15.47117,5,0.09,7.34153,65.0,9.83607,3.05,1,30.0,34,0.269,84.7959
8,0,1,45.0,12,35.0,30.0,6,0.0,5,0.09,2.6,65.0,12.9607,2.46,1,31.88332,6,0.25,84.3683
8,0,1,45.0,12,35.0,30.0,6,0.65,5,0.09,2.6,65.0,11.7281,2.97,1,34.83246,15,0.25,82.1126
8,0,1,45.0,12,35.0,30.0,6,0.65,5,0.09,2.6,65.0,14.0483,2.52,1,35.40172,25,0.25,85.7217
8,0,1,45.0,12,35.0,30.0,6,0.65,5,0.09,2.6,65.0,12.0181,2.79,1,33.5305,25,0.25,63.165
8,0,1,45.0,12,35.0,30.0,6,1.95,5,0.09,2.6,65.0,12.5619,2.73,1,34.29399,25,0.25,60.9107
3,0,1,56.0,0,0.0,0.0,0,1.94326,3,0.02,0.35,55.0,30.4041,1.51479,1,46.05583,22,0.5,85.6
3,0,1,56.0,0,0.0,0.0,0,6.94326,3,0.02,0.35,55.0,34.0404,1.44971,1,49.34871,22,0.5,119.5
3,0,1,35.0,0,35.0,0.0,5,0.0,5,0.06,0.2,60.0,22.1,1.79,0,39.559,6,0.48217,122.9
3,0,1,35.0,0,35.0,0.0,5,10.0,5,0.06,0.2,60.0,18.2,1.98,0,36.036,28,0.55034,103.3
3,0,1,35.0,0,35.0,0.0,5,10.0,5,0.06,0.2,60.0,19.1,1.89,0,36.099,34,0.5489,94.5
8,0,1,28.0,0,28.0,0.0,3,0.0,5,0.06,0.25,52.2,24.8,2.23,0,55.304,6,0.75279,116.83
8,0,1,28.0,0,28.0,0.0,3,3.72823,5,0.06,0.25,52.2,24.8,2.23,0,55.304,20,0.72069,106.765
8,0,1,28.0,0,28.0,0.0,3,3.78398,5,0.06,0.25,52.2,24.8,2.23,0,55.304,20,0.72069,108.157
8,0,1,60.0,0,0.0,0.0,0,0.0,3,0.1,0.0,58.0,33.0,1.43721,0,50.0,6,0.5,74.9231
8,0,1,60.0,0,0.0,0.0,0,2.5,3,0.1,0.0,58.0,34.3643,1.41191,0,48.5193,19,0.5,75.6934
8,0,1,60.0,0,0.0,0.0,0,5.0,3,0.1,0.0,58.0,34.7059,1.40468,0,48.75068,19,0.5,84.7699
8,0,1,60.0,0,0.0,0.0,0,7.5,3,0.1,0.0,58.0,33.9089,1.35045,0,45.79227,19,0.5,82.5414
8,0,1,60.0,0,0.0,0.0,0,10.0,3,0.1,0.0,58.0,35.0474,1.30709,0,45.81011,19,0.5,84.2347
8,0,1,39.0,0,39.0,0.0,5,0.0,5,0.06,0.4775,69.16,20.7524,2.01339,0,40.3878,6,0.46523,89.82
8,0,1,39.0,0,39.0,0.0,5,2.16,5,0.06,0.43902,68.07,20.7524,2.011,0,40.45,20,0.45384,99.54
8,0,1,39.0,0,39.0,0.0,5,2.16,5,0.06,0.43902,68.07,20.7524,2.011,0,40.45,13,0.45384,69.87
8,0,1,39.0,0,39.0,0.0,5,2.16,5,0.06,0.43902,68.07,20.7524,2.011,0,40.45,14,0.45384,118.24
8,0,1,39.0,0,39.0,0.0,5,2.16,5,0.06,0.43902,68.07,20.7524,2.011,0,40.45,7,0.45384,107.42
8,0,1,35.0,0,35.0,0.0,4,0.0,5,0.06,0.38,70.4,20.3,2.09,0,42.4,6,0.56533,116.28
8,0,1,35.0,0,35.0,0.0,4,4.56,5,0.06,0.38,69.19,24.12664,2.17362,0,36.54298,20,0.47339,108.464
8,0,1,35.0,0,35.0,0.0,4,6.48,5,0.06,0.38,64.34,19.18944,2.40973,0,35.94666,20,0.57893,124.906
5,2,0,44.44706,0,22.85922,3.69595,11,4.90157,5,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,6,0.47538,53.4975
5,2,0,44.44706,0,22.85922,3.69595,11,4.90157,5,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,6,0.47538,52.9064
6,0,1,56.0,0,0.0,0.0,0,0.0,5,0.13,0.0,62.56,26.60381,1.62909,0,40.59389,6,0.5,56.41
6,0,1,56.0,0,0.0,0.0,0,2.0,5,0.13,0.0,60.92,25.44401,1.67229,0,41.5741,3,0.5,63.78
6,0,1,56.0,0,0.0,0.0,0,4.0,5,0.13,0.0,59.92,28.27403,1.59288,0,43.52265,3,0.5,74.46
6,0,1,56.0,0,0.0,0.0,0,6.0,5,0.13,0.0,60.42,27.73011,1.57623,0,42.54203,3,0.5,85.47
6,0,1,56.0,0,0.0,0.0,0,10.0,5,0.13,0.0,61.68,26.31403,1.66813,0,41.63044,3,0.5,93.15
5,0,1,45.0,5,45.0,17.0,19,0.0,2,2.4,6.67,55.0,30.4875,1.09466,1,33.3734,6,0.41667,98.9221
5,0,1,45.0,5,45.0,17.0,19,0.44444,2,2.4,6.67,55.0,29.153,1.12653,1,32.8418,1,0.41667,120.626
5,0,1,45.0,5,45.0,17.0,19,0.44444,2,2.4,6.67,55.0,31.2883,1.03964,1,32.5285,29,0.41667,114.157
3,0,1,30.0,0,30.0,0.0,4,0.0,2,0.06,0.2,60.59701,20.0,1.9,0,38.0,6,0.50325,93.0576
3,0,1,30.0,0,30.0,0.0,4,2.1383,2,0.06,0.2,53.94105,17.30066,2.7751,0,37.7404,20,0.43963,100.295
3,0,1,30.0,0,30.0,0.0,4,3.20088,2,0.06,0.2,54.98105,19.0771,2.27541,0,40.8224,34,0.47439,106.056
3,0,1,30.0,0,30.0,0.0,4,2.216,2,0.06,0.2,53.94105,17.30066,2.7751,0,37.7404,11,0.43963,90.9897
3,0,1,30.0,0,30.0,0.0,4,2.53615,2,0.06,0.2,54.98105,19.0771,2.24241,0,40.8224,4,0.47058,80.3545
8,0,1,34.0,10,34.0,30.0,8,0.0,3,0.06,0.0,60.0,20.8683,2.83121,1,59.08254,6,0.55892,75.7692
8,0,1,34.0,10,34.0,30.0,8,7.5,3,0.06,0.0,60.0,19.9837,2.93429,1,58.63797,36,0.53853,84.5385
8,0,1,34.0,10,34.0,30.0,8,7.5,3,0.06,0.0,60.0,20.2439,2.8646,1,57.99068,34,0.53853,77.8462
8,0,1,34.0,10,34.0,30.0,8,7.5,3,0.06,0.0,60.0,20.2959,2.9372,1,59.61312,20,0.53853,94.4615
8,1,1,44.44706,0,22.85922,3.69595,8,4.90157,3,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,6,0.47538,70.4558
8,1,1,56.0,0,28.0,0.0,8,8.4771,3,0.4,5e-05,65.0,22.41908,1.52655,0,40.343,6,0.29355,83.6808
8,1,1,56.0,0,28.0,0.0,8,16.95419,3,0.4,5e-05,65.0,22.71355,2.06146,0,39.6865,6,0.3021,130.879
8,1,1,56.0,0,28.0,0.0,8,9.04224,3,0.4,5e-05,65.0,23.44908,1.64084,0,39.3605,6,0.29412,88.4688
8,1,1,56.0,0,28.0,0.0,8,10.17252,3,0.4,5e-05,65.0,23.44908,1.64084,0,39.3605,6,0.29526,98.5016
3,0,1,35.0,0,35.0,0.0,9,2.25,3,0.02,0.5,62.57135,29.0076,1.65319,0,43.42961,17,0.49253,115.9
3,0,1,35.0,0,35.0,0.0,9,3.3209,3,0.02,0.5,61.283,26.9466,1.74389,0,42.97901,17,0.45386,109.7
3,0,1,35.0,0,35.0,0.0,9,4.0709,3,0.02,0.5,65.7516,29.0458,1.56629,0,41.99891,17,0.45322,125.1
8,0,1,40.0,11,30.0,30.0,6,0.0,5,0.11343,7.69231,64.54545,16.53936,2.34,1,38.7021,6,0.74199,94.3868
8,0,1,40.0,11,30.0,30.0,6,6.0,5,0.11343,7.31707,63.55556,16.39658,2.31,1,37.8761,34,0.5264,84.1981
8,0,1,40.0,11,30.0,30.0,6,15.0,5,0.09105,6.81818,62.06897,15.97083,2.41,1,38.4897,31,0.314,102.028
8,0,1,40.0,11,30.0,30.0,6,1.46082,5,0.11343,7.79221,65.17413,16.34774,2.34,1,38.2537,35,0.73956,94.1038
6,0,1,56.0,0,56.0,0.0,11,0.0,5,0.13,1.11111,55.0,25.02125,1.80435,1,45.1471,6,0.5,56.41
6,0,1,56.0,0,56.0,0.0,11,2.0,5,0.13,1.11111,55.0,25.08996,1.84239,1,46.2255,6,0.5,65.5
6,0,1,56.0,0,56.0,0.0,11,4.0,5,0.13,1.11111,55.0,25.00167,1.8587,1,46.4706,6,0.5,72.85
6,0,1,56.0,0,56.0,0.0,11,6.0,5,0.13,1.11111,55.0,23.99361,1.95109,1,46.8137,6,0.5,81.34
6,0,1,56.0,0,56.0,0.0,11,8.0,5,0.13,1.11111,55.0,22.31769,2.11957,1,47.3039,6,0.5,87.63
6,0,1,56.0,0,56.0,0.0,11,12.0,5,0.13,1.11111,55.0,21.13909,2.27717,1,48.1373,6,0.5,98.63
6,0,1,56.0,0,56.0,0.0,11,18.0,5,0.13,1.11111,55.0,20.40002,2.42935,1,49.5588,6,0.5,125.3
8,0,1,35.0,0,35.0,0.0,4,0.0,5,0.06,0.3,69.2,18.4,2.04,0,37.48,6,0.59726,103.463
8,0,1,35.0,0,35.0,0.0,4,0.4968,5,0.06,0.3,69.2,18.4,2.04,0,37.48,13,0.58526,108.116
8,0,1,35.0,0,35.0,0.0,4,0.4968,5,0.06,0.3,69.2,18.4,2.04,0,37.48,14,0.58526,93.0356
8,0,1,35.0,0,35.0,0.0,4,0.4968,5,0.06,0.3,69.2,18.4,2.04,0,37.48,7,0.58526,100.415
8,0,1,35.0,0,35.0,0.0,4,0.4968,5,0.06,0.3,69.2,18.4,2.04,0,37.48,13,0.58526,72.9821
8,0,1,50.0,9,50.0,10.0,8,2.38663,2,0.18,5.96659,58.1,25.76524,1.55,1,45.15829,24,0.22222,69.2
8,0,1,50.0,9,50.0,10.0,7,2.5,2,0.18,6.25,60.0,17.6,2.66347,1,46.87707,24,0.22222,46.8
8,0,1,50.0,9,50.0,10.0,7,2.5,2,0.18,6.25,60.0,24.0,1.99045,1,47.7708,24,0.22222,52.5
8,0,1,50.0,9,50.0,10.0,7,2.5,2,0.18,6.25,60.0,32.4,1.55129,1,50.2618,24,0.22222,60.0
8,0,1,50.0,9,50.0,10.0,7,2.5,2,0.18,6.25,60.0,40.3,1.24328,1,50.10418,24,0.22222,59.0
8,0,1,50.0,9,50.0,10.0,7,2.5,2,0.18,6.25,60.0,24.0,2.05575,1,47.51757,34,0.22222,52.5
8,0,1,50.0,9,50.0,10.0,7,5.0,2,0.18,6.25,60.0,24.4,2.05575,1,47.51757,34,0.22222,50.2
8,0,1,50.0,9,50.0,10.0,7,7.5,2,0.18,6.25,60.0,24.1,2.04392,1,48.8507,34,0.22222,51.8
8,0,1,50.0,9,50.0,10.0,7,10.0,2,0.18,6.25,60.0,24.1,2.04953,1,48.08526,34,0.22222,51.5
8,0,1,35.0,9,35.0,10.0,5,2.5,2,0.18,6.25,60.0,27.0,1.8811,1,50.7897,36,0.22222,57.7
8,0,1,35.0,9,35.0,10.0,5,9.23077,2,0.18,6.25,60.0,26.0,1.76278,1,45.83228,36,0.22222,63.6
8,0,1,35.0,9,35.0,10.0,5,16.92308,2,0.18,6.25,60.0,26.3,1.55575,1,40.91622,36,0.22222,60.5
8,0,1,35.0,9,35.0,10.0,5,24.61538,2,0.18,6.25,60.0,25.3,1.48814,1,37.64994,36,0.22222,74.6
8,1,0,81.0,0,0.0,0.0,16,0.0,3,16.0,0.0,65.0,14.42029,2.76,0,39.8,6,1.17979,103.982
8,1,0,81.0,0,0.0,0.0,17,8.8,3,16.0,0.0,65.0,15.14815,2.7,0,40.9,6,1.18519,116.847
