Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),N2O-N loss (%)
6,1,0,60.0,0,0.0,0.0,5,0.0,5,0.22,0.0,64.9862,15.04178,2.65926,0,40.0,4,0.38975,1.4
6,1,0,60.0,0,0.0,0.0,5,10.0,5,0.22,0.0,62.7622,13.04196,2.86,0,37.3,4,0.40482,0.4
6,1,0,60.0,0,0.0,0.0,5,10.0,5,0.22,0.0,60.6549,14.48276,2.61,0,37.8,4,0.38305,0.5
3,0,1,35.0,0,35.0,0.0,5,0.0,5,0.06,0.2,60.0,22.1,1.79,0,39.559,4,0.48217,1.97
3,0,1,35.0,0,35.0,0.0,5,10.0,5,0.06,0.2,60.0,18.2,1.98,0,36.036,20,0.55034,2.06
3,0,1,35.0,0,35.0,0.0,5,10.0,5,0.06,0.2,60.0,19.1,1.89,0,36.099,26,0.5489,2.16
8,0,1,28.0,0,28.0,0.0,3,0.0,5,0.06,0.25,52.2,24.8,2.23,0,55.304,4,0.75279,1.5
8,0,1,28.0,0,28.0,0.0,3,3.72823,5,0.06,0.25,52.2,24.8,2.23,0,55.304,17,0.72069,1.4
8,0,1,28.0,0,28.0,0.0,3,3.78398,5,0.06,0.25,52.2,24.8,2.23,0,55.304,17,0.72069,1.0
8,0,1,35.0,0,35.0,0.0,4,0.0,5,0.06,0.38,70.4,20.3,2.09,0,42.4,4,0.56533,0.73
8,0,1,35.0,0,35.0,0.0,4,4.56,5,0.06,0.38,69.19,24.12664,2.17362,0,36.54298,17,0.47339,1.45
8,0,1,35.0,0,35.0,0.0,4,6.48,5,0.06,0.38,64.34,19.18944,2.40973,0,35.94666,17,0.57893,1.29
8,0,1,51.0,2,51.0,0.25,1,10.25,4,0.0318,0.9567,64.9057,17.68159,2.51066,1,38.81203,10,0.35271,0.645
0,2,0,134.0,0,0.0,0.0,5,0.0,5,1.92422,0.0,62.63,17.9,1.4,0,25.06,4,0.51969,0.08614
0,2,0,134.0,0,0.0,0.0,5,10.0,5,2.19409,0.0,65.46,17.8,1.33,0,23.674,11,0.45577,0.20207
0,2,0,134.0,0,0.0,0.0,5,17.8,5,2.21016,0.0,64.61,18.9,1.32,0,24.948,11,0.45246,0.15357
0,2,0,44.44706,0,22.85922,3.69595,5,4.90157,5,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,11,0.47538,0.22107
