Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),NH3-N loss (%)
9,0,1,26.0,0,26.0,0.0,2,0.0,5,0.05,0.57,65.0,15.0,2.66,0,39.9,6,0.532,28.0
9,0,1,26.0,0,26.0,0.0,2,3.8,5,0.05,0.57,65.0,15.0,2.66,0,39.9,25,0.532,9.0
9,0,1,26.0,0,26.0,0.0,2,7.3,5,0.05,0.57,65.0,15.0,2.66,0,39.9,25,0.532,4.0
9,0,1,26.0,0,26.0,0.0,2,8.9,5,0.05,0.57,65.0,15.0,2.66,0,39.9,25,0.532,0.5
0,0,1,44.44706,0,22.85922,3.69595,2,4.90157,4,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,6,0.47538,6.79
0,0,1,14.0,0,14.0,0.0,2,6.0,4,0.004,0.1,61.4,44.55357,1.12,0,49.9,15,0.275,2.95
0,0,1,14.0,0,14.0,0.0,2,13.0,4,0.004,0.1,59.3,45.58376,0.985,0,44.9,15,0.275,3.01
0,0,1,14.0,0,14.0,0.0,2,23.0,4,0.004,0.1,56.9,40.99448,0.905,0,37.1,15,0.275,2.71
9,0,1,45.0,11,45.0,30.0,7,0.0,5,0.09,7.56254,65.0,12.93902,2.46,1,31.83,6,0.25556,3.0
9,0,1,45.0,11,45.0,30.0,7,16.87764,5,0.09,7.06051,65.0,11.15335,3.13,1,34.91,0,0.27022,2.1
9,0,1,45.0,11,45.0,30.0,7,15.47117,5,0.09,6.65557,65.0,10.95636,2.75,1,30.13,3,0.269,4.6
9,0,1,45.0,11,45.0,30.0,7,15.47117,5,0.09,7.34153,65.0,9.83607,3.05,1,30.0,47,0.269,0.3
9,0,1,45.0,11,35.0,30.0,6,0.0,5,0.09,2.6,65.0,12.9607,2.46,1,31.88332,6,0.25,10.7
9,0,1,45.0,11,35.0,30.0,6,0.65,5,0.09,2.6,65.0,11.7281,2.97,1,34.83246,21,0.25,22.7
9,0,1,45.0,11,35.0,30.0,6,0.65,5,0.09,2.6,65.0,14.0483,2.52,1,35.40172,33,0.25,14.5
9,0,1,45.0,11,35.0,30.0,6,0.65,5,0.09,2.6,65.0,12.0181,2.79,1,33.5305,33,0.25,16.1
9,0,1,45.0,11,35.0,30.0,6,1.95,5,0.09,2.6,65.0,12.5619,2.73,1,34.29399,33,0.25,16.4
7,1,0,60.0,0,0.0,0.0,7,0.0,5,0.165,0.0,60.0,12.3645,3.05674,0,37.7951,6,0.19,5.6
7,1,0,60.0,0,0.0,0.0,7,10.0,5,0.165,0.0,59.0,13.2954,2.96078,0,39.3648,6,0.21,2.3
7,1,0,60.0,0,0.0,0.0,7,10.0,5,0.165,0.0,58.0,11.4409,3.33965,0,38.2086,6,0.21,2.3
3,0,1,35.0,0,35.0,0.0,5,0.0,5,0.06,0.2,60.0,22.1,1.79,0,39.559,6,0.48217,13.3
3,0,1,35.0,0,35.0,0.0,5,10.0,5,0.06,0.2,60.0,18.2,1.98,0,36.036,38,0.55034,8.4
3,0,1,35.0,0,35.0,0.0,5,10.0,5,0.06,0.2,60.0,19.1,1.89,0,36.099,47,0.5489,10.5
3,0,1,20.0,0,20.0,0.0,7,0.0,4,0.02,1.06667,57.338,18.5,2.304,0,38.54481,6,0.90389,22.0
3,0,1,20.0,0,20.0,0.0,7,20.0,4,0.02,1.06667,62.175,18.5,2.14947,0,38.00426,25,0.40656,4.8
9,0,1,28.0,0,28.0,0.0,3,3.72823,5,0.06,0.25,52.2,24.8,2.23,0,55.304,25,0.72069,17.9
9,0,1,28.0,0,28.0,0.0,3,3.78398,5,0.06,0.25,52.2,24.8,2.23,0,55.304,25,0.72069,16.1
8,0,1,44.44706,0,22.85922,3.69595,7,4.90157,5,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,51,0.47538,36.04333
8,0,1,44.44706,0,22.85922,3.69595,7,4.90157,5,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,51,0.47538,27.44832
9,0,1,39.0,0,39.0,0.0,5,0.0,5,0.06,0.4775,69.16,20.7524,2.01339,0,40.3878,6,0.46523,23.2
9,0,1,39.0,0,39.0,0.0,5,2.16,5,0.06,0.43902,68.07,20.7524,2.011,0,40.45,25,0.45384,9.6
9,0,1,39.0,0,39.0,0.0,5,2.16,5,0.06,0.43902,68.07,20.7524,2.011,0,40.45,17,0.45384,7.1
9,0,1,39.0,0,39.0,0.0,5,2.16,5,0.06,0.43902,68.07,20.7524,2.011,0,40.45,18,0.45384,8.46
9,0,1,39.0,0,39.0,0.0,5,2.16,5,0.06,0.43902,68.07,20.7524,2.011,0,40.45,7,0.45384,5.45
9,0,1,26.0,0,26.0,0.0,0,0.0,4,0.0212,0.91133,61.8,16.5,2.86133,0,47.21194,6,0.72264,34.9
9,0,1,26.0,0,26.0,0.0,0,0.56,4,0.0212,0.90955,61.8,23.69151,2.98895,0,31.6327,26,0.72406,15.0
9,0,1,35.0,0,35.0,0.0,4,0.0,5,0.06,0.38,70.4,20.3,2.09,0,42.4,6,0.56533,31.32
9,0,1,35.0,0,35.0,0.0,4,4.56,5,0.06,0.38,69.19,24.12664,2.17362,0,36.54298,25,0.47339,21.79
9,0,1,35.0,0,35.0,0.0,4,6.48,5,0.06,0.38,64.34,19.18944,2.40973,0,35.94666,25,0.57893,14.21
9,0,1,44.44706,0,22.85922,3.69595,6,4.90157,4,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,6,0.47538,9.7
9,0,1,44.44706,0,22.85922,3.69595,6,4.90157,4,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,32,0.47538,9.3
9,0,1,51.0,2,51.0,0.25,1,16.5,4,0.0318,0.3,60.6289,29.44298,2.4529,1,43.62491,40,0.38889,2.147
9,0,1,51.0,2,51.0,0.25,1,10.25,4,0.0318,0.9567,64.9057,17.68159,2.51066,1,38.81203,13,0.35271,5.739
9,0,1,51.0,2,51.0,0.25,1,0.0,4,0.0318,2.69317,61.8868,27.80193,2.24044,1,43.97257,6,0.46184,3.462
0,0,1,15.0,0,15.0,0.0,0,0.0,5,0.17,0.2885,70.5,26.0,1.59,0,41.34,6,0.27647,19.81132
0,0,1,15.0,0,15.0,0.0,0,3.62976,5,0.17,0.29038,71.0,22.806,1.44,0,35.202,31,0.27941,13.54167
0,0,1,15.0,0,15.0,0.0,0,7.30994,5,0.17,0.2924,71.5,22.672,1.55,0,35.202,31,0.28235,11.6129
0,0,1,15.0,0,15.0,0.0,0,9.97672,5,0.17,0.26605,69.0,30.0,1.36,0,40.8,31,0.28529,9.12409
0,0,1,15.0,0,15.0,0.0,0,0.0,5,0.17,0.26377,70.0,20.576,1.72,0,35.4024,6,0.29735,10.75581
0,0,1,15.0,0,15.0,0.0,0,13.09719,5,0.17,0.28166,71.8,21.90347,1.66,0,39.0012,36,0.29624,10.84337
0,0,1,15.0,0,15.0,0.0,0,24.36647,5,0.17,0.26201,69.6,20.47669,1.58,0,38.84124,36,0.29541,15.50633
0,0,1,15.0,0,15.0,0.0,0,37.59079,5,0.17,0.26947,70.3,21.56782,1.47,0,41.87506,36,0.294,16.66667
0,0,1,15.0,0,6.0,0.0,0,0.0,5,0.17,0.28948,70.6,21.8154,1.59,0,36.11016,6,0.27647,16.03774
0,0,1,15.0,0,6.0,0.0,0,3.10479,5,0.17,0.28882,70.8,21.8154,1.57,0,36.11016,35,0.279,14.96815
0,0,1,15.0,0,6.0,0.0,0,3.43688,5,0.17,0.28171,70.1,21.8154,1.55,0,36.68616,35,0.27934,13.54839
0,0,1,15.0,0,6.0,0.0,0,3.68545,5,0.17,0.27867,69.8,22.71956,1.55,0,36.68616,35,0.27958,15.16129
0,0,1,15.0,0,15.0,0.0,0,0.0,5,0.17,0.27765,71.5,21.946,1.62,0,34.264,6,0.29735,14.81481
0,0,1,15.0,0,15.0,0.0,0,3.66885,5,0.17,0.28276,72.3,22.406,1.35,0,35.202,35,0.30041,16.66667
0,0,1,15.0,0,15.0,0.0,0,7.0174,5,0.17,0.27016,71.3,22.776,1.31,0,35.202,35,0.30346,12.9771
0,0,1,15.0,0,15.0,0.0,0,10.35227,5,0.17,0.26561,71.1,22.776,1.25,0,35.202,35,0.30652,13.2
9,1,0,70.0,0,0.0,0.0,9,0.0,5,1.2,0.0,65.02,18.89189,2.208,0,33.38564,6,0.24997,35.3
9,1,0,70.0,0,0.0,0.0,9,3.3,5,1.2,0.0,68.97,18.89189,1.80463,0,31.82848,47,0.24997,28.0
9,1,0,70.0,0,0.0,0.0,9,6.6,5,1.2,0.0,69.44,18.89189,1.82607,0,32.88195,47,0.44095,21.2
9,1,0,70.0,0,0.0,0.0,9,9.9,5,1.2,0.0,67.53171,18.89189,2.09809,0,35.55327,47,0.44095,16.8
9,1,0,70.0,0,0.0,0.0,9,13.2,5,1.2,0.0,67.61171,18.89189,2.30369,0,39.93713,47,0.42921,14.8
9,1,0,70.0,0,0.0,0.0,9,16.5,5,1.2,0.0,69.26171,18.89189,2.32571,0,38.57293,47,0.41511,8.3
7,0,1,13.0,6,13.0,20.0,6,0.0,4,0.06,0.72,55.0,12.8125,3.2,1,41.0,6,0.86868,12.84
8,0,1,22.0,0,22.0,0.0,10,2.0,4,0.0035,0.5566,59.4,13.74741,2.14,0,29.7751,16,0.67843,16.2936
8,0,1,22.0,0,22.0,0.0,10,2.0,4,0.0035,0.62296,57.5,14.80479,2.15,0,32.66908,16,0.78719,18.7427
8,0,1,22.0,0,22.0,0.0,10,0.0,4,0.0035,0.50594,58.2,15.5116,2.13,0,31.97213,6,0.67843,33.8826
7,0,1,45.0,5,45.0,17.0,20,0.0,2,2.4,6.67,55.0,30.4875,1.09466,1,33.3734,6,0.41667,17.965
7,0,1,45.0,5,45.0,17.0,20,0.44444,2,2.4,6.67,55.0,29.153,1.12653,1,32.8418,1,0.41667,3.22179
7,0,1,45.0,5,45.0,17.0,20,0.44444,2,2.4,6.67,55.0,31.2883,1.03964,1,32.5285,39,0.41667,5.63813
7,0,1,44.44706,0,22.85922,3.69595,11,4.90157,2,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,6,0.47538,10.351
7,0,1,44.44706,0,22.85922,3.69595,11,4.90157,2,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,32,0.47538,2.046
7,0,1,44.44706,0,22.85922,3.69595,11,4.90157,2,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,32,0.47538,2.362
3,0,1,30.0,0,30.0,0.0,4,0.0,2,0.06,0.2,60.59701,20.0,1.9,0,38.0,6,0.50325,24.9
3,0,1,30.0,0,30.0,0.0,4,2.1383,2,0.06,0.2,53.94105,17.30066,2.7751,0,37.7404,25,0.43963,12.6
3,0,1,30.0,0,30.0,0.0,4,3.20088,2,0.06,0.2,54.98105,19.0771,2.27541,0,40.8224,47,0.47439,15.3
3,0,1,30.0,0,30.0,0.0,4,2.216,2,0.06,0.2,53.94105,17.30066,2.7751,0,37.7404,12,0.43963,8.9
3,0,1,30.0,0,30.0,0.0,4,2.53615,2,0.06,0.2,54.98105,19.0771,2.24241,0,40.8224,4,0.47058,8.9
3,0,1,19.0,0,19.0,0.0,8,0.0,2,0.0306,10.0,70.0,26.38728,1.73,0,45.65,6,0.70659,16.5467
3,0,1,19.0,0,19.0,0.0,8,3.0,2,0.0306,10.0,70.0,26.38728,1.73,0,45.65,30,0.70668,12.879
3,0,1,19.0,0,19.0,0.0,8,6.9,2,0.2746,10.0,70.0,26.34783,1.61,0,42.42,28,0.66312,12.879
3,0,1,19.0,0,19.0,0.0,8,9.9,2,0.2746,10.0,70.0,26.34783,1.61,0,42.42,30,0.62991,2.9862
9,1,0,112.0,0,42.0,0.0,11,0.0,4,0.377,0.2569,65.4,25.4,1.4,0,44.30604,6,0.47365,21.4
9,1,0,44.44706,0,22.85922,3.69595,11,4.90157,4,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,32,0.47538,20.7
9,1,0,112.0,0,0.0,0.0,11,0.0,4,1.02941,0.0,64.9,16.45575,3.4,0,38.19286,6,0.82524,18.4
9,1,0,112.0,0,0.0,0.0,11,2.8169,4,1.02941,0.0,64.5,16.45575,3.1,0,37.99286,32,0.82524,19.7
3,0,1,35.0,0,35.0,0.0,8,2.25,4,0.02,0.5,62.57135,29.0076,1.65319,0,43.42961,23,0.49253,27.1028
3,0,1,35.0,0,35.0,0.0,8,1.8209,4,0.02,0.5,65.10795,32.0229,1.55359,0,41.79471,23,0.46657,0.46729
3,0,1,35.0,0,35.0,0.0,8,2.5709,4,0.02,0.5,65.79135,30.3435,1.56629,0,41.99891,23,0.44721,10.42991
3,0,1,35.0,0,35.0,0.0,8,3.3209,4,0.02,0.5,61.283,26.9466,1.74389,0,42.97901,23,0.45386,17.37382
3,0,1,35.0,0,35.0,0.0,8,4.0709,4,0.02,0.5,65.7516,29.0458,1.56629,0,41.99891,23,0.45322,29.17756
9,0,1,40.0,10,30.0,30.0,6,0.0,5,0.11343,7.69231,64.54545,16.53936,2.34,1,38.7021,6,0.74199,26.0
9,0,1,40.0,10,30.0,30.0,6,6.0,5,0.11343,7.31707,63.55556,16.39658,2.31,1,37.8761,47,0.5264,11.8
9,0,1,40.0,10,30.0,30.0,6,15.0,5,0.09105,6.81818,62.06897,15.97083,2.41,1,38.4897,42,0.314,21.5
9,0,1,40.0,10,30.0,30.0,6,1.46082,5,0.11343,7.79221,65.17413,16.34774,2.34,1,38.2537,50,0.73956,20.2
3,0,1,24.0,0,24.0,0.0,16,2.56049,1,0.03,0.76104,63.5,20.5,2.67205,0,35.80619,34,0.36,12.86
3,0,1,24.0,0,24.0,0.0,16,0.0,1,0.03,0.76815,63.5,20.5,2.62505,0,37.86445,6,0.356,10.23
3,0,1,44.44706,1,22.85922,3.69595,19,4.90157,5,1.22038,0.66439,64.03324,21.34763,2.07399,1,39.62259,51,0.47538,9.64912
3,0,1,44.44706,1,22.85922,3.69595,19,4.90157,5,1.22038,0.66439,64.03324,21.34763,2.07399,1,39.62259,24,0.47538,13.4503
8,0,1,56.0,0,56.0,0.0,10,0.0,5,0.13,1.11111,55.0,25.02125,1.80435,1,45.1471,6,0.5,1.02
8,0,1,56.0,0,56.0,0.0,10,2.0,5,0.13,1.11111,55.0,25.08996,1.84239,1,46.2255,6,0.5,0.2
8,0,1,56.0,0,56.0,0.0,10,4.0,5,0.13,1.11111,55.0,25.00167,1.8587,1,46.4706,6,0.5,0.11
8,0,1,56.0,0,56.0,0.0,10,6.0,5,0.13,1.11111,55.0,23.99361,1.95109,1,46.8137,6,0.5,0.11
8,0,1,56.0,0,56.0,0.0,10,8.0,5,0.13,1.11111,55.0,22.31769,2.11957,1,47.3039,6,0.5,0.06
8,0,1,56.0,0,56.0,0.0,10,12.0,5,0.13,1.11111,55.0,21.13909,2.27717,1,48.1373,6,0.5,0.04
8,0,1,56.0,0,56.0,0.0,10,18.0,5,0.13,1.11111,55.0,20.40002,2.42935,1,49.5588,6,0.5,0.02
3,0,1,25.0,0,25.0,0.0,17,0.0,5,0.03,0.82386,66.0,17.0,3.16471,0,53.8,6,0.357,21.2
3,0,1,25.0,0,25.0,0.0,17,2.22035,5,0.03,0.80596,66.0,18.10618,2.67205,0,35.74575,29,0.36493,32.8
3,0,1,25.0,0,25.0,0.0,17,1.82166,5,0.03,0.80912,66.0,18.10618,2.59005,0,35.74575,29,0.3635,12.6
3,0,1,25.0,0,25.0,0.0,17,1.42297,5,0.03,0.8123,66.0,18.10618,2.59005,0,35.74575,29,0.36208,3.5
4,1,0,44.44706,0,22.85922,3.69595,18,4.90157,1,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,6,0.47538,11.4
4,1,0,69.0,0,0.0,0.0,18,3.0,1,0.08,0.0,80.7,22.76667,0.9,0,20.49,6,0.47273,8.13793
4,1,0,44.44706,0,22.85922,3.69595,18,4.90157,1,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,48,0.47538,4.22508
4,1,0,44.44706,0,22.85922,3.69595,18,4.90157,1,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,48,0.47538,7.9278
9,0,1,35.0,0,35.0,0.0,4,0.0,5,0.06,0.3,69.2,18.4,2.04,0,37.48,6,0.59726,32.5
9,0,1,35.0,0,35.0,0.0,4,0.4968,5,0.06,0.3,69.2,18.4,2.04,0,37.48,17,0.58526,14.5
9,0,1,35.0,0,35.0,0.0,4,0.4968,5,0.06,0.3,69.2,18.4,2.04,0,37.48,18,0.58526,16.0
9,0,1,35.0,0,35.0,0.0,4,0.4968,5,0.06,0.3,69.2,18.4,2.04,0,37.48,7,0.58526,13.3
9,0,1,35.0,0,35.0,0.0,4,0.4968,5,0.06,0.3,69.2,18.4,2.04,0,37.48,17,0.58526,5.9
