Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),TC loss (%)
8,0,1,26.0,0,26.0,0.0,2,0.0,8,0.05,0.57,65.0,15.0,2.66,0,39.9,3,0.532,50.0
8,0,1,26.0,0,26.0,0.0,2,3.8,8,0.05,0.57,65.0,15.0,2.66,0,39.9,14,0.532,53.0
8,0,1,26.0,0,26.0,0.0,2,7.3,8,0.05,0.57,65.0,15.0,2.66,0,39.9,14,0.532,55.0
8,0,1,26.0,0,26.0,0.0,2,8.9,8,0.05,0.57,65.0,15.0,2.66,0,39.9,14,0.532,43.0
5,0,1,42.0,4,42.0,0.5,5,0.0,8,0.06,0.0275,60.0,10.39326,3.56,1,37.0,3,0.416,43.6
5,0,1,42.0,4,42.0,0.5,5,5.0,8,0.06,0.0275,60.0,10.73352,3.49,1,37.46,3,0.416,36.4
5,0,1,42.0,4,42.0,0.5,5,25.0,8,0.06,0.0275,60.0,15.5,2.96,1,45.88,3,0.416,39.7
0,1,0,44.44706,0,22.85922,3.69595,14,4.90157,2,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,3,0.47538,59.78
0,1,0,44.44706,0,22.85922,3.69595,14,4.90157,2,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,4,0.47538,59.44
0,1,0,44.44706,0,22.85922,3.69595,14,4.90157,2,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,4,0.47538,56.55
0,1,0,44.44706,0,22.85922,3.69595,14,4.90157,2,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,4,0.47538,58.57
3,0,1,35.0,0,35.0,0.0,4,0.0,8,0.06,0.2,60.0,22.1,1.79,0,39.559,3,0.48217,54.1
3,0,1,35.0,0,35.0,0.0,4,10.0,8,0.06,0.2,60.0,18.2,1.98,0,36.036,19,0.55034,63.9
3,0,1,35.0,0,35.0,0.0,4,10.0,8,0.06,0.2,60.0,19.1,1.89,0,36.099,22,0.5489,64.2
6,0,1,44.44706,0,22.85922,3.69595,6,4.90157,8,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,3,0.47538,33.7114
6,0,1,44.44706,0,22.85922,3.69595,6,4.90157,8,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,23,0.47538,56.2698
6,0,1,44.44706,0,22.85922,3.69595,6,4.90157,8,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,23,0.47538,52.993
6,0,1,44.44706,0,22.85922,3.69595,6,4.90157,8,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,23,0.47538,45.3554
6,0,1,44.44706,0,22.85922,3.69595,6,4.90157,8,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,23,0.47538,32.0312
6,0,1,44.44706,0,22.85922,3.69595,6,4.90157,8,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,23,0.47538,47.5733
8,1,0,70.0,0,0.0,0.0,9,0.0,8,1.2,0.0,65.02,18.89189,2.208,0,33.38564,3,0.24997,68.4
8,1,0,70.0,0,0.0,0.0,9,3.3,8,1.2,0.0,68.97,18.89189,1.80463,0,31.82848,22,0.24997,64.1
8,1,0,70.0,0,0.0,0.0,9,6.6,8,1.2,0.0,69.44,18.89189,1.82607,0,32.88195,22,0.44095,66.5
8,1,0,70.0,0,0.0,0.0,9,9.9,8,1.2,0.0,67.53171,18.89189,2.09809,0,35.55327,22,0.44095,60.6
8,1,0,70.0,0,0.0,0.0,9,13.2,8,1.2,0.0,67.61171,18.89189,2.30369,0,39.93713,22,0.42921,55.1
8,1,0,70.0,0,0.0,0.0,9,16.5,8,1.2,0.0,69.26171,18.89189,2.32571,0,38.57293,22,0.41511,42.2
8,0,1,35.0,0,35.0,0.0,3,0.0,8,0.06,0.3,69.2,18.4,2.04,0,37.48,3,0.59726,64.9
8,0,1,35.0,0,35.0,0.0,3,0.4968,8,0.06,0.3,69.2,18.4,2.04,0,37.48,11,0.58526,63.1
8,0,1,35.0,0,35.0,0.0,3,0.4968,8,0.06,0.3,69.2,18.4,2.04,0,37.48,12,0.58526,60.6
8,0,1,35.0,0,35.0,0.0,3,0.4968,8,0.06,0.3,69.2,18.4,2.04,0,37.48,5,0.58526,58.5
8,0,1,35.0,0,35.0,0.0,3,0.4968,8,0.06,0.3,69.2,18.4,2.04,0,37.48,11,0.58526,42.9
8,0,1,28.0,0,28.0,0.0,3,0.0,9,0.06,0.36,62.06,17.91,1.95,0,34.9245,3,0.7402,35.76
8,0,1,28.0,0,28.0,0.0,3,10.0,9,0.06,0.36,58.69,18.23,1.96,0,35.7308,22,0.78068,31.91
6,0,1,34.0,0,34.0,0.0,5,0.0,8,0.06,0.27211,65.0,11.37,2.21557,0,33.23298,3,0.58333,55.95
6,0,1,34.0,0,34.0,0.0,5,10.0,8,0.06,0.26291,65.0,11.37,2.21292,0,35.76798,22,0.60375,50.26
6,0,1,34.0,0,34.0,0.0,5,10.28571,8,0.06,0.26265,65.0,11.37,2.21292,0,35.63567,22,0.60433,49.66
6,0,1,34.0,0,34.0,0.0,5,14.57143,8,0.06,0.2589,65.0,11.37,2.25992,0,37.42,22,0.61308,49.64
8,0,1,35.0,0,0.0,0.0,5,0.0,8,0.06,0.25,69.2,18.43351,2.03653,0,37.5404,3,0.37833,64.9
8,0,1,35.0,0,0.0,0.0,5,9.13414,8,0.06,0.25,63.27932,18.43351,2.03653,0,37.5404,11,0.255,63.1
8,0,1,35.0,0,0.0,0.0,5,4.0,8,0.06,0.25,65.01916,18.43351,2.03653,0,37.5404,22,0.33056,54.0
8,0,1,35.0,0,0.0,0.0,5,9.13414,8,0.06,0.25,63.27932,18.43351,2.03653,0,37.5404,11,0.255,42.2
5,0,1,50.0,0,25.5,0.025,8,0.0,8,0.1,0.065,60.0,31.0074,1.68589,0,44.57341,3,0.5,54.2
5,0,1,50.0,0,21.3,0.025,8,2.0,8,0.1,0.03,60.0,30.0553,1.71673,0,44.57341,8,0.5,52.1
5,0,1,50.0,0,19.1,0.025,8,4.0,8,0.1,0.07,60.0,30.3317,1.69581,0,45.8476,8,0.5,48.8
5,0,1,50.0,0,19.3,0.025,8,6.0,8,0.1,0.095,60.0,30.5467,1.64443,0,43.63852,8,0.5,42.3
5,0,1,50.0,0,29.3,0.025,8,8.0,8,0.1,0.13,60.0,31.0381,1.54038,0,43.86004,8,0.5,39.5
5,0,1,50.0,0,35.3,0.025,8,10.0,8,0.1,0.095,60.0,30.7924,1.58899,0,43.86004,8,0.5,38.7
8,0,1,50.0,0,50.0,0.0,8,0.0,8,0.1,0.3,55.0,25.0,2.084,0,52.1,3,0.56915,19.4242
8,0,1,50.0,0,50.0,0.0,8,10.0,8,0.1,0.3,62.41946,25.10433,2.03465,0,43.48709,3,0.52318,12.303
8,0,1,50.0,0,50.0,0.0,8,20.0,8,0.1,0.3,59.73189,22.14199,2.27241,0,43.60416,3,0.44474,11.9394
8,0,1,50.0,0,50.0,0.0,8,20.5,8,0.1,0.3,59.73189,22.14199,2.35764,0,43.60416,3,0.44474,11.2121
8,0,1,50.0,0,50.0,0.0,8,21.0,8,0.1,0.3,59.73189,22.14199,2.35764,0,42.85043,3,0.44474,9.51515
8,0,1,50.0,0,50.0,0.0,8,22.0,8,0.1,0.3,59.73189,22.14199,2.33658,0,42.85043,3,0.44474,9.18182
5,0,1,91.0,0,0.0,0.0,10,0.0,8,0.25,0.0,60.0,20.0,1.99,0,39.8,3,0.40065,63.5179
5,0,1,91.0,0,25.6,0.0,10,12.5,8,0.25,0.14475,60.0,20.0,2.02,0,40.4,3,0.34394,57.0893
5,0,1,91.0,0,25.6,0.0,10,12.5,8,0.25,0.14475,60.0,20.0,1.93,0,38.6,10,0.34394,59.3214
5,0,1,44.44706,0,22.85922,3.69595,10,4.90157,8,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,3,0.47538,46.2857
