Material_Main,Turning times,Intermittent ratio, Composting Method,M1_is Enclosed,Period (d),V4_Ventilation Day,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),TN loss (%)
10,13.0,0.0,0,1,26.0,26.0,0.0,11,0.05,0.57,65.0,15.0,2.66,0,39.9,0,0.532,35.0
10,13.0,0.0,0,1,26.0,26.0,3.8,11,0.05,0.57,65.0,15.0,2.66,0,39.9,15,0.532,12.0
10,13.0,0.0,0,1,26.0,26.0,7.3,11,0.05,0.57,65.0,15.0,2.66,0,39.9,15,0.532,5.0
10,13.0,0.0,0,1,26.0,26.0,8.9,11,0.05,0.57,65.0,15.0,2.66,0,39.9,15,0.532,1.0
0,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,7,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,0.0
0,7.0,0.0,0,1,14.0,14.0,6.0,7,0.004,0.1,61.4,44.55357,1.12,0,49.9,8,0.275,4.5
0,7.0,0.0,0,1,14.0,14.0,13.0,7,0.004,0.1,59.3,45.58376,0.985,0,44.9,8,0.275,12.3
0,7.0,0.0,0,1,14.0,14.0,23.0,7,0.004,0.1,56.9,40.99448,0.905,0,37.1,8,0.275,7.3
10,6.42857,0.04167,0,1,45.0,45.0,16.87764,11,0.09,7.06051,65.0,11.15335,3.13,1,34.91,21,0.27022,44.1
10,6.42857,0.04167,0,1,45.0,45.0,15.47117,11,0.09,6.65557,65.0,10.95636,2.75,1,30.13,5,0.269,50.3
10,6.42857,0.04167,0,1,45.0,45.0,15.47117,11,0.09,7.34153,65.0,9.83607,3.05,1,30.0,2,0.269,34.1
10,7.5,0.04167,0,1,45.0,35.0,0.0,11,0.09,2.6,65.0,12.9607,2.46,1,31.88332,0,0.25,45.0
10,7.5,0.04167,0,1,45.0,35.0,0.65,11,0.09,2.6,65.0,11.7281,2.97,1,34.83246,11,0.25,41.0
10,7.5,0.04167,0,1,45.0,35.0,0.65,11,0.09,2.6,65.0,14.0483,2.52,1,35.40172,19,0.25,35.0
10,7.5,0.04167,0,1,45.0,35.0,0.65,11,0.09,2.6,65.0,12.0181,2.79,1,33.5305,19,0.25,56.0
10,7.5,0.04167,0,1,45.0,35.0,1.95,11,0.09,2.6,65.0,12.5619,2.73,1,34.29399,19,0.25,48.0
7,7.0,0.025,0,1,42.0,42.0,0.0,11,0.06,0.0275,60.0,10.39326,3.56,1,37.0,0,0.416,39.5
7,7.0,0.025,0,1,42.0,42.0,5.0,11,0.06,0.0275,60.0,10.73352,3.49,1,37.46,0,0.416,37.3
7,7.0,0.025,0,1,42.0,42.0,25.0,11,0.06,0.0275,60.0,15.5,2.96,1,45.88,0,0.416,26.7
7,12.0,0.0,1,0,60.0,0.0,0.0,11,0.22,0.0,64.9862,15.04178,2.65926,0,40.0,0,0.38975,55.3
7,12.0,0.0,1,0,60.0,0.0,10.0,11,0.22,0.0,62.7622,13.04196,2.86,0,37.3,0,0.40482,48.9
7,12.0,0.0,1,0,60.0,0.0,10.0,11,0.22,0.0,60.6549,14.48276,2.61,0,37.8,0,0.38305,43.0
6,2.08333,0.0,2,0,25.0,25.0,0.0,2,0.0312,0.70897,73.0,19.8,1.8,0,35.64,0,0.79598,22.0
6,2.08333,0.04167,2,0,25.0,25.0,10.0,2,0.089,4.36109,69.7,27.5,1.4,0,38.5,0,0.45247,3.0
7,8.57143,0.04167,1,0,60.0,0.0,0.0,11,0.165,0.0,60.0,12.3645,3.05674,0,37.7951,0,0.19,32.3
7,8.57143,0.04167,1,0,60.0,0.0,10.0,11,0.165,0.0,59.0,13.2954,2.96078,0,39.3648,0,0.21,15.8
7,8.57143,0.04167,1,0,60.0,0.0,10.0,11,0.165,0.0,58.0,11.4409,3.33965,0,38.2086,0,0.21,21.9
0,7.14286,0.0625,1,0,150.0,0.0,0.0,2,0.12,0.0,65.0,31.6,1.725,0,54.37816,0,0.38083,2.01
0,7.14286,0.0625,1,0,150.0,0.0,4.0,2,0.12,0.0,65.0,31.67614,1.698,0,37.19796,1,0.39583,6.5
0,7.14286,0.0625,1,0,150.0,0.0,8.0,2,0.12,0.0,65.0,31.77966,1.698,0,36.14513,1,0.41167,1.46
0,7.14286,0.025,1,0,150.0,0.0,12.0,2,0.12,0.0,65.0,31.5,1.697,0,33.79083,1,0.42667,4.33
3,7.0,1.0,0,1,35.0,60.0,0.0,11,0.06,0.2,60.0,22.1,1.79,0,39.559,0,0.56807,47.4
3,7.0,1.0,0,1,35.0,60.0,10.0,11,0.06,0.2,60.0,18.2,1.98,0,36.036,23,0.48837,30.7
3,7.0,0.5,0,1,35.0,60.0,10.0,11,0.06,0.2,60.0,19.1,1.89,0,36.099,2,0.59489,37.5
6,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,11,1.13402,0.67154,64.37076,21.13283,2.07873,1,39.32967,0,0.46831,38.0
6,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,7,1.13402,0.67154,64.37076,21.13283,2.07873,1,39.32967,0,0.46831,38.0
6,3.11111,0.5,0,1,28.0,28.0,0.18,11,0.07772,0.46669,61.0,31.89256,1.21,1,38.59,24,0.64212,38.0
6,3.11111,0.56667,0,1,28.0,28.0,0.06,7,0.07772,0.5376,62.0,30.96721,1.22,1,37.78,24,0.43889,13.0
10,9.33333,0.04167,0,1,28.0,28.0,0.0,11,0.06,0.25,52.2,24.8,2.23,0,55.304,0,0.67079,43.9
10,9.33333,0.04167,0,1,28.0,28.0,3.72823,11,0.06,0.25,52.2,24.8,2.23,0,55.304,15,0.68602,22.3
10,9.33333,0.04167,0,1,28.0,28.0,3.78398,11,0.06,0.25,52.2,24.8,2.23,0,55.304,15,0.68359,20.2
10,7.8,0.05,0,1,39.0,39.0,0.0,11,0.06,0.403,69.73,20.7524,2.01165,0,38.39804,0,0.46197,31.51
10,7.8,0.05,0,1,39.0,39.0,0.4,11,0.06,0.408,69.73,20.7524,2.012,0,38.392,15,0.47663,13.15
10,7.8,0.05,0,1,39.0,39.0,0.4,11,0.06,0.408,69.73,20.7524,2.012,0,38.392,9,0.47663,11.5
10,7.8,0.04348,0,1,39.0,39.0,0.4,11,0.06,0.408,69.73,20.7524,2.012,0,38.392,24,0.47663,10.69
10,7.8,0.04348,0,1,39.0,39.0,0.4,11,0.06,0.408,69.73,20.7524,2.012,0,38.392,2,0.47663,7.59
10,8.75,5.0,0,1,35.0,35.0,0.0,11,0.06,0.38,70.4,20.3,2.09,0,42.4,0,0.36956,33.01
10,8.75,5.0,0,1,35.0,35.0,4.56,11,0.06,0.38,70.04,17.87113,2.17362,0,37.97,15,0.36984,31.48
10,8.75,5.0,0,1,35.0,35.0,6.48,11,0.06,0.38,70.13,17.16745,2.40973,0,37.399,15,0.36984,28.63
10,11.2,5.0,1,0,56.0,21.0,0.0,7,0.4,0.333,66.4,19.45183,0.98034,0,38.211,0,0.285,36.8
10,11.2,5.0,1,0,56.0,21.0,8.53343,7,0.4,0.333,64.9,19.45183,0.96855,0,38.211,0,0.2938,26.4
10,11.2,1.0,1,0,56.0,21.0,16.52893,7,0.4,0.333,63.7,23.46434,1.00688,0,36.95143,0,0.30319,16.5
10,11.2,1.0,1,0,56.0,21.0,23.93612,7,0.4,0.333,62.4,23.30262,1.03636,0,38.05401,0,0.31319,12.7
10,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,7,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,27.8
10,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,7,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,19,0.46831,13.3
10,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,7,1.13402,0.67154,64.37076,21.13283,2.07873,1,39.32967,5,0.46831,11.069
10,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,7,1.13402,0.67154,64.37076,21.13283,2.07873,1,39.32967,7,0.46831,6.384
10,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,7,1.13402,0.67154,64.37076,21.13283,2.07873,1,39.32967,0,0.46831,14.682
7,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,11,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,30,0.46831,16.0
7,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,11,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,22,0.46831,53.0
7,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,11,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,25,0.46831,26.0
7,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,11,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,5,0.46831,42.0
0,26.8,0.5,2,0,134.0,0.0,0.0,11,1.92422,0.0,62.63,17.9,1.4,0,25.06,0,0.51969,22.39929
0,26.8,0.5,2,0,134.0,0.0,10.0,11,2.19409,0.0,65.46,17.8,1.33,0,23.674,8,0.45577,20.7
