Material_Main,Turning times,V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),Final GI (%)
8,13.0,0,1,0,26.0,26.0,0.0,0.0,5,0.05,0.57,65.0,15.0,2.66,0,39.9,0,0.532,82.0
8,13.0,0,1,0,26.0,26.0,0.0,3.8,5,0.05,0.57,65.0,15.0,2.66,0,39.9,11,0.532,96.0
8,13.0,0,1,0,26.0,26.0,0.0,7.3,5,0.05,0.57,65.0,15.0,2.66,0,39.9,11,0.532,100.0
8,13.0,0,1,0,26.0,26.0,0.0,8.9,5,0.05,0.57,65.0,15.0,2.66,0,39.9,11,0.532,76.0
8,6.42857,13,1,0,45.0,45.0,30.0,0.0,5,0.09,7.56254,65.0,12.93902,2.46,1,31.83,0,0.25556,82.6531
8,6.42857,13,1,0,45.0,45.0,30.0,16.87764,5,0.09,7.06051,65.0,11.15335,3.13,1,34.91,16,0.27022,79.5918
8,6.42857,13,1,0,45.0,45.0,30.0,15.47117,5,0.09,6.65557,65.0,10.95636,2.75,1,30.13,3,0.269,81.7347
8,6.42857,13,1,0,45.0,45.0,30.0,15.47117,5,0.09,7.34153,65.0,9.83607,3.05,1,30.0,1,0.269,84.7959
8,7.5,13,1,0,45.0,35.0,30.0,0.0,5,0.09,2.6,65.0,12.9607,2.46,1,31.88332,0,0.25,84.3683
8,7.5,13,1,0,45.0,35.0,30.0,0.65,5,0.09,2.6,65.0,11.7281,2.97,1,34.83246,7,0.25,82.1126
8,7.5,13,1,0,45.0,35.0,30.0,0.65,5,0.09,2.6,65.0,14.0483,2.52,1,35.40172,15,0.25,85.7217
8,7.5,13,1,0,45.0,35.0,30.0,0.65,5,0.09,2.6,65.0,12.0181,2.79,1,33.5305,15,0.25,63.165
8,7.5,13,1,0,45.0,35.0,30.0,1.95,5,0.09,2.6,65.0,12.5619,2.73,1,34.29399,15,0.25,60.9107
3,0.0,0,1,0,56.0,56.0,0.0,1.94326,3,0.02,0.35,55.0,30.4041,1.51479,1,46.05583,13,0.5,85.6
3,0.0,0,1,0,56.0,56.0,0.0,6.94326,3,0.02,0.35,55.0,34.0404,1.44971,1,49.34871,13,0.5,119.5
3,7.0,0,1,0,35.0,60.0,0.0,0.0,5,0.06,0.2,60.0,22.1,1.79,0,39.559,0,0.56915,122.9
3,7.0,0,1,0,35.0,60.0,0.0,10.0,5,0.06,0.2,60.0,18.2,1.98,0,36.036,17,0.57265,103.3
3,7.0,0,1,0,35.0,60.0,0.0,10.0,5,0.06,0.2,60.0,19.1,1.89,0,36.099,1,0.57265,94.5
8,9.33333,0,1,0,28.0,28.0,0.0,0.0,5,0.06,0.25,52.2,24.8,2.23,0,55.304,0,0.63148,116.83
8,9.33333,0,1,0,28.0,28.0,0.0,3.72823,5,0.06,0.25,52.2,24.8,2.23,0,55.304,11,0.64429,106.765
8,9.33333,0,1,0,28.0,28.0,0.0,3.78398,5,0.06,0.25,52.2,24.8,2.23,0,55.304,11,0.64429,108.157
8,0.0,0,1,0,60.0,60.0,0.0,0.0,3,0.1,0.0,58.0,33.0,1.43721,0,50.0,0,0.5,74.9231
8,0.0,0,1,0,60.0,60.0,0.0,2.5,3,0.1,0.0,58.0,34.3643,1.41191,0,48.5193,3,0.5,75.6934
8,0.0,0,1,0,60.0,60.0,0.0,5.0,3,0.1,0.0,58.0,34.7059,1.40468,0,48.75068,3,0.5,84.7699
8,0.0,0,1,0,60.0,60.0,0.0,7.5,3,0.1,0.0,58.0,33.9089,1.35045,0,45.79227,3,0.5,82.5414
8,0.0,0,1,0,60.0,60.0,0.0,10.0,3,0.1,0.0,58.0,35.0474,1.30709,0,45.81011,3,0.5,84.2347
8,7.8,0,1,0,39.0,39.0,0.0,0.0,5,0.06,0.48,69.55,20.7524,1.976,0,39.24,0,0.48697,89.82
8,7.8,0,1,0,39.0,39.0,0.0,0.0,5,0.06,0.48,69.55,20.7524,1.976,0,39.24,11,0.50441,99.54
8,7.8,0,1,0,39.0,39.0,0.0,0.0,5,0.06,0.48,69.55,20.7524,1.976,0,39.24,6,0.50441,69.87
8,7.8,0,1,0,39.0,39.0,0.0,0.0,5,0.06,0.48,69.55,20.7524,1.976,0,39.24,18,0.50441,118.24
8,7.8,0,1,0,39.0,39.0,0.0,0.0,5,0.06,0.48,69.55,20.7524,1.976,0,39.24,1,0.50441,107.42
8,8.75,0,1,0,35.0,35.0,0.0,0.0,5,0.06,0.38,70.4,20.3,2.09,0,42.4,0,0.59696,116.28
8,8.75,0,1,0,35.0,35.0,0.0,4.56,5,0.06,0.38,69.19,18.59005,2.17362,0,38.04212,11,0.61861,108.464
8,8.75,0,1,0,35.0,35.0,0.0,6.48,5,0.06,0.38,69.19,16.00383,2.40973,0,35.36664,11,0.63764,124.906
5,12.27273,0,0,2,135.0,0.0,0.0,0.0,5,4.5,0.0,65.9341,9.21875,3.2,0,29.5,0,0.66667,53.4975
5,12.27273,0,0,2,135.0,0.0,0.0,3.0,5,4.5,0.0,66.989,9.71875,3.2,0,31.1,0,0.66667,52.9064
6,0.0,0,1,0,56.0,0.0,0.0,0.0,5,0.13,0.0,67.03,22.71314,1.69558,0,37.4744,0,0.5,56.41
6,0.0,0,1,0,56.0,0.0,0.0,2.0,5,0.13,0.0,71.28,22.65043,1.34128,0,30.08983,3,0.5,63.78
6,0.0,0,1,0,56.0,0.0,0.0,4.0,5,0.13,0.0,71.28,22.65043,1.34128,0,30.08984,3,0.5,74.46
6,0.0,0,1,0,56.0,0.0,0.0,6.0,5,0.13,0.0,71.28,22.65043,1.34128,0,30.08984,3,0.5,85.47
6,0.0,0,1,0,56.0,0.0,0.0,10.0,5,0.13,0.0,68.99,23.99858,1.58891,0,29.19326,3,0.5,93.15
5,0.25,5,1,0,45.0,45.0,17.0,0.0,2,2.4,6.67,55.0,30.4875,1.09466,1,33.3734,0,0.41667,98.9221
5,0.25,5,1,0,45.0,45.0,17.0,0.44444,2,2.4,6.67,55.0,29.153,1.12653,1,32.8418,3,0.41667,120.626
5,0.25,5,1,0,45.0,45.0,17.0,0.44444,2,2.4,6.67,55.0,31.2883,1.03964,1,32.5285,3,0.41667,114.157
3,7.5,0,1,0,30.0,30.0,0.0,0.0,2,0.06,0.2,60.59701,20.0,1.9,0,38.0,0,0.54849,93.0576
3,7.5,0,1,0,30.0,30.0,0.0,2.1383,2,0.06,0.2,58.46543,23.31472,2.05157,0,42.68316,11,0.58551,100.295
3,7.5,0,1,0,30.0,30.0,0.0,3.20088,2,0.06,0.2,58.46543,23.31472,2.06657,0,42.68316,1,0.58551,106.056
3,7.5,0,1,0,30.0,30.0,0.0,2.216,2,0.06,0.2,58.46543,23.31472,2.05157,0,42.68316,4,0.58551,90.9897
3,7.5,0,1,0,30.0,30.0,0.0,2.53615,2,0.06,0.2,58.46543,23.31472,2.05157,0,42.68316,8,0.58551,80.3545
8,4.25,11,1,0,34.0,34.0,30.0,0.0,3,0.06,0.0,60.0,20.8683,2.83121,1,59.08254,0,0.56813,75.7692
8,4.25,11,1,0,34.0,34.0,30.0,7.5,3,0.06,0.0,60.0,19.9837,2.93429,1,58.63797,20,0.57087,84.5385
8,4.25,11,1,0,34.0,34.0,30.0,7.5,3,0.06,0.0,60.0,20.2439,2.8646,1,57.99068,1,0.55113,77.8462
8,4.25,11,1,0,34.0,34.0,30.0,7.5,3,0.06,0.0,60.0,20.2959,2.9372,1,59.61312,11,0.56049,94.4615
8,7.0,0,1,1,56.0,28.0,0.0,0.0,3,0.4,5e-05,65.0,19.52878,1.76424,0,36.92762,0,0.285,70.4558
8,7.0,0,1,1,56.0,28.0,0.0,8.4771,3,0.4,5e-05,65.0,23.27456,1.52655,0,37.75262,0,0.29355,83.6808
8,7.0,0,1,1,56.0,28.0,0.0,16.95419,3,0.4,5e-05,65.0,22.72025,1.85107,0,39.69858,0,0.3021,130.879
8,7.0,0,1,1,56.0,28.0,0.0,9.04224,3,0.4,5e-05,65.0,23.27456,1.52655,0,37.75262,0,0.29412,88.4688
8,7.0,0,1,1,56.0,28.0,0.0,10.17252,3,0.4,5e-05,65.0,23.27456,1.43925,0,37.75262,0,0.29526,98.5016
3,3.88889,0,1,0,35.0,35.0,0.0,2.25,3,0.02,0.5,66.647,29.0076,1.72104,0,41.4847,10,0.57359,115.9
3,3.88889,0,1,0,35.0,35.0,0.0,3.3209,3,0.02,0.5,66.486,26.9466,1.81193,0,41.2947,10,0.57359,109.7
3,3.88889,0,1,0,35.0,35.0,0.0,4.0709,3,0.02,0.5,66.033,29.0458,1.66134,0,41.4847,10,0.57048,125.1
8,6.66667,12,1,0,40.0,30.0,30.0,0.0,5,0.1604,7.69231,64.54545,16.53936,2.34,1,38.7021,0,0.69974,94.3868
8,6.66667,12,1,0,40.0,30.0,30.0,6.0,5,0.1604,7.31707,63.55556,16.39658,2.31,1,37.8761,1,0.55501,84.1981
8,6.66667,12,1,0,40.0,30.0,30.0,15.0,5,0.09105,6.81818,62.06897,15.97083,2.41,1,38.4897,16,0.33485,102.028
8,6.66667,12,1,0,40.0,30.0,30.0,1.46082,5,0.1604,7.79221,65.17413,16.34774,2.34,1,38.2537,16,0.65431,94.1038
