Material_Main,Turning times,Intermittent ratio,Additive_3,Additive_4, Composting Method,M1_is Enclosed,Period (d),V1_Ventilation Type,V4_Ventilation Day,Compost volume (m3),Material_2,Application Rate (%DW),Initial C/N (%),Initial Moisture Content (%),Initial TN (%),V5_Ventilation rate (L/min/kg iniDW),Initial pH,Initial TC (%),Additive_1,Initial density (kg/L),Initial GI (%),Final GI (%)
5,6.42857,0.04167,0,0,0,0,10,0,9,0.09,3,0.0,12.93902,65.0,2.46,7.56254,6.5,31.83,0,0.25556,14.6939,82.6531
5,6.42857,0.04167,0,0,0,0,10,0,9,0.09,3,16.87764,11.15335,65.0,3.13,7.06051,6.1,34.91,12,0.27022,3.67347,79.5918
5,6.42857,0.04167,0,0,0,0,10,0,9,0.09,3,15.47117,10.95636,65.0,2.75,6.65557,7.2,30.13,3,0.269,22.9592,81.7347
5,6.42857,0.04167,0,0,0,0,10,0,9,0.09,3,15.47117,9.83607,65.0,3.05,7.34153,6.2,30.0,1,0.269,32.449,84.7959
5,7.5,0.04167,0,0,0,0,10,0,7,0.09,3,0.0,12.9607,65.0,2.46,2.6,6.28722,31.88332,0,0.25,14.9055,84.3683
5,7.5,0.04167,0,0,0,0,10,0,7,0.09,3,0.65,11.7281,65.0,2.97,2.6,7.1357,34.83246,5,0.25,17.1611,82.1126
5,7.5,0.04167,0,0,0,0,10,0,7,0.09,3,0.65,14.0483,65.0,2.52,2.6,7.42357,35.40172,11,0.25,15.8077,85.7217
5,7.5,0.04167,0,0,0,0,10,0,7,0.09,3,0.65,12.0181,65.0,2.79,2.6,6.98414,33.5305,11,0.25,11.2964,63.165
5,7.5,0.04167,0,0,0,0,10,0,7,0.09,3,1.95,12.5619,65.0,2.73,2.6,6.92358,34.29399,11,0.25,9.04075,60.9107
2,0.0,0.025,0,0,0,0,13,0,12,0.02,2,1.94326,30.4041,55.0,1.51479,0.35,6.50999,46.05583,9,0.5,4.70588,85.6
2,0.0,1.0,0,0,0,0,13,0,12,0.02,2,6.94326,34.0404,55.0,1.44971,0.35,6.29485,49.34871,9,0.5,2.05882,119.5
3,0.25,0.56667,0,0,0,0,10,0,9,2.4,1,0.0,30.4875,55.0,1.09466,6.67,7.87459,33.3734,0,0.41667,18.9917,98.9221
3,0.25,0.56667,0,0,0,0,10,0,9,2.4,1,0.44444,29.153,55.0,1.12653,6.67,7.73601,32.8418,3,0.41667,19.4087,120.626
