Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Turning times,Period (d),Compost volume (m3),Application Rate (%DW),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial Moisture Content (%),Initial pH,Initial C/N (%),Initial TC (%),CO2-C loss (%)
3,13,4,27,11,4,1,0,1.0,0.0,5.0,35.0,0.06,0.0,0.0,60.0,0.0,0.2,1.79,60.0,5.01,22.1,39.559,51.5
3,13,4,30,11,4,1,0,1.0,0.0,5.0,35.0,0.06,10.0,0.0,60.0,0.0,0.2,1.98,60.0,4.43,18.2,36.036,59.0
3,13,4,4,11,4,1,0,1.0,0.0,5.0,35.0,0.06,10.0,0.0,60.0,0.0,0.2,1.89,60.0,4.28,19.1,36.099,60.2
10,14,4,27,11,4,1,0,1.0,0.0,4.0,28.0,0.06,0.0,0.0,28.0,0.0,0.36,1.95,62.06,7.79826,17.91,34.9245,32.11
10,14,4,4,11,4,1,0,1.0,0.0,4.0,28.0,0.06,10.0,0.0,28.0,0.0,0.36,1.96,58.69,7.89913,18.23,35.7308,24.5
8,13,4,27,11,4,1,0,1.0,0.0,6.0,34.0,0.06,0.0,0.0,34.0,0.0,0.27211,2.47746,65.0,8.21911,11.37,39.05295,39.47
8,13,4,4,11,4,1,0,1.0,0.0,6.0,34.0,0.06,10.0,0.0,34.0,0.0,0.26291,2.41298,65.0,8.01201,11.37,34.72855,35.38
8,13,4,4,3,4,1,0,1.0,0.0,6.0,34.0,0.06,10.28571,0.0,34.0,0.0,0.26265,2.41298,65.0,8.01201,11.37,34.72855,30.39
8,13,4,4,3,4,1,0,1.0,0.0,6.0,34.0,0.06,14.57143,0.0,34.0,0.0,0.2589,2.51139,65.0,7.87571,11.37,36.1361,35.42
10,13,4,27,11,4,1,0,1.0,0.0,9.0,50.0,0.1,0.0,0.0,50.0,0.0,0.3,2.084,55.0,7.74382,25.0,52.1,14.697
10,13,4,2,11,4,1,0,1.0,0.0,9.0,50.0,0.1,10.0,0.0,50.0,0.0,0.3,2.60509,68.312,8.21499,12.73252,35.85002,9.51515
10,13,4,2,15,4,1,0,1.0,0.0,9.0,50.0,0.1,20.0,0.0,50.0,0.0,0.3,2.45779,67.409,8.13921,12.78052,38.4461,9.36364
10,13,4,2,15,5,1,0,1.0,0.0,9.0,50.0,0.1,20.5,0.0,50.0,0.0,0.3,2.40139,67.409,8.0173,12.78052,37.7961,8.66667
10,13,4,2,15,5,1,0,1.0,0.0,9.0,50.0,0.1,21.0,0.0,50.0,0.0,0.3,2.40139,67.409,7.84926,12.78052,37.7961,7.36364
10,13,4,2,15,5,1,0,1.0,0.0,9.0,50.0,0.1,22.0,0.0,50.0,0.0,0.3,2.40139,66.84,7.82949,14.05752,37.7961,7.15152
7,13,4,27,11,4,1,0,1.0,0.0,13.0,91.0,0.25,0.0,0.0,12.4,0.0,0.126,1.99,60.0,7.99441,20.0,39.8,18.3728
7,13,4,2,11,4,1,0,1.0,0.0,13.0,91.0,0.25,12.5,0.0,22.8,0.0,0.156,2.02,60.0,7.90629,20.0,40.4,12.9586
7,13,4,12,11,4,1,0,1.0,0.0,13.0,91.0,0.25,12.5,0.0,22.8,0.0,0.156,1.93,60.0,7.55385,20.0,38.6,14.645
7,13,4,2,5,4,1,0,1.0,0.0,13.0,91.0,0.25,25.0,0.0,20.0,0.0,0.12,1.96,60.0,7.45315,20.0,39.2,8.07692
7,13,4,27,11,4,1,0,1.0,0.0,13.0,91.0,0.25,0.0,0.0,11.8,0.0,0.0835,7.87,60.0,7.61678,25.0,196.75,19.2604
7,13,4,2,11,4,1,0,1.0,0.0,13.0,91.0,0.25,12.5,0.0,20.8,1.0,0.12683,1.78,60.0,7.67972,25.0,44.5,10.9172
7,13,4,12,11,4,1,0,1.0,0.0,13.0,91.0,0.25,12.5,0.0,18.8,2.0,0.09767,1.82,60.0,7.17622,25.0,45.5,17.0414
7,13,4,2,5,4,1,0,1.0,0.0,13.0,91.0,0.25,25.0,0.0,20.0,0.0,0.12,1.76,60.0,7.26434,25.0,44.0,10.8284
7,13,4,27,11,4,1,0,1.0,0.0,13.0,91.0,0.25,0.0,0.0,8.7,0.0,0.102,1.67,60.0,7.55385,30.0,50.1,21.8343
7,13,4,2,11,4,1,0,1.0,0.0,13.0,91.0,0.25,12.5,0.0,21.0,2.0,0.09167,1.63,60.0,7.5035,30.0,48.9,11.4497
7,13,4,12,11,4,1,0,1.0,0.0,13.0,91.0,0.25,12.5,0.0,18.8,2.0,0.09767,1.7,60.0,7.15105,30.0,51.0,16.9527
7,13,4,2,5,4,1,0,1.0,0.0,13.0,91.0,0.25,25.0,0.0,20.0,0.0,0.12,1.52,60.0,7.12587,30.0,45.6,11.8935
10,5,4,27,11,4,1,0,0.0,0.0,0.0,84.0,0.12,0.0,2.0,0.0,0.0,0.0,3.86,81.0,7.0,12.2,46.9,9.8
10,13,4,27,11,4,1,0,0.0,0.0,0.0,84.0,0.12,0.0,2.0,0.0,0.0,0.0,3.18,75.8,7.1,15.3,48.8,10.5
1,13,4,27,11,4,1,0,0.0,0.0,0.0,84.0,0.12,0.0,2.0,0.0,0.0,0.0,2.16,77.3,8.7,22.3,48.2,13.4
1,13,4,27,11,4,1,0,0.0,0.0,0.0,84.0,0.12,0.0,2.0,0.0,0.0,0.0,2.25,77.0,8.8,20.1,45.3,26.7
1,0,4,27,11,4,1,0,0.0,0.0,0.0,84.0,0.12,0.0,2.0,0.0,0.0,0.0,1.82,80.0,6.7,29.9,54.5,14.7
1,5,4,2,11,4,1,0,0.0,0.0,0.0,84.0,0.12,22.28321,2.0,0.0,0.0,0.0,2.26,84.1,10.7,16.9,38.3,1.9
1,13,4,2,11,4,1,0,0.0,0.0,0.0,84.0,0.12,9.53373,2.0,0.0,0.0,0.0,2.21,80.7,9.8,20.5,45.3,13.1
1,13,4,2,11,4,1,0,0.0,0.0,0.0,84.0,0.12,15.84383,2.0,0.0,0.0,0.0,2.03,81.5,10.0,21.3,42.5,7.3
1,5,4,27,11,4,1,0,1.0,0.0,0.0,28.0,0.01,0.0,0.0,28.0,0.0,0.28,3.7,69.0,7.72839,11.0,40.7,15.28999
1,6,4,27,11,4,1,0,1.0,0.0,0.0,28.0,0.01,0.0,0.0,28.0,0.0,0.28,3.7,63.0,7.69401,11.0,40.7,15.59457
1,6,4,27,11,4,1,0,1.0,0.0,0.0,28.0,0.01,0.0,0.0,28.0,0.0,0.28,3.7,66.0,7.76039,11.0,40.7,16.09073
1,8,4,27,11,4,1,0,1.0,0.0,0.0,28.0,0.01,0.0,0.0,28.0,0.0,0.28,2.85034,65.0,7.95199,14.7,41.9,11.49215
1,8,4,27,11,4,1,0,1.0,0.0,0.0,28.0,0.01,0.0,0.0,28.0,0.0,0.28,3.2093,67.0,7.76039,12.9,41.4,12.09028
1,5,4,2,11,4,1,0,1.0,0.0,0.0,28.0,0.01,25.0,0.0,28.0,0.0,0.28,2.93413,65.0,7.50063,16.7,49.0,8.3991
1,5,4,2,11,4,1,0,1.0,0.0,0.0,28.0,0.01,14.28571,0.0,28.0,0.0,0.28,3.24286,67.0,7.66769,14.0,45.4,9.9976
1,13,4,27,11,4,1,0,1.0,0.0,0.0,28.0,0.01,0.0,0.0,28.0,0.0,0.28,2.95714,65.0,7.95199,14.0,41.4,12.09433
1,2,4,27,11,4,1,0,1.0,0.0,0.0,28.0,0.01,0.0,0.0,28.0,0.0,0.28,3.34711,65.0,7.83339,12.1,40.5,15.15254
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,0.06,0.0,0.0,37.0,0.0,0.24,2.36,64.1,8.6,14.7,34.8,31.4
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,0.06,0.0,0.0,37.0,0.0,0.48,2.08,65.2,8.5,18.3,38.0,42.9
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,0.06,0.0,0.0,37.0,0.0,0.72,1.9,63.7,8.3,20.7,39.4,44.8
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,0.06,0.0,0.0,37.0,0.0,0.24,2.06,71.3,8.5,18.4,38.0,32.1
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,0.06,0.0,0.0,37.0,0.0,0.48,1.9,70.6,8.3,21.1,40.1,45.6
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,0.06,0.0,0.0,37.0,0.0,0.72,2.35,70.8,8.7,15.0,35.2,42.4
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,0.06,0.0,0.0,37.0,0.0,0.24,1.93,75.7,8.4,21.2,40.9,33.3
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,0.06,0.0,0.0,37.0,0.0,0.48,2.37,76.8,8.6,14.9,35.3,23.9
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,0.06,0.0,0.0,37.0,0.0,0.72,2.09,74.0,8.6,18.0,37.6,37.2
10,13,4,27,11,4,1,0,1.0,0.0,1.0,31.0,0.95,0.0,0.0,30.0,0.0,0.312,2.57,69.47,7.13,13.16342,33.83,35.83
0,8,4,27,11,4,1,0,1.0,0.0,9.0,35.0,0.1559,0.0,0.0,35.0,0.0,0.40721,1.817,66.03,8.20689,21.96203,39.905,30.98
0,8,4,27,11,4,1,0,1.0,0.0,9.0,35.0,0.2984,0.0,0.0,35.0,0.0,0.40721,1.813,65.69,8.20689,21.51131,39.0,24.52
0,8,4,27,11,4,1,0,1.0,0.0,9.0,35.0,0.5697,0.0,0.0,35.0,0.0,0.39121,1.796,66.14,8.20689,21.64477,38.874,20.7
8,13,4,27,11,4,1,0,1.0,0.0,5.0,35.0,0.06,0.0,0.0,35.0,0.0,0.2,2.68,72.1,7.78,11.37,30.45,45.38
8,8,4,27,11,4,1,0,1.0,0.0,0.0,50.0,0.03,0.0,0.0,50.0,0.0,0.22286,2.21,72.13,5.67,19.11,42.22,11.79753
8,13,4,27,11,4,1,0,1.0,0.0,0.0,50.0,0.03,0.0,0.0,50.0,0.0,0.20526,2.93,69.74,7.56,13.27,38.84,20.03979
8,4,4,27,11,4,1,0,1.0,0.0,0.0,50.0,0.03,0.0,0.0,50.0,0.0,0.21455,3.48,71.05,8.08,13.56,38.16,13.3533
7,8,4,27,11,4,1,0,1.0,0.0,0.0,50.0,0.02,0.0,0.0,50.0,0.0,0.2,3.12,73.67,8.04,9.89,30.87,15.25488
10,13,4,27,11,4,1,2,1.0,0.0,0.0,56.0,1.37,0.0,0.0,56.0,0.0,0.108,1.37255,69.4,8.8,29.0,40.19608,42.3
10,13,4,37,11,4,1,2,1.0,0.0,0.0,56.0,1.37,1.7301,0.0,56.0,0.0,0.108,1.6609,71.1,9.1,24.7,41.17647,44.8
10,13,4,37,11,4,1,2,1.0,0.0,0.0,56.0,1.37,1.38889,0.0,56.0,0.0,0.108,2.39583,71.2,8.8,17.6,42.01389,40.7
10,13,4,37,11,4,1,2,1.0,0.0,0.0,56.0,1.37,3.7037,0.0,56.0,0.0,0.108,2.19136,67.6,9.0,19.0,41.97531,38.8
10,13,4,37,11,4,1,2,1.0,0.0,0.0,56.0,1.37,0.32468,0.0,56.0,0.0,0.108,2.33766,69.2,8.6,19.5,45.77922,40.7
10,8,9,37,11,4,1,2,1.0,0.0,0.0,56.0,1.37,2.06897,0.0,56.0,0.0,0.108,2.31034,71.0,9.2,21.2,48.62069,36.4
10,13,4,16,11,4,1,2,1.0,0.0,0.0,56.0,1.37,0.0,0.0,56.0,0.0,0.108,2.22222,70.3,7.5,19.6,44.10774,42.6
10,8,9,37,11,4,1,2,1.0,0.0,0.0,56.0,1.18,2.83688,0.0,56.0,0.0,0.108,2.30496,71.8,8.4,19.5,45.03546,42.5
0,13,4,27,11,4,1,1,0.0,0.0,0.0,64.0,1.1,0.0,2.0,0.0,0.0,0.0,2.04892,74.27405,7.9,21.58448,45.98795,5.167
0,13,4,27,11,4,1,1,1.0,0.0,0.0,64.0,1.1,0.0,2.0,0.0,0.0,0.0,2.04892,74.27405,7.9,21.58448,45.98795,9.629
0,13,4,27,11,4,1,1,1.0,0.0,12.0,64.0,1.1,0.0,2.0,0.0,0.0,0.0,2.04892,74.27405,7.9,21.56448,44.3244,12.943
0,13,4,27,11,4,1,1,1.0,1410.0,12.0,64.0,1.1,0.0,1.0,64.0,30.0,2.5,2.04892,74.27405,7.9,22.12,43.92363,13.648
7,13,4,27,11,4,1,0,1.0,720.0,4.0,30.0,0.1,0.0,1.0,30.0,10.0,0.00833,0.77987,60.0,7.7987,41.11596,32.0651,13.9
7,13,4,7,11,4,1,0,1.0,720.0,4.0,30.0,0.1,10.0,1.0,30.0,10.0,0.00833,0.78831,60.0,7.88312,38.25338,30.1556,13.9
7,13,4,2,11,4,1,0,1.0,720.0,4.0,30.0,0.1,10.0,1.0,30.0,10.0,0.00833,0.77338,60.0,7.73377,42.9974,33.2532,13.7
0,13,4,27,11,4,1,0,1.0,0.0,0.0,20.0,0.06,0.0,0.0,20.0,0.0,0.21,1.45,60.22,7.53,29.35,42.38,40.99
0,13,4,27,11,4,1,0,1.0,10.0,0.0,20.0,0.06,0.0,1.0,20.0,10.0,0.42,1.45,60.22,7.53,29.35,42.38,36.4
0,13,4,27,11,4,1,0,1.0,15.0,0.0,20.0,0.06,0.0,1.0,20.0,5.0,0.84,1.45,60.22,7.53,29.35,42.38,32.5
0,5,4,27,11,4,1,0,1.0,0.0,0.0,21.0,0.06,0.0,0.0,21.0,0.0,0.21,2.34,55.0,7.26,11.5,26.8,28.58548
0,5,4,17,11,4,1,0,1.0,0.0,0.0,21.0,0.06,20.0,0.0,21.0,0.0,0.21,2.52,55.0,7.36,14.7,36.1,18.60004
0,5,4,17,11,4,1,0,1.0,0.0,0.0,21.0,0.06,20.0,0.0,21.0,0.0,0.21,2.52,55.0,7.21,14.0,35.3,16.72771
0,13,4,27,11,4,1,0,1.0,0.0,2.0,31.0,0.06,0.0,0.0,31.0,0.0,0.09384,2.1,65.4,9.1,14.2,29.7,31.5
0,13,4,27,11,4,1,0,1.0,0.0,2.0,31.0,0.06,0.0,0.0,31.0,0.0,0.15639,2.1,65.4,9.1,14.2,29.7,46.1
0,13,4,27,11,4,1,0,1.0,20.0,2.0,31.0,0.06,0.0,1.0,31.0,10.0,0.28151,2.1,65.4,9.1,14.2,29.7,40.9
8,13,4,27,11,4,1,0,1.0,0.0,5.0,35.0,0.06,0.0,0.0,35.0,0.0,0.2,2.77826,72.1,7.82186,10.57997,29.3939,39.47
8,13,4,30,11,4,1,0,1.0,0.0,5.0,35.0,0.06,10.0,0.0,35.0,0.0,0.2,2.59565,72.1,7.57287,11.30095,29.3333,36.49
8,13,4,4,11,4,1,0,1.0,0.0,5.0,35.0,0.06,10.0,0.0,35.0,0.0,0.2,2.6837,72.1,7.78543,10.89254,29.2323,33.38
8,13,4,30,3,4,1,0,1.0,0.0,5.0,35.0,0.06,12.5,0.0,35.0,0.0,0.2,2.68042,72.1,7.75506,11.19228,30.0,35.91
8,13,4,4,3,4,1,0,1.0,0.0,5.0,35.0,0.06,12.5,0.0,35.0,0.0,0.2,2.67717,72.1,7.69433,11.3794,30.4646,31.42
10,13,4,27,11,4,1,0,1.0,0.0,1.0,21.0,1.2096,0.0,0.0,21.0,0.0,0.24,1.91,59.81,7.3,19.9,38.1,48.02
10,0,4,27,11,4,1,0,1.0,0.0,1.0,21.0,1.2096,0.0,0.0,21.0,0.0,0.24,1.79,60.21,7.86,19.9,35.6,43.43
5,13,4,27,11,4,1,0,0.0,0.0,7.0,45.0,0.06,0.0,2.0,0.0,0.0,0.0,1.79,66.76,8.2,23.8,42.59,30.3
5,13,4,27,11,4,1,0,0.0,0.0,7.0,45.0,0.06,0.0,2.0,0.0,0.0,0.0,1.45,66.76,8.4,30.6,44.38,25.0
0,13,4,27,11,4,1,0,1.0,0.0,0.0,31.0,0.01,0.0,0.0,31.0,0.0,0.43,2.60606,83.0,8.45,16.5,43.0,21.6763
0,13,4,27,11,4,1,0,1.0,0.0,0.0,31.0,0.01,0.0,0.0,31.0,0.0,0.21,2.60606,83.0,8.45,16.5,43.0,19.7495
7,13,4,27,11,4,1,0,1.0,0.0,0.0,31.0,0.01,0.0,0.0,31.0,0.0,0.48,5.77049,71.0,6.8,6.1,35.2,22.5
7,13,4,27,11,4,1,0,1.0,0.0,0.0,31.0,0.01,0.0,0.0,31.0,0.0,0.23,5.77049,71.0,6.8,6.1,35.2,19.8077
7,13,4,2,11,4,1,0,1.0,0.0,0.0,31.0,0.01,37.7,0.0,31.0,0.0,0.43,3.9918,65.0,6.95,12.2,48.7,12.4038
7,13,4,2,11,4,1,0,1.0,0.0,0.0,31.0,0.01,37.7,0.0,31.0,0.0,0.48,3.9918,65.0,6.95,12.2,48.7,11.3942
10,13,4,27,11,4,1,1,0.0,0.0,7.0,54.0,0.13,0.0,2.0,0.0,0.0,0.0,2.826,71.386,8.03112,22.47,61.252,37.9
10,13,4,4,11,4,1,1,0.0,0.0,7.0,54.0,0.13,15.0,2.0,0.0,0.0,0.0,1.869,66.499,8.45168,24.31,44.337,34.8
10,13,4,4,11,4,1,1,0.0,0.0,7.0,54.0,0.13,15.0,2.0,0.0,0.0,0.0,1.869,66.499,8.45168,24.31,44.337,33.6
10,13,4,27,11,4,1,1,0.0,0.0,7.0,54.0,0.13,0.0,2.0,0.0,0.0,0.0,2.826,71.386,8.03112,22.47,61.252,39.1
