Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Turning times,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Application Rate (%DW),Initial TN (%),Initial pH,Initial Moisture Content (%),Initial C/N (%),N2O-N loss (%)
7,13,4,27,11,4,1,1,0.0,0.0,5.0,60.0,0.0,2.0,0.0,0.22,0.0,0.0,2.65926,7.46265,64.9862,15.04178,1.4
7,13,4,2,11,4,1,1,0.0,0.0,5.0,60.0,0.0,2.0,0.0,0.22,0.0,10.0,2.86,7.33735,62.7622,13.04196,0.4
7,13,4,2,11,4,1,1,0.0,0.0,5.0,60.0,0.0,2.0,0.0,0.22,0.0,10.0,2.61,7.61365,60.6549,14.48276,0.5
3,13,4,27,11,4,1,0,1.0,0.0,5.0,35.0,60.0,0.0,0.0,0.06,0.2,0.0,1.79,5.01,60.0,22.1,1.97
3,13,4,30,11,4,1,0,1.0,0.0,5.0,35.0,60.0,0.0,0.0,0.06,0.2,10.0,1.98,4.43,60.0,18.2,2.06
3,13,4,4,11,4,1,0,1.0,0.0,5.0,35.0,60.0,0.0,0.0,0.06,0.2,10.0,1.89,4.28,60.0,19.1,2.16
10,13,4,27,11,4,1,0,1.0,0.0,3.0,28.0,28.0,0.0,0.0,0.06,0.25,0.0,2.23,8.56091,52.2,24.8,1.5
10,13,4,20,6,4,1,0,1.0,0.0,3.0,28.0,28.0,0.0,0.0,0.06,0.25,3.72823,2.23,8.08092,52.2,24.8,1.4
10,13,4,20,6,4,1,0,1.0,0.0,3.0,28.0,28.0,0.0,0.0,0.06,0.25,3.78398,2.23,8.04706,52.2,24.8,1.0
10,13,4,27,11,4,1,0,1.0,0.0,4.0,35.0,35.0,0.0,0.0,0.06,0.38,0.0,2.09,7.24574,70.4,20.3,0.73
10,13,4,20,6,4,1,0,1.0,0.0,4.0,35.0,35.0,0.0,0.0,0.06,0.38,4.56,2.17362,7.82614,64.394,19.07063,1.45
10,13,4,20,1,4,1,0,1.0,0.0,4.0,35.0,35.0,0.0,0.0,0.06,0.38,6.48,2.40973,7.85682,65.291,17.66045,1.29
10,8,4,27,11,4,1,0,1.0,0.0,6.0,110.0,110.0,0.0,0.0,0.032,1.76554,0.0,2.34,7.4,64.6,24.94312,9.3
10,8,4,25,11,4,1,0,1.0,0.0,6.0,110.0,110.0,0.0,0.0,0.032,1.76554,1.95,2.34,7.4,64.6,24.98919,3.0
10,8,4,8,11,4,1,0,1.0,10.0,1.0,51.0,51.0,1.0,0.25,0.0318,0.3552,1.0658,2.4529,7.94808,60.6289,16.96247,8.921
10,8,4,11,11,4,1,0,1.0,10.0,1.0,51.0,51.0,1.0,0.25,0.0318,0.3552,10.25,2.51066,7.51827,64.9057,16.96247,0.645
10,8,4,27,11,4,1,0,1.0,10.0,1.0,51.0,51.0,1.0,0.25,0.0318,0.3552,0.0,2.24044,7.85,61.8868,16.96247,11.219
0,5,4,27,11,4,1,2,0.0,0.0,5.0,134.0,0.0,2.0,0.0,1.92422,0.0,0.0,1.4,8.3,62.63,17.9,0.08614
0,5,4,12,11,4,1,2,0.0,0.0,5.0,134.0,0.0,2.0,0.0,2.19409,0.0,10.0,1.33,7.6,65.46,17.8,0.20207
0,5,4,12,11,4,1,2,0.0,0.0,5.0,134.0,0.0,2.0,0.0,2.21016,0.0,17.8,1.32,7.6,64.61,18.9,0.15357
0,5,4,12,11,4,1,2,0.0,0.0,5.0,134.0,0.0,2.0,0.0,2.5076,0.0,26.9,1.29,7.4,65.46,18.5,0.22107
0,5,4,33,11,4,1,2,0.0,0.0,5.0,134.0,0.0,2.0,0.0,1.93464,0.0,9.9,1.29,8.4,64.12,20.1,0.05607
0,5,4,33,11,4,1,2,0.0,0.0,5.0,134.0,0.0,2.0,0.0,2.24278,0.0,20.7,1.12,8.6,61.07,17.1,0.14879
0,5,4,33,11,4,1,2,0.0,0.0,5.0,134.0,0.0,2.0,0.0,2.51123,0.0,30.6,1.23,8.7,63.73,18.9,0.10471
10,13,4,27,11,4,1,1,0.0,0.0,10.0,70.0,0.0,2.0,0.0,1.2,0.0,0.0,2.0135,7.428,70.02141,18.89189,1.0
10,13,4,4,11,4,1,1,0.0,0.0,10.0,70.0,0.0,2.0,0.0,1.2,0.0,3.3,2.03067,7.428,70.77741,18.89189,0.9
10,13,4,4,11,4,1,1,0.0,0.0,10.0,70.0,0.0,2.0,0.0,1.2,0.0,6.6,1.84676,7.68937,70.16741,18.89189,0.8
10,13,4,4,11,4,1,1,0.0,0.0,10.0,70.0,0.0,2.0,0.0,1.2,0.0,9.9,1.94249,8.1151,71.74171,18.89189,0.8
10,13,4,4,11,4,1,1,0.0,0.0,10.0,70.0,0.0,2.0,0.0,1.2,0.0,13.2,2.12534,8.4081,70.17171,18.89189,0.9
10,13,4,4,11,4,1,1,0.0,0.0,10.0,70.0,0.0,2.0,0.0,1.2,0.0,16.5,2.14052,8.33201,71.82171,18.89189,1.2
8,13,4,27,11,4,1,0,1.0,20.0,6.0,44.0,44.0,1.0,20.0,0.273,0.46008,0.0,2.53,7.85,68.45,12.58617,0.22812
8,13,4,2,11,4,1,0,1.0,20.0,6.0,44.0,44.0,1.0,20.0,0.275,0.45106,5.89001,2.511,7.89,66.71,13.36798,0.24111
8,13,4,2,11,4,1,0,1.0,20.0,6.0,44.0,44.0,1.0,20.0,0.277,0.44238,11.86352,2.522,8.1,67.58,14.22086,0.21505
8,13,4,2,11,4,1,0,1.0,20.0,6.0,44.0,44.0,1.0,20.0,0.282,0.426,21.41488,2.506,8.17,65.41,14.81405,0.1705
0,13,5,4,11,4,1,0,1.0,0.0,7.0,76.0,76.0,0.0,0.0,0.1625,0.1275,0.0,1.96233,7.03384,60.0,24.04931,0.084
0,13,5,27,11,4,1,0,1.0,0.0,7.0,76.0,76.0,0.0,0.0,0.1625,0.1275,7.5,1.57,6.4715,60.0,27.40127,0.1
0,13,5,4,11,4,1,0,1.0,0.0,3.0,76.0,0.0,2.0,0.0,0.1625,0.0,0.0,1.85155,7.74534,60.0,19.01057,0.1
0,13,5,27,11,4,1,0,1.0,0.0,3.0,76.0,0.0,2.0,0.0,0.1625,0.0,7.5,1.57,7.83771,60.0,27.40127,0.067
7,4,0,27,11,4,1,0,1.0,30.0,180.0,45.0,45.0,1.0,17.0,2.4,6.67,0.0,1.09466,7.87459,55.0,30.4875,8.62769
7,4,0,8,11,4,1,0,1.0,30.0,180.0,45.0,45.0,1.0,17.0,2.4,6.67,0.44444,1.12653,7.73601,55.0,29.153,1.27637
7,4,0,8,11,4,1,0,1.0,30.0,180.0,45.0,45.0,1.0,17.0,2.4,6.67,0.44444,1.03964,7.7218,55.0,31.2883,3.0741
7,4,4,27,11,4,1,0,1.0,0.0,12.0,112.0,112.0,0.0,0.0,0.026,2.024,0.0,2.36,7.5,61.9,25.28224,8.85
7,4,4,25,11,4,1,0,1.0,0.0,12.0,112.0,112.0,0.0,0.0,0.026,2.024,3.75,2.12815,6.961,61.11,26.2961,1.75
7,4,4,25,11,4,1,0,1.0,0.0,12.0,112.0,112.0,0.0,0.0,0.026,2.024,3.75,2.12815,6.961,61.11,26.2961,2.02
10,8,4,27,11,4,1,1,0.0,0.0,12.0,112.0,42.0,0.0,0.0,0.1416,0.2569,0.0,1.4,7.1,65.4,20.35498,2.28
10,8,4,25,11,4,1,1,0.0,0.0,12.0,112.0,42.0,0.0,0.0,0.1476,0.26221,2.94985,1.6,6.8,66.1,20.20054,2.02
10,8,4,27,11,4,1,1,0.0,0.0,12.0,112.0,0.0,2.0,0.0,0.58821,0.0,0.0,3.4,6.9,64.9,13.71375,4.07
10,8,4,25,11,4,1,1,0.0,0.0,12.0,112.0,0.0,2.0,0.0,0.70614,0.0,2.8169,3.1,7.0,64.5,14.29394,6.04
8,13,4,27,11,4,1,0,1.0,0.0,11.0,56.0,56.0,1.0,2.0,0.13,1.11111,0.0,1.80435,7.4,55.0,25.02125,2.5
8,13,4,2,11,4,1,0,1.0,0.0,11.0,56.0,56.0,1.0,0.0,0.13,1.11111,2.0,1.84239,7.8,55.0,25.08996,1.8
8,13,4,2,11,4,1,0,1.0,0.0,11.0,56.0,56.0,1.0,0.0,0.13,1.11111,4.0,1.8587,7.8,55.0,25.00167,0.57
8,13,4,2,11,4,1,0,1.0,0.0,11.0,56.0,56.0,1.0,0.0,0.13,1.11111,6.0,1.95109,8.0,55.0,23.99361,0.41
8,13,4,2,11,4,1,0,1.0,0.0,11.0,56.0,56.0,1.0,2.5,0.13,1.11111,8.0,2.11957,8.0,55.0,22.31769,0.09
8,13,4,2,11,4,1,0,1.0,0.0,11.0,56.0,56.0,1.0,2.5,0.13,1.11111,12.0,2.27717,8.1,55.0,21.13909,0.02
8,13,4,2,11,4,1,0,1.0,0.0,11.0,56.0,56.0,1.0,2.0,0.13,1.11111,18.0,2.42935,8.2,55.0,20.40002,0.05
4,2,4,27,11,4,1,1,0.0,0.0,37.0,69.0,0.0,2.0,0.0,0.08,0.0,0.0,0.82,8.017,80.7,20.37805,12.65063
4,2,4,2,11,4,1,1,0.0,0.0,37.0,69.0,0.0,2.0,0.0,0.08,0.0,3.0,0.9,8.2,80.7,22.76667,9.10345
4,2,4,28,11,4,1,1,0.0,0.0,37.0,69.0,0.0,2.0,0.0,0.08,0.0,4.0,0.95,8.217,80.7,19.47368,7.41426
4,2,4,28,0,4,1,1,0.0,0.0,37.0,69.0,0.0,2.0,0.0,0.08,0.0,3.0,0.83,8.137,80.7,22.13253,10.1722
10,13,4,27,11,4,1,0,1.0,0.0,4.0,35.0,35.0,0.0,0.0,0.06,0.3,0.0,2.04,8.23053,69.2,18.4,1.5
10,13,4,13,7,4,1,0,1.0,0.0,4.0,35.0,35.0,0.0,0.0,0.06,0.3,3.644,2.04,8.02421,69.2,18.4,1.4
10,13,4,31,9,4,1,0,1.0,0.0,4.0,35.0,35.0,0.0,0.0,0.06,0.3,3.644,2.04,7.96947,69.2,18.4,1.2
10,13,4,4,9,4,1,0,1.0,0.0,4.0,35.0,35.0,0.0,0.0,0.06,0.3,4.07943,2.04,8.16316,69.2,18.4,1.3
10,13,4,13,9,4,1,0,1.0,0.0,4.0,35.0,35.0,0.0,0.0,0.06,0.3,3.88618,2.04,6.85368,69.2,18.4,1.0
8,13,4,27,11,4,1,0,1.0,60.0,7.0,50.0,50.0,1.0,20.0,0.288,0.3136,0.0,2.412,7.82,67.71,21.24,0.6
8,13,4,2,11,4,1,0,1.0,60.0,7.0,50.0,50.0,1.0,20.0,0.288,0.31724,12.0,2.53,8.01,66.08,21.21,0.47
10,13,4,27,11,4,1,0,1.0,0.0,6.0,30.0,30.0,0.0,0.0,0.12,2.56621,0.0,1.94767,7.25571,66.11478,17.57895,2.6
10,13,4,28,11,4,1,0,1.0,0.0,6.0,30.0,30.0,0.0,0.0,0.12,2.56621,5.0,1.94767,6.60761,63.39748,26.64686,2.08
10,13,4,28,11,4,1,0,1.0,0.0,6.0,30.0,30.0,0.0,0.0,0.12,2.56621,10.0,1.94767,6.57182,63.28348,25.54809,1.976
10,13,4,28,11,4,1,0,1.0,0.0,6.0,30.0,30.0,0.0,0.0,0.12,2.56621,20.0,1.94767,6.38097,62.028,20.82237,1.976
10,13,4,28,11,4,1,0,1.0,0.0,6.0,30.0,30.0,0.0,0.0,0.12,2.56621,1.0,1.94767,7.07281,63.89748,25.56959,2.132
10,14,4,27,11,4,1,0,1.0,0.0,4.0,28.0,28.0,0.0,0.0,0.06,0.36,0.0,1.95,7.79826,62.06,17.91,0.0025
10,14,4,4,11,4,1,0,1.0,0.0,4.0,28.0,28.0,0.0,0.0,0.06,0.36,10.0,1.96,7.89913,58.69,18.23,0.0149
10,13,4,27,11,4,1,2,0.0,0.0,7.0,26.0,0.0,2.0,0.0,1.2,0.0,0.0,1.69,7.56,65.0,22.46154,1.37
10,13,4,2,11,4,1,2,0.0,0.0,7.0,26.0,0.0,2.0,0.0,1.2,0.0,15.67944,1.51,8.03,65.0,24.96689,0.71
10,13,4,2,11,4,1,2,0.0,0.0,7.0,26.0,0.0,2.0,0.0,1.2,0.0,31.35889,1.41,8.17,65.0,26.48227,0.35
10,13,4,2,11,4,1,2,0.0,0.0,7.0,26.0,0.0,2.0,0.0,1.2,0.0,47.03833,1.35,8.33,65.0,29.88889,0.38
10,13,4,27,11,4,1,0,1.0,30.0,2.0,35.0,35.0,1.0,30.0,0.06,0.38,0.0,2.22446,7.779,67.6,17.4312,0.57
10,13,4,30,11,4,1,0,1.0,30.0,2.0,35.0,35.0,1.0,30.0,0.06,0.38,0.408,2.06768,6.76537,63.56609,14.83745,0.79
10,13,4,6,11,4,1,0,1.0,30.0,2.0,35.0,35.0,1.0,30.0,0.06,0.38,0.408,2.16937,8.01878,65.87,16.20429,0.41
10,13,4,30,2,4,1,0,1.0,30.0,2.0,35.0,35.0,1.0,30.0,0.06,0.38,0.408,2.27531,7.24492,66.632,13.97506,0.68
