Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Turning times,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),Application Rate (%DW),Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial TN (%),Initial C/N (%),Initial pH,NH3-N loss (%)
10,13,4,27,11,4,1,0,1.0,0.0,2.0,26.0,26.0,0.0,0.0,0.0,0.05,0.57,65.0,2.66,15.0,7.60664,28.0
10,13,4,20,6,4,1,0,1.0,0.0,2.0,26.0,26.0,0.0,0.0,3.8,0.05,0.57,65.0,2.66,15.0,7.41084,9.0
10,13,4,20,6,4,1,0,1.0,0.0,2.0,26.0,26.0,0.0,0.0,7.3,0.05,0.57,65.0,2.66,15.0,6.61538,4.0
10,13,4,20,6,4,1,0,1.0,0.0,2.0,26.0,26.0,0.0,0.0,8.9,0.05,0.57,65.0,2.66,15.0,6.40734,0.5
0,8,4,27,11,4,1,0,1.0,0.0,2.0,14.0,14.0,0.0,0.0,0.0,0.004,0.1,61.7,0.984,51.42276,7.87,6.79
0,8,4,12,11,4,1,0,1.0,0.0,2.0,14.0,14.0,0.0,0.0,6.0,0.004,0.1,61.4,1.12,44.55357,7.94,2.95
0,8,4,12,11,4,1,0,1.0,0.0,2.0,14.0,14.0,0.0,0.0,13.0,0.004,0.1,59.3,0.985,45.58376,7.96,3.01
0,8,4,12,11,4,1,0,1.0,0.0,2.0,14.0,14.0,0.0,0.0,23.0,0.004,0.1,56.9,0.905,40.99448,7.83,2.71
10,13,4,27,11,4,1,0,1.0,720.0,7.0,45.0,45.0,1.0,30.0,0.0,0.09,7.56254,65.0,2.46,12.93902,6.5,3.0
10,13,4,28,11,4,1,0,1.0,720.0,7.0,45.0,45.0,1.0,30.0,16.87764,0.09,7.06051,65.0,3.13,11.15335,6.1,2.1
10,13,4,8,11,4,1,0,1.0,720.0,7.0,45.0,45.0,1.0,30.0,15.47117,0.09,6.65557,65.0,2.75,10.95636,7.2,4.6
