Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Turning times,Period (d),V4_Ventilation Day,V1_Ventilation Type,Compost volume (m3),V3_Ventilation Duration (min),Application Rate (%DW),Initial Moisture Content (%),Initial C/N (%),Initial pH,Initial TN (%),V5_Ventilation rate (L/min/kg iniDW),TN loss (%)
10,13,4,27,11,4,1,0,1.0,0.0,2.0,26.0,26.0,0.0,0.05,0.0,0.0,65.0,15.0,7.60664,2.66,0.57,35.0
10,13,4,20,6,4,1,0,1.0,0.0,2.0,26.0,26.0,0.0,0.05,0.0,3.8,65.0,15.0,7.41084,2.66,0.57,12.0
10,13,4,20,6,4,1,0,1.0,0.0,2.0,26.0,26.0,0.0,0.05,0.0,7.3,65.0,15.0,6.61538,2.66,0.57,5.0
10,13,4,20,6,4,1,0,1.0,0.0,2.0,26.0,26.0,0.0,0.05,0.0,8.9,65.0,15.0,6.40734,2.66,0.57,1.0
0,8,4,27,11,4,1,0,1.0,0.0,2.0,14.0,14.0,0.0,0.004,0.0,0.0,61.7,51.42276,7.87,0.984,0.1,0.0
0,8,4,12,11,4,1,0,1.0,0.0,2.0,14.0,14.0,0.0,0.004,0.0,6.0,61.4,44.55357,7.94,1.12,0.1,4.5
0,8,4,12,11,4,1,0,1.0,0.0,2.0,14.0,14.0,0.0,0.004,0.0,13.0,59.3,45.58376,7.96,0.985,0.1,12.3
0,8,4,12,11,4,1,0,1.0,0.0,2.0,14.0,14.0,0.0,0.004,0.0,23.0,56.9,40.99448,7.83,0.905,0.1,7.3
10,13,4,27,11,4,1,0,1.0,720.0,7.0,45.0,45.0,1.0,0.09,30.0,0.0,65.0,12.93902,6.5,2.46,7.56254,58.0
10,13,4,28,11,4,1,0,1.0,720.0,7.0,45.0,45.0,1.0,0.09,30.0,16.87764,65.0,11.15335,6.1,3.13,7.06051,44.1
10,13,4,8,11,4,1,0,1.0,720.0,7.0,45.0,45.0,1.0,0.09,30.0,15.47117,65.0,10.95636,7.2,2.75,6.65557,50.3
10,13,4,4,11,4,1,0,1.0,720.0,7.0,45.0,45.0,1.0,0.09,30.0,15.47117,65.0,9.83607,6.2,3.05,7.34153,34.1
10,13,4,27,11,4,1,0,1.0,720.0,6.0,45.0,35.0,1.0,0.09,30.0,0.0,65.0,12.9607,6.28722,2.46,2.6,45.0
10,13,4,15,11,4,1,0,1.0,720.0,6.0,45.0,35.0,1.0,0.09,30.0,0.65,65.0,11.7281,7.1357,2.97,2.6,41.0
10,13,4,25,11,4,1,0,1.0,720.0,6.0,45.0,35.0,1.0,0.09,30.0,0.65,65.0,14.0483,7.42357,2.52,2.6,35.0
10,13,4,25,11,4,1,0,1.0,720.0,6.0,45.0,35.0,1.0,0.09,30.0,0.65,65.0,12.0181,6.98414,2.79,2.6,56.0
10,13,4,25,11,4,1,0,1.0,720.0,6.0,45.0,35.0,1.0,0.09,30.0,1.95,65.0,12.5619,6.92358,2.73,2.6,48.0
7,5,4,27,11,4,1,0,1.0,20.0,6.0,42.0,42.0,1.0,0.06,0.5,0.0,60.0,10.39326,8.70526,3.56,0.0275,39.5
7,5,4,2,11,4,1,0,1.0,20.0,6.0,42.0,42.0,1.0,0.06,0.5,5.0,60.0,10.73352,8.66,3.49,0.0275,37.3
7,5,4,2,11,4,1,0,1.0,20.0,6.0,42.0,42.0,1.0,0.06,0.5,25.0,60.0,15.5,8.55,2.96,0.0275,26.7
7,13,4,27,11,4,1,1,0.0,0.0,5.0,60.0,0.0,2.0,0.22,0.0,0.0,64.9862,15.04178,7.46265,2.65926,0.0,55.3
7,13,4,2,11,4,1,1,0.0,0.0,5.0,60.0,0.0,2.0,0.22,0.0,10.0,62.7622,13.04196,7.33735,2.86,0.0,48.9
7,13,4,2,11,4,1,1,0.0,0.0,5.0,60.0,0.0,2.0,0.22,0.0,10.0,60.6549,14.48276,7.61365,2.61,0.0,43.0
6,2,4,27,11,4,1,2,0.0,0.0,12.0,25.0,25.0,0.0,0.4305,0.0,0.0,73.0,19.8,7.3,1.8,0.40455,22.0
6,2,4,2,11,4,1,2,0.0,0.0,12.0,25.0,25.0,0.0,0.436,0.0,10.0,69.7,27.5,7.6,1.4,3.22646,3.0
7,13,4,27,11,4,1,1,0.0,0.0,7.0,60.0,0.0,2.0,0.165,0.0,0.0,60.0,12.3645,7.28993,3.05674,0.0,32.3
7,13,4,2,11,4,1,1,0.0,0.0,7.0,60.0,0.0,2.0,0.165,0.0,10.0,59.0,13.2954,7.31734,2.96078,0.0,15.8
7,13,4,2,11,4,1,1,0.0,0.0,7.0,60.0,0.0,2.0,0.165,0.0,10.0,58.0,11.4409,7.38317,3.33965,0.0,21.9
0,2,4,27,11,4,1,1,0.0,0.0,21.0,150.0,0.0,2.0,0.12,0.0,0.0,65.0,31.6,7.0135,1.688,0.0,2.01
0,2,4,3,11,4,1,1,0.0,0.0,21.0,150.0,0.0,2.0,0.12,0.0,4.0,65.0,31.67614,6.8869,1.708,0.0,6.5
0,2,4,3,11,4,1,1,0.0,0.0,21.0,150.0,0.0,2.0,0.12,0.0,8.0,65.0,31.77966,7.2489,1.688,0.0,1.46
0,2,4,3,11,4,1,1,0.0,0.0,21.0,150.0,0.0,2.0,0.12,0.0,12.0,65.0,31.5,7.3212,1.708,0.0,4.33
3,13,4,27,11,4,1,0,1.0,0.0,5.0,35.0,60.0,0.0,0.06,0.0,0.0,60.0,22.1,5.01,1.79,0.2,47.4
3,13,4,30,11,4,1,0,1.0,0.0,5.0,35.0,60.0,0.0,0.06,0.0,10.0,60.0,18.2,4.43,1.98,0.2,30.7
3,13,4,4,11,4,1,0,1.0,0.0,5.0,35.0,60.0,0.0,0.06,0.0,10.0,60.0,19.1,4.28,1.89,0.2,37.5
6,5,4,27,11,4,1,0,1.0,720.0,9.0,28.0,60.0,1.0,0.07772,30.0,0.0,63.0,32.06504,7.5,1.23,2.05173,38.0
6,8,4,27,11,4,1,0,1.0,720.0,9.0,28.0,60.0,1.0,0.07772,30.0,0.0,60.0,33.03604,6.8,1.11,2.05173,38.0
6,5,4,31,11,4,1,0,1.0,720.0,9.0,28.0,28.0,1.0,0.07772,30.0,0.18,61.0,31.89256,5.9,1.21,0.37845,38.0
6,8,4,31,11,4,1,0,1.0,720.0,9.0,28.0,28.0,1.0,0.07772,30.0,0.06,62.0,30.96721,6.5,1.22,0.41076,13.0
10,13,4,27,11,4,1,0,1.0,0.0,3.0,28.0,28.0,0.0,0.06,0.0,0.0,52.2,24.8,8.56091,2.23,0.25,43.9
10,13,4,20,6,4,1,0,1.0,0.0,3.0,28.0,28.0,0.0,0.06,0.0,3.72823,52.2,24.8,8.08092,2.23,0.25,22.3
10,13,4,20,6,4,1,0,1.0,0.0,3.0,28.0,28.0,0.0,0.06,0.0,3.78398,52.2,24.8,8.04706,2.23,0.25,20.2
10,13,4,27,11,4,1,0,1.0,0.0,5.0,39.0,39.0,0.0,0.06,0.0,0.0,69.139,20.7524,8.23826,1.9423,0.415,31.51
10,13,4,20,6,4,1,0,1.0,0.0,5.0,39.0,39.0,0.0,0.06,0.0,1.104,69.68,20.7524,8.10403,2.00934,0.424,13.15
10,13,4,13,11,4,1,0,1.0,0.0,5.0,39.0,39.0,0.0,0.06,0.0,0.0,68.706,20.7524,6.68792,1.94025,0.406,11.5
10,13,4,31,8,4,1,0,1.0,0.0,5.0,39.0,39.0,0.0,0.06,0.0,1.104,68.482,20.7524,7.7349,1.97534,0.438,10.69
10,13,4,4,8,4,1,0,1.0,0.0,5.0,39.0,39.0,0.0,0.06,0.0,0.0,68.246,20.7524,6.84899,1.96965,0.406,7.59
10,13,4,27,11,4,1,0,1.0,0.0,4.0,35.0,35.0,0.0,0.06,0.0,0.0,70.4,20.3,7.24574,2.09,0.38,33.01
10,13,4,20,6,4,1,0,1.0,0.0,4.0,35.0,35.0,0.0,0.06,0.0,4.56,68.18,17.17164,7.82614,2.17362,0.38,31.48
10,13,4,20,1,4,1,0,1.0,0.0,4.0,35.0,35.0,0.0,0.06,0.0,6.48,69.886,15.05117,7.85682,2.40973,0.38,28.63
10,8,4,27,11,4,1,1,0.0,0.0,5.0,56.0,21.0,0.0,0.4,0.0,0.0,66.4,30.52324,7.48094,0.98034,0.333,36.8
10,8,4,2,11,4,1,1,0.0,0.0,5.0,56.0,21.0,0.0,0.4,0.0,8.53343,64.9,30.22431,7.54382,0.96855,0.333,26.4
10,8,4,2,11,4,1,1,0.0,0.0,5.0,56.0,21.0,0.0,0.4,0.0,16.52893,63.7,32.17384,7.54382,1.00688,0.333,16.5
10,8,4,2,11,4,1,1,0.0,0.0,5.0,56.0,21.0,0.0,0.4,0.0,23.93612,62.4,30.54255,7.65982,1.03636,0.333,12.7
10,8,4,27,11,4,1,0,1.0,0.0,6.0,110.0,110.0,0.0,0.032,0.0,0.0,64.6,22.219,7.4,2.34,1.76554,27.8
10,8,4,25,11,4,1,0,1.0,0.0,6.0,110.0,110.0,0.0,0.032,0.0,11.25,64.6,22.44,7.4,2.34,1.76554,13.3
10,8,4,8,11,4,1,0,1.0,10.0,1.0,51.0,51.0,1.0,0.0318,0.25,3.2666,60.6289,16.96613,7.94808,2.4529,0.31204,11.069
10,8,4,11,11,4,1,0,1.0,10.0,1.0,51.0,51.0,1.0,0.0318,0.25,10.25,64.9057,15.90551,7.51827,2.51066,0.98658,6.384
10,8,4,27,11,4,1,0,1.0,10.0,1.0,51.0,51.0,1.0,0.0318,0.25,0.0,61.8868,16.87988,7.85,2.24044,0.39302,14.682
