Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Turning times,Period (d),Compost volume (m3),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),V5_Ventilation rate (L/min/kg iniDW),Initial pH,Initial GI (%),Initial C/N (%),Initial Moisture Content (%),Final GI (%)
10,13,4,27,11,4,1,0,1.0,0.0,2.0,26.0,0.05,0.0,26.0,0.0,0.0,0.57,7.60664,38.0,15.0,65.0,82.0
10,13,4,20,6,4,1,0,1.0,0.0,2.0,26.0,0.05,0.0,26.0,0.0,3.8,0.57,7.41084,43.0,15.0,65.0,96.0
10,13,4,20,6,4,1,0,1.0,0.0,2.0,26.0,0.05,0.0,26.0,0.0,7.3,0.57,6.61538,42.0,15.0,65.0,100.0
10,13,4,20,6,4,1,0,1.0,0.0,2.0,26.0,0.05,0.0,26.0,0.0,8.9,0.57,6.40734,44.0,15.0,65.0,76.0
10,13,4,27,11,4,1,0,1.0,720.0,7.0,45.0,0.09,1.0,45.0,30.0,0.0,7.56254,6.5,14.6939,12.93902,65.0,82.6531
10,13,4,28,11,4,1,0,1.0,720.0,7.0,45.0,0.09,1.0,45.0,30.0,16.87764,7.06051,6.1,3.67347,11.15335,65.0,79.5918
10,13,4,8,11,4,1,0,1.0,720.0,7.0,45.0,0.09,1.0,45.0,30.0,15.47117,6.65557,7.2,22.9592,10.95636,65.0,81.7347
10,13,4,4,11,4,1,0,1.0,720.0,7.0,45.0,0.09,1.0,45.0,30.0,15.47117,7.34153,6.2,32.449,9.83607,65.0,84.7959
10,13,4,27,11,4,1,0,1.0,720.0,6.0,45.0,0.09,1.0,35.0,30.0,0.0,2.6,6.28722,14.9055,12.9607,65.0,84.3683
10,13,4,15,11,4,1,0,1.0,720.0,6.0,45.0,0.09,1.0,35.0,30.0,0.65,2.6,7.1357,17.1611,11.7281,65.0,82.1126
10,13,4,25,11,4,1,0,1.0,720.0,6.0,45.0,0.09,1.0,35.0,30.0,0.65,2.6,7.42357,15.8077,14.0483,65.0,85.7217
10,13,4,25,11,4,1,0,1.0,720.0,6.0,45.0,0.09,1.0,35.0,30.0,0.65,2.6,6.98414,11.2964,12.0181,65.0,63.165
10,13,4,25,11,4,1,0,1.0,720.0,6.0,45.0,0.09,1.0,35.0,30.0,1.95,2.6,6.92358,9.04075,12.5619,65.0,60.9107
3,8,4,27,11,4,1,0,1.0,0.0,0.0,56.0,0.02,1.0,56.0,0.0,0.0,0.35,6.39047,6.17647,32.0202,55.0,39.7
3,8,4,23,13,4,1,0,1.0,0.0,0.0,56.0,0.02,1.0,56.0,0.0,1.94326,0.35,6.50999,4.70588,30.4041,55.0,85.6
3,8,4,23,13,4,1,0,1.0,0.0,0.0,56.0,0.02,1.0,56.0,0.0,6.94326,0.35,6.29485,2.05882,34.0404,55.0,119.5
3,8,4,23,13,4,1,0,1.0,0.0,0.0,56.0,0.02,1.0,56.0,0.0,16.94326,0.0,6.19923,3.52941,29.0404,55.0,136.4
3,13,4,27,11,4,1,0,1.0,0.0,5.0,35.0,0.06,0.0,60.0,0.0,0.0,0.2,5.01,38.3,22.1,60.0,122.9
3,13,4,30,11,4,1,0,1.0,0.0,5.0,35.0,0.06,0.0,60.0,0.0,10.0,0.2,4.43,43.9,18.2,60.0,103.3
3,13,4,4,11,4,1,0,1.0,0.0,5.0,35.0,0.06,0.0,60.0,0.0,10.0,0.2,4.28,45.1,19.1,60.0,94.5
10,13,4,27,11,4,1,0,1.0,0.0,3.0,28.0,0.06,0.0,28.0,0.0,0.0,0.25,8.56091,20.6726,24.8,52.2,116.83
10,13,4,20,6,4,1,0,1.0,0.0,3.0,28.0,0.06,0.0,28.0,0.0,3.72823,0.25,8.08092,18.7371,24.8,52.2,106.765
10,13,4,20,6,4,1,0,1.0,0.0,3.0,28.0,0.06,0.0,28.0,0.0,3.78398,0.25,8.04706,21.6779,24.8,52.2,108.157
10,8,4,27,11,4,1,0,1.0,0.0,0.0,60.0,0.1,0.0,60.0,0.0,0.0,0.0,9.0061,21.01046,33.0,58.0,74.9231
10,8,4,8,11,4,1,0,1.0,0.0,0.0,60.0,0.1,0.0,60.0,0.0,2.5,0.0,9.00741,19.12098,34.3643,58.0,75.6934
10,8,4,8,11,4,1,0,1.0,0.0,0.0,60.0,0.1,0.0,60.0,0.0,5.0,0.0,8.9963,18.18098,34.7059,58.0,84.7699
10,8,4,8,11,4,1,0,1.0,0.0,0.0,60.0,0.1,0.0,60.0,0.0,7.5,0.0,8.9,21.61748,33.9089,58.0,82.5414
10,8,4,8,11,4,1,0,1.0,0.0,0.0,60.0,0.1,0.0,60.0,0.0,10.0,0.0,8.84815,15.0381,35.0474,58.0,84.2347
10,13,4,27,11,4,1,0,1.0,0.0,5.0,39.0,0.06,0.0,39.0,0.0,0.0,0.355,8.23826,54.4441,20.7524,72.008,89.82
10,13,4,20,6,4,1,0,1.0,0.0,5.0,39.0,0.06,0.0,39.0,0.0,1.0,0.35,8.10403,36.1111,20.7524,69.03,99.54
10,13,4,13,11,4,1,0,1.0,0.0,5.0,39.0,0.06,0.0,39.0,0.0,5.98571,0.24016,6.68792,53.8882,20.7524,70.448,69.87
10,13,4,31,8,4,1,0,1.0,0.0,5.0,39.0,0.06,0.0,39.0,0.0,1.4,0.306,7.7349,26.3889,20.7524,69.81,118.24
10,13,4,4,8,4,1,0,1.0,0.0,5.0,39.0,0.06,0.0,39.0,0.0,4.25,0.2285,6.84899,40.8333,20.7524,70.542,107.42
10,13,4,27,11,4,1,0,1.0,0.0,4.0,35.0,0.06,0.0,35.0,0.0,0.0,0.38,7.24574,68.0323,20.3,70.4,116.28
10,13,4,20,6,4,1,0,1.0,0.0,4.0,35.0,0.06,0.0,35.0,0.0,4.56,0.38,7.82614,66.1456,16.91483,68.877,108.464
10,13,4,20,1,4,1,0,1.0,0.0,4.0,35.0,0.06,0.0,35.0,0.0,6.48,0.38,7.85682,80.7008,16.22887,69.817,124.906
7,13,4,27,11,4,1,2,0.0,0.0,11.0,135.0,4.5,2.0,0.0,0.0,0.0,0.0,5.94937,0.09852,9.21875,65.9341,53.4975
7,13,4,2,11,4,1,2,0.0,0.0,11.0,135.0,4.5,2.0,0.0,0.0,3.0,0.0,6.54776,0.09852,9.71875,66.989,52.9064
8,13,4,27,11,4,1,0,1.0,0.0,0.0,56.0,0.13,2.0,0.0,0.0,0.0,0.0,8.03025,41.69798,25.0236,66.93481,56.41
8,13,4,8,11,4,1,0,1.0,0.0,0.0,56.0,0.13,2.0,0.0,0.0,2.0,0.0,8.03025,41.69798,25.2437,66.93481,63.78
8,13,4,8,11,4,1,0,1.0,0.0,0.0,56.0,0.13,2.0,0.0,0.0,4.0,0.0,7.93505,42.07495,27.68296,66.86481,74.46
8,13,4,8,11,4,1,0,1.0,0.0,0.0,56.0,0.13,2.0,0.0,0.0,6.0,0.0,7.60611,36.89036,27.80003,65.84713,85.47
8,13,4,8,11,4,1,0,1.0,0.0,0.0,56.0,0.13,2.0,0.0,0.0,10.0,0.0,7.05387,27.47561,28.84589,60.99778,93.15
7,4,0,27,11,4,1,0,1.0,30.0,180.0,45.0,2.4,1.0,45.0,17.0,0.0,6.67,7.87459,18.9917,30.4875,55.0,98.9221
7,4,0,8,11,4,1,0,1.0,30.0,180.0,45.0,2.4,1.0,45.0,17.0,0.44444,6.67,7.73601,19.4087,29.153,55.0,120.626
7,4,0,8,11,4,1,0,1.0,30.0,180.0,45.0,2.4,1.0,45.0,17.0,0.44444,6.67,7.7218,16.9045,31.2883,55.0,114.157
3,4,4,27,11,4,1,0,1.0,0.0,4.0,30.0,0.06,0.0,30.0,0.0,0.0,0.2,6.1837,9.74889,20.0,60.59701,93.0576
3,4,4,20,6,4,1,0,1.0,0.0,4.0,30.0,0.06,0.0,30.0,0.0,2.1383,0.2,4.77333,17.1344,22.76333,61.81118,100.295
3,4,4,4,11,4,1,0,1.0,0.0,4.0,30.0,0.06,0.0,30.0,0.0,3.20088,0.2,4.41037,6.49926,21.50538,62.39118,106.056
