Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4,Application Rate (%DW),Initial Moisture Content (%),Initial pH,Initial TN (%),Initial TC (%),Initial C/N (%),Compost volume (m3), Composting Method,M1_is Enclosed,Period (d),Initial density (kg/L),V1_Ventilation Type,V2_Ventilation Interval (min),V3_Ventilation Duration (min),V4_Ventilation Day,V5_Ventilation rate (L/min/kg iniDW),Turning times,NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),Initial GI (%),Final GI (%),CO2-C loss (%)
Cattle manure,Straw,Byproduct,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Cattle manure,Straw,Cow manure,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Cattle manure,Straw,Green waste,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Cattle manure,Straw,Mature compost,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Cattle manure,Straw,None,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Cattle manure,Straw,Poultry manure,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Cattle manure,Straw,Poultury manure,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Cattle manure,Straw,Sawdust,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Cattle manure,Straw,Sewage sludge,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Cattle manure,Straw,Straw,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Cattle manure,Straw,Wood chips,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Food waste,Straw,Byproduct,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Food waste,Straw,Cow manure,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Food waste,Straw,Green waste,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Food waste,Straw,Mature compost,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Food waste,Straw,None,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Food waste,Straw,Poultry manure,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
Food waste,Straw,Poultury manure,None,None,None,None,0,,,,,,,Windrow,0,68,,Continuous,0,-,68,0.16,13,,,,,,
