Material_Main,Initial Moisture Content (%),Initial pH,Initial TN (%),Initial TC (%),Initial C/N (%),Compost volume (m3),Initial GI (%),Initial density (kg/L)
0,65.68070085203516,8.030219270833333,1.596639959668374,36.93523287489085,26.12133766466053,2.1471625651775215,37.380428571428574,0.43705500274584547
1,62.284375,8.097118333333334,2.754411318174137,41.53338540308334,21.936127901597025,0.0996875,50.803575,0.33138041863399853
2,56.525,5.32,1.775,35.7,20.35,0.06,52.275,0.5254166666666666
3,59.874875621890546,6.874356428571429,1.9388576780185758,44.66952458089474,25.07185404919623,0.05513157894736841,14.219726666666666,0.40986894736842105
4,80.7,,0.875,18.5175,21.18773244454068,0.08,,
5,61.28187083333333,7.422866666666667,1.4280600332415827,46.16258226991493,36.29893818668772,0.314,23.2,0.2709230697551246
6,60.4875,6.933333333333334,1.411,37.917,27.718122904699165,0.15181,,0.5001666666666666
7,61.17572066115702,7.350816495726495,2.4967368849582217,40.00691635631428,20.142001939011223,0.6292491869918699,14.24599012222222,0.4210361255636346
8,64.36426228070175,7.126192129629629,2.1457865217391303,34.86013631237931,18.581561267697673,4.210797122302158,37.83504428571428,0.5474800954447715
9,50.0,8.66,1.97,38.086,19.332994923857868,0.045,34.3,0.5426666666666667
10,64.91262120505247,7.7179252061855665,2.0952942734506244,40.476007790486825,20.14049551739053,0.6277154746460176,27.750843809859152,0.4134677059232479
