Material_Main,Turning times,V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Additive_4,Additive_2,Additive_1,Material_3,Material_2,Additive_3,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),Compost volume (m3),Application Rate (%DW),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),Initial Moisture Content (%),Initial TN (%),Initial pH,CH4-C loss (%)
7,12.0,0.0,0.0,1,1,11,27,4,13,4,60.0,2.0,0.0,0.0,0.22,0.0,0.0,15.04178,64.9862,2.65926,7.46265,0.008
7,12.0,0.0,0.0,1,1,11,2,4,13,4,60.0,2.0,0.0,0.0,0.22,10.0,0.0,13.04196,62.7622,2.86,7.33735,0.0012
7,12.0,0.0,0.0,1,1,11,2,4,13,4,60.0,2.0,0.0,0.0,0.22,10.0,0.0,14.48276,60.6549,2.61,7.61365,0.0018
3,7.0,0.0,1.0,0,1,11,27,4,13,4,35.0,0.0,60.0,0.0,0.06,0.0,0.2,22.1,60.0,1.79,5.01,0.33
3,7.0,0.0,1.0,0,1,11,30,4,13,4,35.0,0.0,60.0,0.0,0.06,10.0,0.2,18.2,60.0,1.98,4.43,0.06
3,7.0,0.0,1.0,0,1,11,4,4,13,4,35.0,0.0,60.0,0.0,0.06,10.0,0.2,19.1,60.0,1.89,4.28,0.09
0,5.69962,0.0,0.0,2,1,11,12,4,5,4,51.20889,2.0,22.07278,3.49444,0.59866,4.62818,0.21744,18.69809,66.78015,2.15274,7.54587,0.20367
0,5.69962,0.0,0.0,2,1,11,12,4,5,4,51.20889,2.0,22.07278,3.49444,0.59866,4.62818,0.21744,18.69809,66.78015,2.15274,7.54587,0.17572
10,7.0,0.0,0.0,1,1,11,27,4,13,4,70.0,2.0,0.0,0.0,1.2,0.0,0.0,18.89189,65.41403,2.00616,7.36426,0.21
10,7.0,0.0,0.0,1,1,11,4,4,13,4,70.0,2.0,0.0,0.0,1.2,3.3,0.0,18.89189,65.77403,2.04339,7.36426,0.03
10,7.0,0.0,0.0,1,1,11,4,4,13,4,70.0,2.0,0.0,0.0,1.2,6.6,0.0,18.89189,66.0969,2.12956,7.61937,0.16
10,7.0,0.0,0.0,1,1,11,4,4,13,4,70.0,2.0,0.0,0.0,1.2,9.9,0.0,18.89189,67.01171,2.14434,7.8731,0.24
10,7.0,0.0,0.0,1,1,11,4,4,13,4,70.0,2.0,0.0,0.0,1.2,13.2,0.0,18.89189,70.41171,2.12534,8.1231,0.22
10,7.0,0.0,0.0,1,1,11,4,4,13,4,70.0,2.0,0.0,0.0,1.2,16.5,0.0,18.89189,69.95717,2.09831,8.3221,0.08
8,7.33333,20.0,1.0,0,1,11,27,4,13,4,44.0,1.0,44.0,20.0,0.273,0.0,0.46008,12.58617,68.45,2.53,7.85,0.28012
8,7.33333,20.0,1.0,0,1,11,2,4,13,4,44.0,1.0,44.0,20.0,0.275,5.89001,0.45106,13.36798,66.71,2.511,7.89,0.23237
8,7.33333,20.0,1.0,0,1,11,2,4,13,4,44.0,1.0,44.0,20.0,0.277,11.86352,0.44238,14.22086,67.58,2.522,8.1,0.21163
8,7.33333,20.0,1.0,0,1,11,2,4,13,4,44.0,1.0,44.0,20.0,0.282,21.41488,0.426,14.81405,65.41,2.506,8.17,0.24486
0,5.69962,0.0,1.0,0,1,11,4,5,13,4,51.20889,0.0,22.07278,3.49444,0.59866,4.62818,0.21744,18.69809,66.78015,2.15274,7.54587,0.355
0,5.69962,0.0,1.0,0,1,11,27,5,13,4,51.20889,0.0,22.07278,3.49444,0.59866,4.62818,0.21744,18.69809,66.78015,2.15274,7.54587,0.355
0,25.33333,0.0,1.0,0,1,11,4,5,13,4,76.0,2.0,0.0,0.0,0.1625,0.0,0.0,19.01057,60.0,1.85155,7.74534,0.355
0,25.33333,0.0,1.0,0,1,11,27,5,13,4,76.0,2.0,0.0,0.0,0.1625,7.5,0.0,27.40127,60.0,1.57,7.85771,0.18
8,7.14286,60.0,1.0,0,1,11,27,4,13,4,50.0,1.0,50.0,20.0,0.288,0.0,0.42001,21.24,67.71,2.412,7.82,0.3
8,7.14286,60.0,1.0,0,1,11,2,4,13,4,50.0,1.0,50.0,20.0,0.288,12.0,0.32434,21.21,66.08,2.53,8.01,0.283
10,5.83333,0.0,1.0,0,1,11,4,4,13,4,35.0,0.0,35.0,0.0,0.06,4.0,0.25,18.43351,67.092,2.03653,7.25,0.4
7,5.55556,0.0,1.0,0,1,11,27,4,13,4,50.0,0.0,22.5,10.0,0.1,0.0,0.15975,31.0074,60.0,1.61745,6.53,0.34
7,5.55556,0.0,1.0,0,1,11,8,4,13,4,50.0,0.0,27.0,12.0,0.1,2.0,0.15975,30.0553,60.0,1.61745,6.85,0.31
