Material_Main,Turning times,V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Additive_4,Additive_2,Additive_1,Material_3,Material_2,Additive_3,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial TN (%),Initial C/N (%),Initial pH,NH3-N loss (%)
10,13.0,0.0,1.0,0,1,11,27,4,13,4,26.0,0.0,26.0,0.0,0.0,0.05,0.57,65.0,2.66,15.0,7.60664,28.0
10,13.0,0.0,1.0,0,1,6,20,4,13,4,26.0,0.0,26.0,0.0,3.8,0.05,0.57,65.0,2.66,15.0,7.41084,9.0
10,13.0,0.0,1.0,0,1,6,20,4,13,4,26.0,0.0,26.0,0.0,7.3,0.05,0.57,65.0,2.66,15.0,6.61538,4.0
10,13.0,0.0,1.0,0,1,6,20,4,13,4,26.0,0.0,26.0,0.0,8.9,0.05,0.57,65.0,2.66,15.0,6.40734,0.5
0,5.55926,0.0,1.0,0,1,11,27,4,8,4,41.94335,0.0,27.46489,4.70745,4.22578,0.50768,0.78519,64.6059,2.13592,20.03065,7.38714,6.79
0,7.0,0.0,1.0,0,1,11,12,4,8,4,14.0,0.0,14.0,0.0,6.0,0.004,0.1,61.4,1.12,44.55357,7.94,2.95
0,7.0,0.0,1.0,0,1,11,12,4,8,4,14.0,0.0,14.0,0.0,13.0,0.004,0.1,59.3,0.985,45.58376,7.96,3.01
0,7.0,0.0,1.0,0,1,11,12,4,8,4,14.0,0.0,14.0,0.0,23.0,0.004,0.1,56.9,0.905,40.99448,7.83,2.71
10,6.42857,720.0,1.0,0,1,11,27,4,13,4,45.0,1.0,45.0,30.0,0.0,0.09,7.56254,65.0,2.46,12.93902,6.5,3.0
10,6.42857,720.0,1.0,0,1,11,28,4,13,4,45.0,1.0,45.0,30.0,16.87764,0.09,7.06051,65.0,3.13,11.15335,6.1,2.1
10,6.42857,720.0,1.0,0,1,11,8,4,13,4,45.0,1.0,45.0,30.0,15.47117,0.09,6.65557,65.0,2.75,10.95636,7.2,4.6
10,6.42857,720.0,1.0,0,1,11,4,4,13,4,45.0,1.0,45.0,30.0,15.47117,0.09,7.34153,65.0,3.05,9.83607,6.2,0.3
10,7.5,720.0,1.0,0,1,11,27,4,13,4,45.0,1.0,35.0,30.0,0.0,0.09,2.6,65.0,2.46,12.9607,6.28722,10.7
10,7.5,720.0,1.0,0,1,11,15,4,13,4,45.0,1.0,35.0,30.0,0.65,0.09,2.6,65.0,2.97,11.7281,7.1357,22.7
10,7.5,720.0,1.0,0,1,11,25,4,13,4,45.0,1.0,35.0,30.0,0.65,0.09,2.6,65.0,2.52,14.0483,7.42357,14.5
10,7.5,720.0,1.0,0,1,11,25,4,13,4,45.0,1.0,35.0,30.0,0.65,0.09,2.6,65.0,2.79,12.0181,6.98414,16.1
10,7.5,720.0,1.0,0,1,11,25,4,13,4,45.0,1.0,35.0,30.0,1.95,0.09,2.6,65.0,2.73,12.5619,6.92358,16.4
7,8.57143,0.0,0.0,1,1,11,27,4,13,4,60.0,2.0,0.0,0.0,0.0,0.165,0.0,60.0,3.05674,12.3645,7.28993,5.6
7,8.57143,0.0,0.0,1,1,11,2,4,13,4,60.0,2.0,0.0,0.0,10.0,0.165,0.0,59.0,2.96078,13.2954,7.31734,2.3
7,8.57143,0.0,0.0,1,1,11,2,4,13,4,60.0,2.0,0.0,0.0,10.0,0.165,0.0,58.0,3.33965,11.4409,7.38317,2.3
3,7.0,0.0,1.0,0,1,11,27,4,13,4,35.0,0.0,60.0,0.0,0.0,0.06,0.2,60.0,1.79,22.1,5.01,13.3
3,7.0,0.0,1.0,0,1,11,30,4,13,4,35.0,0.0,60.0,0.0,10.0,0.06,0.2,60.0,1.98,18.2,4.43,8.4
3,7.0,0.0,1.0,0,1,11,4,4,13,4,35.0,0.0,60.0,0.0,10.0,0.06,0.2,60.0,1.89,19.1,4.28,10.5
3,2.85714,0.0,1.0,0,1,11,27,3,8,4,20.0,0.0,20.0,0.0,0.0,0.02,1.06667,61.60586,2.28261,18.5,6.47198,22.0
3,2.85714,0.0,1.0,0,1,6,20,3,8,4,20.0,0.0,20.0,0.0,20.0,0.02,1.06667,63.74,2.34217,18.5,7.26225,4.8
10,9.33333,0.0,1.0,0,1,6,20,4,13,4,28.0,0.0,28.0,0.0,3.72823,0.06,0.25,52.2,2.23,24.8,8.08092,17.9
10,9.33333,0.0,1.0,0,1,6,20,4,13,4,28.0,0.0,28.0,0.0,3.78398,0.06,0.25,52.2,2.23,24.8,8.04706,16.1
8,12.0,0.0,1.0,0,1,11,38,4,13,4,84.0,0.0,84.0,0.0,25.0,0.1714,0.7,55.0617,1.92593,24.54,7.45077,36.04333
8,5.55926,0.0,1.0,0,1,11,38,4,13,4,41.94335,0.0,27.46489,4.70745,4.22578,0.50768,0.78519,64.6059,2.13592,20.03065,7.38714,27.44832
10,7.8,0.0,1.0,0,1,11,27,4,13,4,39.0,0.0,39.0,0.0,0.0,0.06,0.403,68.83,1.92535,20.7524,8.23826,23.2
10,7.8,0.0,1.0,0,1,6,20,4,13,4,39.0,0.0,39.0,0.0,2.148,0.06,0.352,68.18,1.7571,20.7524,8.10403,9.6
10,7.8,0.0,1.0,0,1,11,13,4,13,4,39.0,0.0,39.0,0.0,2.7,0.06,2.1675,65.706,1.73101,20.7524,6.68792,7.1
