Material_2,M1_is Enclosed,Initial C/N (%),V1_Ventilation Type, Composting Method,V5_Ventilation rate (L/min/kg iniDW),Turning times,V4_Ventilation Day,Material_3,Initial pH,Period (d),Additive_1,Compost volume (m3),V2_Ventilation Interval (min),Additive_3,Initial Moisture Content (%),Initial GI (%),Additive_4,Additive_2,Material_Main,V3_Ventilation Duration (min),Application Rate (%DW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
6.0,1.0,42.960482015115254,0.0,1.0,0.9659912215468125,7.0,5.0,3.0,7.398964709117199,30.0,31.0,0.08,0.0,4.0,54.819568265933206,27.32884658064516,1.0,10.0,4,35.51710700195573,0.8528852204567949,0.875,37.59042176322585,118.36021200000003,8.670252320811677,0.8102347254753113,0.2524478428730174,26.671269420211416
5.0,1.0,27.26205746041999,0.0,1.0,1.0713217987321588,31.0,23.0,4.0,9.206608768170653,26.0,38.0,0.08,0.0,4.0,82.33369139903473,27.32884658064516,1.0,13.0,4,35.71079435736672,0.9338637861124299,0.875,23.85430027786749,113.72440500000008,10.570956840043646,0.797493577003479,0.21997548375151627,25.061046758186524
13.0,0.0,16.792593231001952,0.0,2.0,0.6773518733736541,12.0,6.0,5.0,8.467790247935458,114.0,15.0,0.08,0.0,4.0,50.264256897612206,27.328846580645163,1.0,1.0,4,34.718553984994415,0.3376139724261429,0.875,14.693519077126709,114.54273900000005,5.44993796495431,0.7807973623275757,0.14509103483278463,24.72254078592764
5.0,1.0,35.77986795974012,0.0,2.0,5.023051702842331,9.0,3.0,3.0,6.151416804296193,21.0,17.0,0.08,0.0,4.0,70.08794484524847,27.32884658064516,1.0,8.0,4,37.12730154961885,7.03166947896741,0.875,31.307384464772607,116.35665700000007,8.523280430697348,0.823273241519928,0.22539239296384705,26.195904240097267
2.0,1.0,13.785597888521966,0.0,2.0,7.186739044220231,25.0,3.0,5.0,9.192134912945491,103.0,16.0,0.08,0.0,4.0,66.20558355387703,27.32884658064516,1.0,7.0,4,42.11237388634603,3.3610327003167564,0.875,12.062398152456721,114.8096010000001,8.127568229953981,0.8069595098495483,0.17309141635920242,22.867891623900515
2.0,1.0,43.63607153637957,1.0,1.0,0.9571802068032198,8.0,3.0,2.0,10.563829879677524,124.0,18.0,0.08,683.0,4.0,59.88405143567222,27.32884658064516,1.0,1.0,4,54.38562421326083,9.014939434012462,0.875,38.18156259433212,114.98291700000001,9.079290835790566,1.0197917222976685,0.14759881645614514,21.80971287950038
12.0,1.0,24.436965645954277,0.0,2.0,3.5083797775261756,26.0,1.0,0.0,9.621371973401718,89.0,24.0,0.08,0.0,4.0,63.65529986429036,27.32884658064516,1.0,6.0,4,46.64093891546068,0.9988699712517823,0.875,20.776331246552452,114.76846700000007,9.549458761345276,0.47531968355178833,0.20086395194677564,1000000.0
5.0,1.0,25.372619951967742,0.0,1.0,0.5088719527121621,24.0,57.0,2.0,7.078834737742717,74.0,20.0,0.08,0.0,4.0,63.86588378839066,27.32884658064516,1.0,5.0,4,31.139762465295068,6.670170370130829,0.875,22.201042457971774,113.70590100000005,10.392528861697446,0.8534542918205261,0.20893914046700138,25.191427303257626
3.0,0.0,42.11125971975716,0.0,2.0,3.5808752025249637,18.0,3.0,4.0,10.221699920607357,14.0,38.0,0.08,0.0,4.0,70.78375402781363,27.32884658064516,1.0,15.0,4,43.246455451607886,9.088080123104724,0.875,36.84735225478751,116.88252500000004,6.7469586411976135,0.8515228033065796,0.17644221730011336,25.79817820268952
0.0,1.0,29.563209688462486,0.0,1.0,9.227970420030196,4.0,3.0,4.0,11.015293622134493,97.0,31.0,0.08,0.0,4.0,56.904844024497564,27.32884658064516,1.0,9.0,4,46.74341601530339,4.822482204072446,0.875,25.867808477404676,115.00068100000007,8.347098405787822,0.5640156865119934,0.21005636396260347,18.85159861082557
