 Composting Method,Initial pH,Period (d),Additive_1,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),V2_Ventilation Interval (min),Initial GI (%),Additive_4,M1_is Enclosed,Initial C/N (%),Additive_3,Material_2,Material_3,Initial Moisture Content (%),Material_Main,V1_Ventilation Type,V4_Ventilation Day,Additive_2,Turning times,Application Rate (%DW),V3_Ventilation Duration (min),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
0.0,6.0,39.0,15.0,0.06,0.0,0.0,27.32884658064516,1.0,1.0,41.86765086142118,4.0,12.0,9.0,63.0,2,2.0,0.0,6.0,0.0,3.134175646628842,0.0,1.775,74.3150802790226,88.90617,6.091020771332633,0.24130447208881378,0.215774599883113,23.016139536548977
2.0,5.0,44.0,6.0,0.06,0.0,0.0,27.32884658064516,1.0,0.0,20.0,4.0,2.0,3.0,70.61562403988123,2,2.0,0.0,3.0,29.0,8.080834190977466,0.0,1.775,34.930974759898696,87.53238999999998,6.210382725518763,0.5475879907608032,0.17191168786554606,1000000.0
2.0,5.0,133.0,28.0,0.06,0.0,0.0,27.32884658064516,1.0,0.0,36.0,4.0,13.0,9.0,73.83920817818758,2,2.0,0.0,9.0,31.0,7.060376272270959,0.0,1.775,49.88099218098224,88.228612,6.210382725518763,0.2837257385253906,0.1668670898899005,1000000.0
2.0,5.0,15.0,23.0,0.06,0.0,0.0,27.32884658064516,1.0,0.0,13.0,4.0,12.0,4.0,74.02536544710577,2,2.0,0.0,0.0,1.0,4.608100738818622,0.0,1.775,68.65940018357186,91.816179,4.367747440296947,1.4987796545028687,0.12895250959540566,1000000.0
1.0,6.0,65.0,17.0,0.06,0.718620148513792,1068.0,27.32884658064516,1.0,0.0,36.0,4.0,3.0,3.0,70.0,2,1.0,2.0,0.0,23.0,4.179391618087012,14.563364644386727,1.775,43.843208860453394,89.12453899999997,5.38619012119955,0.5458769798278809,0.1532773695518784,1000000.0
1.0,6.0,115.0,20.0,0.06,0.0,0.0,27.328846580645163,1.0,1.0,22.0,4.0,8.0,5.0,62.0,2,2.0,0.0,5.0,30.0,7.602082565422094,0.0,1.775,58.8025324067616,88.02811000000001,6.091020771332633,0.3228927254676819,0.2001312105668073,1000000.0
1.0,8.0,20.0,28.0,0.06,0.0,0.0,27.32884658064516,1.0,0.0,38.0,4.0,3.0,0.0,77.07648898880657,2,2.0,0.0,6.0,5.0,7.070517545532161,0.0,1.775,48.894269873856075,89.10723399999998,6.592875579300572,0.21866844594478607,0.159158826582483,1000000.0
2.0,5.0,30.0,13.0,0.06,1.4253004474402429,0.0,27.32884658064516,1.0,1.0,10.0,4.0,4.0,9.0,50.0,2,0.0,3.0,1.0,12.0,3.134899507128784,0.0,1.775,39.01630241652579,89.139588,4.984436878977018,0.8444889187812805,0.1666963571798653,1000000.0
1.0,5.0,78.0,22.0,0.06,0.0,0.0,27.32884658064516,1.0,0.0,23.0,4.0,6.0,5.0,69.0,2,2.0,0.0,11.0,14.0,7.093777197741871,0.0,1.775,42.59230022871983,88.08708999999999,5.685827422533591,0.22069790959358215,0.17695229448209687,1000000.0
2.0,5.0,131.0,13.0,0.06,0.0,0.0,27.32884658064516,1.0,0.0,10.0,4.0,14.0,4.0,83.98812708881039,2,2.0,0.0,7.0,17.0,6.307155741244129,0.0,1.775,39.765555805988434,88.228612,6.43301914295656,0.37335020303726196,0.1322758017727058,1000000.0
