M1_is Enclosed,Initial Moisture Content (%),Material_2,V4_Ventilation Day,V2_Ventilation Interval (min),V1_Ventilation Type, Composting Method,V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),Compost volume (m3),Additive_4,Additive_2,Period (d),Initial pH,Material_Main,Additive_3,Additive_1,Turning times,Material_3,V3_Ventilation Duration (min),Application Rate (%DW),Initial GI (%),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
1.0,64.0,12.0,34.0,0.0,0.0,2.0,0.1765363686772341,20.0,0.15181,1.0,12.0,36.0,6.0,6,4.0,28.0,0.0,0.0,0.0,4.451230722961006,27.32884658064516,1.411,40.66625684986202,95.26369500000001,2.9016010248056756,0.3494983911514282,0.16586356892834417,1000000.0
0.0,56.99999999999999,12.0,0.0,1192.0,1.0,2.0,1.5504627601221794,38.0,0.15181,1.0,9.0,24.0,9.059913310156842,6,4.0,28.0,3.0,9.0,32.11371015749689,5.786840293997221,27.32884658064516,1.411,38.18378259868229,94.50615399999998,5.2485867291680295,0.366982638835907,0.15675137274995032,1000000.0
1.0,50.0,13.0,0.0,0.0,2.0,0.0,0.0,13.0,0.15181,1.0,9.0,59.0,6.0,6,4.0,25.0,0.0,9.0,0.0,9.48312671591129,27.32884658064516,1.411,11.77463532755924,94.39948900000003,2.9218161620917296,0.46988147497177124,0.1339340632443241,1000000.0
1.0,65.0,14.0,7.0,0.0,0.0,1.0,0.19441574680076412,16.922578884364025,0.15181,1.0,15.0,39.0,8.842705200342927,6,4.0,18.0,0.0,5.0,0.0,5.564845023446285,27.32884658064516,1.411,12.849898115273616,94.707879,2.9016010248056756,0.41801634430885315,0.15667210323202282,1000000.0
0.0,50.0,5.0,12.0,555.0,1.0,2.0,1.2222072273313325,36.0,0.15181,1.0,12.0,76.0,6.0,6,4.0,31.0,4.0,9.0,4.800557633586111,6.0238819348415795,27.32884658064516,1.411,38.30845252139711,94.32937500000001,5.936805542232583,0.20073653757572174,0.17251408039193597,1000000.0
1.0,61.0,2.0,0.0,0.0,2.0,2.0,0.0,19.0,0.15181,1.0,13.0,120.0,10.230100192985699,6,4.0,33.0,4.0,0.0,0.0,6.190575018298826,27.32884658064516,1.411,37.04975087388653,93.63403500000003,6.412717690442143,0.2766692340373993,0.19139158057291916,1000000.0
0.0,57.00000000000001,8.0,1.0,1284.0,1.0,1.0,1.4493273418083852,27.0,0.15181,1.0,0.0,29.0,11.838357178926806,6,4.0,28.0,4.0,3.0,5.555451342885041,9.976335354714301,27.69595035752429,1.411,55.95918465985165,94.87403900000002,5.692428589243822,0.04201866686344147,0.1540714726561561,1000000.0
1.0,66.0,3.0,0.0,0.0,2.0,1.0,1.203794303870217,10.0,0.15181,1.0,15.0,95.0,8.0,6,4.0,23.0,4.0,2.0,0.0,8.598813371103024,27.32884658064516,1.411,22.351104006480462,93.58364900000004,6.412717690442143,0.42782947421073914,0.21800654850663923,1000000.0
0.0,74.89892338518675,12.0,9.0,491.0,1.0,1.0,0.9147127476254713,42.05320805360458,0.15181,1.0,12.0,19.0,11.023401780367642,6,4.0,34.0,4.0,0.0,53.34924129074229,5.621519839746248,27.32884658064516,1.411,59.33707656363606,94.902434,5.692428589243822,0.32173454761505127,0.1412939595603936,25.656648729978457
1.0,59.0,6.0,43.0,489.0,1.0,2.0,1.8575133073607586,33.0,0.15181,1.0,11.0,62.0,6.0,6,4.0,7.0,4.0,0.0,29.047316516510143,7.956351341064542,27.32884658064516,1.411,41.29530468463022,94.85019399999999,5.936805542232583,0.15795618295669556,0.14074255520073706,1000000.0
1.0,73.94214670913856,12.0,41.0,754.0,1.0,0.0,0.18370584022139846,23.0,0.15181,1.0,11.0,92.0,6.821100868073544,6,4.0,27.0,0.0,2.0,18.763177371235486,2.4947541195430114,27.32884658064516,1.411,21.416356107950183,94.40764399999996,2.33010909121024,0.32843342423439026,0.14987691015370874,1000000.0
1.0,55.0,5.0,27.0,0.0,0.0,2.0,1.9376187186942462,25.0,0.15181,1.0,5.0,31.0,5.0,6,4.0,33.0,0.0,0.0,0.0,3.8948577899668573,27.32884658064516,1.411,19.09546751882568,94.84315600000004,2.9016010248056756,0.34304898977279663,0.1892981006717947,1000000.0
0.0,58.0,3.0,14.0,0.0,0.0,2.0,1.4475895212381702,29.0,0.15181,1.0,3.0,112.0,5.0,6,4.0,33.0,4.0,3.0,0.0,5.565013321908648,27.328846580645163,1.411,54.38592241074565,94.91985200000005,6.856559550517936,0.2689949572086334,0.18100305532640903,1000000.0
1.0,68.22516983982116,14.0,45.0,0.0,0.0,0.0,1.59068981123596,40.0,0.15181,1.0,13.0,117.0,9.98853035135858,6,4.0,36.0,4.0,5.0,0.0,8.693212383772705,27.328846580645163,1.411,54.43312421968194,94.04781300000002,6.856559550517936,0.29795926809310913,0.1975859014130293,1000000.0
1.0,55.0,4.0,0.0,0.0,2.0,2.0,0.0,18.0,0.15181,1.0,8.0,77.0,5.0,6,4.0,28.0,4.0,9.0,0.0,5.1593395530712005,27.328846580645163,1.411,28.777637616674593,94.03523100000004,6.412717690442143,0.32873186469078064,0.18645573765802453,1000000.0
0.0,60.99999999999999,6.0,21.0,0.0,0.0,1.0,1.1214154205262639,41.46680186023392,0.15181,1.0,7.0,59.0,8.430022358059823,6,4.0,31.0,4.0,5.0,0.0,5.117465074189909,27.32884658064516,1.411,58.50965742479006,94.04781300000002,6.856559550517936,0.2691316306591034,0.1981646012372454,22.07640946728087
0.0,59.0,8.0,41.0,1040.0,1.0,2.0,1.1706915653146133,25.0,0.15181,1.0,15.0,66.0,8.928880125210837,6,4.0,24.0,0.0,2.0,50.349134563503114,3.6584454774878714,27.32884658064516,1.411,56.15240188733561,94.39367299999998,2.33010909121024,0.49870941042900085,0.1455919357155564,1000000.0
