Material_Main,Turning times,Application Rate (%DW),V3_Ventilation Duration (min), Composting Method,Initial pH,V1_Ventilation Type,Compost volume (m3),Additive_4,Initial Moisture Content (%),V2_Ventilation Interval (min),Additive_3,Initial GI (%),Material_2,Material_3,Period (d),V4_Ventilation Day,Additive_1,Initial C/N (%),M1_is Enclosed,Additive_2,V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
8,5.0,3.0072705402223727,0.0,0.0,8.027340770923887,0.0,4.210797122302158,1.0,64.0,0.0,4.0,27.32884658064516,0.0,9.0,61.0,58.0,22.0,36.0,1.0,15.0,1.6970324957774294,2.1457865217391303,16.066561192119256,101.45205200000002,6.68685068464466,0.4384390413761139,0.22085531545191794,1000000.0
8,0.0,5.79699210001843,56.959931858976006,1.0,8.628781241149062,1.0,4.210797122302158,1.0,50.0,342.0,4.0,27.32884658064516,0.0,5.0,35.0,22.0,31.0,42.113825970010126,0.0,1.0,1.108923374038896,2.1457865217391303,90.36728014531508,102.00922500000004,8.747010829901484,0.46130380034446716,0.1452561515445564,25.53055951489029
8,4.0,6.744815356534731,54.63436804621098,0.0,6.0,1.0,4.210797122302158,1.0,52.0,1262.0,4.0,27.32884658064516,0.0,0.0,71.0,65.0,4.0,28.0,1.0,13.0,0.4399730660632917,2.1457865217391303,62.228437593666214,102.35035700000005,8.205736364657415,0.45629826188087463,0.11157338336285091,1000000.0
8,9.0,8.611420581645659,0.0,2.0,8.279431437679525,0.0,4.210797122302158,1.0,72.98930259865652,0.0,4.0,27.32884658064516,5.0,0.0,119.0,58.0,22.0,14.0,0.0,7.0,0.6613268292081462,2.1457865217391303,53.23491987233193,96.734986,7.525859138230022,0.4136694371700287,0.18478533163452257,1000000.0
8,4.0,3.771678625184882,37.881481634150084,1.0,11.807230370545991,1.0,4.210797122302158,1.0,70.0,703.0,4.0,27.32884658064516,0.0,2.0,81.0,68.0,12.0,28.0,0.0,1.0,1.02362470425179,2.1457865217391303,32.06542229843113,101.31641300000003,9.167910121273264,0.4617609679698944,0.14906518705479968,1000000.0
8,4.0,8.713031852654865,0.0,0.0,6.887008936472375,0.0,4.210797122302158,1.0,59.57338432200201,0.0,4.0,27.32884658064516,0.0,9.0,68.0,60.0,6.0,44.06197266770113,1.0,5.0,1.0607558661693643,2.1457865217391303,94.54758707159102,100.01728400000003,7.811976839497036,0.4495203197002411,0.20578455250702166,26.030011105479375
8,0.0,7.402005266204681,0.0,1.0,11.749100304612316,0.0,4.210797122302158,1.0,50.0,0.0,4.0,27.32884658064516,5.0,9.0,79.0,16.0,10.0,33.0,0.0,12.0,0.7348981499440281,2.1457865217391303,65.19759199785717,99.54878600000004,5.668234125604596,0.3141021430492401,0.18074545903989947,1000000.0
8,4.0,4.101145110535729,0.0,1.0,10.61894087676593,0.0,4.210797122302158,1.0,69.0,0.0,4.0,27.328846580645163,0.0,0.0,95.0,80.0,7.0,37.0,0.0,1.0,0.42716456239462824,2.1457865217391303,21.272188611604285,101.52058100000004,8.73686572170383,0.4449515640735626,0.20269897265077483,1000000.0
8,0.0,2.9730444355833794,0.0,1.0,7.362553482435807,0.0,4.210797122302158,1.0,71.01352579953296,0.0,4.0,27.32884658064516,14.0,3.0,93.0,16.0,15.0,44.667519891558726,1.0,2.0,1.1091933421927203,2.1457865217391303,95.84696214282121,99.55885100000003,4.635924372086866,0.45489493012428284,0.15335802948758967,23.655337624674193
8,6.0,8.552597052172874,36.54539415762187,2.0,5.0,1.0,4.210797122302158,1.0,68.0,1148.0,4.0,27.32884658064516,13.0,3.0,114.0,80.0,37.0,30.0,0.0,15.0,1.6722841223289995,2.1457865217391303,67.75156751050295,98.37749300000003,7.618966894184092,0.5805019736289978,0.14474042031470727,1000000.0
8,2.0,4.604483019857285,0.0,0.0,9.075662855277946,0.0,4.210797122302158,1.0,65.0,0.0,4.0,27.32884658064516,0.0,0.0,128.0,22.0,24.0,30.0,1.0,10.0,1.5157879262148621,2.1457865217391303,60.05105034964469,101.40048800000002,7.8542374322121935,0.30049481987953186,0.2280846809996877,1000000.0
8,1.0,9.390215909626248,0.0,2.0,9.55071304117644,0.0,4.210797122302158,1.0,65.0,0.0,4.0,27.32884658064516,0.0,9.0,101.0,23.0,28.0,30.0,0.0,10.0,0.680430435574529,2.1457865217391303,51.37231464973736,102.57529100000004,7.693225715369887,0.5669686794281006,0.1955581102596009,1000000.0
