Initial C/N (%),V4_Ventilation Day,Additive_2,Initial Moisture Content (%),Period (d), Composting Method,Compost volume (m3),Material_2,V1_Ventilation Type,V3_Ventilation Duration (min),Additive_3,Additive_4,Material_Main,Turning times,V5_Ventilation rate (L/min/kg iniDW),Application Rate (%DW),V2_Ventilation Interval (min),M1_is Enclosed,Material_3,Initial GI (%),Initial pH,Additive_1,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
23.0,6.0,8.0,64.0,70.0,1.0,0.6277154746460176,6.0,1.0,40.753250250182106,4.0,1.0,10,19.0,1.5127930697720733,2.658852923538106,93.0,0.0,3.0,27.32884658064516,11.184287408896832,16.0,2.0952942734506244,47.9974711395923,99.50048299999997,7.5988603312261045,1.0162642002105713,0.19195346767904758,1000000.0
36.0,0.0,11.0,61.0,116.0,2.0,0.6277154746460176,13.0,1.0,3.3376398274572283,4.0,1.0,10,0.0,0.6695643343997404,5.396387811915337,752.0,1.0,4.0,27.32884658064516,11.838088111124886,27.0,2.0952942734506244,18.723553264425654,98.28597199999994,6.2344717027026295,1.1786826848983765,0.11542549631053761,1000000.0
40.0,0.0,11.0,60.0,54.0,2.0,0.6277154746460176,2.0,1.0,44.34966403577273,4.0,1.0,10,16.0,0.7663656012111744,8.577670441245214,443.0,1.0,9.0,27.32884658064516,5.0,27.0,2.0952942734506244,28.584868984241226,97.34976199999994,5.6710949845675085,0.7810933589935303,0.17050931380613635,1000000.0
19.970971718806815,35.0,10.0,59.0,93.0,2.0,0.6277154746460176,0.0,1.0,56.15749362184677,4.0,1.0,10,2.0,0.06101565967353406,8.447503428707208,830.0,0.0,0.0,27.32884658064516,9.7120273944426,36.0,2.0952942734506244,27.84495592358495,97.00086199999994,6.5360579081575585,0.5348650813102722,0.09402761583956887,1000000.0
20.0,16.0,3.0,53.0,47.0,2.0,0.6277154746460176,0.0,1.0,55.75737743568739,4.0,1.0,10,18.0,1.5473771702061996,4.444373478523936,300.0,0.0,9.0,27.32884658064516,5.0,19.0,2.0952942734506244,60.56331154821557,96.64715099999994,8.529219697952605,0.8050920367240906,0.17094445623434146,1000000.0
33.0,69.0,6.0,71.08253014149207,112.0,1.0,0.6277154746460176,3.0,1.0,36.27645312838463,4.0,1.0,10,24.0,1.1616437352764386,8.632186126006747,981.0,0.0,5.0,27.32884658064516,7.0,7.0,2.0952942734506244,34.81896024414982,97.26163899999995,4.123810651083778,0.6554722189903259,0.17711845271738297,1000000.0
21.0,2.0,0.0,84.05451110361959,39.0,0.0,0.6277154746460176,0.0,1.0,20.894381895451694,4.0,1.0,10,16.0,0.52839132284602,9.068591371068406,1016.0,1.0,5.0,27.32884658064516,9.713244823354202,23.0,2.0952942734506244,52.4378179214691,98.57879599999997,7.921602929834939,0.8784253597259521,0.17229046584638463,1000000.0
39.0,1.0,11.0,71.6841921474282,128.0,2.0,0.6277154746460176,0.0,1.0,9.149881602306175,4.0,1.0,10,12.0,0.44263166576893154,7.921566003806553,1191.0,1.0,3.0,27.32884658064516,8.100184337067894,27.0,2.0952942734506244,28.0077421485728,97.42931299999995,8.329842482699556,0.7143970131874084,0.16231185160839254,1000000.0
22.0,6.0,3.0,58.0,24.0,0.0,0.6277154746460176,0.0,1.0,43.64914535948003,4.0,1.0,10,15.0,1.1764497662852729,4.316884014605129,223.0,1.0,0.0,27.32884658064516,5.0,20.0,2.0952942734506244,72.63318367190138,99.40416299999997,8.160668191359257,0.5891885757446289,0.21142957124620262,1000000.0
42.88957406775376,73.0,11.0,56.0,76.0,2.0,0.6277154746460176,3.0,1.0,6.578927788572717,4.0,1.0,10,28.0,1.7982688893405885,2.135739325398382,615.0,0.0,2.0,27.32884658064516,7.0,27.0,2.0952942734506244,89.86627893490086,97.95528999999995,6.929943317201325,1.2842954397201538,0.15272747734878225,25.8205046041214
36.0,3.0,9.0,65.0,89.0,0.0,0.6277154746460176,0.0,1.0,20.44140175941543,4.0,1.0,10,23.0,1.6804402511536298,4.3665976291830875,1040.0,1.0,9.0,27.32884658064516,11.608320598351723,13.0,2.0952942734506244,14.646477779431882,99.15930799999995,8.565258301611891,0.9037144184112549,0.16835408872562246,1000000.0
33.0,3.0,13.0,56.0,114.0,1.0,0.6277154746460176,6.0,1.0,43.72200817023804,4.0,1.0,10,3.0,0.02337582482860312,6.22118702305385,667.0,0.0,2.0,27.32884658064516,5.0,7.0,2.0952942734506244,81.09038547537517,99.99708099999997,6.50342350411423,0.6959994435310364,0.12834102735270153,1000000.0
12.0,35.0,1.0,52.0,54.0,2.0,0.6277154746460176,2.0,1.0,43.73020084294354,4.0,1.0,10,28.0,1.9516514708118904,9.735712853769716,941.0,0.0,2.0,27.32884658064516,10.793064994827608,34.0,2.0952942734506244,55.61483882040541,97.00086199999994,4.555009657308287,0.6870760321617126,0.15673672646035425,1000000.0
38.0,17.0,3.0,73.85252511898125,102.0,0.0,0.6277154746460176,2.0,1.0,25.827288652891095,4.0,1.0,10,14.0,1.00320343570602,7.9201125189310435,575.0,1.0,2.0,27.32884658064516,6.152030933195282,15.0,2.0952942734506244,64.2604250065765,96.39329199999995,5.488849711640748,0.5143699645996094,0.18327733255587803,1000000.0
34.0,3.0,12.0,73.30903183591556,72.0,1.0,0.6277154746460176,6.0,1.0,47.202254835951265,4.0,1.0,10,24.0,0.05418522240318535,6.588111123473247,70.0,1.0,5.0,27.32884658064516,9.337424842214386,10.0,2.0952942734506244,51.19607516200101,97.58725299999995,7.226993943541345,0.7309593558311462,0.18048497420472387,1000000.0
24.0,4.0,2.0,79.40579925512142,70.0,1.0,0.6277154746460176,4.0,1.0,22.95630665814035,4.0,1.0,10,19.0,1.3255377482672195,9.342652864643995,311.0,0.0,4.0,27.32884658064516,9.96881276057852,8.0,2.0952942734506244,23.846849432298384,100.09228699999996,4.601609538700989,1.021119475364685,0.18346705976459854,1000000.0
16.0,3.0,0.0,59.536662340343696,117.0,1.0,0.6277154746460176,4.0,1.0,31.518681991165515,4.0,1.0,10,29.0,0.4078276680061417,6.3561858796169455,488.0,0.0,3.0,28.363087643972598,11.576183758400603,2.0,2.0952942734506244,22.64366866313038,100.98945399999994,6.404843207526613,0.7621083855628967,0.1700917663548776,1000000.0
27.0,9.0,1.0,70.0,70.0,1.0,0.6277154746460176,0.0,1.0,26.934211130372145,4.0,1.0,10,19.0,0.31876724596231587,8.626993039724653,359.0,0.0,5.0,27.32884658064516,7.0,24.0,2.0952942734506244,13.340074239438309,99.20911199999995,6.029194001214286,0.8019092679023743,0.18010412594457553,1000000.0
20.0,75.0,11.0,59.0,110.0,1.0,0.6277154746460176,5.0,1.0,31.908041522713116,4.0,1.0,10,9.0,0.8304498925939237,6.500837893192628,1039.0,0.0,0.0,27.32884658064516,8.0,27.0,2.0952942734506244,83.08618939886122,97.73978899999994,7.988074474864967,0.4079318642616272,0.18639418552540274,1000000.0
42.13134096708165,4.0,13.0,57.0,91.0,0.0,0.6277154746460176,4.0,1.0,59.21134819808404,4.0,1.0,10,20.0,0.7182902166373549,8.557861925802406,236.0,1.0,2.0,27.32884658064516,10.3342533662309,33.0,2.0952942734506244,88.27755746112187,98.84078599999997,5.544751351487579,0.6500774025917053,0.16591487116950587,25.13120870352145
16.0,7.0,12.0,59.0,93.0,0.0,0.6277154746460176,6.0,1.0,26.4608677241452,4.0,1.0,10,15.0,1.6010538617787895,2.810062542544668,457.0,1.0,0.0,27.32884658064516,5.0,28.0,2.0952942734506244,38.76978296682358,98.01075099999997,10.673387344442393,0.5828884840011597,0.19573879660176063,1000000.0
15.0,5.0,10.0,58.0,29.0,1.0,0.6277154746460176,3.0,1.0,1.8278704466996376,4.0,1.0,10,1.0,1.972232808872766,2.8608101329793114,1055.0,0.0,3.0,27.32884658064516,9.287543104969568,22.0,2.0952942734506244,43.39335815813638,99.41064999999995,4.124627896468839,0.516879677772522,0.1461263714485491,1000000.0
27.0,15.0,9.0,54.0,64.0,1.0,0.6277154746460176,0.0,1.0,38.33585333884447,4.0,1.0,10,31.0,1.935521318048632,4.332775021707642,1001.0,0.0,9.0,27.32884658064516,8.834500251399898,17.0,2.0952942734506244,57.655559971584275,97.41721799999993,8.098429730410329,1.2615450620651245,0.16014948493817757,1000000.0
27.0,7.0,2.0,69.0,69.0,1.0,0.6277154746460176,0.0,1.0,28.79456889616977,4.0,1.0,10,27.0,0.6840534787556773,8.09726140824791,1115.0,0.0,0.0,27.32884658064516,8.0,18.0,2.0952942734506244,28.809511034271097,101.12773299999998,6.415889535565332,0.4493592083454132,0.18141548651260767,1000000.0
34.0,5.0,0.0,78.14332033142013,120.0,1.0,0.6277154746460176,5.0,1.0,45.363157294664575,4.0,1.0,10,23.0,0.09458100062060071,7.534344161258234,717.0,1.0,5.0,27.32884658064516,11.322592653626385,31.0,2.0952942734506244,17.576554564320574,97.95537899999994,5.095173513562081,0.7531684041023254,0.14332223454405854,1000000.0
40.51916881966264,3.0,0.0,57.0,68.0,1.0,0.6277154746460176,2.0,1.0,22.2395806506199,4.0,1.0,10,18.0,0.7347423136125351,6.363377399069332,788.0,0.0,0.0,27.32884658064516,7.0,33.0,2.0952942734506244,84.89958239281822,101.45845699999994,7.68657510583179,0.46909603476524353,0.14603134310383722,22.69198211839835
15.0,59.0,15.0,58.0,124.0,0.0,0.6277154746460176,4.0,1.0,10.254970737998335,4.0,1.0,10,31.0,1.637456796008801,2.4457156877369433,987.0,1.0,9.0,27.32884658064516,8.218570486391117,22.0,2.0952942734506244,16.4258394231516,97.86075699999996,7.284798265266198,1.362078309059143,0.18759146007250807,1000000.0
42.931296258493504,7.0,2.0,50.0,24.0,0.0,0.6277154746460176,3.0,1.0,52.15115278491205,4.0,1.0,10,11.0,1.1071197851349308,3.4502179463830815,1299.0,1.0,0.0,27.32884658064516,6.397962155193453,6.0,2.0952942734506244,89.95369920223365,99.44439299999996,8.290850985603404,0.4475743770599365,0.17298583517019844,24.59060457255072
23.0,6.0,9.0,66.0,19.0,1.0,0.6277154746460176,5.0,1.0,35.7574329216058,4.0,1.0,10,20.0,0.1462680233473299,2.93934113906845,629.0,1.0,9.0,29.519502203512594,6.0,21.0,2.0952942734506244,41.30672035183588,99.76099999999995,8.968944027794011,0.5165671706199646,0.17335020612814095,1000000.0
20.0,7.0,10.0,72.0675552422455,91.0,2.0,0.6277154746460176,14.0,1.0,58.551972671066096,4.0,1.0,10,23.0,0.5787728734326845,2.411391501160433,177.0,0.0,5.0,27.32884658064516,8.857097255145842,30.0,2.0952942734506244,81.61537482516181,97.74948699999996,8.91877650557308,0.9250805974006653,0.156901500559065,1000000.0
28.0,7.0,3.0,79.34097636261933,21.0,0.0,0.6277154746460176,3.0,1.0,16.751688801661203,4.0,1.0,10,14.0,0.1420416788275709,3.3697421570895862,925.0,1.0,2.0,27.32884658064516,5.0,33.0,2.0952942734506244,69.69271400158996,99.14151899999996,9.107585074729657,0.7574464082717896,0.13852222943835435,1000000.0
12.0,7.0,9.0,71.02512562480862,102.0,2.0,0.6277154746460176,2.0,1.0,45.9816952097618,4.0,1.0,10,16.0,0.9159512172596365,3.0166688832682462,1263.0,0.0,5.0,27.32884658064516,10.84688778810549,34.0,2.0952942734506244,14.691168605923682,98.69622899999995,8.750735259212586,0.8045037388801575,0.17313626680807614,1000000.0
36.05597215308058,2.0,1.0,73.89728166631862,114.0,1.0,0.6277154746460176,0.0,1.0,6.7681277261298245,4.0,1.0,10,24.0,0.9856679464711376,4.381742144848619,928.0,0.0,3.0,27.32884658064516,11.556436558771185,15.0,2.0952942734506244,59.415481449926936,101.31732799999995,7.228855216824064,0.7488906383514404,0.16353034181400838,1000000.0
26.0,0.0,7.0,52.00000000000001,62.0,1.0,0.6277154746460176,8.0,1.0,22.933219089180824,4.0,1.0,10,26.0,1.8439642679581347,7.698768869172225,1372.0,0.0,9.0,27.328846580645163,7.000000000000001,21.0,2.0952942734506244,65.93313358849804,97.54125899999994,4.455557030735996,0.8173626065254211,0.1706371025721301,1000000.0
12.0,9.0,12.0,73.18195877736616,86.0,0.0,0.6277154746460176,2.0,1.0,24.999407462655576,4.0,1.0,10,17.0,0.5711138163230807,7.616734613486486,746.0,1.0,9.0,27.32884658064516,11.06758668823083,8.0,2.0952942734506244,48.44378478548213,97.33413599999994,6.23103408065181,1.349941372871399,0.18407287977639314,1000000.0
36.0,30.0,5.0,53.0,94.0,0.0,0.6277154746460176,3.0,1.0,12.571071795703656,4.0,1.0,10,10.0,1.6940943469733818,2.2158915176443372,142.0,1.0,9.0,27.32884658064516,11.016183231640273,36.0,2.0952942734506244,45.247825562204675,97.91318099999995,8.672359624799366,1.4512522220611572,0.19143861138442544,1000000.0
39.0,61.0,2.0,57.0,90.0,1.0,0.6277154746460176,0.0,1.0,37.98524970185422,4.0,1.0,10,16.0,1.271904686062414,4.010392047512856,199.0,0.0,4.0,27.32884658064516,11.197838997616493,2.0,2.0952942734506244,66.9523384799789,97.42310899999993,6.290630103419951,1.2367064952850342,0.18382858570014748,1000000.0
31.0,35.0,13.0,50.15301809066902,80.0,1.0,0.6277154746460176,2.0,1.0,59.87326909970379,4.0,1.0,10,2.0,0.24130137959063383,2.917062461415475,1014.0,1.0,0.0,27.32884658064516,8.215141738330669,12.0,2.0952942734506244,42.86459393260604,97.16272799999996,7.71605925382536,0.5223513245582581,0.12338141431327382,1000000.0
16.0,4.0,3.0,74.12560327089162,107.0,1.0,0.6277154746460176,5.0,1.0,58.76148232979995,4.0,1.0,10,17.0,1.1331066062173252,9.147422290943126,228.0,1.0,0.0,27.32884658064516,9.511820712951554,4.0,2.0952942734506244,18.327983952603585,98.80964599999997,5.650427413572226,0.6344296336174011,0.2182581415493161,1000000.0
26.0,3.0,6.0,76.75314220720291,75.0,1.0,0.6277154746460176,12.0,1.0,30.374140596754657,4.0,1.0,10,30.0,1.4438354530418562,4.327425293303708,504.0,0.0,4.0,27.32884658064516,10.482418051309555,24.0,2.0952942734506244,51.65967515364193,98.41669799999994,8.9802296895293,0.9176425933837891,0.15494457599141834,1000000.0
16.0,5.0,9.0,69.0,40.0,1.0,0.6277154746460176,0.0,1.0,12.784773715483313,4.0,1.0,10,13.0,1.112101853523561,4.73699387249037,299.0,0.0,5.0,27.32884658064516,9.639439051594671,7.0,2.0952942734506244,64.66004552885047,100.69843899999996,6.471825798706548,0.7701810002326965,0.18722314614414012,1000000.0
31.0,6.0,7.0,66.27270134522706,52.0,0.0,0.6277154746460176,3.0,1.0,42.43488145307857,4.0,1.0,10,27.0,1.2756944535618429,5.691140497995854,404.0,1.0,5.0,27.328846580645163,7.782213118648775,22.0,2.0952942734506244,68.59593244118321,98.76981299999996,6.54714445852558,0.8908509016036987,0.18785924680125504,1000000.0
20.0,4.0,9.0,83.63289427411489,75.0,0.0,0.6277154746460176,5.0,1.0,50.98836760702564,4.0,1.0,10,29.0,0.8469406173638396,2.109877932424917,177.0,1.0,0.0,27.32884658064516,8.35848492438047,7.0,2.0952942734506244,76.66483918057135,99.90022499999998,7.769107043570015,0.568710207939148,0.19315850009392693,1000000.0
26.0,38.0,15.0,52.0,80.0,2.0,0.6277154746460176,4.0,1.0,44.33569488271454,4.0,1.0,10,8.0,1.8624019200257633,4.995155294302999,485.0,0.0,4.0,27.328846580645163,10.152121379808055,6.0,2.0952942734506244,38.47747466776129,96.65304199999993,6.134210111894777,1.2267053127288818,0.1617873628512533,1000000.0
41.91010698701539,63.0,5.0,65.0,89.0,1.0,0.6277154746460176,3.0,1.0,45.55727032070479,4.0,1.0,10,12.0,0.5931819466169426,7.4693000080861935,940.0,0.0,2.0,27.32884658064516,11.495809152800087,20.0,2.0952942734506244,87.81400716959635,97.73558899999993,6.260073288759178,0.6602724194526672,0.158932324231958,27.315548914450968
26.0,1.0,12.0,61.0,91.0,1.0,0.6277154746460176,3.0,1.0,9.914931387087709,4.0,1.0,10,11.0,0.8870908112728944,8.908484040920785,755.0,1.0,5.0,27.32884658064516,8.0,36.0,2.0952942734506244,16.686724326868198,99.17619999999995,7.030036336633458,0.9043193459510803,0.18948582410782056,1000000.0
28.0,0.0,2.0,71.12456865202238,44.0,1.0,0.6277154746460176,5.0,1.0,45.24856184538517,4.0,1.0,10,15.0,1.311721511731581,7.843696514803779,76.0,1.0,0.0,27.32884658064516,7.0,10.0,2.0952942734506244,22.14727120903562,98.95383599999994,5.076709622278147,0.5797963738441467,0.22850729056139585,1000000.0
35.0,4.0,6.0,55.0,124.0,1.0,0.6277154746460176,2.0,1.0,22.608870482658883,4.0,1.0,10,12.0,1.0342879719250337,8.545912282857302,1181.0,1.0,5.0,27.32884658064516,11.694461369455219,11.0,2.0952942734506244,79.39888529185815,98.39661299999996,5.650427413572226,0.8942707777023315,0.17575642447093595,1000000.0
35.0,51.0,15.0,82.57797328437225,119.0,1.0,0.6277154746460176,3.0,1.0,32.06197973837623,4.0,1.0,10,0.0,1.7930323297406336,6.683633518764044,1378.0,0.0,4.0,27.32884658064516,10.676759262268234,22.0,2.0952942734506244,63.66498313956781,97.66482499999996,6.778326017912582,1.2275282144546509,0.13712166039793733,1000000.0
38.0,2.0,6.0,77.5995106949599,76.0,1.0,0.6277154746460176,6.0,1.0,39.75888721507164,4.0,1.0,10,23.0,0.9518750043334943,3.4175112454939143,20.0,1.0,2.0,27.32884658064516,6.0,33.0,2.0952942734506244,58.324239022786244,97.51552899999996,10.23938186050558,0.5228051543235779,0.1848621294687727,1000000.0
19.0,40.0,6.0,70.0,69.0,2.0,0.6277154746460176,0.0,1.0,11.043639526508926,4.0,1.0,10,16.0,0.5158431960428442,5.589779540562384,1198.0,0.0,0.0,27.32884658064516,7.0,20.0,2.0952942734506244,66.947941293219,97.21142399999994,6.663692950341924,1.1276134252548218,0.1465688277371868,1000000.0
39.0,7.0,5.0,77.33172563800824,68.0,2.0,0.6277154746460176,5.0,1.0,34.568656250711754,4.0,1.0,10,15.0,1.4535707767302355,8.952548416393466,247.0,0.0,4.0,27.328846580645163,8.49889612874718,4.0,2.0952942734506244,48.909901460717094,98.06827899999995,4.256898250672068,0.9160215854644775,0.1784341869397349,1000000.0
37.0,5.0,0.0,70.15774707772407,111.0,1.0,0.6277154746460176,0.0,1.0,27.053271989266698,4.0,1.0,10,0.0,1.8524804067726952,7.113258287141387,216.0,1.0,5.0,27.32884658064516,8.003188337550291,11.0,2.0952942734506244,60.44463480224579,101.02305399999996,5.079595206188527,0.7372648119926453,0.1909899033663725,1000000.0
45.03227446217182,15.0,3.0,56.0,70.0,1.0,0.6277154746460176,0.0,1.0,33.031880517421705,4.0,1.0,10,25.0,0.31938883628363146,6.44113941170083,738.0,0.0,2.0,27.32884658064516,9.103105479283329,23.0,2.0952942734506244,94.35586680104541,97.77092899999994,6.658133096310362,0.662943422794342,0.1448101151090649,23.648320659956784
13.0,25.0,0.0,71.23900329895376,47.0,1.0,0.6277154746460176,5.0,1.0,19.78230474118488,4.0,1.0,10,31.0,0.0810091291536843,2.2839384575999144,132.0,0.0,5.0,27.32884658064516,8.406182692773292,18.0,2.0952942734506244,74.91702504554644,98.02678899999995,8.243143823050614,1.169806957244873,0.1764961536436336,1000000.0
32.0,0.0,5.0,62.0,64.0,2.0,0.6277154746460176,0.0,1.0,16.26229978120463,4.0,1.0,10,19.0,1.5829573037035674,2.978157716240771,1118.0,0.0,3.0,27.32884658064516,7.0,6.0,2.0952942734506244,35.91511679541731,98.02181799999995,5.420441553173899,0.6604626178741455,0.1498622914790106,1000000.0
41.95191326069622,4.0,13.0,81.92915370352992,118.0,0.0,0.6277154746460176,6.0,1.0,19.15538013291512,4.0,1.0,10,16.0,1.49411695142603,7.31270618646103,1283.0,1.0,5.0,27.328846580645163,11.423664229040405,6.0,2.0952942734506244,87.90160361543411,96.53116299999996,6.087060801858034,1.0952463150024414,0.18773065466690064,23.95776343127241
44.65019340703158,9.0,9.0,63.0,81.0,1.0,0.6277154746460176,5.0,1.0,42.98394006011479,4.0,1.0,10,22.0,1.8471639009538878,6.444357662708769,256.0,0.0,3.0,27.32884658064516,6.0,15.0,2.0952942734506244,93.55529455421609,99.20038199999998,4.333292901397787,0.7958263158798218,0.1764423057511498,22.09713507365151
28.0,31.0,6.0,53.0,77.0,1.0,0.6277154746460176,3.0,1.0,25.168022839628904,4.0,1.0,10,30.0,1.2463095044647303,2.893453275913507,207.0,0.0,2.0,27.328846580645163,5.0,25.0,2.0952942734506244,33.56468299727054,97.77092899999994,8.333955893954041,0.7428327202796936,0.1638216224705138,1000000.0
16.0,26.0,6.0,82.74230669677937,112.0,2.0,0.6277154746460176,2.0,1.0,14.844949236004316,4.0,1.0,10,26.0,0.5657025837652807,2.450749395370252,103.0,0.0,2.0,27.32884658064516,8.0,28.0,2.0952942734506244,35.330291902439896,97.50827799999996,8.693958913424085,0.5551912188529968,0.19770197877302914,1000000.0
35.0,2.0,8.0,51.0,50.0,1.0,0.6277154746460176,6.0,1.0,55.62183792836218,4.0,1.0,10,14.0,1.5027350225895697,7.227390123011791,128.0,1.0,9.0,27.32884658064516,10.623862938848205,23.0,2.0952942734506244,47.04059041142088,97.68456499999995,8.507080540939965,1.0807878971099854,0.20716942364469948,1000000.0
31.0,6.0,5.0,82.54903305106797,120.0,1.0,0.6277154746460176,0.0,1.0,48.75609731382186,4.0,1.0,10,20.0,0.9584092524911791,9.194700052612127,179.0,1.0,4.0,27.32884658064516,8.0,17.0,2.0952942734506244,37.74751699369203,98.51319999999996,6.914451700130894,0.7010912895202637,0.20409726385659374,1000000.0
14.0,1.0,7.0,54.0,124.0,0.0,0.6277154746460176,3.0,1.0,35.62188232515944,4.0,1.0,10,25.0,0.9798613332827022,9.465631331114388,582.0,1.0,0.0,27.32884658064516,10.430838953130547,10.0,2.0952942734506244,41.72983324478382,99.52367599999997,6.815239013314075,0.6455347537994385,0.17684697689842982,1000000.0
