M1_is Enclosed,Additive_1,Initial GI (%),Additive_3,V2_Ventilation Interval (min),Additive_2,Initial Moisture Content (%),Material_2,Period (d),V3_Ventilation Duration (min),Additive_4,V4_Ventilation Day,Turning times, Composting Method,Initial pH,V5_Ventilation rate (L/min/kg iniDW),Material_Main,Initial C/N (%),Application Rate (%DW),V1_Ventilation Type,Compost volume (m3),Material_3,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
1.0,2.0,27.328846580645163,4.0,1018.0,0.0,52.6651038987439,8.0,32.0,11.663792179175577,1.0,21.0,17.0,1.0,6.0,1.2328773658332517,1,35.0,1.7749396089032308,1.0,0.0996875,5.0,2.754411318174137,42.5885819400275,92.60517900000005,6.387887499282152,0.3171944320201874,0.16270481547229304,1000000.0
1.0,6.0,27.32884658064516,4.0,822.0,5.0,76.316491414756,4.0,31.0,10.871286840778524,1.0,18.0,30.0,0.0,5.0,0.4505830395656929,1,27.0,3.7663103281391956,1.0,0.0996875,5.0,2.754411318174137,80.18564183427247,92.29964800000002,7.0694224754665305,-0.013212819583714008,0.16298181450947943,1000000.0
0.0,33.0,27.328846580645163,4.0,531.0,9.0,65.0,2.0,124.0,53.23159323872753,1.0,11.0,29.0,1.0,11.979547532022533,0.24535471792570518,1,20.0,9.729730121706453,1.0,0.0996875,0.0,2.754411318174137,101.91983797881227,88.254218,7.096496321516396,0.09608999639749527,0.1265470840875628,1000000.0
0.0,2.0,27.32884658064516,4.0,912.0,13.0,53.0,6.0,90.0,18.491374176156874,1.0,11.0,14.0,1.0,6.0,1.9380613157970263,1,42.48131963257919,2.919523407195584,1.0,0.0996875,2.0,2.754411318174137,117.0110276069493,92.17710900000006,5.859562568380741,0.357060968875885,0.150404095040035,19.827516776866116
1.0,6.0,27.32884658064516,4.0,781.0,8.0,63.0,8.0,21.0,32.796994366652825,1.0,6.0,12.0,1.0,5.0,0.28339555727468824,1,44.253847161756156,5.039513946584455,1.0,0.0996875,4.0,2.754411318174137,121.89329749508957,89.53115600000002,6.032236410380159,0.28364667296409607,0.11628575754931438,24.299793837504136
1.0,2.0,27.32884658064516,4.0,33.0,2.0,66.62571291017251,2.0,106.0,55.354458942238274,1.0,77.0,30.0,0.0,11.072143769429353,0.537101598705362,1,45.113512729234564,2.675146974762338,1.0,0.0996875,4.0,2.754411318174137,124.26117006399669,92.81971500000003,8.3949721456315,0.10728459805250168,0.17460944738389444,22.732724858551922
1.0,7.0,27.32884658064516,4.0,1225.0,3.0,73.28356565823674,4.0,97.0,33.952799164360805,1.0,77.0,10.0,1.0,5.0,1.0649412026811989,1,29.0,9.531765874395441,1.0,0.0996875,5.0,2.754411318174137,90.14781777993174,91.18708800000002,6.289899486898885,0.2445964217185974,0.1633450495532329,1000000.0
1.0,4.0,27.32884658064516,4.0,238.0,7.0,51.0,2.0,56.0,36.751130385959684,1.0,24.0,21.0,0.0,6.0,0.03425141700027723,1,29.0,9.568375106590508,1.0,0.0996875,4.0,2.754411318174137,14.45279550657604,93.12716400000004,6.77839635630936,0.025488311424851418,0.13224505305843676,1000000.0
1.0,4.0,27.32884658064516,4.0,560.0,10.0,70.0,4.0,129.0,1.5764661792122658,1.0,58.0,20.0,1.0,9.393647932057167,1.8735899554824986,1,33.0,3.193614957272029,1.0,0.0996875,5.0,2.754411318174137,27.392661786369178,91.25222000000004,4.818338462501911,0.33608049154281616,0.15058402050860642,1000000.0
0.0,2.0,27.32884658064516,4.0,0.0,2.0,63.0,4.0,77.0,0.0,1.0,0.0,18.0,2.0,8.0,0.0,1,19.0,9.328473136091745,2.0,0.0996875,5.0,2.754411318174137,41.51502508959705,88.98883900000003,5.415720708304948,0.3899393081665039,0.16947288953351677,1000000.0
0.0,6.0,27.32884658064516,4.0,0.0,0.0,57.0,12.0,78.0,0.0,1.0,54.0,21.0,1.0,10.542231230973574,1.2283397811240027,1,25.258332877136876,8.53371122120848,0.0,0.0996875,3.0,2.754411318174137,81.6818773996232,88.82515000000001,8.860604426961173,0.1680733859539032,0.1480327567352435,1000000.0
1.0,2.0,27.32884658064516,4.0,156.0,10.0,75.08646898878467,4.0,127.0,29.64908080167969,1.0,34.0,17.0,0.0,9.77498377861701,1.4283388642272064,1,10.0,9.213195308966162,1.0,0.0996875,2.0,2.754411318174137,49.91892817618435,93.63648100000002,6.992148432429166,0.2447843700647354,0.16835409547935917,1000000.0
0.0,6.0,27.32884658064516,4.0,854.0,10.0,50.0,8.0,128.0,19.80881306039875,1.0,24.0,18.0,1.0,8.314528665713166,1.7445745668651147,1,38.0,2.619331648186378,1.0,0.0996875,3.0,2.754411318174137,56.71409392951465,91.10500200000003,5.79166810206523,0.32933714985847473,0.13105655645454822,1000000.0
1.0,2.0,27.32884658064516,4.0,0.0,8.0,61.0,3.0,35.0,0.0,1.0,21.0,7.0,2.0,8.0,1.8569550520346123,1,29.0,8.785869290917915,0.0,0.0996875,2.0,2.754411318174137,91.89949880299854,89.10887800000002,5.415720708304948,0.2910080850124359,0.2300236724655565,1000000.0
1.0,6.0,27.32884658064516,4.0,1094.0,2.0,52.0,14.0,34.0,31.433873955673604,1.0,8.0,21.0,1.0,6.0,0.7380492168916253,1,28.0,8.917113577515678,1.0,0.0996875,2.0,2.754411318174137,100.09204499976033,90.61849500000002,8.783343802569755,-0.023498306050896645,0.11870174044987722,1000000.0
