Additive_2,Additive_3,Material_3,Initial Moisture Content (%),Additive_4,Turning times,Initial GI (%),V2_Ventilation Interval (min), Composting Method,Material_2,V3_Ventilation Duration (min),Additive_1,M1_is Enclosed,Material_Main,V4_Ventilation Day,V5_Ventilation rate (L/min/kg iniDW),V1_Ventilation Type,Application Rate (%DW),Compost volume (m3),Initial pH,Initial C/N (%),Period (d),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
2.0,4.0,4.0,82.13491050504818,1.0,25.0,27.328846580645163,0.0,1.0,13.0,0.0,22.0,0.0,5,0.0,0.0,2.0,1.4872476890165416,0.314,6.981138983513425,30.0,111.0,1.4280600332415827,24.962099887268213,106.51842400000001,6.5675080327819595,0.36119455099105835,0.20574567404059163,1000000.0
11.0,4.0,4.0,73.96860394605577,1.0,25.0,27.32884658064516,570.0,1.0,4.0,0.39422668379098136,27.0,0.0,5,19.0,1.586920886411135,1.0,3.0644800734131676,0.314,6.0,42.99772149454657,120.0,1.4280600332415827,61.403327586814484,106.26353300000001,6.3810731108169065,0.5692048668861389,0.1826246890147485,19.754186771458592
11.0,4.0,9.0,72.21753122912658,1.0,21.0,27.32884658064516,1375.0,0.0,8.0,54.357536616596505,37.0,1.0,5,24.0,1.9361155616231303,1.0,2.6258122479162376,0.314,6.0,41.691341467945165,69.0,1.4280600332415827,59.53773848259995,108.891914,9.796082728713952,0.8187671899795532,0.1737402314733183,21.591192812976484
12.0,4.0,0.0,82.16827518571759,1.0,19.0,27.978571233110067,0.0,1.0,6.0,0.0,21.0,0.0,5,0.0,0.4408174789758682,2.0,3.0579796493028026,0.314,5.0,35.172337869182755,49.0,1.4280600332415827,20.299508629087164,109.93744500000004,6.6905328275954306,0.5620479583740234,0.19910764610567733,1000000.0
13.0,4.0,5.0,71.78857706413152,1.0,10.0,27.32884658064516,1346.0,2.0,0.0,45.63313331297594,23.0,0.0,5,28.0,0.4609352658878545,1.0,4.893966942175127,0.314,5.0,30.0,46.0,1.4280600332415827,28.962508913554643,105.91804600000003,9.150736955838891,0.8076475858688354,0.17017701782984626,1000000.0
11.0,4.0,9.0,55.0,1.0,19.0,27.32884658064516,0.0,2.0,8.0,0.0,27.0,0.0,5,0.0,0.0,2.0,2.0016840297814262,0.314,6.359440889282447,38.0,31.0,1.4280600332415827,18.68495637409148,110.73359100000005,6.565161149340946,0.32160666584968567,0.1714155295033905,1000000.0
10.0,4.0,9.0,53.0,1.0,23.0,27.328846580645163,0.0,2.0,12.0,0.0,36.0,1.0,5,0.0,0.0,2.0,2.8984795730965507,0.314,6.999999999999999,33.0,132.0,1.4280600332415827,18.255480497283028,108.788798,6.565161149340946,0.6020774245262146,0.17422888985449791,1000000.0
11.0,4.0,3.0,69.0,1.0,24.0,27.32884658064516,0.0,0.0,5.0,0.0,34.0,1.0,5,0.0,0.0,2.0,2.4746451164117422,0.314,6.0,38.0,60.0,1.4280600332415827,11.926178986516879,110.25843600000002,6.565161149340946,0.33324185013771057,0.2029321631681945,1000000.0
2.0,4.0,5.0,69.0,1.0,16.0,27.32884658064516,0.0,1.0,0.0,0.0,19.0,1.0,5,0.0,0.0,2.0,2.789561537869755,0.314,6.0,40.982208044214985,70.0,1.4280600332415827,58.52505338193511,109.045292,6.5675080327819595,0.5573331713676453,0.22059291957622568,18.80915199525173
8.0,4.0,4.0,79.48290933856373,1.0,14.0,27.32884658064516,0.0,1.0,6.0,0.0,35.0,1.0,5,0.0,0.0,2.0,3.5868125494883483,0.314,7.0,43.03439501769737,123.0,1.4280600332415827,61.455699579504305,108.20432199999999,6.565161149340946,0.597338080406189,0.21027475850820737,18.150282930296463
