Initial pH,Period (d),V4_Ventilation Day,Initial C/N (%),Material_3,Additive_4,Material_Main,V1_Ventilation Type,M1_is Enclosed, Composting Method,V3_Ventilation Duration (min),Application Rate (%DW),Initial Moisture Content (%),Additive_3,V5_Ventilation rate (L/min/kg iniDW),Material_2,Additive_2,Compost volume (m3),Initial GI (%),Additive_1,Turning times,V2_Ventilation Interval (min),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
11.91018248092379,124.0,0.0,20.0,3.0,1.0,6,2.0,1.0,2.0,0.0,6.237284725028756,78.91296067060301,4.0,0.0,5.0,2.0,0.15181,27.32884658064516,31.0,31.0,0.0,1.411,54.20804529409561,103.5062885,2.7900648953664327,1.1622592210769653,0.17376288755152594,1000000.0
8.0,23.0,0.0,41.454661144432315,9.0,1.0,6,2.0,1.0,0.0,0.0,9.025736955408501,78.24608180058381,4.0,0.0,12.0,10.0,0.15181,27.32884658064516,17.0,31.0,0.0,1.411,58.492526874793995,107.88212699999998,3.400966583813751,1.240496039390564,0.20547454273109794,28.954991307207802
11.803393721194626,128.0,41.0,25.0,3.0,1.0,6,0.0,0.0,2.0,0.0,2.147779083864715,74.45603343312413,4.0,1.944513234579238,12.0,11.0,0.15181,27.32884658064516,14.0,29.0,0.0,1.411,25.66712159378952,106.47056199999999,3.0704421542972686,1.3140779733657837,0.17641470887604993,1000000.0
8.0,107.0,19.0,44.43124642467184,2.0,1.0,6,0.0,0.0,2.0,0.0,4.628455192894473,56.0,4.0,1.7671563246411328,8.0,6.0,0.15181,27.32884658064516,38.0,30.0,0.0,1.411,62.69248870521197,105.55350250000001,2.354269844086092,1.426021695137024,0.1883283883641675,23.193614181967707
11.555296825016224,68.0,23.0,25.0,5.0,1.0,6,0.0,1.0,0.0,0.0,4.684693964458915,66.0,4.0,1.7660460031378284,0.0,1.0,0.15181,27.32884658064516,4.0,30.0,0.0,1.411,36.03088160132263,106.50938400000003,3.121808571423875,0.8389472365379333,0.2355377258604156,1000000.0
9.258772080701457,34.0,0.0,10.0,3.0,1.0,6,2.0,1.0,0.0,0.0,4.131436142462962,69.0,4.0,0.0,0.0,11.0,0.15181,27.32884658064516,27.0,31.0,0.0,1.411,7.338343082424456,107.42889349999997,2.882385783046997,1.143722414970398,0.20259949848564782,1000000.0
5.0,108.0,0.0,40.0,9.0,1.0,6,2.0,1.0,2.0,0.0,2.0237381563674948,72.86100276792723,4.0,0.0,2.0,3.0,0.15181,27.32884658064516,17.0,31.0,0.0,1.411,24.83299915358026,105.40702550000003,2.2252683448248964,1.4598857164382935,0.1777927860468181,1000000.0
6.0,89.0,11.0,30.0,2.0,1.0,6,0.0,1.0,1.0,0.0,7.4343490419005365,64.0,4.0,1.8231439024149207,4.0,11.0,0.15181,27.32884658064516,13.0,27.0,0.0,1.411,54.655266556435166,105.04258699999997,2.2140613165839076,1.1825975179672241,0.22128431257443906,1000000.0
7.0,67.0,0.0,11.0,2.0,1.0,6,2.0,1.0,2.0,0.0,9.928412809734544,68.0,4.0,0.0,0.0,1.0,0.15181,27.32884658064516,12.0,31.0,0.0,1.411,44.726738955209186,106.04766450000001,2.760957939698258,1.4593528509140015,0.18276473106122743,1000000.0
8.0,47.0,0.0,33.0,9.0,1.0,6,2.0,0.0,2.0,0.0,3.8180144238727705,62.0,4.0,0.0,13.0,10.0,0.15181,27.32884658064516,17.0,30.0,0.0,1.411,37.508242841263595,108.46568199999997,3.400966583813751,1.462595820426941,0.15319216119249324,1000000.0
6.593742682066041,113.0,53.0,35.0,4.0,1.0,6,1.0,1.0,1.0,5.123916846445773,7.898807608108149,64.0,4.0,0.7649906118084573,5.0,13.0,0.15181,27.32884658064516,19.0,31.0,685.0,1.411,8.11598533396933,106.66408149999998,3.9965152047312573,1.1298996210098267,0.13925180565592868,1000000.0
11.86817940957685,16.0,0.0,28.0,2.0,1.0,6,2.0,0.0,1.0,0.0,9.419014522784103,57.0,4.0,0.0,3.0,11.0,0.15181,27.32884658064516,36.0,30.0,0.0,1.411,13.565898897528625,107.19867549999998,2.882385783046997,1.1431711912155151,0.1586228115642002,1000000.0
9.166211829708093,69.0,56.0,22.0,2.0,1.0,6,0.0,1.0,0.0,0.0,2.846897570199923,77.01136368697226,4.0,0.6158690180566682,2.0,12.0,0.15181,27.32884658064516,7.0,31.0,0.0,1.411,22.968212542158604,108.35275200000002,2.586118976550512,1.0771337747573853,0.20002640508554098,1000000.0
8.874364081510844,63.0,7.0,32.0,4.0,1.0,6,0.0,1.0,2.0,0.0,8.465166170446043,67.0,4.0,1.30021766252015,3.0,12.0,0.15181,27.32884658064516,15.0,30.0,0.0,1.411,46.76172316361318,107.29584749999998,2.57122720861016,1.4858039617538452,0.20274799082274964,1000000.0
