Turning times, Composting Method,V3_Ventilation Duration (min),Additive_2,Additive_1,Period (d),Initial Moisture Content (%),Material_2,Initial pH,V1_Ventilation Type,Additive_3,Application Rate (%DW),Initial GI (%),Initial C/N (%),Material_Main,M1_is Enclosed,V2_Ventilation Interval (min),Additive_4,Compost volume (m3),V4_Ventilation Day,V5_Ventilation rate (L/min/kg iniDW),Material_3,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
12.0,0.0,36.267956971801674,15.0,20.0,93.0,64.44795126127873,0.0,6.296146745733878,1,4,2.149935938598391,27.32884658064516,16.0,1,1.0,1358.0,1,0.0996875,55.0,1.0635240534519574,3.0,2.754411318174137,44.07058109078619,99.32766299999997,2.0880165412430705,0.6121824383735657,0.1132986278717183,1000000.0
31.0,2.0,16.217997490260196,11.0,22.0,15.0,58.0,2.0,5.008837133390912,1,4,7.290217733157766,27.32884658064516,25.150397609807197,1,1.0,675.0,1,0.0996875,5.0,1.2150237867251361,3.0,2.754411318174137,69.2745398330327,100.61100100000003,4.710150894472076,0.6030547022819519,0.15549983767657202,23.030325181030502
18.0,1.0,53.846727399125115,8.0,33.0,124.0,56.0,0.0,5.0,1,4,7.9853104155010035,27.32884658064516,32.72105447435177,1,0.0,1194.0,1,0.0996875,53.0,0.2854997714012928,2.0,2.754411318174137,90.12724278674699,99.23464200000001,4.595240087526655,0.7444809079170227,0.13160518443476082,22.5916268065802
21.0,1.0,3.803559977558044,10.0,23.0,23.0,50.61045438710327,5.0,8.0,1,4,6.08243042469384,27.32884658064516,32.0,1,0.0,239.0,1,0.0996875,8.0,1.3989483478592146,0.0,2.754411318174137,88.14116218157238,99.991945,4.595240087526655,0.6433371901512146,0.14367570386469006,1000000.0
29.0,1.0,57.571155604280186,3.0,14.0,37.0,66.0,2.0,5.094261925433642,1,4,7.442240456101918,27.32884658064516,10.784956667779277,1,0.0,1095.0,1,0.0996875,31.0,1.8102843235580106,4.0,2.754411318174137,29.706206711748866,99.524462,5.79516928090481,0.7444809079170227,0.12777500719041368,26.483613358852907
21.0,1.0,21.885421291802313,2.0,22.0,16.0,66.0,3.0,6.0,1,4,4.069874328076567,27.32884658064516,10.891895645866404,1,0.0,1018.0,1,0.0996875,6.0,0.8624451318045556,5.0,2.754411318174137,30.000760643346023,100.74638100000004,4.595240087526655,0.6487430334091187,0.12101307831140691,25.981232305745827
20.0,0.0,49.040640308534364,3.0,34.0,41.0,57.50532051678893,4.0,7.0,1,4,4.913264057856826,27.32884658064516,38.0,1,1.0,1240.0,1,0.0996875,38.0,0.4798074207167329,5.0,2.754411318174137,104.66763009061721,98.87725199999997,2.0880165412430705,0.6997761130332947,0.13441361199408275,1000000.0
14.0,1.0,1.4483266014682705,9.0,8.0,16.0,65.0,0.0,7.901594416571471,1,4,9.733598412402312,27.32884658064516,12.068891655003377,1,1.0,315.0,1,0.0996875,5.0,1.6839974647090117,4.0,2.754411318174137,33.24269177235869,100.25214400000004,5.766571944901046,0.6025247573852539,0.1443685379953643,25.91240528700826
7.0,2.0,59.95815382498637,15.0,28.0,30.0,63.0,5.0,7.0,1,4,8.981638228490688,27.32884658064516,37.415139936862055,1,1.0,43.0,1,0.0996875,27.0,1.6626394629150845,2.0,2.754411318174137,103.056684913162,99.269744,5.387299787936592,0.7541928887367249,0.20243257558872177,21.726703524586434
17.0,2.0,20.235936562664726,5.0,17.0,18.0,63.0,5.0,6.166273188932927,1,4,5.036858191097297,27.32884658064516,25.38400727035401,1,1.0,331.0,1,0.0996875,7.0,0.09448855103711407,4.0,2.754411318174137,69.91799692607766,99.67349800000004,4.710150894472076,0.6019045114517212,0.1302941945455528,22.599471135160375
1.0,2.0,33.41284887285785,3.0,19.0,19.0,68.45354282504087,3.0,7.0,1,4,2.0037107029945287,27.32884658064516,25.808183426649286,1,0.0,973.0,1,0.0996875,15.0,0.6847540352469743,2.0,2.754411318174137,71.08635253187697,98.50207799999998,4.8079286171945395,0.4205174744129181,0.13332452046802706,20.45181392945218
23.0,0.0,52.698484050724595,5.0,19.0,91.0,68.0,0.0,7.0,1,4,4.07742813645017,27.32884658064516,18.213257167313017,1,1.0,1350.0,1,0.0996875,54.0,0.8541853461901892,4.0,2.754411318174137,50.166801682463195,99.13431299999998,2.0880165412430705,0.7013017535209656,0.13564985835372706,1000000.0
21.0,2.0,39.61419268785061,2.0,11.0,70.0,60.0,0.0,8.0,1,4,7.089086312811181,27.32884658064516,17.197837344151342,1,1.0,94.0,1,0.0996875,34.0,0.47368592125235187,9.0,2.754411318174137,47.369917828848294,99.01152400000001,4.710150894472076,0.6127123832702637,0.1448909063533892,22.376211425240612
1.0,1.0,37.033319431032744,12.0,37.0,21.0,66.8505538378342,0.0,7.0,1,4,9.505874430409879,27.32884658064516,14.432572442573708,1,1.0,631.0,1,0.0996875,7.0,0.2691601331256692,0.0,2.754411318174137,39.75324088619317,99.66357700000006,4.693017810249119,0.426541805267334,0.12443455351338811,20.07296506795699
11.0,0.0,30.857260324265955,1.0,36.0,19.0,58.13111094332139,0.0,7.0,1,4,4.12348684374539,27.32884658064516,17.173663181612465,1,1.0,301.0,1,0.0996875,8.0,1.824938156052472,4.0,2.754411318174137,47.303332241943835,99.95770699999998,2.628381492241609,0.6121824383735657,0.1316741046753049,23.591332676057025
