V2_Ventilation Interval (min),Initial GI (%),Material_2,Additive_3,Initial Moisture Content (%),Turning times,V1_Ventilation Type,Additive_1,Compost volume (m3),Period (d),Initial pH,Material_Main,Application Rate (%DW),Additive_4,Material_3,Initial C/N (%),V5_Ventilation rate (L/min/kg iniDW),V3_Ventilation Duration (min),M1_is Enclosed,V4_Ventilation Day,Additive_2, Composting Method,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
0.0,27.32884658064516,12.0,4,52.63330114821207,22.0,0,4.0,0.06,41.0,5.0,2,4.712576252197598,1,9.0,24.343047899431124,1.3770372894972172,0.0,0.0,29.0,15.0,2.0,1.775,43.20891002149024,91.74532699999996,4.416817645577699,0.601121187210083,0.2061706607797893,30.413635364329934
0.0,27.32884658064516,12.0,4,53.0,28.0,2,2.0,0.06,83.0,7.0,2,9.425909252700116,1,2.0,19.279145285271795,0.0,0.0,0.0,0.0,0.0,1.0,1.775,34.220482881357434,91.46777299999998,4.7662135906692225,0.4897695779800415,0.11124170507505814,19.619085802726154
0.0,27.32884658064516,3.0,4,61.0,2.0,0,4.0,0.06,90.0,8.0,2,9.146762842190313,1,4.0,19.689569598596595,1.077738956832751,0.0,1.0,45.0,6.0,2.0,1.775,34.94898603750895,91.51837899999997,8.079500435503231,0.2746455669403076,0.18094873629566874,23.13233270800933
1280.0,27.32884658064516,13.0,4,57.0,26.0,1,4.0,0.06,127.0,6.0,2,9.861079195962308,1,0.0,39.87150679503273,1.245140211396497,0.1305655434722186,0.0,49.0,13.0,2.0,1.775,70.7719245611831,91.83859599999997,4.879798098283181,0.9891557097434998,0.13388587209135147,25.273297247692888
0.0,27.32884658064516,12.0,4,66.45146387240663,15.0,2,4.0,0.06,125.0,5.0,2,7.520963324882131,1,0.0,12.675745062622145,0.0,0.0,0.0,0.0,15.0,1.0,1.775,22.499447486154306,92.45222199999998,4.270407733762799,0.565678060054779,0.11442454587518952,24.111810291649164
0.0,27.32884658064516,4.0,4,61.0,10.0,2,2.0,0.06,85.0,7.0,2,2.5306226090377253,1,5.0,26.0,0.0,0.0,1.0,0.0,8.0,0.0,1.775,46.15,90.80401299999998,6.5264643658803925,0.6940069794654846,0.25708519896215454,1000000.0
0.0,27.32884658064516,0.0,4,62.0,3.0,0,2.0,0.06,44.0,7.0,2,2.0340675256039162,1,3.0,29.370137166129823,1.22957056881794,0.0,1.0,34.0,0.0,2.0,1.775,52.131993469880435,90.86122999999996,4.555228490930348,0.5619192123413086,0.28316089483598417,22.522621045014436
0.0,27.32884658064516,5.0,4,54.0,10.0,0,7.0,0.06,15.0,8.0,2,5.8969248472150815,1,5.0,23.0,1.720582536408168,0.0,0.0,12.0,15.0,2.0,1.775,40.824999999999996,90.98961699999997,3.4574882867941708,0.5915846228599548,0.2254341842982606,1000000.0
0.0,27.32884658064516,2.0,4,62.0,21.0,2,4.0,0.06,108.0,5.0,2,6.991487390707166,1,0.0,24.955868576453298,0.0,0.0,0.0,0.0,7.0,2.0,1.775,44.2966667232046,91.44048299999999,4.533554712676641,0.5089833736419678,0.17553305516029893,18.720764597201608
0.0,27.32884658064516,13.0,4,56.0,21.0,0,4.0,0.06,37.0,6.0,2,9.305527863783684,1,4.0,24.911247788971046,1.9374921480834366,0.0,0.0,20.0,2.0,2.0,1.775,44.217464825423605,91.59115699999998,3.3825121317176,0.6019383668899536,0.18552830802420178,29.70627746503377
0.0,27.32884658064516,14.0,4,58.597138836022204,16.0,2,4.0,0.06,82.0,6.0,2,8.047005881718448,1,9.0,35.0,0.0,0.0,1.0,0.0,5.0,0.0,1.775,62.125,91.44048299999999,7.0163962444411565,0.5835884809494019,0.17756811272239198,1000000.0
0.0,27.32884658064516,14.0,4,59.102561999977844,4.0,0,2.0,0.06,42.0,6.0,2,5.961071773500518,1,0.0,22.42282757660491,1.6887774958438821,0.0,1.0,41.0,15.0,0.0,1.775,39.80051894847371,92.38179699999996,6.109899790607774,0.9563996195793152,0.23152029484704323,20.251195016501246
0.0,27.328846580645163,13.0,4,65.09338640181552,14.0,2,2.0,0.06,113.0,5.222844156031332,2,8.916316784389991,1,4.0,25.426695450130882,0.0,0.0,1.0,0.0,11.0,2.0,1.775,45.132384423982316,91.33944299999999,7.003569580756965,0.7176856398582458,0.14957570778690957,1000000.0
0.0,27.32884658064516,0.0,4,68.0,4.0,0,2.0,0.06,42.0,7.0,2,8.517635072855132,1,3.0,23.339803662638744,0.9952000466922877,0.0,1.0,24.0,15.0,1.0,1.775,41.42815150118377,92.42501899999996,3.8445336254507425,0.6626661419868469,0.26898538120157134,19.709008118686207
0.0,27.32884658064516,14.0,4,57.0,18.0,0,6.0,0.06,40.0,5.564690935200982,2,9.372721098268688,1,0.0,26.944904747657734,0.29538871200692873,0.0,0.0,27.0,15.0,2.0,1.775,47.82720592709248,90.62447299999997,3.2772440890459227,0.7948880195617676,0.17699849113532715,27.083482034895567
0.0,27.32884658064516,5.0,4,64.08182068862219,31.0,2,2.0,0.06,34.0,7.078748483849351,2,9.607814871763605,1,2.0,11.656334978905942,0.0,0.0,1.0,0.0,5.0,2.0,1.775,20.689994587558047,91.72243599999997,6.06775755536989,0.4533627927303314,0.15263272093501232,24.36288684827603
0.0,27.32884658064516,14.0,4,53.0,14.0,0,2.0,0.06,24.0,6.546574481125873,2,7.164222984596269,1,3.0,26.48237280672359,1.3803752852377351,0.0,1.0,16.0,11.0,0.0,1.775,47.00621173193437,91.37411699999997,6.109899790607774,0.9520940780639648,0.22578548130202603,27.948666987066442
0.0,27.32884658064516,0.0,4,51.0,11.0,2,4.0,0.06,132.0,5.731738975623702,2,8.662987182331987,1,2.0,10.33042965483115,0.0,0.0,1.0,0.0,7.0,0.0,1.775,18.33651263732529,91.72243599999997,4.224415793472192,0.572819173336029,0.1354900676936961,20.122234858437405
0.0,27.32884658064516,3.0,4,55.36914417378289,28.0,2,2.0,0.06,58.0,8.0,2,4.934260017669712,1,3.0,10.670145658370998,0.0,0.0,1.0,0.0,6.0,0.0,1.775,18.93950854360852,91.08596599999998,8.440434031401681,0.3422474265098572,0.16040059904344253,22.426557107171575
0.0,27.32884658064516,6.0,4,58.47963556056607,9.0,2,4.0,0.06,81.0,6.0,2,6.02976288958808,1,3.0,25.216710749606584,0.0,0.0,1.0,0.0,5.0,0.0,1.775,44.759661580551686,91.44048299999999,6.137531249989556,0.3953758180141449,0.18976029572103398,18.844284627523745
0.0,27.32884658064516,3.0,4,61.36638061507286,5.0,2,4.0,0.06,89.0,7.0,2,7.051993613861715,1,4.0,18.86188194588683,0.0,0.0,0.0,0.0,6.0,1.0,1.775,33.479840453949116,91.46777299999998,4.533554712676641,0.4768303334712982,0.18086472453954885,14.838343524716185
